frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.analysis.ack_rtt
0.000000000,0.000000000,10.0.0.2,0,0,0,
0.210416000,0.210416000,10.0.0.1,0,0,1,0.210416000
0.427917000,0.217501000,10.0.0.2,0,1,1,0.217501000
0.427998000,0.000081000,10.0.0.2,131,1,1,
0.639999000,0.181473000,10.0.0.1,0,1,132,0.212001000
0.644508000,0.004509000,10.0.0.1,197,1,132,
0.646780000,0.002272000,10.0.0.1,1448,198,132,
0.646814000,0.000034000,10.0.0.1,1448,1646,132,
0.646818000,0.000004000,10.0.0.1,1448,3094,132,
0.646821000,0.000003000,10.0.0.1,1448,4542,132,
0.646825000,0.000004000,10.0.0.1,1448,5990,132,
0.646828000,0.000003000,10.0.0.1,1448,7438,132,
0.646831000,0.000003000,10.0.0.1,1448,8886,132,
0.646835000,0.000004000,10.0.0.1,1448,10334,132,
0.646838000,0.000003000,10.0.0.1,1448,11782,132,
0.862537000,0.016520000,10.0.0.2,0,132,198,0.218029000
0.862561000,0.000024000,10.0.0.2,0,132,1646,0.215781000
0.868044000,0.005483000,10.0.0.2,0,132,3094,0.221230000
0.874433000,0.006389000,10.0.0.2,0,132,4542,0.227615000
0.879915000,0.005482000,10.0.0.2,0,132,5990,0.233094000
0.886430000,0.006515000,10.0.0.2,0,132,7438,0.239605000
0.891806000,0.005376000,10.0.0.2,0,132,8886,0.244978000
0.898315000,0.006509000,10.0.0.2,0,132,10334,0.251484000
0.903848000,0.005533000,10.0.0.2,0,132,11782,0.257013000
0.910323000,0.006475000,10.0.0.2,0,132,13230,0.263485000
1.065962000,0.155639000,10.0.0.1,1448,13230,132,
1.074594000,0.008632000,10.0.0.1,1448,14678,132,
1.089469000,0.014875000,10.0.0.1,1448,16126,132,
1.104769000,0.015300000,10.0.0.1,1448,17574,132,
1.120011000,0.015242000,10.0.0.1,1448,19022,132,
1.135850000,0.015839000,10.0.0.1,1448,20470,132,
1.150172000,0.014322000,10.0.0.1,1448,21918,132,
1.164937000,0.014765000,10.0.0.1,1448,23366,132,
1.179865000,0.014928000,10.0.0.1,1448,24814,132,
1.195130000,0.015265000,10.0.0.1,1448,26262,132,
1.210203000,0.015073000,10.0.0.1,1448,27710,132,
1.225343000,0.015140000,10.0.0.1,1448,29158,132,
1.240753000,0.015410000,10.0.0.1,1448,30606,132,
1.255978000,0.008591000,10.0.0.1,1448,32054,132,
1.272086000,0.016108000,10.0.0.1,1448,33502,132,
1.277300000,0.000149000,10.0.0.2,0,132,14678,0.211338000
1.283575000,0.006275000,10.0.0.2,0,132,16126,0.208981000
1.287079000,0.003504000,10.0.0.1,1448,34950,132,
1.294829000,0.007750000,10.0.0.2,0,132,17574,0.205360000
1.302110000,0.007281000,10.0.0.1,1448,36398,132,
1.312877000,0.010767000,10.0.0.2,0,132,19022,0.208108000
1.317084000,0.004207000,10.0.0.1,1448,37846,132,
1.326578000,0.009494000,10.0.0.2,0,132,20470,0.206567000
1.332060000,0.005482000,10.0.0.1,1448,39294,132,
1.343840000,0.011780000,10.0.0.2,0,132,21918,0.207990000
1.348130000,0.004290000,10.0.0.1,1448,40742,132,
1.362368000,0.014238000,10.0.0.2,0,132,23366,0.212196000
1.373659000,0.011291000,10.0.0.2,0,132,24814,0.208722000
