frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.window_size,tcp.analysis.ack_rtt
0.000000000,0.000000000,10.0.0.2,0,0,0,64240,
0.203104000,0.008548000,10.0.0.1,0,0,1,65160,0.203104000
0.421382000,0.218278000,10.0.0.2,0,1,1,64256,0.218278000
0.421400000,0.000018000,10.0.0.2,131,1,1,64256,
0.623825000,0.066220000,10.0.0.1,0,1,132,65152,0.202425000
0.631050000,0.007225000,10.0.0.1,197,1,132,65152,
0.632344000,0.001294000,10.0.0.1,1448,198,132,65152,
0.632464000,0.000120000,10.0.0.1,1448,1646,132,65152,
0.632471000,0.000007000,10.0.0.1,1448,3094,132,65152,
0.632480000,0.000009000,10.0.0.1,1448,4542,132,65152,
0.632486000,0.000006000,10.0.0.1,1448,5990,132,65152,
0.632493000,0.000007000,10.0.0.1,1448,7438,132,65152,
0.632498000,0.000005000,10.0.0.1,1448,8886,132,65152,
0.632503000,0.000005000,10.0.0.1,1448,10334,132,65152,
0.632508000,0.000005000,10.0.0.1,1448,11782,132,65152,
0.836934000,0.204426000,10.0.0.2,0,132,198,64128,0.205884000
0.843246000,0.006312000,10.0.0.2,0,132,1646,67072,0.210902000
0.849437000,0.006191000,10.0.0.2,0,132,3094,70016,0.216973000
0.854717000,0.005280000,10.0.0.2,0,132,4542,72832,0.222246000
0.860917000,0.006200000,10.0.0.2,0,132,5990,75776,0.228437000
0.867113000,0.006196000,10.0.0.2,0,132,7438,78720,0.234627000
0.873423000,0.006310000,10.0.0.2,0,132,8886,80512,0.240930000
0.879580000,0.006157000,10.0.0.2,0,132,10334,80512,0.247082000
0.884810000,0.005230000,10.0.0.2,0,132,11782,80512,0.252307000
0.891097000,0.006287000,10.0.0.2,0,132,13230,80512,0.258589000
1.037690000,0.124045000,10.0.0.1,1448,13230,132,65152,
1.044977000,0.007287000,10.0.0.1,1448,14678,132,65152,
1.060246000,0.015269000,10.0.0.1,1448,16126,132,65152,
1.074083000,0.013837000,10.0.0.1,1448,17574,132,65152,
1.089053000,0.014970000,10.0.0.1,1448,19022,132,65152,
1.103585000,0.014532000,10.0.0.1,1448,20470,132,65152,
1.119523000,0.015938000,10.0.0.1,1448,21918,132,65152,
1.134124000,0.000622000,10.0.0.1,1448,23366,132,65152,
1.147918000,0.013794000,10.0.0.1,1448,24814,132,65152,
1.162667000,0.014749000,10.0.0.1,1448,26262,132,65152,
1.178702000,0.016035000,10.0.0.1,1448,27710,132,65152,
1.193247000,0.014545000,10.0.0.1,1448,29158,132,65152,
1.206741000,0.013494000,10.0.0.1,1448,30606,132,65152,
1.221763000,0.015022000,10.0.0.1,1448,32054,132,65152,
1.237130000,0.015367000,10.0.0.1,1448,33502,132,65152,
1.245758000,0.008628000,10.0.0.2,0,132,14678,80512,0.208068000
1.252013000,0.006255000,10.0.0.2,0,132,16126,80512,0.207036000
1.252349000,0.000336000,10.0.0.1,1448,34950,132,65152,
1.266679000,0.014330000,10.0.0.1,1448,36398,132,65152,
1.270399000,0.003720000,10.0.0.2,0,132,17574,80512,0.210153000
1.280907000,0.010508000,10.0.0.1,1448,37846,132,65152,
1.281726000,0.000819000,10.0.0.2,0,132,19022,80512,0.207643000
1.294266000,0.012540000,10.0.0.2,0,132,20470,80512,0.205213000
1.296263000,0.001997000,10.0.0.1,1448,39294,132,65152,
1.311628000,0.015365000,10.0.0.1,1448,40742,132,65152,
1.313523000,0.001895000,10.0.0.2,0,132,21918,80512,0.209938000
1.330826000,0.017303000,10.0.0.2,0,132,23366,80512,0.211303000
1.343221000,0.012395000,10.0.0.2,0,132,24814,80512,0.209097000
1.355316000,0.012095000,10.0.0.2,0,132,26262,80512,0.207398000
1.373520000,0.018204000,10.0.0.2,0,132,27710,80512,0.210853000
1.385182000,0.011662000,10.0.0.2,0,132,29158,80512,0.206480000
1.414760000,0.029578000,10.0.0.2,0,132,32054,80512,0.208019000
1.445325000,0.030565000,10.0.0.2,0,132,34950,80512,0.208195000
1.447122000,0.001797000,10.0.0.1,1448,42190,132,65152,
1.454353000,0.007231000,10.0.0.1,1448,43638,132,65152,
