frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.analysis.ack_rtt
0.000000000,0.000000000,10.0.0.2,0,0,0,
0.202483000,0.094389000,10.0.0.1,0,0,1,0.202483000
0.410653000,0.106073000,10.0.0.2,0,1,1,0.208170000
0.410712000,0.000059000,10.0.0.2,131,1,1,
0.611172000,0.200460000,10.0.0.1,0,1,132,0.200460000
0.616382000,0.005210000,10.0.0.1,197,1,132,
0.617586000,0.001204000,10.0.0.1,1448,198,132,
0.617613000,0.000027000,10.0.0.1,1448,1646,132,
0.617615000,0.000002000,10.0.0.1,1448,3094,132,
0.617617000,0.000002000,10.0.0.1,1448,4542,132,
0.617619000,0.000002000,10.0.0.1,1448,5990,132,
0.617622000,0.000003000,10.0.0.1,1448,7438,132,
0.617624000,0.000002000,10.0.0.1,1448,8886,132,
0.617626000,0.000002000,10.0.0.1,1448,10334,132,
0.617627000,0.000001000,10.0.0.1,1448,11782,132,
0.824910000,0.056849000,10.0.0.2,0,132,198,0.208528000
0.831903000,0.006993000,10.0.0.2,0,132,1646,0.214317000
0.838077000,0.006174000,10.0.0.2,0,132,3094,0.220464000
0.844199000,0.006122000,10.0.0.2,0,132,4542,0.226584000
0.850537000,0.006338000,10.0.0.2,0,132,5990,0.232920000
0.856188000,0.005651000,10.0.0.2,0,132,7438,0.238569000
0.862282000,0.006094000,10.0.0.2,0,132,8886,0.244660000
0.868428000,0.006146000,10.0.0.2,0,132,10334,0.250804000
0.874769000,0.006341000,10.0.0.2,0,132,11782,0.257143000
0.879878000,0.005109000,10.0.0.2,0,132,13230,0.262251000
1.025334000,0.145456000,10.0.0.1,1448,13230,132,
1.025368000,0.000034000,10.0.0.1,1448,14678,132,
1.032512000,0.007144000,10.0.0.1,1448,16126,132,
1.032542000,0.000030000,10.0.0.1,1448,17574,132,
1.039731000,0.007189000,10.0.0.1,1448,19022,132,
1.039761000,0.000030000,10.0.0.1,1448,20470,132,
1.044925000,0.005164000,10.0.0.1,1448,21918,132,
1.044944000,0.000019000,10.0.0.1,1448,23366,132,
1.050104000,0.005160000,10.0.0.1,1448,24814,132,
1.050129000,0.000025000,10.0.0.1,1448,26262,132,
1.056329000,0.006200000,10.0.0.1,1448,27710,132,
1.056367000,0.000038000,10.0.0.1,1448,29158,132,
1.062543000,0.006176000,10.0.0.1,1448,30606,132,
1.062581000,0.000038000,10.0.0.1,1448,32054,132,
1.069781000,0.007200000,10.0.0.1,1448,33502,132,
1.069845000,0.000064000,10.0.0.1,1448,34950,132,
