frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.window_size,tcp.analysis.ack_rtt
0.000000000,0.000000000,10.0.0.2,0,0,0,64240,
0.211582000,0.034771000,10.0.0.1,0,0,1,65160,0.211582000
0.439192000,0.227610000,10.0.0.2,0,1,1,64256,0.227610000
0.439248000,0.000056000,10.0.0.2,131,1,1,64256,
0.640862000,0.020227000,10.0.0.1,0,1,132,65152,0.201614000
0.646281000,0.005419000,10.0.0.1,197,1,132,65152,
0.648498000,0.002217000,10.0.0.1,1448,198,132,65152,
0.648544000,0.000046000,10.0.0.1,1448,1646,132,65152,
0.648549000,0.000005000,10.0.0.1,1448,3094,132,65152,
0.648651000,0.000102000,10.0.0.1,1448,4542,132,65152,
0.648662000,0.000011000,10.0.0.1,1448,5990,132,65152,
0.648669000,0.000007000,10.0.0.1,1448,7438,132,65152,
0.648673000,0.000004000,10.0.0.1,1448,8886,132,65152,
0.648678000,0.000005000,10.0.0.1,1448,10334,132,65152,
0.648682000,0.000004000,10.0.0.1,1448,11782,132,65152,
0.855608000,0.206926000,10.0.0.2,0,132,198,64128,0.209327000
0.860926000,0.005318000,10.0.0.2,0,132,1646,67072,0.212428000
0.867412000,0.006486000,10.0.0.2,0,132,3094,70016,0.218868000
0.873640000,0.006228000,10.0.0.2,0,132,4542,72832,0.225091000
0.878874000,0.005234000,10.0.0.2,0,132,5990,75776,0.230223000
0.885223000,0.006349000,10.0.0.2,0,132,7438,78720,0.236561000
0.891438000,0.006215000,10.0.0.2,0,132,8886,80512,0.242769000
0.896817000,0.005379000,10.0.0.2,0,132,10334,80512,0.248144000
0.903088000,0.006271000,10.0.0.2,0,132,11782,80512,0.254410000
0.909391000,0.006303000,10.0.0.2,0,132,13230,80512,0.260709000
1.071943000,0.015178000,10.0.0.1,1448,13230,132,65152,
1.072026000,0.000083000,10.0.0.1,1448,14678,132,65152,
1.072034000,0.000008000,10.0.0.1,1448,16126,132,65152,
1.072039000,0.000005000,10.0.0.1,1448,17574,132,65152,
1.072043000,0.000004000,10.0.0.1,1448,19022,132,65152,
1.072047000,0.000004000,10.0.0.1,1448,20470,132,65152,
1.074284000,0.002237000,10.0.0.1,1448,21918,132,65152,
1.074383000,0.000099000,10.0.0.1,1448,23366,132,65152,
1.079618000,0.005235000,10.0.0.1,1448,24814,132,65152,
1.079680000,0.000062000,10.0.0.1,1448,26262,132,65152,
1.084957000,0.005277000,10.0.0.1,1448,27710,132,65152,
1.085058000,0.000101000,10.0.0.1,1448,29158,132,65152,
1.093384000,0.008326000,10.0.0.1,1448,30606,132,65152,
1.093470000,0.000086000,10.0.0.1,1448,32054,132,65152,
1.096672000,0.003202000,10.0.0.1,1448,33502,132,65152,
1.096722000,0.000050000,10.0.0.1,1448,34950,132,65152,
1.102991000,0.006269000,10.0.0.1,1448,36398,132,65152,
1.103066000,0.000075000,10.0.0.1,1448,37846,132,65152,
1.111417000,0.008351000,10.0.0.1,1448,39294,132,65152,
1.111498000,0.000081000,10.0.0.1,1448,40742,132,65152,
1.283470000,0.066727000,10.0.0.2,0,132,14678,80512,0.211527000
1.289214000,0.005744000,10.0.0.2,0,132,16126,80512,0.217188000
1.295606000,0.006392000,10.0.0.2,0,132,17574,80512,0.223572000
1.301213000,0.005607000,10.0.0.2,0,132,19022,80512,0.229174000
1.307712000,0.006499000,10.0.0.2,0,132,20470,80512,0.235669000
1.313008000,0.005296000,10.0.0.2,0,132,21918,80512,0.240961000
1.319376000,0.006368000,10.0.0.2,0,132,23366,80512,0.245092000
1.325995000,0.006619000,10.0.0.2,0,132,24814,80512,0.251612000
1.331508000,0.005513000,10.0.0.2,0,132,26262,80512,0.251890000
