frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.analysis.ack_rtt
0.096718000,0.085006000,10.0.0.2,0,0,0,
0.300335000,0.091555000,10.0.0.1,0,0,1,0.203617000
0.512742000,0.001161000,10.0.0.2,0,1,1,0.212407000
0.512840000,0.000098000,10.0.0.2,131,1,1,
0.713967000,0.201127000,10.0.0.1,0,1,132,0.201127000
0.733843000,0.019876000,10.0.0.1,197,1,132,
0.735513000,0.001670000,10.0.0.1,1448,198,132,
0.735575000,0.000062000,10.0.0.1,1448,1646,132,
0.735587000,0.000012000,10.0.0.1,1448,3094,132,
0.735598000,0.000011000,10.0.0.1,1448,4542,132,
0.735606000,0.000008000,10.0.0.1,1448,5990,132,
0.735613000,0.000007000,10.0.0.1,1448,7438,132,
0.735624000,0.000011000,10.0.0.1,1448,8886,132,
0.735635000,0.000011000,10.0.0.1,1448,10334,132,
0.735642000,0.000007000,10.0.0.1,1448,11782,132,
0.939527000,0.203885000,10.0.0.2,0,132,198,0.205684000
0.946378000,0.006851000,10.0.0.2,0,132,1646,0.210865000
0.951464000,0.005086000,10.0.0.2,0,132,3094,0.215889000
0.957822000,0.006358000,10.0.0.2,0,132,4542,0.222235000
0.964371000,0.006549000,10.0.0.2,0,132,5990,0.228773000
0.969667000,0.005296000,10.0.0.2,0,132,7438,0.234061000
0.976904000,0.006465000,10.0.0.2,0,132,8886,0.241291000
0.981631000,0.004727000,10.0.0.2,0,132,10334,0.246007000
0.988363000,0.006732000,10.0.0.2,0,132,11782,0.252728000
0.993732000,0.005369000,10.0.0.2,0,132,13230,0.258090000
1.143497000,0.147025000,10.0.0.1,1448,13230,132,
1.143614000,0.000117000,10.0.0.1,1448,14678,132,
1.147985000,0.004371000,10.0.0.1,1448,16126,132,
1.148066000,0.000081000,10.0.0.1,1448,17574,132,
1.153729000,0.005663000,10.0.0.1,1448,19022,132,
1.153841000,0.000112000,10.0.0.1,1448,20470,132,
1.159466000,0.005625000,10.0.0.1,1448,21918,132,
1.159550000,0.000084000,10.0.0.1,1448,23366,132,
1.166072000,0.006522000,10.0.0.1,1448,24814,132,
1.166154000,0.000082000,10.0.0.1,1448,26262,132,
1.171527000,0.005373000,10.0.0.1,1448,27710,132,
1.171600000,0.000073000,10.0.0.1,1448,29158,132,
1.179013000,0.007413000,10.0.0.1,1448,30606,132,
1.179058000,0.000045000,10.0.0.1,1448,32054,132,
1.182396000,0.003338000,10.0.0.1,1448,33502,132,
1.182513000,0.000117000,10.0.0.1,1448,34950,132,
1.190147000,0.007634000,10.0.0.1,1448,36398,132,
1.190207000,0.000060000,10.0.0.1,1448,37846,132,
1.194524000,0.004317000,10.0.0.1,1448,39294,132,
1.194588000,0.000064000,10.0.0.1,1448,40742,132,
1.354617000,0.160029000,10.0.0.2,0,132,14678,0.211120000
1.354668000,0.000051000,10.0.0.2,0,132,16126,0.211054000
1.366962000,0.012294000,10.0.0.2,0,132,17574,0.218977000
1.367014000,0.000052000,10.0.0.2,0,132,19022,0.218948000
1.372707000,0.005693000,10.0.0.2,0,132,20470,0.218978000
1.380110000,0.007403000,10.0.0.2,0,132,21918,0.226269000
1.386592000,0.006482000,10.0.0.2,0,132,23366,0.227126000
1.392173000,0.005581000,10.0.0.2,0,132,24814,0.232623000
1.397478000,0.005305000,10.0.0.2,0,132,26262,0.231406000
1.403959000,0.006481000,10.0.0.2,0,132,27710,0.237805000
1.409836000,0.005877000,10.0.0.2,0,132,29158,0.238309000
1.415546000,0.005710000,10.0.0.2,0,132,30606,0.243946000
1.428418000,0.012872000,10.0.0.2,0,132,33502,0.249360000
1.440623000,0.012205000,10.0.0.2,0,132,36398,0.258110000
1.452446000,0.011823000,10.0.0.2,0,132,39294,0.262239000
1.463939000,0.011493000,10.0.0.2,0,132,42190,0.269351000
1.555864000,0.091925000,10.0.0.1,1448,42190,132,
