frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.window_size,tcp.analysis.ack_rtt
0.000000000,0.000000000,10.0.0.2,0,0,0,64240,
0.104310000,0.104310000,10.0.0.1,0,0,1,65160,0.104310000
0.217478000,0.113168000,10.0.0.2,0,1,1,64256,0.113168000
0.217645000,0.000167000,10.0.0.2,131,1,1,64256,
0.320005000,0.102360000,10.0.0.1,0,1,132,65152,0.102360000
0.340547000,0.004519000,10.0.0.1,197,1,132,65152,
0.343998000,0.003451000,10.0.0.1,1448,198,132,65152,
0.344067000,0.000069000,10.0.0.1,1448,1646,132,65152,
0.344074000,0.000007000,10.0.0.1,1448,3094,132,65152,
0.344080000,0.000006000,10.0.0.1,1448,4542,132,65152,
0.344086000,0.000006000,10.0.0.1,1448,5990,132,65152,
0.344093000,0.000007000,10.0.0.1,1448,7438,132,65152,
0.344098000,0.000005000,10.0.0.1,1448,8886,132,65152,
0.344103000,0.000005000,10.0.0.1,1448,10334,132,65152,
0.344110000,0.000007000,10.0.0.1,1448,11782,132,65152,
0.445695000,0.101585000,10.0.0.2,0,132,198,64128,0.105148000
0.452546000,0.006851000,10.0.0.2,0,132,1646,67072,0.108548000
0.458164000,0.005618000,10.0.0.2,0,132,3094,70016,0.114097000
0.464859000,0.006695000,10.0.0.2,0,132,4542,72832,0.120785000
0.476691000,0.011832000,10.0.0.2,0,132,5990,75776,0.132611000
0.476761000,0.000070000,10.0.0.2,0,132,7438,78720,0.132675000
0.488002000,0.011241000,10.0.0.2,0,132,8886,80512,0.143909000
0.493590000,0.005588000,10.0.0.2,0,132,10334,80512,0.149492000
0.499907000,0.006317000,10.0.0.2,0,132,11782,80512,0.155804000
0.506590000,0.006683000,10.0.0.2,0,132,13230,80512,0.162480000
0.546571000,0.039981000,10.0.0.1,1448,13230,132,65152,
0.546653000,0.000082000,10.0.0.1,1448,14678,132,65152,
0.554125000,0.007472000,10.0.0.1,1448,16126,132,65152,
0.554225000,0.000100000,10.0.0.1,1448,17574,132,65152,
0.560120000,0.005895000,10.0.0.1,1448,19022,132,65152,
0.560167000,0.000047000,10.0.0.1,1448,20470,132,65152,
0.566726000,0.006559000,10.0.0.1,1448,21918,132,65152,
0.566765000,0.000039000,10.0.0.1,1448,23366,132,65152,
0.577079000,0.010314000,10.0.0.1,1448,24814,132,65152,
0.577172000,0.000093000,10.0.0.1,1448,26262,132,65152,
0.577180000,0.000008000,10.0.0.1,1448,27710,132,65152,
