frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.analysis.ack_rtt
0.000000000,0.000000000,10.0.0.2,0,0,0,
0.107187000,0.107187000,10.0.0.1,0,0,1,0.107187000
0.229480000,0.013954000,10.0.0.2,0,1,1,0.122293000
0.229570000,0.000090000,10.0.0.2,131,1,1,
0.332277000,0.003625000,10.0.0.1,0,1,132,0.102707000
0.341845000,0.009568000,10.0.0.1,197,1,132,
0.344159000,0.002314000,10.0.0.1,1448,198,132,
0.344176000,0.000017000,10.0.0.1,1448,1646,132,
0.344180000,0.000004000,10.0.0.1,1448,3094,132,
0.344185000,0.000005000,10.0.0.1,1448,4542,132,
0.344189000,0.000004000,10.0.0.1,1448,5990,132,
0.344192000,0.000003000,10.0.0.1,1448,7438,132,
0.344197000,0.000005000,10.0.0.1,1448,8886,132,
0.344200000,0.000003000,10.0.0.1,1448,10334,132,
0.344203000,0.000003000,10.0.0.1,1448,11782,132,
0.452319000,0.108116000,10.0.0.2,0,132,198,0.110474000
0.452372000,0.000053000,10.0.0.2,0,132,1646,0.108213000
0.464081000,0.011709000,10.0.0.2,0,132,3094,0.119905000
0.470070000,0.005989000,10.0.0.2,0,132,4542,0.125890000
0.470154000,0.000084000,10.0.0.2,0,132,5990,0.125969000
0.482084000,0.010818000,10.0.0.2,0,132,7438,0.137895000
0.482142000,0.000058000,10.0.0.2,0,132,8886,0.137950000
0.488414000,0.006272000,10.0.0.2,0,132,10334,0.144217000
0.493654000,0.005240000,10.0.0.2,0,132,11782,0.149454000
0.506542000,0.012888000,10.0.0.2,0,132,13230,0.162339000
0.554159000,0.047617000,10.0.0.1,1448,13230,132,
0.554236000,0.000077000,10.0.0.1,1448,14678,132,
0.554241000,0.000005000,10.0.0.1,1448,16126,132,
0.554246000,0.000005000,10.0.0.1,1448,17574,132,
0.565061000,0.010815000,10.0.0.1,1448,19022,132,
0.565136000,0.000075000,10.0.0.1,1448,20470,132,
0.571605000,0.006469000,10.0.0.1,1448,21918,132,
0.571649000,0.000044000,10.0.0.1,1448,23366,132,
0.571653000,0.000004000,10.0.0.1,1448,24814,132,
0.571657000,0.000004000,10.0.0.1,1448,26262,132,
0.583390000,0.011733000,10.0.0.1,1448,27710,132,
0.583472000,0.000082000,10.0.0.1,1448,29158,132,
0.583478000,0.000006000,10.0.0.1,1448,30606,132,
0.583482000,0.000004000,10.0.0.1,1448,32054,132,
0.590070000,0.006588000,10.0.0.1,1448,33502,132,
0.590144000,0.000074000,10.0.0.1,1448,34950,132,
0.594535000,0.004391000,10.0.0.1,1448,36398,132,
0.594594000,0.000059000,10.0.0.1,1448,37846,132,
0.607717000,0.013123000,10.0.0.1,1448,39294,132,
0.607782000,0.000065000,10.0.0.1,1448,40742,132,
0.663386000,0.004961000,10.0.0.2,0,132,14678,0.109227000
0.668796000,0.005410000,10.0.0.2,0,132,16126,0.114560000
0.675068000,0.006272000,10.0.0.2,0,132,17574,0.120827000
0.681347000,0.006279000,10.0.0.2,0,132,19022,0.127101000
0.692793000,0.011446000,10.0.0.2,0,132,20470,0.127732000
0.705688000,0.012895000,10.0.0.2,0,132,21918,0.140552000
0.711383000,0.005695000,10.0.0.2,0,132,23366,0.139778000
0.711398000,0.000015000,10.0.0.2,0,132,24814,0.139749000
0.717115000,0.005717000,10.0.0.2,0,132,26262,0.145462000
0.723277000,0.000635000,10.0.0.2,0,132,27710,0.151620000
0.734867000,0.011590000,10.0.0.2,0,132,29158,0.151477000
0.734910000,0.000043000,10.0.0.2,0,132,30606,0.151438000
0.747529000,0.012619000,10.0.0.2,0,132,33502,0.164047000
0.759181000,0.011652000,10.0.0.2,0,132,36398,0.169037000
0.764113000,0.004932000,10.0.0.1,1448,42190,132,
0.764134000,0.000021000,10.0.0.1,1448,43638,132,
0.769902000,0.005768000,10.0.0.1,1448,45086,132,
0.769965000,0.000063000,10.0.0.1,1448,46534,132,
0.771110000,0.001145000,10.0.0.2,0,132,39294,0.176516000
0.774759000,0.003649000,10.0.0.1,1448,47982,132,
0.774808000,0.000049000,10.0.0.1,1448,49430,132,
0.782321000,0.007513000,10.0.0.1,1448,50878,132,
0.782390000,0.000069000,10.0.0.1,1448,52326,132,
0.788668000,0.006278000,10.0.0.2,0,132,42190,0.180886000
0.794038000,0.005370000,10.0.0.1,1448,53774,132,
0.794116000,0.000078000,10.0.0.1,1448,55222,132,
0.806890000,0.012774000,10.0.0.1,1448,56670,132,
0.806995000,0.000105000,10.0.0.1,1448,58118,132,
0.812221000,0.005226000,10.0.0.1,1448,59566,132,
0.812293000,0.000072000,10.0.0.1,1448,61014,132,
0.812299000,0.000006000,10.0.0.1,1448,62462,132,
0.812304000,0.000005000,10.0.0.1,1448,63910,132,
0.817652000,0.005348000,10.0.0.1,1448,65358,132,
0.817746000,0.000094000,10.0.0.1,1448,66806,132,
0.824715000,0.006969000,10.0.0.1,1448,68254,132,
0.824778000,0.000063000,10.0.0.1,1448,69702,132,
0.836309000,0.011531000,10.0.0.1,1448,71150,132,
0.836368000,0.000059000,10.0.0.1,1448,72598,132,
0.836374000,0.000006000,10.0.0.1,1448,74046,132,
0.836380000,0.000006000,10.0.0.1,1448,75494,132,
0.848823000,0.012443000,10.0.0.1,1448,76942,132,
0.849131000,0.000308000,10.0.0.1,1448,78390,132,
0.849140000,0.000009000,10.0.0.1,1448,79838,132,
0.849144000,0.000004000,10.0.0.1,1448,81286,132,
0.860629000,0.011485000,10.0.0.1,1448,82734,132,
0.860676000,0.000047000,10.0.0.1,1448,84182,132,
0.860682000,0.000006000,10.0.0.1,1448,85630,132,
0.860686000,0.000004000,10.0.0.1,1448,87078,132,
0.872178000,0.011492000,10.0.0.1,1448,88526,132,
0.872223000,0.000045000,10.0.0.1,1448,89974,132,
0.872228000,0.000005000,10.0.0.1,1448,91422,132,
0.872232000,0.000004000,10.0.0.1,1448,92870,132,
0.886003000,0.013771000,10.0.0.2,0,132,45086,0.121869000
0.890888000,0.004885000,10.0.0.1,1448,94318,132,
0.890928000,0.000040000,10.0.0.1,1448,95766,132,
0.890933000,0.000005000,10.0.0.1,1448,97214,132,
0.890937000,0.000004000,10.0.0.1,1448,98662,132,
0.892022000,0.001085000,10.0.0.2,0,132,47982,0.122057000
0.904275000,0.012253000,10.0.0.2,0,132,50878,0.129467000
0.909967000,0.005692000,10.0.0.2,0,132,52326,0.127646000
0.916368000,0.006401000,10.0.0.2,0,132,53774,0.133978000
0.922473000,0.006105000,10.0.0.2,0,132,55222,0.128435000
0.928015000,0.005542000,10.0.0.2,0,132,56670,0.133899000
0.934420000,0.006405000,10.0.0.2,0,132,58118,0.127530000
0.939564000,0.005144000,10.0.0.2,0,132,59566,0.132569000
0.946054000,0.006490000,10.0.0.2,0,132,61014,0.133833000
0.957909000,0.011855000,10.0.0.2,0,132,62462,0.145616000
0.957940000,0.000031000,10.0.0.2,0,132,63910,0.145641000
0.963976000,0.006036000,10.0.0.2,0,132,65358,0.151672000
0.970500000,0.006524000,10.0.0.2,0,132,66806,0.152848000
0.981910000,0.011410000,10.0.0.2,0,132,68254,0.164164000
0.981955000,0.000045000,10.0.0.2,0,132,69702,0.157240000
0.985663000,0.003708000,10.0.0.1,1448,100110,132,
0.985738000,0.000075000,10.0.0.1,1448,101558,132,
0.985744000,0.000006000,10.0.0.1,1448,103006,132,
0.985749000,0.000005000,10.0.0.1,1448,104454,132,
0.992396000,0.006647000,10.0.0.1,1448,105902,132,
0.992473000,0.000077000,10.0.0.1,1448,107350,132,
0.992482000,0.000009000,10.0.0.1,1448,108798,132,
0.992487000,0.000005000,10.0.0.1,1448,110246,132,
0.993745000,0.001258000,10.0.0.2,0,132,71150,0.168967000
0.999980000,0.006235000,10.0.0.2,0,132,72598,0.163671000
1.000026000,0.000046000,10.0.0.2,0,132,74046,0.163658000
1.005745000,0.005719000,10.0.0.1,1448,111694,132,
1.005821000,0.000076000,10.0.0.1,1448,113142,132,
1.005827000,0.000006000,10.0.0.1,1448,114590,132,
1.005833000,0.000006000,10.0.0.1,1448,116038,132,
1.006283000,0.000450000,10.0.0.2,0,132,75494,0.169909000
1.011042000,0.004759000,10.0.0.1,1448,117486,132,
1.011103000,0.000061000,10.0.0.1,1448,118934,132,
1.018427000,0.007324000,10.0.0.2,0,132,76942,0.182047000
1.018474000,0.000047000,10.0.0.2,0,132,78390,0.169651000
1.018541000,0.000067000,10.0.0.1,1448,120382,132,
1.023177000,0.004636000,10.0.0.1,1448,121830,132,
1.023261000,0.000084000,10.0.0.1,1448,123278,132,
1.023680000,0.000419000,10.0.0.2,0,132,79838,0.174549000
1.029621000,0.005941000,10.0.0.1,1448,124726,132,
1.029643000,0.000022000,10.0.0.1,1448,126174,132,
1.030790000,0.001147000,10.0.0.1,1448,127622,132,
1.035676000,0.004886000,10.0.0.1,1448,129070,132,
1.035740000,0.000064000,10.0.0.1,1448,130518,132,
1.035767000,0.000027000,10.0.0.2,0,132,81286,0.186627000
1.035819000,0.000052000,10.0.0.2,0,132,82734,0.186675000
1.040105000,0.004286000,10.0.0.1,1448,131966,132,
1.040135000,0.000030000,10.0.0.1,1448,133414,132,
1.045654000,0.005519000,10.0.0.1,1448,134862,132,
1.046890000,0.001236000,10.0.0.1,1448,136310,132,
1.048008000,0.001118000,10.0.0.2,0,132,84182,0.187379000
1.054362000,0.006354000,10.0.0.2,0,132,85630,0.193686000
1.054425000,0.000063000,10.0.0.2,0,132,87078,0.193743000
1.058270000,0.003845000,10.0.0.1,1448,137758,132,
1.058328000,0.000058000,10.0.0.1,1448,139206,132,
1.058334000,0.000006000,10.0.0.1,1448,140654,132,
1.058339000,0.000005000,10.0.0.1,1448,142102,132,
1.063668000,0.005329000,10.0.0.1,1448,143550,132,
1.063723000,0.000055000,10.0.0.1,1448,144998,132,
