frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.window_size,tcp.analysis.ack_rtt
0.071326000,0.059845000,10.0.0.2,0,0,0,64240,
0.276961000,0.021714000,10.0.0.1,0,0,1,65160,0.205635000
0.498981000,0.069085000,10.0.0.2,0,1,1,64256,0.222020000
0.499035000,0.000054000,10.0.0.2,131,1,1,64256,
0.711046000,0.212011000,10.0.0.1,0,1,132,65152,0.212011000
0.719466000,0.008420000,10.0.0.1,197,1,132,65152,
0.720794000,0.001328000,10.0.0.1,1448,198,132,65152,
0.720871000,0.000077000,10.0.0.1,1448,1646,132,65152,
0.720877000,0.000006000,10.0.0.1,1448,3094,132,65152,
0.720882000,0.000005000,10.0.0.1,1448,4542,132,65152,
0.720887000,0.000005000,10.0.0.1,1448,5990,132,65152,
0.720891000,0.000004000,10.0.0.1,1448,7438,132,65152,
0.720895000,0.000004000,10.0.0.1,1448,8886,132,65152,
0.721088000,0.000193000,10.0.0.1,1448,10334,132,65152,
0.721127000,0.000039000,10.0.0.1,1448,11782,132,65152,
0.933335000,0.212208000,10.0.0.2,0,132,198,64128,0.213869000
0.933398000,0.000063000,10.0.0.2,0,132,1646,67072,0.212604000
0.938786000,0.005388000,10.0.0.2,0,132,3094,70016,0.217915000
0.945430000,0.006644000,10.0.0.2,0,132,4542,72832,0.224553000
0.951058000,0.005628000,10.0.0.2,0,132,5990,75776,0.230176000
0.956689000,0.005631000,10.0.0.2,0,132,7438,78720,0.235802000
0.963399000,0.006710000,10.0.0.2,0,132,8886,80512,0.242508000
0.969114000,0.005715000,10.0.0.2,0,132,10334,80512,0.248219000
0.974960000,0.005846000,10.0.0.2,0,132,11782,80512,0.253872000
0.980845000,0.005885000,10.0.0.2,0,132,13230,80512,0.259718000
1.142429000,0.051983000,10.0.0.1,1448,13230,132,65152,
1.142600000,0.000171000,10.0.0.1,1448,14678,132,65152,
1.142663000,0.000063000,10.0.0.1,1448,16126,132,65152,
1.142744000,0.000081000,10.0.0.1,1448,17574,132,65152,
1.142752000,0.000008000,10.0.0.1,1448,19022,132,65152,
1.142758000,0.000006000,10.0.0.1,1448,20470,132,65152,
1.147634000,0.004876000,10.0.0.1,1448,21918,132,65152,
1.147731000,0.000097000,10.0.0.1,1448,23366,132,65152,
1.151590000,0.003859000,10.0.0.1,1448,24814,132,65152,
1.151724000,0.000134000,10.0.0.1,1448,26262,132,65152,
1.158197000,0.006473000,10.0.0.1,1448,27710,132,65152,
1.158301000,0.000104000,10.0.0.1,1448,29158,132,65152,
1.164891000,0.006590000,10.0.0.1,1448,30606,132,65152,
1.164982000,0.000091000,10.0.0.1,1448,32054,132,65152,
1.172716000,0.007734000,10.0.0.1,1448,33502,132,65152,
1.172871000,0.000155000,10.0.0.1,1448,34950,132,65152,
1.176234000,0.003363000,10.0.0.1,1448,36398,132,65152,
1.176303000,0.000069000,10.0.0.1,1448,37846,132,65152,
1.181644000,0.005341000,10.0.0.1,1448,39294,132,65152,
1.181685000,0.000041000,10.0.0.1,1448,40742,132,65152,
1.355537000,0.173852000,10.0.0.2,0,132,14678,80512,0.213108000
1.355576000,0.000039000,10.0.0.2,0,132,16126,80512,0.212976000
1.361120000,0.005544000,10.0.0.2,0,132,17574,80512,0.218457000
1.367493000,0.006373000,10.0.0.2,0,132,19022,80512,0.224749000
1.373145000,0.005652000,10.0.0.2,0,132,20470,80512,0.230393000
1.378677000,0.005532000,10.0.0.2,0,132,21918,80512,0.235919000
1.385467000,0.006790000,10.0.0.2,0,132,23366,80512,0.237833000
1.391194000,0.005727000,10.0.0.2,0,132,24814,80512,0.243463000
1.396720000,0.005526000,10.0.0.2,0,132,26262,80512,0.245130000
1.403358000,0.006638000,10.0.0.2,0,132,27710,80512,0.251634000
1.408980000,0.005622000,10.0.0.2,0,132,29158,80512,0.250783000
1.414630000,0.005650000,10.0.0.2,0,132,30606,80512,0.256329000
1.426997000,0.012367000,10.0.0.2,0,132,33502,80512,0.262015000
