frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.analysis.ack_rtt
0.130984000,0.115053000,10.0.0.2,0,0,0,
0.332611000,0.005170000,10.0.0.1,0,0,1,0.201627000
0.541281000,0.205200000,10.0.0.2,0,1,1,0.208670000
0.541356000,0.000075000,10.0.0.2,131,1,1,
0.744160000,0.170904000,10.0.0.1,0,1,132,0.202804000
0.758669000,0.014509000,10.0.0.1,197,1,132,
0.760038000,0.001369000,10.0.0.1,1448,198,132,
0.760114000,0.000076000,10.0.0.1,1448,1646,132,
0.760122000,0.000008000,10.0.0.1,1448,3094,132,
0.760127000,0.000005000,10.0.0.1,1448,4542,132,
0.760134000,0.000007000,10.0.0.1,1448,5990,132,
0.760140000,0.000006000,10.0.0.1,1448,7438,132,
0.760146000,0.000006000,10.0.0.1,1448,8886,132,
0.760151000,0.000005000,10.0.0.1,1448,10334,132,
0.760158000,0.000007000,10.0.0.1,1448,11782,132,
0.968850000,0.104294000,10.0.0.2,0,132,198,0.210181000
0.974788000,0.005938000,10.0.0.2,0,132,1646,0.214750000
0.980975000,0.006187000,10.0.0.2,0,132,3094,0.220861000
0.987217000,0.006242000,10.0.0.2,0,132,4542,0.227095000
0.993595000,0.006378000,10.0.0.2,0,132,5990,0.233468000
0.999643000,0.006048000,10.0.0.2,0,132,7438,0.239509000
1.004904000,0.005261000,10.0.0.2,0,132,8886,0.244764000
1.011413000,0.006509000,10.0.0.2,0,132,10334,0.251267000
1.017645000,0.006232000,10.0.0.2,0,132,11782,0.257494000
1.023035000,0.005390000,10.0.0.2,0,132,13230,0.262877000
1.170199000,0.014307000,10.0.0.1,1448,13230,132,
1.170306000,0.000107000,10.0.0.1,1448,14678,132,
1.176603000,0.006297000,10.0.0.1,1448,16126,132,
1.176704000,0.000101000,10.0.0.1,1448,17574,132,
1.180915000,0.004211000,10.0.0.1,1448,19022,132,
1.180967000,0.000052000,10.0.0.1,1448,20470,132,
1.188117000,0.007150000,10.0.0.1,1448,21918,132,
