frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.window_size,tcp.analysis.ack_rtt
0.078455000,0.059273000,10.0.0.2,0,0,0,64240,
0.180628000,0.010394000,10.0.0.1,0,0,1,65160,0.102173000
0.294989000,0.036156000,10.0.0.2,0,1,1,64256,0.114361000
0.295062000,0.000073000,10.0.0.2,131,1,1,64256,
0.396077000,0.101015000,10.0.0.1,0,1,132,65152,0.101015000
0.408390000,0.012313000,10.0.0.1,197,1,132,65152,
0.412030000,0.003640000,10.0.0.1,1448,198,132,65152,
0.412262000,0.000232000,10.0.0.1,1448,1646,132,65152,
0.412318000,0.000056000,10.0.0.1,1448,3094,132,65152,
0.412328000,0.000010000,10.0.0.1,1448,4542,132,65152,
0.412404000,0.000076000,10.0.0.1,1448,5990,132,65152,
0.412542000,0.000138000,10.0.0.1,1448,7438,132,65152,
0.412594000,0.000052000,10.0.0.1,1448,8886,132,65152,
0.412668000,0.000074000,10.0.0.1,1448,10334,132,65152,
0.412820000,0.000152000,10.0.0.1,1448,11782,132,65152,
0.512193000,0.099373000,10.0.0.2,0,132,198,64128,0.103803000
0.518100000,0.005907000,10.0.0.2,0,132,1646,67072,0.106070000
0.524374000,0.006274000,10.0.0.2,0,132,3094,70016,0.112112000
0.530644000,0.006270000,10.0.0.2,0,132,4542,72832,0.118326000
0.542553000,0.011909000,10.0.0.2,0,132,5990,75776,0.130225000
0.542618000,0.000065000,10.0.0.2,0,132,7438,78720,0.130214000
0.554104000,0.011486000,10.0.0.2,0,132,8886,80512,0.141562000
0.560628000,0.006524000,10.0.0.2,0,132,10334,80512,0.148034000
0.560679000,0.000051000,10.0.0.2,0,132,11782,80512,0.148011000
0.565859000,0.005180000,10.0.0.2,0,132,13230,80512,0.153039000
0.612643000,0.046784000,10.0.0.1,1448,13230,132,65152,
0.612695000,0.000052000,10.0.0.1,1448,14678,132,65152,
0.617837000,0.005142000,10.0.0.1,1448,16126,132,65152,
0.617870000,0.000033000,10.0.0.1,1448,17574,132,65152,
0.626038000,0.008168000,10.0.0.1,1448,19022,132,65152,
0.626258000,0.000220000,10.0.0.1,1448,20470,132,65152,
0.631393000,0.005135000,10.0.0.1,1448,21918,132,65152,
0.631436000,0.000043000,10.0.0.1,1448,23366,132,65152,
0.643683000,0.012247000,10.0.0.1,1448,24814,132,65152,
0.643768000,0.000085000,10.0.0.1,1448,26262,132,65152,
0.643776000,0.000008000,10.0.0.1,1448,27710,132,65152,
0.643780000,0.000004000,10.0.0.1,1448,29158,132,65152,
0.654967000,0.011187000,10.0.0.1,1448,30606,132,65152,
0.655028000,0.000061000,10.0.0.1,1448,32054,132,65152,
0.661192000,0.006164000,10.0.0.1,1448,33502,132,65152,
0.661238000,0.000046000,10.0.0.1,1448,34950,132,65152,
0.661244000,0.000006000,10.0.0.1,1448,36398,132,65152,
0.661248000,0.000004000,10.0.0.1,1448,37846,132,65152,
0.667575000,0.006327000,10.0.0.1,1448,39294,132,65152,
0.667666000,0.000091000,10.0.0.1,1448,40742,132,65152,
0.716807000,0.049141000,10.0.0.2,0,132,14678,80512,0.104164000
0.723310000,0.006503000,10.0.0.2,0,132,16126,80512,0.110615000
0.729087000,0.005777000,10.0.0.2,0,132,17574,80512,0.111250000
0.735317000,0.006230000,10.0.0.2,0,132,19022,80512,0.117447000
0.741954000,0.006637000,10.0.0.2,0,132,20470,80512,0.115916000
0.747031000,0.005077000,10.0.0.2,0,132,21918,80512,0.120773000
0.753264000,0.006233000,10.0.0.2,0,132,23366,80512,0.121871000
0.759501000,0.006237000,10.0.0.2,0,132,24814,80512,0.128065000
0.765694000,0.006193000,10.0.0.2,0,132,26262,80512,0.122011000
0.770927000,0.005233000,10.0.0.2,0,132,27710,80512,0.127159000
0.777250000,0.006323000,10.0.0.2,0,132,29158,80512,0.133474000
0.783402000,0.006152000,10.0.0.2,0,132,30606,80512,0.139622000
0.795715000,0.012313000,10.0.0.2,0,132,33502,80512,0.140687000
0.812798000,0.017083000,10.0.0.2,0,132,36398,80512,0.151560000
0.817557000,0.004759000,10.0.0.1,1448,42190,132,65152,
0.817691000,0.000134000,10.0.0.1,1448,43638,132,65152,
0.819419000,0.001728000,10.0.0.2,0,132,39294,80512,0.158171000
0.823077000,0.003658000,10.0.0.1,1448,45086,132,65152,
0.823128000,0.000051000,10.0.0.1,1448,46534,132,65152,
0.830615000,0.007487000,10.0.0.1,1448,47982,132,65152,
0.830718000,0.000103000,10.0.0.1,1448,49430,132,65152,
0.836000000,0.005282000,10.0.0.1,1448,50878,132,65152,
0.836058000,0.000058000,10.0.0.1,1448,52326,132,65152,
0.837623000,0.001565000,10.0.0.2,0,132,42190,80512,0.169957000
0.842190000,0.004567000,10.0.0.1,1448,53774,132,65152,
0.842254000,0.000064000,10.0.0.1,1448,55222,132,65152,
0.847563000,0.005309000,10.0.0.1,1448,56670,132,65152,
0.847636000,0.000073000,10.0.0.1,1448,58118,132,65152,
0.852855000,0.005219000,10.0.0.1,1448,59566,132,65152,
0.852903000,0.000048000,10.0.0.1,1448,61014,132,65152,
0.860259000,0.007356000,10.0.0.1,1448,62462,132,65152,
0.860296000,0.000037000,10.0.0.1,1448,63910,132,65152,
0.866675000,0.006379000,10.0.0.1,1448,65358,132,65152,
0.866726000,0.000051000,10.0.0.1,1448,66806,132,65152,
0.872086000,0.005360000,10.0.0.1,1448,68254,132,65152,
0.872150000,0.000064000,10.0.0.1,1448,69702,132,65152,
0.877317000,0.005167000,10.0.0.1,1448,71150,132,65152,
0.877375000,0.000058000,10.0.0.1,1448,72598,132,65152,
0.884516000,0.007141000,10.0.0.1,1448,74046,132,65152,
0.884568000,0.000052000,10.0.0.1,1448,75494,132,65152,
0.896309000,0.011741000,10.0.0.1,1448,76942,132,65152,
0.896350000,0.000041000,10.0.0.1,1448,78390,132,65152,
0.896355000,0.000005000,10.0.0.1,1448,79838,132,65152,
0.896359000,0.000004000,10.0.0.1,1448,81286,132,65152,
