frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.analysis.ack_rtt
0.000000000,0.000000000,10.0.0.2,0,0,0,
0.105137000,0.105137000,10.0.0.1,0,0,1,0.105137000
0.222473000,0.117336000,10.0.0.2,0,1,1,0.117336000
0.222530000,0.000057000,10.0.0.2,131,1,1,
0.324371000,0.072830000,10.0.0.1,0,1,132,0.101841000
0.336922000,0.012551000,10.0.0.1,197,1,132,
0.339408000,0.002486000,10.0.0.1,1448,198,132,
0.339530000,0.000122000,10.0.0.1,1448,1646,132,
0.339541000,0.000011000,10.0.0.1,1448,3094,132,
0.339548000,0.000007000,10.0.0.1,1448,4542,132,
0.339555000,0.000007000,10.0.0.1,1448,5990,132,
0.339563000,0.000008000,10.0.0.1,1448,7438,132,
0.339570000,0.000007000,10.0.0.1,1448,8886,132,
0.339578000,0.000008000,10.0.0.1,1448,10334,132,
0.339585000,0.000007000,10.0.0.1,1448,11782,132,
0.451322000,0.094488000,10.0.0.2,0,132,198,0.114400000
0.451362000,0.000040000,10.0.0.2,0,132,1646,0.111954000
0.457494000,0.006132000,10.0.0.2,0,132,3094,0.117964000
0.468897000,0.011403000,10.0.0.2,0,132,4542,0.129356000
0.474957000,0.006060000,10.0.0.2,0,132,5990,0.135409000
0.481347000,0.006390000,10.0.0.2,0,132,7438,0.141792000
0.481398000,0.000051000,10.0.0.2,0,132,8886,0.141835000
0.487526000,0.006128000,10.0.0.2,0,132,10334,0.147956000
0.492757000,0.005231000,10.0.0.2,0,132,11782,0.153179000
0.505056000,0.012299000,10.0.0.2,0,132,13230,0.165471000
0.551863000,0.046807000,10.0.0.1,1448,13230,132,
0.552008000,0.000145000,10.0.0.1,1448,14678,132,
0.552018000,0.000010000,10.0.0.1,1448,16126,132,
0.552025000,0.000007000,10.0.0.1,1448,17574,132,
0.559018000,0.006993000,10.0.0.1,1448,19022,132,
0.559070000,0.000052000,10.0.0.1,1448,20470,132,
0.570241000,0.011171000,10.0.0.1,1448,21918,132,
0.570306000,0.000065000,10.0.0.1,1448,23366,132,
0.575718000,0.005412000,10.0.0.1,1448,24814,132,
0.575798000,0.000080000,10.0.0.1,1448,26262,132,
0.581964000,0.006166000,10.0.0.1,1448,27710,132,
0.582020000,0.000056000,10.0.0.1,1448,29158,132,
0.582026000,0.000006000,10.0.0.1,1448,30606,132,
0.582030000,0.000004000,10.0.0.1,1448,32054,132,
0.588240000,0.006210000,10.0.0.1,1448,33502,132,
0.588305000,0.000065000,10.0.0.1,1448,34950,132,
0.593529000,0.005224000,10.0.0.1,1448,36398,132,
0.593624000,0.000095000,10.0.0.1,1448,37846,132,
0.605788000,0.012164000,10.0.0.1,1448,39294,132,
0.605852000,0.000064000,10.0.0.1,1448,40742,132,
0.656610000,0.023732000,10.0.0.2,0,132,14678,0.104747000
0.661974000,0.005364000,10.0.0.2,0,132,16126,0.109966000
0.668243000,0.006269000,10.0.0.2,0,132,17574,0.116225000
0.674237000,0.005994000,10.0.0.2,0,132,19022,0.122212000
0.680064000,0.005827000,10.0.0.2,0,132,20470,0.121046000
0.686324000,0.006260000,10.0.0.2,0,132,21918,0.127254000
0.698678000,0.012354000,10.0.0.2,0,132,23366,0.128437000
0.704575000,0.005897000,10.0.0.2,0,132,24814,0.134269000
0.710781000,0.006206000,10.0.0.2,0,132,26262,0.135063000
0.721959000,0.011178000,10.0.0.2,0,132,27710,0.146161000
0.728540000,0.006581000,10.0.0.2,0,132,29158,0.146576000
0.728600000,0.000060000,10.0.0.2,0,132,30606,0.146580000
0.740630000,0.012030000,10.0.0.2,0,132,33502,0.158600000
0.757624000,0.016994000,10.0.0.1,1448,42190,132,
0.757725000,0.000101000,10.0.0.1,1448,43638,132,
0.758148000,0.000423000,10.0.0.2,0,132,36398,0.169843000
0.761622000,0.003474000,10.0.0.1,1448,45086,132,
0.761705000,0.000083000,10.0.0.1,1448,46534,132,
0.763975000,0.002270000,10.0.0.2,0,132,39294,0.170351000
0.767907000,0.003932000,10.0.0.1,1448,47982,132,
0.767978000,0.000071000,10.0.0.1,1448,49430,132,
0.773951000,0.005973000,10.0.0.1,1448,50878,132,
0.774008000,0.000057000,10.0.0.1,1448,52326,132,
0.776560000,0.002552000,10.0.0.2,0,132,42190,0.170708000
0.780452000,0.003892000,10.0.0.1,1448,53774,132,
0.780541000,0.000089000,10.0.0.1,1448,55222,132,
0.785727000,0.005186000,10.0.0.1,1448,56670,132,
0.785840000,0.000113000,10.0.0.1,1448,58118,132,
0.799115000,0.013275000,10.0.0.1,1448,59566,132,
0.799186000,0.000071000,10.0.0.1,1448,61014,132,
0.805330000,0.006144000,10.0.0.1,1448,62462,132,
0.805397000,0.000067000,10.0.0.1,1448,63910,132,
0.812401000,0.007004000,10.0.0.1,1448,65358,132,
0.812617000,0.000216000,10.0.0.1,1448,66806,132,
0.823577000,0.010960000,10.0.0.1,1448,68254,132,
0.823672000,0.000095000,10.0.0.1,1448,69702,132,
0.829010000,0.005338000,10.0.0.1,1448,71150,132,
0.829084000,0.000074000,10.0.0.1,1448,72598,132,
0.829091000,0.000007000,10.0.0.1,1448,74046,132,
0.829096000,0.000005000,10.0.0.1,1448,75494,132,
0.842279000,0.013183000,10.0.0.1,1448,76942,132,
0.842346000,0.000067000,10.0.0.1,1448,78390,132,
0.842353000,0.000007000,10.0.0.1,1448,79838,132,
0.842358000,0.000005000,10.0.0.1,1448,81286,132,
0.858640000,0.015181000,10.0.0.1,1448,82734,132,
0.858699000,0.000059000,10.0.0.1,1448,84182,132,
0.858705000,0.000006000,10.0.0.1,1448,85630,132,
0.858709000,0.000004000,10.0.0.1,1448,87078,132,
0.863897000,0.005188000,10.0.0.1,1448,88526,132,
0.863963000,0.000066000,10.0.0.1,1448,89974,132,
0.863970000,0.000007000,10.0.0.1,1448,91422,132,
0.863974000,0.000004000,10.0.0.1,1448,92870,132,
0.873060000,0.009086000,10.0.0.2,0,132,45086,0.115335000
0.878177000,0.005117000,10.0.0.1,1448,94318,132,
0.878235000,0.000058000,10.0.0.1,1448,95766,132,
0.878240000,0.000005000,10.0.0.1,1448,97214,132,
0.878266000,0.000026000,10.0.0.1,1448,98662,132,
0.885336000,0.007070000,10.0.0.2,0,132,47982,0.123631000
0.903287000,0.017951000,10.0.0.2,0,132,50878,0.135309000
0.903351000,0.000064000,10.0.0.2,0,132,52326,0.129400000
0.909313000,0.005962000,10.0.0.2,0,132,53774,0.135305000
0.914848000,0.005535000,10.0.0.2,0,132,55222,0.134396000
0.921132000,0.006284000,10.0.0.2,0,132,56670,0.140591000
0.927132000,0.006000000,10.0.0.2,0,132,58118,0.141405000
0.933243000,0.006111000,10.0.0.2,0,132,59566,0.147403000
0.938771000,0.005528000,10.0.0.2,0,132,61014,0.139656000
0.944857000,0.006086000,10.0.0.2,0,132,62462,0.145671000
0.951325000,0.006468000,10.0.0.2,0,132,63910,0.145995000
0.957282000,0.005957000,10.0.0.2,0,132,65358,0.151885000
0.962784000,0.005502000,10.0.0.2,0,132,66806,0.150383000
0.969250000,0.006466000,10.0.0.2,0,132,68254,0.156633000
0.974221000,0.004971000,10.0.0.1,1448,100110,132,
0.974323000,0.000102000,10.0.0.1,1448,101558,132,
0.974331000,0.000008000,10.0.0.1,1448,103006,132,
0.974336000,0.000005000,10.0.0.1,1448,104454,132,
0.975286000,0.000950000,10.0.0.2,0,132,69702,0.151709000
0.986077000,0.010791000,10.0.0.1,1448,105902,132,
0.986146000,0.000069000,10.0.0.1,1448,107350,132,
0.986152000,0.000006000,10.0.0.1,1448,108798,132,
0.986157000,0.000005000,10.0.0.1,1448,110246,132,
0.986714000,0.000557000,10.0.0.2,0,132,71150,0.163042000
0.986744000,0.000030000,10.0.0.2,0,132,72598,0.157734000
0.993311000,0.006567000,10.0.0.2,0,132,74046,0.164227000
1.004260000,0.010949000,10.0.0.1,1448,111694,132,
1.004339000,0.000079000,10.0.0.1,1448,113142,132,
1.004346000,0.000007000,10.0.0.1,1448,114590,132,
1.004350000,0.000004000,10.0.0.1,1448,116038,132,
1.004354000,0.000004000,10.0.0.1,1448,117486,132,
1.004358000,0.000004000,10.0.0.1,1448,118934,132,
1.005720000,0.001362000,10.0.0.2,0,132,75494,0.176629000
1.005830000,0.000110000,10.0.0.2,0,132,76942,0.176734000
1.010392000,0.004562000,10.0.0.1,1448,120382,132,
1.011527000,0.001135000,10.0.0.2,0,132,78390,0.169248000
1.015322000,0.003795000,10.0.0.1,1448,121830,132,
1.015403000,0.000081000,10.0.0.1,1448,123278,132,
1.022508000,0.007105000,10.0.0.1,1448,124726,132,
1.022541000,0.000033000,10.0.0.1,1448,126174,132,
1.023592000,0.001051000,10.0.0.2,0,132,79838,0.181246000
1.023617000,0.000025000,10.0.0.2,0,132,81286,0.181264000
1.023845000,0.000228000,10.0.0.1,1448,127622,132,
1.028004000,0.004159000,10.0.0.1,1448,129070,132,
1.028048000,0.000044000,10.0.0.1,1448,130518,132,
1.033332000,0.005284000,10.0.0.1,1448,131966,132,
1.033475000,0.000143000,10.0.0.1,1448,133414,132,
1.034877000,0.001402000,10.0.0.2,0,132,82734,0.192519000
1.034943000,0.000066000,10.0.0.2,0,132,84182,0.176303000
1.038831000,0.003888000,10.0.0.1,1448,134862,132,
1.038894000,0.000063000,10.0.0.1,1448,136310,132,
1.041056000,0.002162000,10.0.0.2,0,132,85630,0.182357000
1.045807000,0.004751000,10.0.0.1,1448,137758,132,
1.046024000,0.000217000,10.0.0.1,1448,139206,132,
1.047254000,0.001230000,10.0.0.2,0,132,87078,0.188549000
1.051261000,0.004007000,10.0.0.1,1448,140654,132,
1.051351000,0.000090000,10.0.0.1,1448,142102,132,
1.057100000,0.005749000,10.0.0.1,1448,143550,132,
1.057194000,0.000094000,10.0.0.1,1448,144998,132,
1.059265000,0.002071000,10.0.0.2,0,132,88526,0.200556000
1.059297000,0.000032000,10.0.0.2,0,132,89974,0.195400000
1.062941000,0.003644000,10.0.0.1,1448,146446,132,
1.063093000,0.000152000,10.0.0.1,1448,147894,132,
1.065695000,0.002602000,10.0.0.2,0,132,91422,0.201732000
1.069455000,0.003760000,10.0.0.1,1448,149342,132,
1.069546000,0.000091000,10.0.0.1,1448,150790,132,
1.071109000,0.001563000,10.0.0.2,0,132,92870,0.207139000
1.074745000,0.003636000,10.0.0.1,1448,152238,132,
1.074801000,0.000056000,10.0.0.1,1448,153686,132,
1.077228000,0.002427000,10.0.0.2,0,132,94318,0.213254000
1.083670000,0.006442000,10.0.0.2,0,132,95766,0.205493000
1.088325000,0.004655000,10.0.0.1,1448,155134,132,
1.088407000,0.000082000,10.0.0.1,1448,156582,132,
1.088416000,0.000009000,10.0.0.1,1448,158030,132,
1.088422000,0.000006000,10.0.0.1,1448,159478,132,
1.094430000,0.006008000,10.0.0.1,1448,160926,132,
1.094512000,0.000082000,10.0.0.1,1448,162374,132,
1.095005000,0.000493000,10.0.0.2,0,132,97214,0.216770000
1.101509000,0.006504000,10.0.0.2,0,132,98662,0.223269000
1.101526000,0.000017000,10.0.0.2,0,132,100110,0.223260000
1.106757000,0.005231000,10.0.0.1,1448,163822,132,
1.106779000,0.000022000,10.0.0.1,1448,165270,132,
1.106782000,0.000003000,10.0.0.1,1448,166718,132,
1.106784000,0.000002000,10.0.0.1,1448,168166,132,
1.108306000,0.001522000,10.0.0.2,0,132,101558,0.134085000
1.112721000,0.004415000,10.0.0.1,1448,169614,132,
1.112839000,0.000118000,10.0.0.1,1448,171062,132,
1.119907000,0.007068000,10.0.0.2,0,132,103006,0.145584000
1.119934000,0.000027000,10.0.0.2,0,132,104454,0.145603000
1.125326000,0.005392000,10.0.0.1,1448,172510,132,
1.125371000,0.000045000,10.0.0.1,1448,173958,132,
1.125376000,0.000005000,10.0.0.1,1448,175406,132,
1.125379000,0.000003000,10.0.0.1,1448,176854,132,
1.125979000,0.000600000,10.0.0.2,0,132,105902,0.151643000
1.132050000,0.006071000,10.0.0.2,0,132,107350,0.145973000
1.135395000,0.003345000,10.0.0.1,1448,178302,132,
1.135418000,0.000023000,10.0.0.1,1448,179750,132,
1.135420000,0.000002000,10.0.0.1,1448,181198,132,
