frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.window_size,tcp.analysis.ack_rtt
0.000000000,0.000000000,10.0.0.2,0,0,0,64240,
0.102999000,0.006287000,10.0.0.1,0,0,1,65160,0.102999000
0.216336000,0.108931000,10.0.0.2,0,1,1,64256,0.113337000
0.216390000,0.000054000,10.0.0.2,131,1,1,64256,
0.318227000,0.101837000,10.0.0.1,0,1,132,65152,0.101837000
0.351911000,0.033684000,10.0.0.1,197,1,132,65152,
0.358641000,0.006730000,10.0.0.1,1448,198,132,65152,
0.358781000,0.000140000,10.0.0.1,1448,1646,132,65152,
0.358793000,0.000012000,10.0.0.1,1448,3094,132,65152,
0.358800000,0.000007000,10.0.0.1,1448,4542,132,65152,
0.358808000,0.000008000,10.0.0.1,1448,5990,132,65152,
0.358814000,0.000006000,10.0.0.1,1448,7438,132,65152,
0.358820000,0.000006000,10.0.0.1,1448,8886,132,65152,
0.358828000,0.000008000,10.0.0.1,1448,10334,132,65152,
0.358834000,0.000006000,10.0.0.1,1448,11782,132,65152,
0.463730000,0.104896000,10.0.0.2,0,132,198,64128,0.111819000
0.469274000,0.005544000,10.0.0.2,0,132,1646,67072,0.110633000
0.475522000,0.006248000,10.0.0.2,0,132,3094,70016,0.116741000
0.481838000,0.006316000,10.0.0.2,0,132,4542,72832,0.123045000
0.487187000,0.005349000,10.0.0.2,0,132,5990,75776,0.128387000
0.493979000,0.006792000,10.0.0.2,0,132,7438,78720,0.135171000
0.494038000,0.000059000,10.0.0.2,0,132,8886,80512,0.135224000
0.505215000,0.011177000,10.0.0.2,0,132,10334,80512,0.146395000
0.511941000,0.006726000,10.0.0.2,0,132,11782,80512,0.153113000
0.511997000,0.000056000,10.0.0.2,0,132,13230,80512,0.153163000
0.565732000,0.053735000,10.0.0.1,1448,13230,132,65152,
0.565793000,0.000061000,10.0.0.1,1448,14678,132,65152,
0.571078000,0.005285000,10.0.0.1,1448,16126,132,65152,
0.571121000,0.000043000,10.0.0.1,1448,17574,132,65152,
0.575463000,0.004342000,10.0.0.1,1448,19022,132,65152,
0.575546000,0.000083000,10.0.0.1,1448,20470,132,65152,
0.583687000,0.008141000,10.0.0.1,1448,21918,132,65152,
0.583737000,0.000050000,10.0.0.1,1448,23366,132,65152,
0.589101000,0.005364000,10.0.0.1,1448,24814,132,65152,
0.589165000,0.000064000,10.0.0.1,1448,26262,132,65152,
0.594586000,0.005421000,10.0.0.1,1448,27710,132,65152,
0.594645000,0.000059000,10.0.0.1,1448,29158,132,65152,
0.594650000,0.000005000,10.0.0.1,1448,30606,132,65152,
0.594653000,0.000003000,10.0.0.1,1448,32054,132,65152,
0.606965000,0.012312000,10.0.0.1,1448,33502,132,65152,
0.607027000,0.000062000,10.0.0.1,1448,34950,132,65152,
0.613228000,0.006201000,10.0.0.1,1448,36398,132,65152,
0.613289000,0.000061000,10.0.0.1,1448,37846,132,65152,
0.613294000,0.000005000,10.0.0.1,1448,39294,132,65152,
0.613297000,0.000003000,10.0.0.1,1448,40742,132,65152,
0.675006000,0.010053000,10.0.0.2,0,132,14678,80512,0.109274000
0.680638000,0.005632000,10.0.0.2,0,132,16126,80512,0.114845000
0.686989000,0.006351000,10.0.0.2,0,132,17574,80512,0.115911000
0.692704000,0.005715000,10.0.0.2,0,132,19022,80512,0.121583000
0.699136000,0.006432000,10.0.0.2,0,132,20470,80512,0.123673000
0.704480000,0.005344000,10.0.0.2,0,132,21918,80512,0.128934000
0.710956000,0.006476000,10.0.0.2,0,132,23366,80512,0.127269000
0.716976000,0.006020000,10.0.0.2,0,132,24814,80512,0.133239000
0.728144000,0.011168000,10.0.0.2,0,132,26262,80512,0.139043000
0.734379000,0.006235000,10.0.0.2,0,132,27710,80512,0.145214000
0.740276000,0.005897000,10.0.0.2,0,132,29158,80512,0.145690000
0.740326000,0.000050000,10.0.0.2,0,132,30606,80512,0.145681000
0.758804000,0.018478000,10.0.0.2,0,132,33502,80512,0.164151000
0.764858000,0.006054000,10.0.0.2,0,132,36398,80512,0.157831000
0.776020000,0.011162000,10.0.0.1,1448,42190,132,65152,
0.776097000,0.000077000,10.0.0.1,1448,43638,132,65152,
0.781223000,0.005126000,10.0.0.1,1448,45086,132,65152,
0.781281000,0.000058000,10.0.0.1,1448,46534,132,65152,
0.782233000,0.000952000,10.0.0.2,0,132,39294,80512,0.168944000
0.788464000,0.006231000,10.0.0.1,1448,47982,132,65152,
0.788532000,0.000068000,10.0.0.1,1448,49430,132,65152,
0.788846000,0.000314000,10.0.0.2,0,132,42190,80512,0.175549000
0.794980000,0.006134000,10.0.0.1,1448,50878,132,65152,
0.795000000,0.000020000,10.0.0.1,1448,52326,132,65152,
0.799285000,0.000016000,10.0.0.1,1448,53774,132,65152,
0.799336000,0.000051000,10.0.0.1,1448,55222,132,65152,
0.805630000,0.006294000,10.0.0.1,1448,56670,132,65152,
0.805692000,0.000062000,10.0.0.1,1448,58118,132,65152,
0.811282000,0.005590000,10.0.0.1,1448,59566,132,65152,
0.811352000,0.000070000,10.0.0.1,1448,61014,132,65152,
0.817741000,0.006389000,10.0.0.1,1448,62462,132,65152,
0.817812000,0.000071000,10.0.0.1,1448,63910,132,65152,
0.830107000,0.012295000,10.0.0.1,1448,65358,132,65152,
0.830177000,0.000070000,10.0.0.1,1448,66806,132,65152,
0.835242000,0.005065000,10.0.0.1,1448,68254,132,65152,
0.835327000,0.000085000,10.0.0.1,1448,69702,132,65152,
0.840261000,0.004934000,10.0.0.1,1448,71150,132,65152,
0.840332000,0.000071000,10.0.0.1,1448,72598,132,65152,
0.840339000,0.000007000,10.0.0.1,1448,74046,132,65152,
0.840344000,0.000005000,10.0.0.1,1448,75494,132,65152,
0.860636000,0.020292000,10.0.0.1,1448,76942,132,65152,
0.860716000,0.000080000,10.0.0.1,1448,78390,132,65152,
0.860780000,0.000064000,10.0.0.1,1448,79838,132,65152,
0.860786000,0.000006000,10.0.0.1,1448,81286,132,65152,
0.866073000,0.005287000,10.0.0.1,1448,82734,132,65152,
0.866138000,0.000065000,10.0.0.1,1448,84182,132,65152,
0.866144000,0.000006000,10.0.0.1,1448,85630,132,65152,
0.866148000,0.000004000,10.0.0.1,1448,87078,132,65152,
0.883465000,0.017317000,10.0.0.1,1448,88526,132,65152,
0.883541000,0.000076000,10.0.0.1,1448,89974,132,65152,
