frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.analysis.ack_rtt
0.000000000,0.000000000,10.0.0.2,0,0,0,
0.105726000,0.105726000,10.0.0.1,0,0,1,0.105726000
0.217146000,0.111420000,10.0.0.2,0,1,1,0.111420000
0.217237000,0.000091000,10.0.0.2,131,1,1,
0.320118000,0.102881000,10.0.0.1,0,1,132,0.102881000
0.329671000,0.009553000,10.0.0.1,197,1,132,
0.331981000,0.002310000,10.0.0.1,1448,198,132,
0.332045000,0.000064000,10.0.0.1,1448,1646,132,
0.332054000,0.000009000,10.0.0.1,1448,3094,132,
0.332061000,0.000007000,10.0.0.1,1448,4542,132,
0.332070000,0.000009000,10.0.0.1,1448,5990,132,
0.332078000,0.000008000,10.0.0.1,1448,7438,132,
0.332085000,0.000007000,10.0.0.1,1448,8886,132,
0.332092000,0.000007000,10.0.0.1,1448,10334,132,
0.332101000,0.000009000,10.0.0.1,1448,11782,132,
0.439978000,0.096345000,10.0.0.2,0,132,198,0.110307000
0.451580000,0.011602000,10.0.0.2,0,132,1646,0.119599000
0.451627000,0.000047000,10.0.0.2,0,132,3094,0.119582000
0.463370000,0.011743000,10.0.0.2,0,132,4542,0.131316000
0.469609000,0.006239000,10.0.0.2,0,132,5990,0.137548000
0.475188000,0.001809000,10.0.0.2,0,132,7438,0.143118000
0.475236000,0.000048000,10.0.0.2,0,132,8886,0.143158000
0.487875000,0.002722000,10.0.0.2,0,132,10334,0.155790000
0.487909000,0.000034000,10.0.0.2,0,132,11782,0.155817000
0.493443000,0.005534000,10.0.0.2,0,132,13230,0.161342000
0.540467000,0.047024000,10.0.0.1,1448,13230,132,
0.540511000,0.000044000,10.0.0.1,1448,14678,132,
0.552857000,0.012346000,10.0.0.1,1448,16126,132,
0.552901000,0.000044000,10.0.0.1,1448,17574,132,
0.552905000,0.000004000,10.0.0.1,1448,19022,132,
0.552907000,0.000002000,10.0.0.1,1448,20470,132,
0.563076000,0.010169000,10.0.0.1,1448,21918,132,
0.563126000,0.000050000,10.0.0.1,1448,23366,132,
0.570316000,0.007190000,10.0.0.1,1448,24814,132,
0.570393000,0.000077000,10.0.0.1,1448,26262,132,
0.575575000,0.005182000,10.0.0.1,1448,27710,132,
0.575613000,0.000038000,10.0.0.1,1448,29158,132,
0.575617000,0.000004000,10.0.0.1,1448,30606,132,
0.575619000,0.000002000,10.0.0.1,1448,32054,132,
0.589001000,0.013382000,10.0.0.1,1448,33502,132,
0.589029000,0.000028000,10.0.0.1,1448,34950,132,
0.589032000,0.000003000,10.0.0.1,1448,36398,132,
0.589034000,0.000002000,10.0.0.1,1448,37846,132,
0.593189000,0.004155000,10.0.0.1,1448,39294,132,
0.593245000,0.000056000,10.0.0.1,1448,40742,132,
0.645038000,0.051793000,10.0.0.2,0,132,14678,0.104571000
0.656452000,0.011414000,10.0.0.2,0,132,16126,0.115941000
0.662930000,0.006478000,10.0.0.2,0,132,17574,0.110073000
0.668248000,0.005318000,10.0.0.2,0,132,19022,0.115347000
0.674646000,0.006398000,10.0.0.2,0,132,20470,0.121741000
0.680699000,0.006053000,10.0.0.2,0,132,21918,0.127792000
0.686906000,0.006207000,10.0.0.2,0,132,23366,0.123830000
0.692449000,0.005543000,10.0.0.2,0,132,24814,0.129323000
0.698745000,0.006296000,10.0.0.2,0,132,26262,0.128429000
0.704081000,0.005336000,10.0.0.2,0,132,27710,0.133688000
0.716612000,0.012531000,10.0.0.2,0,132,29158,0.141037000
0.716652000,0.000040000,10.0.0.2,0,132,30606,0.141039000
0.734240000,0.017588000,10.0.0.2,0,132,33502,0.158621000
0.740347000,0.006107000,10.0.0.2,0,132,36398,0.151318000
0.746970000,0.006623000,10.0.0.1,1448,42190,132,
0.747022000,0.000052000,10.0.0.1,1448,43638,132,
0.752834000,0.005812000,10.0.0.2,0,132,39294,0.163800000
0.756484000,0.003650000,10.0.0.1,1448,45086,132,
0.756546000,0.000062000,10.0.0.1,1448,46534,132,
0.764835000,0.008289000,10.0.0.1,1448,47982,132,
0.764889000,0.000054000,10.0.0.1,1448,49430,132,
0.769907000,0.005018000,10.0.0.1,1448,50878,132,
0.769959000,0.000052000,10.0.0.1,1448,52326,132,
0.770361000,0.000402000,10.0.0.2,0,132,42190,0.177116000
0.774267000,0.003906000,10.0.0.1,1448,53774,132,
0.774290000,0.000023000,10.0.0.1,1448,55222,132,
0.780502000,0.006212000,10.0.0.1,1448,56670,132,
0.780525000,0.000023000,10.0.0.1,1448,58118,132,
0.786989000,0.006464000,10.0.0.1,1448,59566,132,
0.787016000,0.000027000,10.0.0.1,1448,61014,132,
0.792491000,0.005475000,10.0.0.1,1448,62462,132,
0.792510000,0.000019000,10.0.0.1,1448,63910,132,
0.799849000,0.007339000,10.0.0.1,1448,65358,132,
0.799868000,0.000019000,10.0.0.1,1448,66806,132,
0.804712000,0.004844000,10.0.0.1,1448,68254,132,
0.804742000,0.000030000,10.0.0.1,1448,69702,132,
0.817044000,0.012302000,10.0.0.1,1448,71150,132,
0.817078000,0.000034000,10.0.0.1,1448,72598,132,
0.817081000,0.000003000,10.0.0.1,1448,74046,132,
0.817083000,0.000002000,10.0.0.1,1448,75494,132,
0.835522000,0.018439000,10.0.0.1,1448,76942,132,
0.835560000,0.000038000,10.0.0.1,1448,78390,132,
0.835564000,0.000004000,10.0.0.1,1448,79838,132,
0.835566000,0.000002000,10.0.0.1,1448,81286,132,
0.840799000,0.005233000,10.0.0.1,1448,82734,132,
0.840846000,0.000047000,10.0.0.1,1448,84182,132,
0.840850000,0.000004000,10.0.0.1,1448,85630,132,
0.840854000,0.000004000,10.0.0.1,1448,87078,132,
0.853154000,0.012300000,10.0.0.1,1448,88526,132,
0.853195000,0.000041000,10.0.0.1,1448,89974,132,
0.853199000,0.000004000,10.0.0.1,1448,91422,132,
0.853202000,0.000003000,10.0.0.1,1448,92870,132,
0.861160000,0.003408000,10.0.0.2,0,132,45086,0.114138000
0.871388000,0.010228000,10.0.0.1,1448,94318,132,
0.871431000,0.000043000,10.0.0.1,1448,95766,132,
0.871435000,0.000004000,10.0.0.1,1448,97214,132,
0.871438000,0.000003000,10.0.0.1,1448,98662,132,
0.873649000,0.002211000,10.0.0.2,0,132,47982,0.117103000
