frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.window_size,tcp.analysis.ack_rtt
0.000000000,0.000000000,10.0.0.2,0,0,0,64240,
0.136763000,0.082295000,10.0.0.1,0,0,1,65160,0.136763000
0.265429000,0.128666000,10.0.0.2,0,1,1,64256,0.128666000
0.289761000,0.024332000,10.0.0.2,131,1,1,64256,
0.390455000,0.100694000,10.0.0.1,0,1,132,65152,0.100694000
0.401641000,0.011186000,10.0.0.1,197,1,132,65152,
0.406814000,0.005173000,10.0.0.1,1448,198,132,65152,
0.406855000,0.000041000,10.0.0.1,1448,1646,132,65152,
0.406858000,0.000003000,10.0.0.1,1448,3094,132,65152,
0.406860000,0.000002000,10.0.0.1,1448,4542,132,65152,
0.406861000,0.000001000,10.0.0.1,1448,5990,132,65152,
0.406863000,0.000002000,10.0.0.1,1448,7438,132,65152,
0.406866000,0.000003000,10.0.0.1,1448,8886,132,65152,
0.406867000,0.000001000,10.0.0.1,1448,10334,132,65152,
0.406869000,0.000002000,10.0.0.1,1448,11782,132,65152,
0.505714000,0.075685000,10.0.0.2,0,132,198,64128,0.104073000
0.512066000,0.006352000,10.0.0.2,0,132,1646,67072,0.105252000
0.518110000,0.006044000,10.0.0.2,0,132,3094,70016,0.111255000
0.524422000,0.006312000,10.0.0.2,0,132,4542,72832,0.117564000
0.536000000,0.011578000,10.0.0.2,0,132,5990,75776,0.129140000
0.536016000,0.000016000,10.0.0.2,0,132,7438,78720,0.129155000
0.542277000,0.006261000,10.0.0.2,0,132,8886,80512,0.135414000
0.548361000,0.006084000,10.0.0.2,0,132,10334,80512,0.141495000
0.555542000,0.001286000,10.0.0.2,0,132,11782,80512,0.148675000
0.566781000,0.011239000,10.0.0.2,0,132,13230,80512,0.159912000
0.605777000,0.038996000,10.0.0.1,1448,13230,132,65152,
0.605804000,0.000027000,10.0.0.1,1448,14678,132,65152,
0.612019000,0.006215000,10.0.0.1,1448,16126,132,65152,
0.612106000,0.000087000,10.0.0.1,1448,17574,132,65152,
0.617960000,0.005854000,10.0.0.1,1448,19022,132,65152,
0.617977000,0.000017000,10.0.0.1,1448,20470,132,65152,
0.626118000,0.008141000,10.0.0.1,1448,21918,132,65152,
0.626155000,0.000037000,10.0.0.1,1448,23366,132,65152,
0.636255000,0.010100000,10.0.0.1,1448,24814,132,65152,
0.636285000,0.000030000,10.0.0.1,1448,26262,132,65152,
0.636287000,0.000002000,10.0.0.1,1448,27710,132,65152,
0.636289000,0.000002000,10.0.0.1,1448,29158,132,65152,
0.642410000,0.006121000,10.0.0.1,1448,30606,132,65152,
0.642449000,0.000039000,10.0.0.1,1448,32054,132,65152,
0.649612000,0.007163000,10.0.0.1,1448,33502,132,65152,
0.649651000,0.000039000,10.0.0.1,1448,34950,132,65152,
0.655759000,0.006108000,10.0.0.1,1448,36398,132,65152,
0.655783000,0.000024000,10.0.0.1,1448,37846,132,65152,
0.666999000,0.011216000,10.0.0.1,1448,39294,132,65152,
0.667024000,0.000025000,10.0.0.1,1448,40742,132,65152,
0.710943000,0.043919000,10.0.0.2,0,132,14678,80512,0.105166000
0.722882000,0.011939000,10.0.0.2,0,132,16126,80512,0.117078000
0.722906000,0.000024000,10.0.0.2,0,132,17574,80512,0.110887000
0.728857000,0.005951000,10.0.0.2,0,132,19022,80512,0.116751000
0.735224000,0.006367000,10.0.0.2,0,132,20470,80512,0.117264000
0.746594000,0.011370000,10.0.0.2,0,132,21918,80512,0.128617000
0.752869000,0.006275000,10.0.0.2,0,132,23366,80512,0.126751000
0.752891000,0.000022000,10.0.0.2,0,132,24814,80512,0.126736000
0.759126000,0.006235000,10.0.0.2,0,132,26262,80512,0.122871000
0.765460000,0.006334000,10.0.0.2,0,132,27710,80512,0.129175000
0.776792000,0.011332000,10.0.0.2,0,132,29158,80512,0.140505000
0.783066000,0.006274000,10.0.0.2,0,132,30606,80512,0.146777000
0.789101000,0.006035000,10.0.0.2,0,132,33502,80512,0.146652000
0.802330000,0.013229000,10.0.0.2,0,132,36398,80512,0.152679000
0.811076000,0.008746000,10.0.0.1,1448,42190,132,65152,
0.811132000,0.000056000,10.0.0.1,1448,43638,132,65152,
0.814442000,0.003310000,10.0.0.2,0,132,39294,80512,0.158659000
0.822997000,0.008555000,10.0.0.1,1448,45086,132,65152,
0.823049000,0.000052000,10.0.0.1,1448,46534,132,65152,
0.823052000,0.000003000,10.0.0.1,1448,47982,132,65152,
0.823054000,0.000002000,10.0.0.1,1448,49430,132,65152,
0.826562000,0.003508000,10.0.0.2,0,132,42190,80512,0.159538000
0.828870000,0.002308000,10.0.0.1,1448,50878,132,65152,
0.828918000,0.000048000,10.0.0.1,1448,52326,132,65152,
0.835055000,0.006137000,10.0.0.1,1448,53774,132,65152,
0.835093000,0.000038000,10.0.0.1,1448,55222,132,65152,
0.848261000,0.013168000,10.0.0.1,1448,56670,132,65152,
0.848321000,0.000060000,10.0.0.1,1448,58118,132,65152,
0.854587000,0.006266000,10.0.0.1,1448,59566,132,65152,
0.854685000,0.000098000,10.0.0.1,1448,61014,132,65152,
0.854698000,0.000013000,10.0.0.1,1448,62462,132,65152,
0.854701000,0.000003000,10.0.0.1,1448,63910,132,65152,
0.859290000,0.004589000,10.0.0.1,1448,65358,132,65152,
0.859375000,0.000085000,10.0.0.1,1448,66806,132,65152,
0.865564000,0.006189000,10.0.0.1,1448,68254,132,65152,
0.865629000,0.000065000,10.0.0.1,1448,69702,132,65152,
0.876865000,0.011236000,10.0.0.1,1448,71150,132,65152,
0.876930000,0.000065000,10.0.0.1,1448,72598,132,65152,
0.883073000,0.006143000,10.0.0.1,1448,74046,132,65152,
0.883112000,0.000039000,10.0.0.1,1448,75494,132,65152,
0.889289000,0.006177000,10.0.0.1,1448,76942,132,65152,
0.889360000,0.000071000,10.0.0.1,1448,78390,132,65152,
0.889364000,0.000004000,10.0.0.1,1448,79838,132,65152,
0.889367000,0.000003000,10.0.0.1,1448,81286,132,65152,
0.902499000,0.013132000,10.0.0.1,1448,82734,132,65152,
0.902549000,0.000050000,10.0.0.1,1448,84182,132,65152,
0.902554000,0.000005000,10.0.0.1,1448,85630,132,65152,
0.902556000,0.000002000,10.0.0.1,1448,87078,132,65152,
0.915792000,0.013236000,10.0.0.1,1448,88526,132,65152,
0.915837000,0.000045000,10.0.0.1,1448,89974,132,65152,
0.915841000,0.000004000,10.0.0.1,1448,91422,132,65152,
0.915851000,0.000010000,10.0.0.1,1448,92870,132,65152,
0.927239000,0.011388000,10.0.0.1,1448,94318,132,65152,
0.927313000,0.000074000,10.0.0.1,1448,95766,132,65152,
0.927319000,0.000006000,10.0.0.1,1448,97214,132,65152,
0.927321000,0.000002000,10.0.0.1,1448,98662,132,65152,
0.927707000,0.000386000,10.0.0.2,0,132,45086,80512,0.116575000
0.934480000,0.006773000,10.0.0.2,0,132,47982,80512,0.111431000
0.946102000,0.011622000,10.0.0.2,0,132,50878,83456,0.123048000
0.952114000,0.006012000,10.0.0.2,0,132,52326,86272,0.123244000
0.958419000,0.006305000,10.0.0.2,0,132,53774,89216,0.129501000
0.969909000,0.011490000,10.0.0.2,0,132,55222,92160,0.134854000
0.969958000,0.000049000,10.0.0.2,0,132,56670,94976,0.134865000
0.976019000,0.006061000,10.0.0.2,0,132,58118,97920,0.127758000
0.982032000,0.006013000,10.0.0.2,0,132,59566,100864,0.133711000
0.988441000,0.006409000,10.0.0.2,0,132,61014,103680,0.133854000
1.000459000,0.012018000,10.0.0.2,0,132,62462,106624,0.145774000
1.000487000,0.000028000,10.0.0.2,0,132,63910,109440,0.145789000
1.012211000,0.011724000,10.0.0.2,0,132,65358,112384,0.157510000
1.012265000,0.000054000,10.0.0.2,0,132,66806,115328,0.152975000
1.017785000,0.005520000,10.0.0.2,0,132,68254,118144,0.158410000
1.028688000,0.010903000,10.0.0.1,1448,100110,132,65152,
1.028754000,0.000066000,10.0.0.1,1448,101558,132,65152,
1.028757000,0.000003000,10.0.0.1,1448,103006,132,65152,
1.028759000,0.000002000,10.0.0.1,1448,104454,132,65152,
1.030536000,0.001777000,10.0.0.2,0,132,69702,121088,0.164972000
1.035987000,0.005451000,10.0.0.2,0,132,71150,124032,0.170358000
1.036051000,0.000064000,10.0.0.2,0,132,72598,126848,0.159186000
1.036061000,0.000010000,10.0.0.1,1448,105902,132,65152,
1.036124000,0.000063000,10.0.0.1,1448,107350,132,65152,
1.036132000,0.000008000,10.0.0.1,1448,108798,132,65152,
1.036137000,0.000005000,10.0.0.1,1448,110246,132,65152,
1.042278000,0.006141000,10.0.0.2,0,132,74046,129792,0.165348000
1.046506000,0.004228000,10.0.0.1,1448,111694,132,65152,
1.046571000,0.000065000,10.0.0.1,1448,113142,132,65152,
1.046577000,0.000006000,10.0.0.1,1448,114590,132,65152,
1.046580000,0.000003000,10.0.0.1,1448,116038,132,65152,
1.047707000,0.001127000,10.0.0.2,0,132,75494,132608,0.164634000
1.052236000,0.004529000,10.0.0.1,1448,117486,132,65152,
1.052301000,0.000065000,10.0.0.1,1448,118934,132,65152,
1.054842000,0.002541000,10.0.0.2,0,132,76942,135552,0.171730000
1.059471000,0.004629000,10.0.0.1,1448,120382,132,65152,
1.061324000,0.001853000,10.0.0.2,0,132,78390,138496,0.172035000
1.066670000,0.005346000,10.0.0.2,0,132,79838,141312,0.177310000
