frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.analysis.ack_rtt
0.019916000,0.004769000,10.0.0.2,0,0,0,
0.122723000,0.102807000,10.0.0.1,0,0,1,0.102807000
0.231199000,0.108476000,10.0.0.2,0,1,1,0.108476000
0.237645000,0.006446000,10.0.0.2,131,1,1,
0.338008000,0.100363000,10.0.0.1,0,1,132,0.100363000
0.342162000,0.004154000,10.0.0.1,197,1,132,
0.343298000,0.001136000,10.0.0.1,1448,198,132,
0.343327000,0.000029000,10.0.0.1,1448,1646,132,
0.343333000,0.000006000,10.0.0.1,1448,3094,132,
0.343336000,0.000003000,10.0.0.1,1448,4542,132,
0.343339000,0.000003000,10.0.0.1,1448,5990,132,
0.343342000,0.000003000,10.0.0.1,1448,7438,132,
0.343345000,0.000003000,10.0.0.1,1448,8886,132,
0.447952000,0.080422000,10.0.0.2,0,132,198,0.105790000
0.454238000,0.006286000,10.0.0.2,0,132,1646,0.110940000
0.460466000,0.006228000,10.0.0.2,0,132,3094,0.117139000
0.466620000,0.006154000,10.0.0.2,0,132,4542,0.123287000
0.471838000,0.005218000,10.0.0.2,0,132,5990,0.128502000
0.477988000,0.006150000,10.0.0.2,0,132,7438,0.134649000
0.484178000,0.006190000,10.0.0.2,0,132,8886,0.140836000
0.490322000,0.006144000,10.0.0.2,0,132,10334,0.146977000
0.548833000,0.058511000,10.0.0.1,1448,10334,132,
0.548871000,0.000038000,10.0.0.1,1448,11782,132,
0.548874000,0.000003000,10.0.0.1,1448,13230,132,
0.548877000,0.000003000,10.0.0.1,1448,14678,132,
0.548879000,0.000002000,10.0.0.1,1448,16126,132,
0.548881000,0.000002000,10.0.0.1,1448,17574,132,
0.548883000,0.000002000,10.0.0.1,1448,19022,132,
0.548887000,0.000004000,10.0.0.1,1448,20470,132,
0.548889000,0.000002000,10.0.0.1,1448,21918,132,
0.548892000,0.000003000,10.0.0.1,1448,23366,132,
0.548895000,0.000003000,10.0.0.1,1448,24814,132,
0.548897000,0.000002000,10.0.0.1,1448,26262,132,
0.548899000,0.000002000,10.0.0.1,1448,27710,132,
0.548901000,0.000002000,10.0.0.1,1448,29158,132,
0.548903000,0.000002000,10.0.0.1,1448,30606,132,
0.548905000,0.000002000,10.0.0.1,1448,32054,132,
0.548908000,0.000003000,10.0.0.1,1448,33502,132,
0.548910000,0.000002000,10.0.0.1,1448,34950,132,
0.548912000,0.000002000,10.0.0.1,1448,36398,132,
0.548916000,0.000004000,10.0.0.1,1448,37846,132,
0.548918000,0.000002000,10.0.0.1,1448,39294,132,
0.548920000,0.000002000,10.0.0.1,1448,40742,132,
0.548923000,0.000003000,10.0.0.1,1448,42190,132,
0.548925000,0.000002000,10.0.0.1,1448,43638,132,
0.548926000,0.000001000,10.0.0.1,1448,45086,132,
0.548929000,0.000003000,10.0.0.1,1448,46534,132,
0.548931000,0.000002000,10.0.0.1,1448,47982,132,
0.550030000,0.001099000,10.0.0.1,1448,49430,132,
0.550041000,0.000011000,10.0.0.1,1448,50878,132,
0.550044000,0.000003000,10.0.0.1,1448,52326,132,
0.550047000,0.000003000,10.0.0.1,1448,53774,132,
0.550049000,0.000002000,10.0.0.1,1448,55222,132,
0.550051000,0.000002000,10.0.0.1,1448,56670,132,
0.550053000,0.000002000,10.0.0.1,1448,58118,132,
0.550056000,0.000003000,10.0.0.1,1448,59566,132,
0.550058000,0.000002000,10.0.0.1,1448,61014,132,
0.550060000,0.000002000,10.0.0.1,1448,62462,132,
0.550063000,0.000003000,10.0.0.1,416,63910,132,
0.554172000,0.004109000,10.0.0.1,1448,64326,132,
0.554206000,0.000034000,10.0.0.1,1448,65774,132,
0.554210000,0.000004000,10.0.0.1,1448,67222,132,
0.561418000,0.007208000,10.0.0.1,1448,68670,132,
0.561470000,0.000052000,10.0.0.1,1448,70118,132,
0.561474000,0.000004000,10.0.0.1,1448,71566,132,
0.567581000,0.006107000,10.0.0.1,1032,73014,132,
0.567619000,0.000038000,10.0.0.1,1448,74046,132,
0.567624000,0.000005000,10.0.0.1,1448,75494,132,
0.567628000,0.000004000,10.0.0.1,432,76942,132,
0.571821000,0.004193000,10.0.0.1,1448,77374,132,
0.571858000,0.000037000,10.0.0.1,1448,78822,132,
0.571861000,0.000003000,10.0.0.1,1448,80270,132,
0.578001000,0.006140000,10.0.0.1,1448,81718,132,
0.578039000,0.000038000,10.0.0.1,1448,83166,132,
0.578043000,0.000004000,10.0.0.1,1448,84614,132,
0.585178000,0.007135000,10.0.0.1,1448,86062,132,
0.585230000,0.000052000,10.0.0.1,1448,87510,132,
0.590347000,0.005117000,10.0.0.1,1448,88958,132,
0.652017000,0.061670000,10.0.0.2,0,132,11782,0.103184000
0.658087000,0.006070000,10.0.0.2,0,132,13230,0.109216000
0.665284000,0.007197000,10.0.0.2,0,132,14678,0.116410000
0.671349000,0.006065000,10.0.0.2,0,132,16126,0.122472000
0.677501000,0.006152000,10.0.0.2,0,132,17574,0.128622000
0.682713000,0.005212000,10.0.0.2,0,132,19022,0.133832000
0.688983000,0.001669000,10.0.0.2,0,132,20470,0.140100000
0.695064000,0.006081000,10.0.0.2,0,132,21918,0.146177000
0.700831000,0.005767000,10.0.0.2,0,132,23366,0.151942000
0.707363000,0.006532000,10.0.0.2,0,132,24814,0.158471000
0.713534000,0.006171000,10.0.0.2,0,132,26262,0.164639000
0.719583000,0.006049000,10.0.0.2,0,132,27710,0.170686000
0.724718000,0.005135000,10.0.0.2,0,132,29158,0.175819000
0.730841000,0.006123000,10.0.0.2,0,132,30606,0.181940000
0.743386000,0.012545000,10.0.0.2,0,132,33502,0.194481000
0.751804000,0.008418000,10.0.0.1,1448,90406,132,
0.755554000,0.003750000,10.0.0.2,0,132,36398,0.206644000
0.758971000,0.003417000,10.0.0.1,1448,91854,132,
0.765131000,0.006160000,10.0.0.1,1448,93302,132,
0.766792000,0.001661000,10.0.0.2,0,132,39294,0.217876000
0.771167000,0.004375000,10.0.0.1,1448,94750,132,
0.778431000,0.007264000,10.0.0.1,1448,96198,132,
0.779241000,0.000810000,10.0.0.2,0,132,42190,0.230321000
0.782763000,0.003522000,10.0.0.1,1448,97646,132,
0.789049000,0.006286000,10.0.0.1,1448,99094,132,
0.791668000,0.002619000,10.0.0.2,0,132,45086,0.242743000
0.796544000,0.004876000,10.0.0.1,1448,100542,132,
0.800912000,0.004368000,10.0.0.1,1448,101990,132,
0.803237000,0.002325000,10.0.0.2,0,132,47982,0.254308000
0.807292000,0.004055000,10.0.0.1,1448,103438,132,
0.814657000,0.007365000,10.0.0.1,1016,104886,132,
0.815437000,0.000780000,10.0.0.2,0,132,50878,0.265407000
0.820226000,0.004789000,10.0.0.1,1448,105902,132,
0.825664000,0.005438000,10.0.0.1,1448,107350,132,
0.832726000,0.003514000,10.0.0.1,1448,108798,132,
0.833140000,0.000414000,10.0.0.2,0,132,53774,0.283096000
0.843049000,0.009909000,10.0.0.1,1448,110246,132,
0.843133000,0.000084000,10.0.0.1,1448,111694,132,
0.845198000,0.000144000,10.0.0.2,0,132,56670,0.295149000
0.851533000,0.006335000,10.0.0.2,0,132,59566,0.301480000
0.857430000,0.005897000,10.0.0.2,0,132,59566,
0.857620000,0.000190000,10.0.0.1,1448,113142,132,
0.857714000,0.000094000,10.0.0.1,1448,114590,132,
0.863533000,0.005819000,10.0.0.2,0,132,59566,
0.867275000,0.003742000,10.0.0.1,1448,116038,132,
0.867329000,0.000054000,10.0.0.1,1448,117486,132,
0.869684000,0.002355000,10.0.0.2,0,132,59566,
0.875708000,0.006024000,10.0.0.2,0,132,59566,
0.879474000,0.003766000,10.0.0.1,1448,118934,132,
0.879535000,0.000061000,10.0.0.1,1448,120382,132,
0.887127000,0.007592000,10.0.0.2,0,132,59566,
0.892995000,0.005868000,10.0.0.2,0,132,59566,
0.893154000,0.000159000,10.0.0.1,1448,121830,132,
0.893208000,0.000054000,10.0.0.1,1448,123278,132,
0.899115000,0.005907000,10.0.0.2,0,132,59566,
0.902597000,0.003482000,10.0.0.1,1448,124726,132,
0.902662000,0.000065000,10.0.0.1,1448,126174,132,
0.905255000,0.002593000,10.0.0.2,0,132,59566,
0.912398000,0.007143000,10.0.0.2,0,132,59566,
0.915731000,0.003333000,10.0.0.1,1448,127622,132,
0.915806000,0.000075000,10.0.0.1,1448,129070,132,
0.918311000,0.002505000,10.0.0.2,0,132,59566,
0.918377000,0.000066000,10.0.0.2,0,132,59566,
0.924244000,0.005867000,10.0.0.2,0,132,59566,
0.930437000,0.006193000,10.0.0.2,0,132,59566,
0.933871000,0.003434000,10.0.0.1,1448,130518,132,
0.933959000,0.000088000,10.0.0.1,1448,131966,132,
0.941931000,0.007972000,10.0.0.2,0,132,59566,
0.945511000,0.003580000,10.0.0.1,1448,133414,132,
0.945575000,0.000064000,10.0.0.1,1448,134862,132,
0.948126000,0.002551000,10.0.0.2,0,132,59566,
0.952829000,0.004703000,10.0.0.1,1448,136310,132,
0.953709000,0.000880000,10.0.0.2,0,132,59566,
0.958407000,0.004698000,10.0.0.1,1448,137758,132,
0.960339000,0.001932000,10.0.0.2,0,132,59566,
0.960395000,0.000056000,10.0.0.2,0,132,59566,
0.966095000,0.005700000,10.0.0.2,0,132,59566,
0.970692000,0.004597000,10.0.0.1,1448,59566,132,
0.976938000,0.006246000,10.0.0.1,1448,61014,132,
0.978160000,0.001222000,10.0.0.2,0,132,59566,
0.978209000,0.000049000,10.0.0.2,0,132,59566,
0.984411000,0.006202000,10.0.0.2,0,132,59566,
0.986920000,0.002509000,10.0.0.1,1448,62462,132,
0.992954000,0.006034000,10.0.0.1,416,63910,132,
0.995917000,0.002963000,10.0.0.2,0,132,59566,
0.995981000,0.000064000,10.0.0.2,0,132,59566,
1.000651000,0.004670000,10.0.0.1,1448,64326,132,
1.002438000,0.001787000,10.0.0.2,0,132,59566,
1.005154000,0.002716000,10.0.0.1,1448,65774,132,
1.008232000,0.003078000,10.0.0.2,0,132,59566,
1.013175000,0.004943000,10.0.0.1,1448,67222,132,
1.019571000,0.006396000,10.0.0.1,1448,70118,132,
1.019799000,0.000228000,10.0.0.1,1448,71566,132,
1.020305000,0.000506000,10.0.0.2,0,132,59566,
1.024095000,0.003790000,10.0.0.1,1448,75494,132,
