frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.analysis.ack_rtt
0.000000000,0.000000000,10.0.0.2,0,0,0,
0.204979000,0.143008000,10.0.0.1,0,0,1,0.204979000
0.415506000,0.194169000,10.0.0.2,0,1,1,0.210527000
0.415563000,0.000057000,10.0.0.2,131,1,1,
0.616768000,0.024175000,10.0.0.1,0,1,132,0.201205000
0.623130000,0.006362000,10.0.0.1,197,1,132,
0.624487000,0.001357000,10.0.0.1,1448,198,132,
0.624553000,0.000066000,10.0.0.1,1448,1646,132,
0.624559000,0.000006000,10.0.0.1,1448,3094,132,
0.624563000,0.000004000,10.0.0.1,1448,4542,132,
0.624568000,0.000005000,10.0.0.1,1448,5990,132,
0.624572000,0.000004000,10.0.0.1,1448,7438,132,
0.624575000,0.000003000,10.0.0.1,1448,8886,132,
0.624579000,0.000004000,10.0.0.1,1448,10334,132,
0.624582000,0.000003000,10.0.0.1,1448,11782,132,
0.831502000,0.134934000,10.0.0.2,0,132,198,0.208372000
0.837582000,0.006080000,10.0.0.2,0,132,1646,0.213095000
0.843760000,0.006178000,10.0.0.2,0,132,3094,0.219207000
0.849892000,0.006132000,10.0.0.2,0,132,4542,0.225333000
0.856276000,0.006384000,10.0.0.2,0,132,5990,0.231713000
0.862381000,0.006105000,10.0.0.2,0,132,7438,0.237813000
0.867739000,0.005358000,10.0.0.2,0,132,8886,0.243167000
0.873748000,0.006009000,10.0.0.2,0,132,10334,0.249173000
0.879966000,0.006218000,10.0.0.2,0,132,11782,0.255387000
0.886206000,0.006240000,10.0.0.2,0,132,13230,0.261624000
1.031903000,0.145697000,10.0.0.1,1448,13230,132,
1.031958000,0.000055000,10.0.0.1,1448,14678,132,
1.038082000,0.006124000,10.0.0.1,1448,16126,132,
1.038119000,0.000037000,10.0.0.1,1448,17574,132,
1.045300000,0.007181000,10.0.0.1,1448,19022,132,
1.045365000,0.000065000,10.0.0.1,1448,20470,132,
1.049547000,0.004182000,10.0.0.1,1448,21918,132,
1.049589000,0.000042000,10.0.0.1,1448,23366,132,
1.056676000,0.007087000,10.0.0.1,1448,24814,132,
1.056716000,0.000040000,10.0.0.1,1448,26262,132,
1.062933000,0.006217000,10.0.0.1,1448,27710,132,
1.063009000,0.000076000,10.0.0.1,1448,29158,132,
1.069132000,0.006123000,10.0.0.1,1448,30606,132,
1.069205000,0.000073000,10.0.0.1,1448,32054,132,
1.074324000,0.005119000,10.0.0.1,1448,33502,132,
1.074355000,0.000031000,10.0.0.1,1448,34950,132,
1.079516000,0.005161000,10.0.0.1,1448,36398,132,
1.079577000,0.000061000,10.0.0.1,1448,37846,132,
1.086749000,0.007172000,10.0.0.1,1448,39294,132,
1.086779000,0.000030000,10.0.0.1,1448,40742,132,
1.240525000,0.140051000,10.0.0.2,0,132,14678,0.208622000
1.247089000,0.006564000,10.0.0.2,0,132,16126,0.215131000
1.253358000,0.006269000,10.0.0.2,0,132,17574,0.215276000
1.258724000,0.005366000,10.0.0.2,0,132,19022,0.220605000
1.265133000,0.006409000,10.0.0.2,0,132,20470,0.219833000
1.271383000,0.006250000,10.0.0.2,0,132,21918,0.226018000
1.276653000,0.005270000,10.0.0.2,0,132,23366,0.227106000
1.283149000,0.006496000,10.0.0.2,0,132,24814,0.233560000
1.289376000,0.006227000,10.0.0.2,0,132,26262,0.232700000
1.294742000,0.005366000,10.0.0.2,0,132,27710,0.238026000
1.301096000,0.006354000,10.0.0.2,0,132,29158,0.238163000
1.307290000,0.006194000,10.0.0.2,0,132,30606,0.244281000
1.319848000,0.012558000,10.0.0.2,0,132,33502,0.250643000
1.332300000,0.012452000,10.0.0.2,0,132,36398,0.257945000
1.343625000,0.011325000,10.0.0.2,0,132,39294,0.264048000
1.356018000,0.012393000,10.0.0.2,0,132,42190,0.269239000
1.440707000,0.084689000,10.0.0.1,1448,42190,132,
1.440798000,0.000091000,10.0.0.1,1448,43638,132,
1.447089000,0.006291000,10.0.0.1,1448,45086,132,
1.447149000,0.000060000,10.0.0.1,1448,46534,132,
1.455378000,0.008229000,10.0.0.1,1448,47982,132,
1.455464000,0.000086000,10.0.0.1,1448,49430,132,
1.459530000,0.004066000,10.0.0.1,1448,50878,132,
1.459576000,0.000046000,10.0.0.1,1448,52326,132,
1.465812000,0.006236000,10.0.0.1,1448,53774,132,
1.465842000,0.000030000,10.0.0.1,1448,55222,132,
1.472129000,0.006287000,10.0.0.1,1448,56670,132,
1.473357000,0.001228000,10.0.0.1,1448,58118,132,
1.477621000,0.004264000,10.0.0.1,1448,59566,132,
1.477666000,0.000045000,10.0.0.1,1448,61014,132,
1.483967000,0.006301000,10.0.0.1,1448,62462,132,
1.484002000,0.000035000,10.0.0.1,1448,63910,132,
1.491254000,0.007252000,10.0.0.1,1448,65358,132,
1.491302000,0.000048000,10.0.0.1,1448,66806,132,
1.494460000,0.003158000,10.0.0.1,1448,68254,132,
1.494497000,0.000037000,10.0.0.1,1448,69702,132,
1.500591000,0.006094000,10.0.0.1,1448,71150,132,
1.500615000,0.000024000,10.0.0.1,1448,72598,132,
1.508823000,0.008208000,10.0.0.1,1448,74046,132,
1.508858000,0.000035000,10.0.0.1,1448,75494,132,
1.520248000,0.011390000,10.0.0.1,1448,76942,132,
1.520315000,0.000067000,10.0.0.1,1448,78390,132,
1.520321000,0.000006000,10.0.0.1,1448,79838,132,
1.520326000,0.000005000,10.0.0.1,1448,81286,132,
1.533761000,0.013435000,10.0.0.1,1448,82734,132,
1.533807000,0.000046000,10.0.0.1,1448,84182,132,
1.533810000,0.000003000,10.0.0.1,1448,85630,132,
1.533812000,0.000002000,10.0.0.1,1448,87078,132,
1.544217000,0.010405000,10.0.0.1,1448,88526,132,
1.544283000,0.000066000,10.0.0.1,1448,89974,132,
1.544289000,0.000006000,10.0.0.1,1448,91422,132,
1.544294000,0.000005000,10.0.0.1,1448,92870,132,
1.556601000,0.012307000,10.0.0.1,1448,94318,132,
1.556616000,0.000015000,10.0.0.1,1448,95766,132,
1.556618000,0.000002000,10.0.0.1,1448,97214,132,
