frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.window_size,tcp.analysis.ack_rtt
0.195017000,0.181513000,10.0.0.2,0,0,0,64240,
0.303371000,0.039947000,10.0.0.1,0,0,1,65160,0.108354000
0.417718000,0.114347000,10.0.0.2,0,1,1,64256,0.114347000
0.417808000,0.000090000,10.0.0.2,131,1,1,64256,
0.521362000,0.038120000,10.0.0.1,0,1,132,65152,0.103554000
0.553969000,0.032607000,10.0.0.1,197,1,132,65152,
0.556386000,0.002417000,10.0.0.1,1448,198,132,65152,
0.556442000,0.000056000,10.0.0.1,1448,1646,132,65152,
0.556448000,0.000006000,10.0.0.1,1448,3094,132,65152,
0.556453000,0.000005000,10.0.0.1,1448,4542,132,65152,
0.556457000,0.000004000,10.0.0.1,1448,5990,132,65152,
0.556461000,0.000004000,10.0.0.1,1448,7438,132,65152,
0.556464000,0.000003000,10.0.0.1,1448,8886,132,65152,
0.556468000,0.000004000,10.0.0.1,1448,10334,132,65152,
0.556596000,0.000128000,10.0.0.1,1448,11782,132,65152,
0.665332000,0.108736000,10.0.0.2,0,132,198,64128,0.111363000
0.671299000,0.005967000,10.0.0.2,0,132,1646,67072,0.114913000
0.676654000,0.005355000,10.0.0.2,0,132,3094,70016,0.120212000
0.683351000,0.006697000,10.0.0.2,0,132,4542,72832,0.126903000
0.688565000,0.005214000,10.0.0.2,0,132,5990,75776,0.132112000
0.695050000,0.006485000,10.0.0.2,0,132,7438,78720,0.138593000
0.701454000,0.006404000,10.0.0.2,0,132,8886,80512,0.144993000
0.706738000,0.005284000,10.0.0.2,0,132,10334,80512,0.150274000
0.713201000,0.006463000,10.0.0.2,0,132,11782,80512,0.156733000
0.718514000,0.005313000,10.0.0.2,0,132,13230,80512,0.161918000
0.765846000,0.047332000,10.0.0.1,1448,13230,132,65152,
0.765951000,0.000105000,10.0.0.1,1448,14678,132,65152,
0.773048000,0.007097000,10.0.0.1,1448,16126,132,65152,
0.773079000,0.000031000,10.0.0.1,1448,17574,132,65152,
0.776394000,0.003315000,10.0.0.1,1448,19022,132,65152,
0.776406000,0.000012000,10.0.0.1,1448,20470,132,65152,
0.783865000,0.007459000,10.0.0.1,1448,21918,132,65152,
0.783967000,0.000102000,10.0.0.1,1448,23366,132,65152,
0.790371000,0.006404000,10.0.0.1,1448,24814,132,65152,
0.790411000,0.000040000,10.0.0.1,1448,26262,132,65152,
0.795770000,0.005359000,10.0.0.1,1448,27710,132,65152,
0.795822000,0.000052000,10.0.0.1,1448,29158,132,65152,
0.803206000,0.007384000,10.0.0.1,1448,30606,132,65152,
0.803235000,0.000029000,10.0.0.1,1448,32054,132,65152,
0.807540000,0.004305000,10.0.0.1,1448,33502,132,65152,
0.807589000,0.000049000,10.0.0.1,1448,34950,132,65152,
0.815040000,0.007451000,10.0.0.1,1448,36398,132,65152,
0.815093000,0.000053000,10.0.0.1,1448,37846,132,65152,
