frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.analysis.ack_rtt
0.051624000,0.037324000,10.0.0.2,0,0,0,
0.259299000,0.207675000,10.0.0.1,0,0,1,0.207675000
0.473528000,0.056084000,10.0.0.2,0,1,1,0.214229000
0.473557000,0.000029000,10.0.0.2,131,1,1,
0.677565000,0.204008000,10.0.0.1,0,1,132,0.204008000
0.756441000,0.008526000,10.0.0.1,197,1,132,
0.760156000,0.003715000,10.0.0.1,1448,198,132,
0.760323000,0.000167000,10.0.0.1,1448,1646,132,
0.760413000,0.000090000,10.0.0.1,1448,3094,132,
0.760539000,0.000126000,10.0.0.1,1448,4542,132,
0.760631000,0.000092000,10.0.0.1,1448,5990,132,
0.760681000,0.000050000,10.0.0.1,1448,7438,132,
0.760692000,0.000011000,10.0.0.1,1448,8886,132,
0.760805000,0.000113000,10.0.0.1,1448,10334,132,
0.760857000,0.000052000,10.0.0.1,1448,11782,132,
0.967682000,0.206825000,10.0.0.2,0,132,198,0.211241000
0.973222000,0.005540000,10.0.0.2,0,132,1646,0.213066000
0.979898000,0.006676000,10.0.0.2,0,132,3094,0.219575000
0.985153000,0.005255000,10.0.0.2,0,132,4542,0.224740000
0.991616000,0.006463000,10.0.0.2,0,132,5990,0.231077000
0.997034000,0.005418000,10.0.0.2,0,132,7438,0.236403000
1.003564000,0.006530000,10.0.0.2,0,132,8886,0.242883000
1.009202000,0.005638000,10.0.0.2,0,132,10334,0.248510000
1.015723000,0.000428000,10.0.0.2,0,132,11782,0.254918000
1.021107000,0.005384000,10.0.0.2,0,132,13230,0.260250000
1.170309000,0.149202000,10.0.0.1,1448,13230,132,
1.170387000,0.000078000,10.0.0.1,1448,14678,132,
1.174646000,0.004259000,10.0.0.1,1448,16126,132,
1.174705000,0.000059000,10.0.0.1,1448,17574,132,
1.180149000,0.005444000,10.0.0.1,1448,19022,132,
1.180212000,0.000063000,10.0.0.1,1448,20470,132,
1.186648000,0.006436000,10.0.0.1,1448,21918,132,
1.186709000,0.000061000,10.0.0.1,1448,23366,132,
1.193237000,0.006528000,10.0.0.1,1448,24814,132,
1.193365000,0.000128000,10.0.0.1,1448,26262,132,
1.197705000,0.004340000,10.0.0.1,1448,27710,132,
1.197757000,0.000052000,10.0.0.1,1448,29158,132,
1.205212000,0.007455000,10.0.0.1,1448,30606,132,
1.205264000,0.000052000,10.0.0.1,1448,32054,132,
1.210650000,0.005386000,10.0.0.1,1448,33502,132,
1.210703000,0.000053000,10.0.0.1,1448,34950,132,
1.216044000,0.005341000,10.0.0.1,1448,36398,132,
1.216098000,0.000054000,10.0.0.1,1448,37846,132,
1.222459000,0.006361000,10.0.0.1,1448,39294,132,
1.222491000,0.000032000,10.0.0.1,1448,40742,132,
1.377675000,0.155184000,10.0.0.2,0,132,14678,0.207366000
1.383399000,0.005724000,10.0.0.2,0,132,16126,0.213012000
1.389720000,0.006321000,10.0.0.2,0,132,17574,0.215074000
1.395503000,0.005783000,10.0.0.2,0,132,19022,0.220798000
1.400865000,0.005362000,10.0.0.2,0,132,20470,0.220716000
1.407352000,0.006487000,10.0.0.2,0,132,21918,0.227140000
1.412916000,0.005564000,10.0.0.2,0,132,23366,0.226268000
1.419429000,0.006513000,10.0.0.2,0,132,24814,0.232720000
1.425830000,0.006401000,10.0.0.2,0,132,26262,0.232593000
1.431242000,0.005412000,10.0.0.2,0,132,27710,0.237877000
1.437690000,0.006448000,10.0.0.2,0,132,29158,0.239985000
1.443122000,0.005432000,10.0.0.2,0,132,30606,0.245365000
1.454966000,0.011844000,10.0.0.2,0,132,33502,0.249702000
1.467549000,0.012583000,10.0.0.2,0,132,36398,0.256846000
1.479508000,0.007771000,10.0.0.2,0,132,39294,0.263410000
1.491934000,0.012426000,10.0.0.2,0,132,42190,0.269443000
1.577820000,0.085886000,10.0.0.1,1448,42190,132,
1.577879000,0.000059000,10.0.0.1,1448,43638,132,
1.583397000,0.005518000,10.0.0.1,1448,45086,132,
1.583447000,0.000050000,10.0.0.1,1448,46534,132,
1.590748000,0.007301000,10.0.0.1,1448,47982,132,
1.590809000,0.000061000,10.0.0.1,1448,49430,132,
1.596251000,0.005442000,10.0.0.1,1448,50878,132,
1.596325000,0.000074000,10.0.0.1,1448,52326,132,
1.602636000,0.006311000,10.0.0.1,1448,53774,132,
1.602699000,0.000063000,10.0.0.1,1448,55222,132,
1.607003000,0.004304000,10.0.0.1,1448,56670,132,
1.607056000,0.000053000,10.0.0.1,1448,58118,132,
1.614357000,0.007301000,10.0.0.1,1448,59566,132,
1.614408000,0.000051000,10.0.0.1,1448,61014,132,
1.619739000,0.005331000,10.0.0.1,1448,62462,132,
1.619771000,0.000032000,10.0.0.1,1448,63910,132,
1.643890000,0.024119000,10.0.0.1,1448,65358,132,
1.643951000,0.000061000,10.0.0.1,1448,66806,132,
1.643962000,0.000011000,10.0.0.1,1448,68254,132,
1.643968000,0.000006000,10.0.0.1,1448,69702,132,
1.643973000,0.000005000,10.0.0.1,1448,71150,132,
1.643977000,0.000004000,10.0.0.1,1448,72598,132,
1.643982000,0.000005000,10.0.0.1,1448,74046,132,
1.643986000,0.000004000,10.0.0.1,1448,75494,132,
1.656714000,0.012728000,10.0.0.1,1448,76942,132,
1.656772000,0.000058000,10.0.0.1,1448,78390,132,
1.656783000,0.000011000,10.0.0.1,1448,79838,132,
1.656789000,0.000006000,10.0.0.1,1448,81286,132,
1.668869000,0.009713000,10.0.0.1,1448,82734,132,
1.668930000,0.000061000,10.0.0.1,1448,84182,132,
1.668941000,0.000011000,10.0.0.1,1448,85630,132,
1.668947000,0.000006000,10.0.0.1,1448,87078,132,
1.681621000,0.012674000,10.0.0.1,1448,88526,132,
1.681681000,0.000060000,10.0.0.1,1448,89974,132,
1.681692000,0.000011000,10.0.0.1,1448,91422,132,
1.681698000,0.000006000,10.0.0.1,1448,92870,132,
1.692935000,0.011237000,10.0.0.1,1448,94318,132,
1.692996000,0.000061000,10.0.0.1,1448,95766,132,
1.693006000,0.000010000,10.0.0.1,1448,97214,132,
1.693013000,0.000007000,10.0.0.1,1448,98662,132,
1.792464000,0.099451000,10.0.0.2,0,132,45086,0.214585000
1.804326000,0.011862000,10.0.0.2,0,132,47982,0.220879000
1.816710000,0.012384000,10.0.0.2,0,132,50878,0.225901000
1.822155000,0.005445000,10.0.0.2,0,132,52326,0.225904000
