frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.window_size,tcp.analysis.ack_rtt
0.000000000,0.000000000,10.0.0.2,0,0,0,64240,
0.204575000,0.204575000,10.0.0.1,0,0,1,65160,0.204575000
0.416338000,0.211763000,10.0.0.2,0,1,1,64256,0.211763000
0.416391000,0.000053000,10.0.0.2,131,1,1,64256,
0.617737000,0.201346000,10.0.0.1,0,1,132,65152,0.201346000
0.628892000,0.011155000,10.0.0.1,197,1,132,65152,
0.633071000,0.004179000,10.0.0.1,1448,198,132,65152,
0.633115000,0.000044000,10.0.0.1,1448,1646,132,65152,
0.633121000,0.000006000,10.0.0.1,1448,3094,132,65152,
0.633125000,0.000004000,10.0.0.1,1448,4542,132,65152,
0.633128000,0.000003000,10.0.0.1,1448,5990,132,65152,
0.633133000,0.000005000,10.0.0.1,1448,7438,132,65152,
0.633138000,0.000005000,10.0.0.1,1448,8886,132,65152,
0.633141000,0.000003000,10.0.0.1,1448,10334,132,65152,
0.633144000,0.000003000,10.0.0.1,1448,11782,132,65152,
0.838224000,0.164554000,10.0.0.2,0,132,198,64128,0.209332000
0.844370000,0.002657000,10.0.0.2,0,132,1646,67072,0.211299000
0.849456000,0.005086000,10.0.0.2,0,132,3094,70016,0.216341000
0.855699000,0.006243000,10.0.0.2,0,132,4542,72832,0.222578000
0.861723000,0.006024000,10.0.0.2,0,132,5990,75776,0.228598000
0.867913000,0.006190000,10.0.0.2,0,132,7438,78720,0.234785000
0.874256000,0.006343000,10.0.0.2,0,132,8886,80512,0.241123000
0.880449000,0.006193000,10.0.0.2,0,132,10334,80512,0.247311000
0.885550000,0.005101000,10.0.0.2,0,132,11782,80512,0.252409000
0.891648000,0.006098000,10.0.0.2,0,132,13230,80512,0.258504000
1.038767000,0.147119000,10.0.0.1,1448,13230,132,65152,
1.040064000,0.001297000,10.0.0.1,1448,14678,132,65152,
1.046205000,0.006141000,10.0.0.1,1448,16126,132,65152,
1.046229000,0.000024000,10.0.0.1,1448,17574,132,65152,
1.050491000,0.004262000,10.0.0.1,1448,19022,132,65152,
1.050547000,0.000056000,10.0.0.1,1448,20470,132,65152,
1.055674000,0.005127000,10.0.0.1,1448,21918,132,65152,
1.055755000,0.000081000,10.0.0.1,1448,23366,132,65152,
1.061861000,0.006106000,10.0.0.1,1448,24814,132,65152,
1.061890000,0.000029000,10.0.0.1,1448,26262,132,65152,
1.069040000,0.007150000,10.0.0.1,1448,27710,132,65152,
1.069106000,0.000066000,10.0.0.1,1448,29158,132,65152,
1.075269000,0.006163000,10.0.0.1,1448,30606,132,65152,
1.075334000,0.000065000,10.0.0.1,1448,32054,132,65152,
1.080430000,0.005096000,10.0.0.1,1448,33502,132,65152,
1.080541000,0.000111000,10.0.0.1,1448,34950,132,65152,
1.085703000,0.005162000,10.0.0.1,1448,36398,132,65152,
1.087007000,0.001304000,10.0.0.1,1448,37846,132,65152,
1.093214000,0.006207000,10.0.0.1,1448,39294,132,65152,
1.093242000,0.000028000,10.0.0.1,1448,40742,132,65152,
1.247329000,0.154087000,10.0.0.2,0,132,14678,80512,0.208562000
1.253453000,0.006124000,10.0.0.2,0,132,16126,80512,0.213389000
1.258689000,0.005236000,10.0.0.2,0,132,17574,80512,0.212484000
1.264720000,0.006031000,10.0.0.2,0,132,19022,80512,0.218491000
1.271101000,0.006381000,10.0.0.2,0,132,20470,80512,0.220610000
1.277202000,0.006101000,10.0.0.2,0,132,21918,80512,0.226655000
1.282974000,0.005772000,10.0.0.2,0,132,23366,80512,0.227300000
1.290403000,0.007429000,10.0.0.2,0,132,24814,80512,0.234648000
1.295572000,0.005169000,10.0.0.2,0,132,26262,80512,0.233711000
1.301984000,0.006412000,10.0.0.2,0,132,27710,80512,0.240094000
1.308311000,0.006327000,10.0.0.2,0,132,29158,80512,0.239271000
1.313731000,0.005420000,10.0.0.2,0,132,30606,80512,0.244625000
1.326388000,0.012657000,10.0.0.2,0,132,33502,80512,0.251054000
1.338350000,0.011962000,10.0.0.2,0,132,36398,80512,0.257809000
1.349972000,0.011622000,10.0.0.2,0,132,39294,80512,0.262965000
1.362266000,0.012294000,10.0.0.2,0,132,42190,80512,0.269024000
1.449024000,0.054681000,10.0.0.1,1448,42190,132,65152,
1.449115000,0.000091000,10.0.0.1,1448,43638,132,65152,
1.454565000,0.005450000,10.0.0.1,1448,45086,132,65152,
1.454624000,0.000059000,10.0.0.1,1448,46534,132,65152,
1.458882000,0.004258000,10.0.0.1,1448,47982,132,65152,
1.458950000,0.000068000,10.0.0.1,1448,49430,132,65152,
1.464746000,0.005796000,10.0.0.1,1448,50878,132,65152,
1.464788000,0.000042000,10.0.0.1,1448,52326,132,65152,
1.473023000,0.008235000,10.0.0.1,1448,53774,132,65152,
1.473116000,0.000093000,10.0.0.1,1448,55222,132,65152,
1.479544000,0.006428000,10.0.0.1,1448,56670,132,65152,
1.479710000,0.000166000,10.0.0.1,1448,58118,132,65152,
1.483061000,0.003351000,10.0.0.1,1448,59566,132,65152,
1.483172000,0.000111000,10.0.0.1,1448,61014,132,65152,
1.491308000,0.008136000,10.0.0.1,1448,62462,132,65152,
1.491362000,0.000054000,10.0.0.1,1448,63910,132,65152,
1.496545000,0.005183000,10.0.0.1,1448,65358,132,65152,
1.496625000,0.000080000,10.0.0.1,1448,66806,132,65152,
1.502840000,0.006215000,10.0.0.1,1448,68254,132,65152,
1.502913000,0.000073000,10.0.0.1,1448,69702,132,65152,
1.509006000,0.006093000,10.0.0.1,1448,71150,132,65152,
1.509065000,0.000059000,10.0.0.1,1448,72598,132,65152,
1.514186000,0.005121000,10.0.0.1,1448,74046,132,65152,
1.514247000,0.000061000,10.0.0.1,1448,75494,132,65152,
1.527549000,0.005166000,10.0.0.1,1448,76942,132,65152,
1.527576000,0.000027000,10.0.0.1,1448,78390,132,65152,
1.527578000,0.000002000,10.0.0.1,1448,79838,132,65152,
1.527579000,0.000001000,10.0.0.1,1448,81286,132,65152,
1.538718000,0.011139000,10.0.0.1,1448,82734,132,65152,
1.538773000,0.000055000,10.0.0.1,1448,84182,132,65152,
1.538778000,0.000005000,10.0.0.1,1448,85630,132,65152,
1.538782000,0.000004000,10.0.0.1,1448,87078,132,65152,
1.550967000,0.001383000,10.0.0.1,1448,88526,132,65152,
1.551026000,0.000059000,10.0.0.1,1448,89974,132,65152,
1.551031000,0.000005000,10.0.0.1,1448,91422,132,65152,
1.552220000,0.001189000,10.0.0.1,1448,92870,132,65152,
1.563506000,0.011286000,10.0.0.1,1448,94318,132,65152,
1.563535000,0.000029000,10.0.0.1,1448,95766,132,65152,
1.563537000,0.000002000,10.0.0.1,1448,97214,132,65152,
1.563538000,0.000001000,10.0.0.1,1448,98662,132,65152,
1.662803000,0.099265000,10.0.0.2,0,132,45086,80512,0.213688000
1.675015000,0.012212000,10.0.0.2,0,132,47982,80512,0.220391000
1.687315000,0.012300000,10.0.0.2,0,132,50878,83456,0.228365000
1.692851000,0.005536000,10.0.0.2,0,132,52326,86272,0.228105000
1.699035000,0.006184000,10.0.0.2,0,132,53774,89216,0.234247000
1.704496000,0.005461000,10.0.0.2,0,132,55222,92160,0.231473000
