frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.analysis.ack_rtt
0.000000000,0.000000000,10.0.0.2,0,0,0,
0.204781000,0.204781000,10.0.0.1,0,0,1,0.204781000
0.416231000,0.211450000,10.0.0.2,0,1,1,0.211450000
0.416267000,0.000036000,10.0.0.2,131,1,1,
0.616015000,0.032270000,10.0.0.1,0,1,132,0.199748000
0.622212000,0.006197000,10.0.0.1,197,1,132,
0.623378000,0.001166000,10.0.0.1,1448,198,132,
0.623422000,0.000044000,10.0.0.1,1448,1646,132,
0.623427000,0.000005000,10.0.0.1,1448,3094,132,
0.623430000,0.000003000,10.0.0.1,1448,4542,132,
0.623434000,0.000004000,10.0.0.1,1448,5990,132,
0.623437000,0.000003000,10.0.0.1,1448,7438,132,
0.623440000,0.000003000,10.0.0.1,1448,8886,132,
0.623442000,0.000002000,10.0.0.1,1448,10334,132,
0.623445000,0.000003000,10.0.0.1,1448,11782,132,
0.831686000,0.043631000,10.0.0.2,0,132,198,0.209474000
0.837501000,0.005815000,10.0.0.2,0,132,1646,0.214123000
0.843704000,0.006203000,10.0.0.2,0,132,3094,0.220282000
0.849940000,0.006236000,10.0.0.2,0,132,4542,0.226513000
0.856180000,0.006240000,10.0.0.2,0,132,5990,0.232750000
0.861902000,0.005620000,10.0.0.2,0,132,7438,0.238468000
0.867884000,0.005982000,10.0.0.2,0,132,8886,0.244447000
0.874416000,0.006532000,10.0.0.2,0,132,10334,0.250976000
0.879772000,0.005356000,10.0.0.2,0,132,11782,0.256330000
0.886199000,0.006427000,10.0.0.2,0,132,13230,0.262754000
1.037326000,0.151127000,10.0.0.1,1448,13230,132,
1.037404000,0.000078000,10.0.0.1,1448,14678,132,
1.038637000,0.001233000,10.0.0.1,1448,16126,132,
1.038698000,0.000061000,10.0.0.1,1448,17574,132,
1.043857000,0.005159000,10.0.0.1,1448,19022,132,
1.043916000,0.000059000,10.0.0.1,1448,20470,132,
1.050099000,0.006183000,10.0.0.1,1448,21918,132,
1.050182000,0.000083000,10.0.0.1,1448,23366,132,
1.056367000,0.006185000,10.0.0.1,1448,24814,132,
1.056440000,0.000073000,10.0.0.1,1448,26262,132,
1.062598000,0.006158000,10.0.0.1,1448,27710,132,
1.062656000,0.000058000,10.0.0.1,1448,29158,132,
1.067796000,0.005140000,10.0.0.1,1448,30606,132,
1.067826000,0.000030000,10.0.0.1,1448,32054,132,
1.075965000,0.008139000,10.0.0.1,1448,33502,132,
1.076014000,0.000049000,10.0.0.1,1448,34950,132,
1.080152000,0.004138000,10.0.0.1,1448,36398,132,
1.080196000,0.000044000,10.0.0.1,1448,37846,132,
1.086332000,0.006136000,10.0.0.1,1448,39294,132,
1.086389000,0.000057000,10.0.0.1,1448,40742,132,
1.247367000,0.055308000,10.0.0.2,0,132,14678,0.210041000
1.252982000,0.005615000,10.0.0.2,0,132,16126,0.215578000
1.259151000,0.006169000,10.0.0.2,0,132,17574,0.220514000
1.265492000,0.006341000,10.0.0.2,0,132,19022,0.226794000
1.270645000,0.005153000,10.0.0.2,0,132,20470,0.226788000
1.277072000,0.006427000,10.0.0.2,0,132,21918,0.233156000
1.283225000,0.006153000,10.0.0.2,0,132,23366,0.233126000
1.289325000,0.006100000,10.0.0.2,0,132,24814,0.239143000
1.295488000,0.006163000,10.0.0.2,0,132,26262,0.239121000
1.300722000,0.005234000,10.0.0.2,0,132,27710,0.244282000
1.307854000,0.007132000,10.0.0.2,0,132,29158,0.245256000
1.314180000,0.006326000,10.0.0.2,0,132,30606,0.251524000
1.326297000,0.012117000,10.0.0.2,0,132,33502,0.258471000
1.338461000,0.012164000,10.0.0.2,0,132,36398,0.262447000
1.349783000,0.011322000,10.0.0.2,0,132,39294,0.269587000
1.362049000,0.012266000,10.0.0.2,0,132,42190,0.275660000
1.448423000,0.086374000,10.0.0.1,1448,42190,132,
1.448511000,0.000088000,10.0.0.1,1448,43638,132,
1.452783000,0.004272000,10.0.0.1,1448,45086,132,
