frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.window_size,tcp.analysis.ack_rtt
0.000000000,0.000000000,10.0.0.2,0,0,0,64240,
0.105942000,0.065570000,10.0.0.1,0,0,1,65160,0.105942000
0.220592000,0.114650000,10.0.0.2,0,1,1,64256,0.114650000
0.220644000,0.000052000,10.0.0.2,131,1,1,64256,
0.321856000,0.023284000,10.0.0.1,0,1,132,65152,0.101212000
0.334189000,0.012333000,10.0.0.1,197,1,132,65152,
0.341448000,0.007259000,10.0.0.1,1448,198,132,65152,
0.341502000,0.000054000,10.0.0.1,1448,1646,132,65152,
0.342757000,0.001255000,10.0.0.1,1448,3094,132,65152,
0.342803000,0.000046000,10.0.0.1,1448,4542,132,65152,
0.342808000,0.000005000,10.0.0.1,1448,5990,132,65152,
0.342811000,0.000003000,10.0.0.1,1448,7438,132,65152,
0.342814000,0.000003000,10.0.0.1,1448,8886,132,65152,
0.342817000,0.000003000,10.0.0.1,1448,10334,132,65152,
0.342821000,0.000004000,10.0.0.1,1448,11782,132,65152,
0.443502000,0.100681000,10.0.0.2,0,132,198,64128,0.109313000
0.450162000,0.006660000,10.0.0.2,0,132,1646,67072,0.108714000
0.455344000,0.005182000,10.0.0.2,0,132,3094,70016,0.113842000
0.467882000,0.012538000,10.0.0.2,0,132,4542,72832,0.125125000
0.467924000,0.000042000,10.0.0.2,0,132,5990,75776,0.125121000
0.473969000,0.006045000,10.0.0.2,0,132,7438,78720,0.131161000
0.480134000,0.004132000,10.0.0.2,0,132,8886,80512,0.137323000
0.491463000,0.011329000,10.0.0.2,0,132,10334,80512,0.148649000
0.491499000,0.000036000,10.0.0.2,0,132,11782,80512,0.148682000
0.497680000,0.006181000,10.0.0.2,0,132,13230,80512,0.154859000
0.547625000,0.049945000,10.0.0.1,1448,13230,132,65152,
0.547892000,0.000267000,10.0.0.1,1448,14678,132,65152,
0.552128000,0.004236000,10.0.0.1,1448,16126,132,65152,
0.552189000,0.000061000,10.0.0.1,1448,17574,132,65152,
0.556348000,0.004159000,10.0.0.1,1448,19022,132,65152,
0.556395000,0.000047000,10.0.0.1,1448,20470,132,65152,
0.569590000,0.013195000,10.0.0.1,1448,21918,132,65152,
0.569646000,0.000056000,10.0.0.1,1448,23366,132,65152,
0.569654000,0.000008000,10.0.0.1,1448,24814,132,65152,
0.569659000,0.000005000,10.0.0.1,1448,26262,132,65152,
0.574863000,0.005204000,10.0.0.1,1448,27710,132,65152,
0.574940000,0.000077000,10.0.0.1,1448,29158,132,65152,
0.581387000,0.006447000,10.0.0.1,1448,30606,132,65152,
0.581411000,0.000024000,10.0.0.1,1448,32054,132,65152,
0.592792000,0.011381000,10.0.0.1,1448,33502,132,65152,
0.592881000,0.000089000,10.0.0.1,1448,34950,132,65152,
0.592889000,0.000008000,10.0.0.1,1448,36398,132,65152,
0.592894000,0.000005000,10.0.0.1,1448,37846,132,65152,
0.598204000,0.005310000,10.0.0.1,1448,39294,132,65152,
0.598310000,0.000106000,10.0.0.1,1448,40742,132,65152,
0.654775000,0.056465000,10.0.0.2,0,132,14678,80512,0.107150000
0.661154000,0.006379000,10.0.0.2,0,132,16126,80512,0.113262000
0.666980000,0.005826000,10.0.0.2,0,132,17574,80512,0.114852000
0.673176000,0.006196000,10.0.0.2,0,132,19022,80512,0.120987000
0.678581000,0.005405000,10.0.0.2,0,132,20470,80512,0.122233000
0.684685000,0.006104000,10.0.0.2,0,132,21918,80512,0.128290000
0.690761000,0.004471000,10.0.0.2,0,132,23366,80512,0.121171000
0.696840000,0.006079000,10.0.0.2,0,132,24814,80512,0.127194000
0.703276000,0.006436000,10.0.0.2,0,132,26262,80512,0.133622000
0.715198000,0.011922000,10.0.0.2,0,132,27710,80512,0.145539000
0.715280000,0.000082000,10.0.0.2,0,132,29158,80512,0.140417000
0.726548000,0.011268000,10.0.0.2,0,132,30606,80512,0.151608000
0.732899000,0.006351000,10.0.0.2,0,132,33502,80512,0.151488000
0.751255000,0.018356000,10.0.0.2,0,132,36398,80512,0.158374000
0.755048000,0.003793000,10.0.0.1,1448,42190,132,65152,
0.755089000,0.000041000,10.0.0.1,1448,43638,132,65152,
0.756301000,0.001212000,10.0.0.2,0,132,39294,80512,0.163407000
0.762348000,0.006047000,10.0.0.1,1448,45086,132,65152,
