frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.window_size,tcp.analysis.ack_rtt
0.086653000,0.019508000,10.0.0.2,0,0,0,64240,
0.189358000,0.102705000,10.0.0.1,0,0,1,65160,0.102705000
0.302619000,0.113261000,10.0.0.2,0,1,1,64256,0.113261000
0.302802000,0.000183000,10.0.0.2,131,1,1,64256,
0.405985000,0.103183000,10.0.0.1,0,1,132,65152,0.103183000
0.426787000,0.020802000,10.0.0.1,197,1,132,65152,
0.429300000,0.002513000,10.0.0.1,1448,198,132,65152,
0.429460000,0.000160000,10.0.0.1,1448,1646,132,65152,
0.429508000,0.000048000,10.0.0.1,1448,3094,132,65152,
0.429553000,0.000045000,10.0.0.1,1448,4542,132,65152,
0.429558000,0.000005000,10.0.0.1,1448,5990,132,65152,
0.429563000,0.000005000,10.0.0.1,1448,7438,132,65152,
0.429569000,0.000006000,10.0.0.1,1448,8886,132,65152,
0.429576000,0.000007000,10.0.0.1,1448,10334,132,65152,
0.429580000,0.000004000,10.0.0.1,1448,11782,132,65152,
0.537467000,0.081572000,10.0.0.2,0,132,198,64128,0.110680000
0.542577000,0.005110000,10.0.0.2,0,132,1646,67072,0.113277000
0.549001000,0.006424000,10.0.0.2,0,132,3094,70016,0.119541000
0.555096000,0.006095000,10.0.0.2,0,132,4542,72832,0.125588000
0.560635000,0.005539000,10.0.0.2,0,132,5990,75776,0.131082000
0.567268000,0.006633000,10.0.0.2,0,132,7438,78720,0.137710000
0.567315000,0.000047000,10.0.0.2,0,132,8886,80512,0.137752000
0.573772000,0.005144000,10.0.0.2,0,132,10334,80512,0.144203000
0.585510000,0.011738000,10.0.0.2,0,132,11782,80512,0.155934000
0.585555000,0.000045000,10.0.0.2,0,132,13230,80512,0.155975000
0.637477000,0.051922000,10.0.0.1,1448,13230,132,65152,
0.637612000,0.000135000,10.0.0.1,1448,14678,132,65152,
0.643972000,0.006360000,10.0.0.1,1448,16126,132,65152,
0.644156000,0.000184000,10.0.0.1,1448,17574,132,65152,
0.649788000,0.005632000,10.0.0.1,1448,19022,132,65152,
0.649874000,0.000086000,10.0.0.1,1448,20470,132,65152,
0.656419000,0.006545000,10.0.0.1,1448,21918,132,65152,
0.656652000,0.000233000,10.0.0.1,1448,23366,132,65152,
0.661217000,0.004565000,10.0.0.1,1448,24814,132,65152,
0.661307000,0.000090000,10.0.0.1,1448,26262,132,65152,
0.669719000,0.008412000,10.0.0.1,1448,27710,132,65152,
0.669789000,0.000070000,10.0.0.1,1448,29158,132,65152,
0.669795000,0.000006000,10.0.0.1,1448,30606,132,65152,
0.669798000,0.000003000,10.0.0.1,1448,32054,132,65152,
0.675104000,0.005306000,10.0.0.1,1448,33502,132,65152,
0.675203000,0.000099000,10.0.0.1,1448,34950,132,65152,
0.688026000,0.012823000,10.0.0.1,1448,36398,132,65152,
0.688181000,0.000155000,10.0.0.1,1448,37846,132,65152,
0.688192000,0.000011000,10.0.0.1,1448,39294,132,65152,
0.688198000,0.000006000,10.0.0.1,1448,40742,132,65152,
0.748622000,0.060424000,10.0.0.2,0,132,14678,80512,0.111145000
0.748696000,0.000074000,10.0.0.2,0,132,16126,80512,0.111084000
0.754684000,0.005988000,10.0.0.2,0,132,17574,80512,0.110712000
0.766538000,0.011854000,10.0.0.2,0,132,19022,80512,0.122382000
0.771759000,0.005221000,10.0.0.2,0,132,20470,80512,0.121971000
0.778267000,0.005592000,10.0.0.2,0,132,21918,80512,0.128393000
0.790593000,0.012326000,10.0.0.2,0,132,23366,80512,0.134174000
0.790640000,0.000047000,10.0.0.2,0,132,24814,80512,0.133988000
0.802130000,0.011490000,10.0.0.2,0,132,26262,80512,0.140913000
0.802236000,0.000106000,10.0.0.2,0,132,27710,80512,0.140929000
0.808614000,0.006378000,10.0.0.2,0,132,29158,80512,0.138895000
0.813902000,0.005288000,10.0.0.2,0,132,30606,80512,0.144113000
0.826566000,0.012664000,10.0.0.2,0,132,33502,80512,0.156768000
0.843862000,0.017296000,10.0.0.2,0,132,36398,80512,0.168659000
0.849256000,0.005394000,10.0.0.1,1448,42190,132,65152,
0.849311000,0.000055000,10.0.0.1,1448,43638,132,65152,
0.849317000,0.000006000,10.0.0.1,1448,45086,132,65152,
0.849321000,0.000004000,10.0.0.1,1448,46534,132,65152,
0.850318000,0.000997000,10.0.0.2,0,132,39294,80512,0.162137000
0.856301000,0.001191000,10.0.0.1,1448,47982,132,65152,
0.856366000,0.000065000,10.0.0.1,1448,49430,132,65152,
0.867715000,0.011349000,10.0.0.1,1448,50878,132,65152,
0.867733000,0.000018000,10.0.0.2,0,132,42190,80512,0.179535000
0.867771000,0.000038000,10.0.0.1,1448,52326,132,65152,
0.872055000,0.004284000,10.0.0.1,1448,53774,132,65152,
0.872092000,0.000037000,10.0.0.1,1448,55222,132,65152,
0.880623000,0.008531000,10.0.0.1,1448,56670,132,65152,
0.880683000,0.000060000,10.0.0.1,1448,58118,132,65152,
0.891117000,0.010434000,10.0.0.1,1448,59566,132,65152,
0.891176000,0.000059000,10.0.0.1,1448,61014,132,65152,
0.891181000,0.000005000,10.0.0.1,1448,62462,132,65152,
0.891185000,0.000004000,10.0.0.1,1448,63910,132,65152,
0.902512000,0.011327000,10.0.0.1,1448,65358,132,65152,
0.902561000,0.000049000,10.0.0.1,1448,66806,132,65152,
0.902567000,0.000006000,10.0.0.1,1448,68254,132,65152,
0.902571000,0.000004000,10.0.0.1,1448,69702,132,65152,
0.908838000,0.006267000,10.0.0.1,1448,71150,132,65152,
0.908884000,0.000046000,10.0.0.1,1448,72598,132,65152,
0.915226000,0.006342000,10.0.0.1,1448,74046,132,65152,
0.915315000,0.000089000,10.0.0.1,1448,75494,132,65152,
0.927155000,0.011840000,10.0.0.1,1448,76942,132,65152,
0.927262000,0.000107000,10.0.0.1,1448,78390,132,65152,
0.927271000,0.000009000,10.0.0.1,1448,79838,132,65152,
0.927276000,0.000005000,10.0.0.1,1448,81286,132,65152,
0.945764000,0.018488000,10.0.0.1,1448,82734,132,65152,
0.945829000,0.000065000,10.0.0.1,1448,84182,132,65152,
0.945834000,0.000005000,10.0.0.1,1448,85630,132,65152,
0.945837000,0.000003000,10.0.0.1,1448,87078,132,65152,
0.951171000,0.005334000,10.0.0.1,1448,88526,132,65152,
0.951255000,0.000084000,10.0.0.1,1448,89974,132,65152,
0.951263000,0.000008000,10.0.0.1,1448,91422,132,65152,
0.951269000,0.000006000,10.0.0.1,1448,92870,132,65152,
0.959542000,0.008273000,10.0.0.2,0,132,45086,80512,0.110231000
0.969770000,0.010228000,10.0.0.1,1448,94318,132,65152,
0.969826000,0.000056000,10.0.0.1,1448,95766,132,65152,
0.969831000,0.000005000,10.0.0.1,1448,97214,132,65152,
0.969836000,0.000005000,10.0.0.1,1448,98662,132,65152,
0.971038000,0.001202000,10.0.0.2,0,132,47982,80512,0.121717000
0.983302000,0.012264000,10.0.0.2,0,132,50878,83456,0.126936000
0.989534000,0.006232000,10.0.0.2,0,132,52326,86272,0.121819000
0.994768000,0.005234000,10.0.0.2,0,132,53774,89216,0.126997000
1.001010000,0.006242000,10.0.0.2,0,132,55222,92160,0.128955000
1.007644000,0.006634000,10.0.0.2,0,132,56670,94976,0.135552000
1.013087000,0.005443000,10.0.0.2,0,132,58118,97920,0.132464000
1.019402000,0.006315000,10.0.0.2,0,132,59566,100864,0.138719000
1.031119000,0.011717000,10.0.0.2,0,132,61014,103680,0.140002000
1.031184000,0.000065000,10.0.0.2,0,132,62462,106624,0.140008000
1.037497000,0.006313000,10.0.0.2,0,132,63910,109440,0.146316000
1.043041000,0.005544000,10.0.0.2,0,132,65358,112384,0.151856000
1.049588000,0.006547000,10.0.0.2,0,132,66806,115328,0.147076000
1.060681000,0.011093000,10.0.0.1,1448,100110,132,65152,
1.060727000,0.000046000,10.0.0.1,1448,101558,132,65152,
1.060734000,0.000007000,10.0.0.1,1448,103006,132,65152,
1.060738000,0.000004000,10.0.0.1,1448,104454,132,65152,
1.061259000,0.000521000,10.0.0.2,0,132,68254,118144,0.158698000
1.061292000,0.000033000,10.0.0.2,0,132,69702,121088,0.158725000
1.071171000,0.009879000,10.0.0.1,1448,105902,132,65152,
1.071222000,0.000051000,10.0.0.1,1448,107350,132,65152,
1.071228000,0.000006000,10.0.0.1,1448,108798,132,65152,
1.071233000,0.000005000,10.0.0.1,1448,110246,132,65152,
1.073128000,0.001895000,10.0.0.2,0,132,71150,124032,0.170557000
1.073173000,0.000045000,10.0.0.2,0,132,72598,126848,0.164335000
1.084835000,0.011662000,10.0.0.2,0,132,74046,129792,0.175951000
1.084995000,0.000160000,10.0.0.1,1448,111694,132,65152,
1.085025000,0.000030000,10.0.0.1,1448,113142,132,65152,
1.085031000,0.000006000,10.0.0.1,1448,114590,132,65152,
1.085037000,0.000006000,10.0.0.1,1448,116038,132,65152,
1.089598000,0.004561000,10.0.0.1,1448,117486,132,65152,
1.089657000,0.000059000,10.0.0.1,1448,118934,132,65152,
1.091051000,0.001394000,10.0.0.2,0,132,75494,132608,0.175825000
1.091089000,0.000038000,10.0.0.2,0,132,76942,135552,0.175774000
1.095581000,0.004492000,10.0.0.1,1448,120382,132,65152,
1.097168000,0.001587000,10.0.0.2,0,132,78390,138496,0.170013000
1.100667000,0.003499000,10.0.0.1,1448,121830,132,65152,
1.100733000,0.000066000,10.0.0.1,1448,123278,132,65152,
1.103225000,0.002492000,10.0.0.2,0,132,79838,141312,0.175963000
1.109046000,0.005821000,10.0.0.1,1448,124726,132,65152,
1.109138000,0.000092000,10.0.0.1,1448,126174,132,65152,
1.109158000,0.000020000,10.0.0.2,0,132,81286,144256,0.181887000
1.111522000,0.002364000,10.0.0.1,1448,127622,132,65152,
1.113745000,0.002223000,10.0.0.1,1448,129070,132,65152,
1.113788000,0.000043000,10.0.0.1,1448,130518,132,65152,
1.115056000,0.001268000,10.0.0.2,0,132,82734,147200,0.187780000
1.120130000,0.005074000,10.0.0.1,1448,131966,132,65152,
1.120203000,0.000073000,10.0.0.1,1448,133414,132,65152,
1.126882000,0.006679000,10.0.0.2,0,132,84182,150016,0.181118000
1.126930000,0.000048000,10.0.0.2,0,132,85630,152960,0.181101000
1.131928000,0.004998000,10.0.0.1,1448,134862,132,65152,
1.132042000,0.000114000,10.0.0.1,1448,136310,132,65152,
1.132056000,0.000014000,10.0.0.1,1448,137758,132,65152,
1.132065000,0.000009000,10.0.0.1,1448,139206,132,65152,
1.137808000,0.005743000,10.0.0.1,1448,140654,132,65152,
1.138852000,0.001044000,10.0.0.2,0,132,87078,155776,0.193018000
