frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.analysis.ack_rtt
0.102579000,0.092386000,10.0.0.2,0,0,0,
0.305666000,0.203087000,10.0.0.1,0,0,1,0.203087000
0.515694000,0.105788000,10.0.0.2,0,1,1,0.210028000
0.515841000,0.000147000,10.0.0.2,131,1,1,
0.716457000,0.055135000,10.0.0.1,0,1,132,0.200616000
0.729009000,0.012552000,10.0.0.1,197,1,132,
0.730409000,0.001289000,10.0.0.1,1448,198,132,
0.730507000,0.000098000,10.0.0.1,1448,1646,132,
0.730515000,0.000008000,10.0.0.1,1448,3094,132,
0.730521000,0.000006000,10.0.0.1,1448,4542,132,
0.730652000,0.000131000,10.0.0.1,1448,5990,132,
0.730661000,0.000009000,10.0.0.1,1448,7438,132,
0.730669000,0.000008000,10.0.0.1,1448,8886,132,
0.730677000,0.000008000,10.0.0.1,1448,10334,132,
0.730684000,0.000007000,10.0.0.1,1448,11782,132,
0.937830000,0.207146000,10.0.0.2,0,132,198,0.208821000
0.943751000,0.005921000,10.0.0.2,0,132,1646,0.213342000
0.949995000,0.006244000,10.0.0.2,0,132,3094,0.219488000
0.956107000,0.006112000,10.0.0.2,0,132,4542,0.225592000
0.961313000,0.005206000,10.0.0.2,0,132,5990,0.230792000
0.967530000,0.006217000,10.0.0.2,0,132,7438,0.236878000
0.973589000,0.006059000,10.0.0.2,0,132,8886,0.242928000
0.979737000,0.006148000,10.0.0.2,0,132,10334,0.249068000
0.986019000,0.006282000,10.0.0.2,0,132,11782,0.255342000
0.992116000,0.006097000,10.0.0.2,0,132,13230,0.261432000
1.137513000,0.124208000,10.0.0.1,1448,13230,132,
1.137612000,0.000099000,10.0.0.1,1448,14678,132,
1.143820000,0.006208000,10.0.0.1,1448,16126,132,
1.143863000,0.000043000,10.0.0.1,1448,17574,132,
1.152164000,0.008301000,10.0.0.1,1448,19022,132,
1.152272000,0.000108000,10.0.0.1,1448,20470,132,
1.156606000,0.004334000,10.0.0.1,1448,21918,132,
1.156719000,0.000113000,10.0.0.1,1448,23366,132,
1.162031000,0.005312000,10.0.0.1,1448,24814,132,
1.162116000,0.000085000,10.0.0.1,1448,26262,132,
1.168324000,0.006208000,10.0.0.1,1448,27710,132,
1.168427000,0.000103000,10.0.0.1,1448,29158,132,
1.174677000,0.006250000,10.0.0.1,1448,30606,132,
1.174772000,0.000095000,10.0.0.1,1448,32054,132,
1.179970000,0.005198000,10.0.0.1,1448,33502,132,
1.180064000,0.000094000,10.0.0.1,1448,34950,132,
1.187247000,0.007183000,10.0.0.1,1448,36398,132,
1.187355000,0.000108000,10.0.0.1,1448,37846,132,
1.193688000,0.006333000,10.0.0.1,1448,39294,132,
