frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.analysis.ack_rtt
0.000000000,0.000000000,10.0.0.2,0,0,0,
0.106256000,0.106256000,10.0.0.1,0,0,1,0.106256000
0.216719000,0.110463000,10.0.0.2,0,1,1,0.110463000
0.216794000,0.000075000,10.0.0.2,131,1,1,
0.319537000,0.102743000,10.0.0.1,0,1,132,0.102743000
0.331354000,0.011817000,10.0.0.1,197,1,132,
0.333876000,0.002522000,10.0.0.1,1448,198,132,
0.334019000,0.000143000,10.0.0.1,1448,1646,132,
0.334032000,0.000013000,10.0.0.1,1448,3094,132,
0.334042000,0.000010000,10.0.0.1,1448,4542,132,
0.334049000,0.000007000,10.0.0.1,1448,5990,132,
0.334058000,0.000009000,10.0.0.1,1448,7438,132,
0.334066000,0.000008000,10.0.0.1,1448,8886,132,
0.334073000,0.000007000,10.0.0.1,1448,10334,132,
0.334080000,0.000007000,10.0.0.1,1448,11782,132,
0.444636000,0.016747000,10.0.0.2,0,132,198,0.113282000
0.450988000,0.006352000,10.0.0.2,0,132,1646,0.117112000
0.457419000,0.006431000,10.0.0.2,0,132,3094,0.123400000
0.462992000,0.005573000,10.0.0.2,0,132,4542,0.128960000
0.469264000,0.001107000,10.0.0.2,0,132,5990,0.135222000
0.475299000,0.006035000,10.0.0.2,0,132,7438,0.141250000
0.475321000,0.000022000,10.0.0.2,0,132,8886,0.141263000
0.487653000,0.009355000,10.0.0.2,0,132,10334,0.153587000
0.492946000,0.005293000,10.0.0.2,0,132,11782,0.158873000
0.499225000,0.006279000,10.0.0.2,0,132,13230,0.165145000
0.545066000,0.025213000,10.0.0.1,1448,13230,132,
0.545132000,0.000066000,10.0.0.1,1448,14678,132,
0.552178000,0.007046000,10.0.0.1,1448,16126,132,
0.552235000,0.000057000,10.0.0.1,1448,17574,132,
0.559558000,0.007323000,10.0.0.1,1448,19022,132,
0.559641000,0.000083000,10.0.0.1,1448,20470,132,
0.563026000,0.003385000,10.0.0.1,1448,21918,132,
0.563120000,0.000094000,10.0.0.1,1448,23366,132,
0.569365000,0.006245000,10.0.0.1,1448,24814,132,
