frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.window_size,tcp.analysis.ack_rtt
0.167193000,0.001942000,10.0.0.2,0,0,0,64240,
0.371177000,0.153994000,10.0.0.1,0,0,1,65160,0.203984000
0.589255000,0.218078000,10.0.0.2,0,1,1,64256,0.218078000
0.589321000,0.000066000,10.0.0.2,131,1,1,64256,
0.792216000,0.202895000,10.0.0.1,0,1,132,65152,0.202895000
0.924067000,0.131851000,10.0.0.1,197,1,132,65152,
0.928401000,0.004334000,10.0.0.1,1448,198,132,65152,
0.928459000,0.000058000,10.0.0.1,1448,1646,132,65152,
0.929665000,0.001206000,10.0.0.1,1448,3094,132,65152,
0.929718000,0.000053000,10.0.0.1,1448,4542,132,65152,
0.929723000,0.000005000,10.0.0.1,1448,5990,132,65152,
0.929728000,0.000005000,10.0.0.1,1448,7438,132,65152,
0.929732000,0.000004000,10.0.0.1,1448,8886,132,65152,
0.929736000,0.000004000,10.0.0.1,1448,10334,132,65152,
0.930184000,0.000448000,10.0.0.1,1448,11782,132,65152,
1.130773000,0.116799000,10.0.0.2,0,132,198,64128,0.206706000
1.136949000,0.006176000,10.0.0.2,0,132,1646,67072,0.208548000
1.142738000,0.005789000,10.0.0.2,0,132,3094,70016,0.214279000
1.148028000,0.005290000,10.0.0.2,0,132,4542,72832,0.218363000
1.154258000,0.006230000,10.0.0.2,0,132,5990,75776,0.224540000
1.160502000,0.006244000,10.0.0.2,0,132,7438,78720,0.230779000
1.166830000,0.006328000,10.0.0.2,0,132,8886,80512,0.237102000
1.172064000,0.005234000,10.0.0.2,0,132,10334,80512,0.242332000
1.178353000,0.006289000,10.0.0.2,0,132,11782,80512,0.248617000
1.184760000,0.006407000,10.0.0.2,0,132,13230,80512,0.254576000
1.333164000,0.148404000,10.0.0.1,1448,13230,132,65152,
1.333364000,0.000200000,10.0.0.1,1448,14678,132,65152,
1.338172000,0.004808000,10.0.0.1,1448,16126,132,65152,
1.338253000,0.000081000,10.0.0.1,1448,17574,132,65152,
1.343580000,0.005327000,10.0.0.1,1448,19022,132,65152,
1.343778000,0.000198000,10.0.0.1,1448,20470,132,65152,
1.349189000,0.005411000,10.0.0.1,1448,21918,132,65152,
1.349292000,0.000103000,10.0.0.1,1448,23366,132,65152,
