frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.analysis.ack_rtt
0.000000000,0.000000000,10.0.0.2,0,0,0,
0.204517000,0.204517000,10.0.0.1,0,0,1,0.204517000
0.421369000,0.216852000,10.0.0.2,0,1,1,0.216852000
0.421416000,0.000047000,10.0.0.2,131,1,1,
0.621670000,0.006853000,10.0.0.1,0,1,132,0.200254000
0.633025000,0.006175000,10.0.0.1,197,1,132,
0.634282000,0.001257000,10.0.0.1,1448,198,132,
0.634416000,0.000134000,10.0.0.1,1448,1646,132,
0.634425000,0.000009000,10.0.0.1,1448,3094,132,
0.634430000,0.000005000,10.0.0.1,1448,4542,132,
0.634436000,0.000006000,10.0.0.1,1448,5990,132,
0.634442000,0.000006000,10.0.0.1,1448,7438,132,
0.634448000,0.000006000,10.0.0.1,1448,8886,132,
0.634454000,0.000006000,10.0.0.1,1448,10334,132,
0.634459000,0.000005000,10.0.0.1,1448,11782,132,
0.843752000,0.124183000,10.0.0.2,0,132,198,0.210727000
0.849761000,0.006009000,10.0.0.2,0,132,1646,0.215479000
0.855615000,0.005854000,10.0.0.2,0,132,3094,0.221199000
0.861761000,0.006146000,10.0.0.2,0,132,4542,0.227336000
0.867975000,0.006214000,10.0.0.2,0,132,5990,0.233545000
0.874098000,0.006123000,10.0.0.2,0,132,7438,0.239662000
0.879327000,0.005229000,10.0.0.2,0,132,8886,0.244885000
0.885633000,0.006306000,10.0.0.2,0,132,10334,0.251185000
0.891816000,0.006183000,10.0.0.2,0,132,11782,0.257362000
0.898543000,0.006727000,10.0.0.2,0,132,13230,0.264084000
1.044902000,0.078261000,10.0.0.1,1448,13230,132,
1.045011000,0.000109000,10.0.0.1,1448,14678,132,
1.050450000,0.005439000,10.0.0.1,1448,16126,132,
1.050523000,0.000073000,10.0.0.1,1448,17574,132,
1.055690000,0.005167000,10.0.0.1,1448,19022,132,
1.055765000,0.000075000,10.0.0.1,1448,20470,132,
1.063105000,0.007340000,10.0.0.1,1448,21918,132,
1.063212000,0.000107000,10.0.0.1,1448,23366,132,
1.067463000,0.004251000,10.0.0.1,1448,24814,132,
1.067579000,0.000116000,10.0.0.1,1448,26262,132,
1.075755000,0.008176000,10.0.0.1,1448,27710,132,
1.075830000,0.000075000,10.0.0.1,1448,29158,132,
1.081090000,0.005260000,10.0.0.1,1448,30606,132,
1.081181000,0.000091000,10.0.0.1,1448,32054,132,
1.085309000,0.004128000,10.0.0.1,1448,33502,132,
1.085365000,0.000056000,10.0.0.1,1448,34950,132,
1.092729000,0.007364000,10.0.0.1,1448,36398,132,
1.092801000,0.000072000,10.0.0.1,1448,37846,132,
1.100053000,0.007252000,10.0.0.1,1448,39294,132,
1.100116000,0.000063000,10.0.0.1,1448,40742,132,
1.252740000,0.152624000,10.0.0.2,0,132,14678,0.207838000
1.258789000,0.006049000,10.0.0.2,0,132,16126,0.213778000
1.265107000,0.006318000,10.0.0.2,0,132,17574,0.214657000
1.270959000,0.005852000,10.0.0.2,0,132,19022,0.220436000
1.277616000,0.006657000,10.0.0.2,0,132,20470,0.221926000
1.282439000,0.004823000,10.0.0.2,0,132,21918,0.226674000
1.288807000,0.006368000,10.0.0.2,0,132,23366,0.225702000
1.294971000,0.006164000,10.0.0.2,0,132,24814,0.231759000
1.301199000,0.006228000,10.0.0.2,0,132,26262,0.233736000
1.306633000,0.005434000,10.0.0.2,0,132,27710,0.239054000
1.313785000,0.007152000,10.0.0.2,0,132,29158,0.238030000
1.320102000,0.006317000,10.0.0.2,0,132,30606,0.244272000
1.331531000,0.011429000,10.0.0.2,0,132,33502,0.250350000
1.343800000,0.012269000,10.0.0.2,0,132,36398,0.258435000
1.357130000,0.013330000,10.0.0.2,0,132,39294,0.264329000
1.367857000,0.010727000,10.0.0.2,0,132,42190,0.267741000
1.453520000,0.085663000,10.0.0.1,1448,42190,132,
1.453599000,0.000079000,10.0.0.1,1448,43638,132,
1.458803000,0.005204000,10.0.0.1,1448,45086,132,
1.458874000,0.000071000,10.0.0.1,1448,46534,132,
1.466030000,0.007156000,10.0.0.1,1448,47982,132,
1.466092000,0.000062000,10.0.0.1,1448,49430,132,
1.472962000,0.006870000,10.0.0.1,1448,50878,132,
1.473012000,0.000050000,10.0.0.1,1448,52326,132,
1.478273000,0.005261000,10.0.0.1,1448,53774,132,
1.478383000,0.000110000,10.0.0.1,1448,55222,132,
1.483586000,0.005203000,10.0.0.1,1448,56670,132,
1.483645000,0.000059000,10.0.0.1,1448,58118,132,
1.490037000,0.006392000,10.0.0.1,1448,59566,132,
1.490080000,0.000043000,10.0.0.1,1448,61014,132,
1.496223000,0.006143000,10.0.0.1,1448,62462,132,
1.496269000,0.000046000,10.0.0.1,1448,63910,132,
1.501412000,0.005143000,10.0.0.1,1448,65358,132,
1.501466000,0.000054000,10.0.0.1,1448,66806,132,
1.506599000,0.005133000,10.0.0.1,1448,68254,132,
1.506649000,0.000050000,10.0.0.1,1448,69702,132,
1.514785000,0.008136000,10.0.0.1,1448,71150,132,
1.514829000,0.000044000,10.0.0.1,1448,72598,132,
1.520967000,0.006138000,10.0.0.1,1448,74046,132,
1.521009000,0.000042000,10.0.0.1,1448,75494,132,
1.532178000,0.011169000,10.0.0.1,1448,76942,132,
1.532229000,0.000051000,10.0.0.1,1448,78390,132,
1.532234000,0.000005000,10.0.0.1,1448,79838,132,
1.532237000,0.000003000,10.0.0.1,1448,81286,132,
1.544422000,0.012185000,10.0.0.1,1448,82734,132,
1.544508000,0.000086000,10.0.0.1,1448,84182,132,
1.544518000,0.000010000,10.0.0.1,1448,85630,132,
1.544524000,0.000006000,10.0.0.1,1448,87078,132,
1.557764000,0.013240000,10.0.0.1,1448,88526,132,
1.557831000,0.000067000,10.0.0.1,1448,89974,132,
1.557840000,0.000009000,10.0.0.1,1448,91422,132,
1.557846000,0.000006000,10.0.0.1,1448,92870,132,
1.568095000,0.010249000,10.0.0.1,1448,94318,132,
