frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.window_size,tcp.analysis.ack_rtt
0.000000000,0.000000000,10.0.0.2,0,0,0,64240,
0.105564000,0.105564000,10.0.0.1,0,0,1,65160,0.105564000
0.210055000,0.065557000,10.0.0.2,0,1,1,64256,0.104491000
0.216290000,0.001343000,10.0.0.2,131,1,1,64256,
0.316702000,0.089562000,10.0.0.1,0,1,132,65152,0.100412000
0.328923000,0.012221000,10.0.0.1,197,1,132,65152,
0.331252000,0.002329000,10.0.0.1,1448,198,132,65152,
0.331308000,0.000056000,10.0.0.1,1448,1646,132,65152,
0.331328000,0.000020000,10.0.0.1,1448,3094,132,65152,
0.331332000,0.000004000,10.0.0.1,1448,4542,132,65152,
0.331335000,0.000003000,10.0.0.1,1448,5990,132,65152,
0.331402000,0.000067000,10.0.0.1,1448,7438,132,65152,
0.331428000,0.000026000,10.0.0.1,1448,8886,132,65152,
0.331432000,0.000004000,10.0.0.1,1448,10334,132,65152,
0.331435000,0.000003000,10.0.0.1,1448,11782,132,65152,
0.434093000,0.102658000,10.0.0.2,0,132,198,64128,0.105170000
0.439542000,0.005449000,10.0.0.2,0,132,1646,67072,0.108290000
0.445616000,0.006074000,10.0.0.2,0,132,3094,70016,0.114308000
0.452063000,0.006447000,10.0.0.2,0,132,4542,72832,0.120735000
0.458051000,0.005988000,10.0.0.2,0,132,5990,75776,0.126719000
0.463454000,0.005403000,10.0.0.2,0,132,7438,78720,0.132119000
0.469819000,0.006365000,10.0.0.2,0,132,8886,80512,0.138417000
0.476094000,0.006275000,10.0.0.2,0,132,10334,80512,0.144666000
0.487285000,0.011191000,10.0.0.2,0,132,11782,80512,0.155853000
0.493269000,0.005984000,10.0.0.2,0,132,13230,80512,0.161834000
0.534340000,0.017767000,10.0.0.1,1448,13230,132,65152,
0.534410000,0.000070000,10.0.0.1,1448,14678,132,65152,
0.539520000,0.005104000,10.0.0.1,1448,16126,132,65152,
0.539570000,0.000050000,10.0.0.1,1448,17574,132,65152,
0.545616000,0.006046000,10.0.0.1,1448,19022,132,65152,
0.545766000,0.000150000,10.0.0.1,1448,20470,132,65152,
0.552993000,0.007227000,10.0.0.1,1448,21918,132,65152,
0.553122000,0.000129000,10.0.0.1,1448,23366,132,65152,
0.559258000,0.006136000,10.0.0.1,1448,24814,132,65152,
0.559280000,0.000022000,10.0.0.1,1448,26262,132,65152,
0.563428000,0.004148000,10.0.0.1,1448,27710,132,65152,
0.563482000,0.000054000,10.0.0.1,1448,29158,132,65152,
0.569628000,0.006146000,10.0.0.1,1448,30606,132,65152,
0.569687000,0.000059000,10.0.0.1,1448,32054,132,65152,
0.577795000,0.008108000,10.0.0.1,1448,33502,132,65152,
0.577830000,0.000035000,10.0.0.1,1448,34950,132,65152,
0.587998000,0.010168000,10.0.0.1,1448,36398,132,65152,
0.588068000,0.000070000,10.0.0.1,1448,37846,132,65152,
0.593333000,0.005265000,10.0.0.1,1448,39294,132,65152,
0.593386000,0.000053000,10.0.0.1,1448,40742,132,65152,
0.638507000,0.045121000,10.0.0.2,0,132,14678,80512,0.104167000
0.644813000,0.006306000,10.0.0.2,0,132,16126,80512,0.110403000
0.651141000,0.006328000,10.0.0.2,0,132,17574,80512,0.111621000
0.657118000,0.005977000,10.0.0.2,0,132,19022,80512,0.117548000
0.662236000,0.005118000,10.0.0.2,0,132,20470,80512,0.116620000
0.668358000,0.006122000,10.0.0.2,0,132,21918,80512,0.122592000
0.674677000,0.006319000,10.0.0.2,0,132,23366,80512,0.121684000
0.680821000,0.006144000,10.0.0.2,0,132,24814,80512,0.127699000
0.686391000,0.005570000,10.0.0.2,0,132,26262,80512,0.127133000
0.692752000,0.006361000,10.0.0.2,0,132,27710,80512,0.133472000
0.698922000,0.006170000,10.0.0.2,0,132,29158,80512,0.135494000
