frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.analysis.ack_rtt
0.000000000,0.000000000,10.0.0.2,0,0,0,
0.103663000,0.103663000,10.0.0.1,0,0,1,0.103663000
0.216157000,0.108755000,10.0.0.2,0,1,1,0.112494000
0.216220000,0.000063000,10.0.0.2,131,1,1,
0.317654000,0.101434000,10.0.0.1,0,1,132,0.101434000
0.331918000,0.014264000,10.0.0.1,197,1,132,
0.335371000,0.003453000,10.0.0.1,1448,198,132,
0.335398000,0.000027000,10.0.0.1,1448,1646,132,
0.335403000,0.000005000,10.0.0.1,1448,3094,132,
0.335410000,0.000007000,10.0.0.1,1448,4542,132,
0.335415000,0.000005000,10.0.0.1,1448,5990,132,
0.335420000,0.000005000,10.0.0.1,1448,7438,132,
0.335424000,0.000004000,10.0.0.1,1448,8886,132,
0.335428000,0.000004000,10.0.0.1,1448,10334,132,
0.335433000,0.000005000,10.0.0.1,1448,11782,132,
0.438834000,0.045516000,10.0.0.2,0,132,198,0.106916000
0.444699000,0.005865000,10.0.0.2,0,132,1646,0.109328000
0.450826000,0.006127000,10.0.0.2,0,132,3094,0.115428000
0.463708000,0.012882000,10.0.0.2,0,132,4542,0.128305000
0.468105000,0.004397000,10.0.0.2,0,132,5990,0.132695000
0.474415000,0.006310000,10.0.0.2,0,132,7438,0.139000000
0.480644000,0.006229000,10.0.0.2,0,132,8886,0.145224000
0.480676000,0.000032000,10.0.0.2,0,132,10334,0.145252000
0.486934000,0.006258000,10.0.0.2,0,132,11782,0.151506000
0.493150000,0.006216000,10.0.0.2,0,132,13230,0.157717000
0.539016000,0.045866000,10.0.0.1,1448,13230,132,
0.539075000,0.000059000,10.0.0.1,1448,14678,132,
0.544207000,0.005132000,10.0.0.1,1448,16126,132,
0.544258000,0.000051000,10.0.0.1,1448,17574,132,
0.550953000,0.006695000,10.0.0.1,1448,19022,132,
0.551010000,0.000057000,10.0.0.1,1448,20470,132,
0.565165000,0.009280000,10.0.0.1,1448,21918,132,
0.565201000,0.000036000,10.0.0.1,1448,23366,132,
0.568402000,0.003201000,10.0.0.1,1448,24814,132,
0.568436000,0.000034000,10.0.0.1,1448,26262,132,
0.574494000,0.006058000,10.0.0.1,1448,27710,132,
0.574546000,0.000052000,10.0.0.1,1448,29158,132,
0.596890000,0.022344000,10.0.0.1,1448,30606,132,
0.596923000,0.000033000,10.0.0.1,1448,32054,132,
0.596926000,0.000003000,10.0.0.1,1448,33502,132,
0.596929000,0.000003000,10.0.0.1,1448,34950,132,
0.596932000,0.000003000,10.0.0.1,1448,36398,132,
0.596934000,0.000002000,10.0.0.1,1448,37846,132,
0.596936000,0.000002000,10.0.0.1,1448,39294,132,
0.596938000,0.000002000,10.0.0.1,1448,40742,132,
0.643657000,0.021592000,10.0.0.2,0,132,14678,0.104641000
0.650027000,0.006370000,10.0.0.2,0,132,16126,0.110952000
0.655371000,0.005344000,10.0.0.2,0,132,17574,0.111164000
0.661506000,0.006135000,10.0.0.2,0,132,19022,0.117248000
0.667821000,0.006315000,10.0.0.2,0,132,20470,0.116868000
0.673643000,0.005822000,10.0.0.2,0,132,21918,0.122633000
0.680010000,0.006367000,10.0.0.2,0,132,23366,0.114845000
0.686151000,0.006141000,10.0.0.2,0,132,24814,0.120950000
0.692194000,0.006043000,10.0.0.2,0,132,26262,0.123792000
0.697424000,0.005230000,10.0.0.2,0,132,27710,0.128988000
0.703805000,0.006381000,10.0.0.2,0,132,29158,0.129311000
0.709829000,0.006024000,10.0.0.2,0,132,30606,0.135283000
0.722154000,0.012325000,10.0.0.2,0,132,33502,0.125231000
0.733343000,0.011189000,10.0.0.2,0,132,36398,0.136414000
0.743375000,0.010032000,10.0.0.1,1448,42190,132,
0.743435000,0.000060000,10.0.0.1,1448,43638,132,
0.750946000,0.007511000,10.0.0.1,1448,45086,132,
0.751009000,0.000063000,10.0.0.1,1448,46534,132,
0.751852000,0.000843000,10.0.0.2,0,132,39294,0.154918000
