frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.window_size,tcp.analysis.ack_rtt
0.000000000,0.000000000,10.0.0.2,0,0,0,64240,
0.116662000,0.107334000,10.0.0.1,0,0,1,65160,0.116662000
0.240386000,0.123724000,10.0.0.2,0,1,1,64256,0.123724000
0.240443000,0.000057000,10.0.0.2,131,1,1,64256,
0.343356000,0.102913000,10.0.0.1,0,1,132,65152,0.102913000
0.375586000,0.032230000,10.0.0.1,197,1,132,65152,
0.379283000,0.003697000,10.0.0.1,1448,198,132,65152,
0.379526000,0.000243000,10.0.0.1,1448,1646,132,65152,
0.379690000,0.000164000,10.0.0.1,1448,3094,132,65152,
0.379766000,0.000076000,10.0.0.1,1448,4542,132,65152,
0.379893000,0.000127000,10.0.0.1,1448,5990,132,65152,
0.379952000,0.000059000,10.0.0.1,1448,7438,132,65152,
0.379960000,0.000008000,10.0.0.1,1448,8886,132,65152,
0.379967000,0.000007000,10.0.0.1,1448,10334,132,65152,
0.379973000,0.000006000,10.0.0.1,1448,11782,132,65152,
0.487214000,0.107241000,10.0.0.2,0,132,198,64128,0.111628000
0.492659000,0.005445000,10.0.0.2,0,132,1646,67072,0.113376000
0.499010000,0.006351000,10.0.0.2,0,132,3094,70016,0.119484000
0.504928000,0.005918000,10.0.0.2,0,132,4542,72832,0.125238000
0.505006000,0.000078000,10.0.0.2,0,132,5990,75776,0.125240000
0.517681000,0.012675000,10.0.0.2,0,132,7438,78720,0.137788000
0.517773000,0.000092000,10.0.0.2,0,132,8886,80512,0.137821000
0.529498000,0.010256000,10.0.0.2,0,132,10334,80512,0.149538000
0.529598000,0.000100000,10.0.0.2,0,132,11782,80512,0.149631000
0.541559000,0.010834000,10.0.0.2,0,132,13230,80512,0.161586000
0.588092000,0.046533000,10.0.0.1,1448,13230,132,65152,
0.588366000,0.000274000,10.0.0.1,1448,14678,132,65152,
0.592756000,0.004390000,10.0.0.1,1448,16126,132,65152,
0.592903000,0.000147000,10.0.0.1,1448,17574,132,65152,
0.600641000,0.007738000,10.0.0.1,1448,19022,132,65152,
0.600755000,0.000114000,10.0.0.1,1448,20470,132,65152,
0.606306000,0.005551000,10.0.0.1,1448,21918,132,65152,
0.606443000,0.000137000,10.0.0.1,1448,23366,132,65152,
0.606454000,0.000011000,10.0.0.1,1448,24814,132,65152,
0.606462000,0.000008000,10.0.0.1,1448,26262,132,65152,
0.619582000,0.011690000,10.0.0.1,1448,27710,132,65152,
0.619705000,0.000123000,10.0.0.1,1448,29158,132,65152,
0.619716000,0.000011000,10.0.0.1,1448,30606,132,65152,
0.619722000,0.000006000,10.0.0.1,1448,32054,132,65152,
0.631486000,0.011764000,10.0.0.1,1448,33502,132,65152,
0.631594000,0.000108000,10.0.0.1,1448,34950,132,65152,
0.631602000,0.000008000,10.0.0.1,1448,36398,132,65152,
0.631608000,0.000006000,10.0.0.1,1448,37846,132,65152,
0.643063000,0.011455000,10.0.0.1,1448,39294,132,65152,
0.643199000,0.000136000,10.0.0.1,1448,40742,132,65152,
0.692555000,0.049356000,10.0.0.2,0,132,14678,80512,0.104463000
0.704196000,0.011641000,10.0.0.2,0,132,16126,80512,0.115830000
0.709704000,0.005508000,10.0.0.2,0,132,17574,80512,0.116948000
0.716148000,0.006444000,10.0.0.2,0,132,19022,80512,0.123245000
0.721768000,0.005620000,10.0.0.2,0,132,20470,80512,0.121127000
0.721863000,0.000095000,10.0.0.2,0,132,21918,80512,0.121108000
0.728653000,0.006790000,10.0.0.2,0,132,23366,80512,0.122347000
0.734814000,0.006161000,10.0.0.2,0,132,24814,80512,0.128371000
0.746071000,0.011257000,10.0.0.2,0,132,26262,80512,0.139617000
0.752550000,0.006479000,10.0.0.2,0,132,27710,80512,0.146088000
0.752608000,0.000058000,10.0.0.2,0,132,29158,80512,0.133026000
0.764437000,0.011829000,10.0.0.2,0,132,30606,80512,0.144732000
0.776108000,0.011671000,10.0.0.2,0,132,33502,80512,0.156386000
0.788188000,0.012080000,10.0.0.2,0,132,36398,80512,0.156594000
0.794765000,0.006577000,10.0.0.1,1448,42190,132,65152,
0.794853000,0.000088000,10.0.0.1,1448,43638,132,65152,
0.800238000,0.005385000,10.0.0.2,0,132,39294,80512,0.168630000
0.804115000,0.003877000,10.0.0.1,1448,45086,132,65152,
0.804187000,0.000072000,10.0.0.1,1448,46534,132,65152,
0.806386000,0.002199000,10.0.0.2,0,132,42190,80512,0.163187000
0.811575000,0.005189000,10.0.0.1,1448,47982,132,65152,
0.811647000,0.000072000,10.0.0.1,1448,49430,132,65152,
0.816284000,0.004637000,10.0.0.1,1448,50878,132,65152,
0.816347000,0.000063000,10.0.0.1,1448,52326,132,65152,
0.823836000,0.007489000,10.0.0.1,1448,53774,132,65152,
0.823912000,0.000076000,10.0.0.1,1448,55222,132,65152,
0.823919000,0.000007000,10.0.0.1,1448,56670,132,65152,
0.823922000,0.000003000,10.0.0.1,1448,58118,132,65152,
0.829868000,0.005946000,10.0.0.1,1448,59566,132,65152,
0.829935000,0.000067000,10.0.0.1,1448,61014,132,65152,
0.835333000,0.005398000,10.0.0.1,1448,62462,132,65152,
0.835395000,0.000062000,10.0.0.1,1448,63910,132,65152,
0.847310000,0.011915000,10.0.0.1,1448,65358,132,65152,
0.847369000,0.000059000,10.0.0.1,1448,66806,132,65152,
0.852831000,0.005462000,10.0.0.1,1448,68254,132,65152,
0.852872000,0.000041000,10.0.0.1,1448,69702,132,65152,
