frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.analysis.ack_rtt
0.000000000,0.000000000,10.0.0.2,0,0,0,
0.102607000,0.102607000,10.0.0.1,0,0,1,0.102607000
0.216477000,0.083319000,10.0.0.2,0,1,1,0.113870000
0.216505000,0.000028000,10.0.0.2,131,1,1,
0.319414000,0.102909000,10.0.0.1,0,1,132,0.102909000
0.330728000,0.011314000,10.0.0.1,197,1,132,
0.332945000,0.002217000,10.0.0.1,1448,198,132,
0.332987000,0.000042000,10.0.0.1,1448,1646,132,
0.332992000,0.000005000,10.0.0.1,1448,3094,132,
0.332997000,0.000005000,10.0.0.1,1448,4542,132,
0.333145000,0.000148000,10.0.0.1,1448,5990,132,
0.333239000,0.000094000,10.0.0.1,1448,7438,132,
0.333247000,0.000008000,10.0.0.1,1448,8886,132,
0.333251000,0.000004000,10.0.0.1,1448,10334,132,
0.333255000,0.000004000,10.0.0.1,1448,11782,132,
0.440289000,0.107034000,10.0.0.2,0,132,198,0.109561000
0.445639000,0.005350000,10.0.0.2,0,132,1646,0.112694000
0.452073000,0.006434000,10.0.0.2,0,132,3094,0.119086000
0.458433000,0.006360000,10.0.0.2,0,132,4542,0.125441000
0.463903000,0.005470000,10.0.0.2,0,132,5990,0.130906000
0.475495000,0.011592000,10.0.0.2,0,132,7438,0.142350000
0.481898000,0.006403000,10.0.0.2,0,132,8886,0.148659000
0.481924000,0.000026000,10.0.0.2,0,132,10334,0.148677000
0.488453000,0.006529000,10.0.0.2,0,132,11782,0.155202000
0.499861000,0.011408000,10.0.0.2,0,132,13230,0.166606000
0.541566000,0.041705000,10.0.0.1,1448,13230,132,
0.541653000,0.000087000,10.0.0.1,1448,14678,132,
0.549530000,0.007877000,10.0.0.1,1448,16126,132,
0.549595000,0.000065000,10.0.0.1,1448,17574,132,
0.563471000,0.013876000,10.0.0.1,1448,19022,132,
0.563562000,0.000091000,10.0.0.1,1448,20470,132,
0.578904000,0.015342000,10.0.0.1,1448,21918,132,
0.579097000,0.000193000,10.0.0.1,1448,23366,132,
0.594033000,0.014936000,10.0.0.1,1448,24814,132,
0.594060000,0.000027000,10.0.0.1,1448,26262,132,
0.609940000,0.009553000,10.0.0.1,1448,27710,132,
0.610025000,0.000085000,10.0.0.1,1448,29158,132,
0.625083000,0.015058000,10.0.0.1,1448,30606,132,
0.625121000,0.000038000,10.0.0.1,1448,32054,132,
0.640366000,0.015245000,10.0.0.1,1448,33502,132,
0.640461000,0.000095000,10.0.0.1,1448,34950,132,
0.651313000,0.010852000,10.0.0.2,0,132,14678,0.109747000
0.654768000,0.003455000,10.0.0.1,1448,36398,132,
0.654801000,0.000033000,10.0.0.1,1448,37846,132,
0.657481000,0.002680000,10.0.0.2,0,132,16126,0.115828000
0.669292000,0.005155000,10.0.0.2,0,132,17574,0.119762000
0.669426000,0.000134000,10.0.0.2,0,132,19022,0.119831000
0.670460000,0.001034000,10.0.0.1,1448,39294,132,
0.670530000,0.000070000,10.0.0.1,1448,40742,132,
0.674737000,0.004207000,10.0.0.2,0,132,20470,0.111266000
0.681130000,0.003062000,10.0.0.2,0,132,21918,0.117568000
