frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.analysis.ack_rtt
0.000000000,0.000000000,10.0.0.2,0,0,0,
0.205864000,0.205864000,10.0.0.1,0,0,1,0.205864000
0.421779000,0.107141000,10.0.0.2,0,1,1,0.215915000
0.421836000,0.000057000,10.0.0.2,131,1,1,
0.622642000,0.180300000,10.0.0.1,0,1,132,0.200806000
0.634092000,0.011450000,10.0.0.1,197,1,132,
0.666828000,0.007195000,10.0.0.1,1448,198,132,
0.666911000,0.000083000,10.0.0.1,1448,1646,132,
0.668067000,0.001156000,10.0.0.1,1448,3094,132,
0.668125000,0.000058000,10.0.0.1,1448,4542,132,
0.668132000,0.000007000,10.0.0.1,1448,5990,132,
0.668137000,0.000005000,10.0.0.1,1448,7438,132,
0.668142000,0.000005000,10.0.0.1,1448,8886,132,
0.668148000,0.000006000,10.0.0.1,1448,10334,132,
0.668154000,0.000006000,10.0.0.1,1448,11782,132,
0.844473000,0.173163000,10.0.0.2,0,132,198,0.210381000
0.873869000,0.029396000,10.0.0.2,0,132,1646,0.207041000
0.880698000,0.006829000,10.0.0.2,0,132,3094,0.213787000
0.885754000,0.005056000,10.0.0.2,0,132,4542,0.217687000
0.892387000,0.006633000,10.0.0.2,0,132,5990,0.224262000
0.897729000,0.005342000,10.0.0.2,0,132,7438,0.229597000
0.903957000,0.006228000,10.0.0.2,0,132,8886,0.235820000
0.910898000,0.006941000,10.0.0.2,0,132,10334,0.242756000
0.915682000,0.004784000,10.0.0.2,0,132,11782,0.247534000
0.922000000,0.006318000,10.0.0.2,0,132,13230,0.253846000
1.045882000,0.123882000,10.0.0.1,1448,13230,132,
1.045961000,0.000079000,10.0.0.1,1448,14678,132,
1.074413000,0.004052000,10.0.0.1,1448,16126,132,
1.074496000,0.000083000,10.0.0.1,1448,17574,132,
1.080890000,0.006394000,10.0.0.1,1448,19022,132,
1.081042000,0.000152000,10.0.0.1,1448,20470,132,
1.087265000,0.006223000,10.0.0.1,1448,21918,132,
1.087342000,0.000077000,10.0.0.1,1448,23366,132,
1.093718000,0.006376000,10.0.0.1,1448,24814,132,
1.093854000,0.000136000,10.0.0.1,1448,26262,132,
1.098230000,0.004376000,10.0.0.1,1448,27710,132,
1.098528000,0.000298000,10.0.0.1,1448,29158,132,
1.104880000,0.006352000,10.0.0.1,1448,30606,132,
1.104965000,0.000085000,10.0.0.1,1448,32054,132,
1.112285000,0.007320000,10.0.0.1,1448,33502,132,
1.112385000,0.000100000,10.0.0.1,1448,34950,132,
1.115650000,0.003265000,10.0.0.1,1448,36398,132,
1.115786000,0.000136000,10.0.0.1,1448,37846,132,
1.123108000,0.007322000,10.0.0.1,1448,39294,132,
1.123193000,0.000085000,10.0.0.1,1448,40742,132,
1.252929000,0.129736000,10.0.0.2,0,132,14678,0.207047000
1.259607000,0.006678000,10.0.0.2,0,132,16126,0.213646000
1.283835000,0.024228000,10.0.0.2,0,132,17574,0.209422000
1.289266000,0.005431000,10.0.0.2,0,132,19022,0.214770000
1.294995000,0.005729000,10.0.0.2,0,132,20470,0.214105000
1.301451000,0.006456000,10.0.0.2,0,132,21918,0.220409000
1.307889000,0.006438000,10.0.0.2,0,132,23366,0.220624000
1.314501000,0.006612000,10.0.0.2,0,132,24814,0.227159000
1.320566000,0.006065000,10.0.0.2,0,132,26262,0.226848000
1.325933000,0.005367000,10.0.0.2,0,132,27710,0.232079000
1.332618000,0.006685000,10.0.0.2,0,132,29158,0.234388000
1.337830000,0.005212000,10.0.0.2,0,132,30606,0.239302000
1.350171000,0.012341000,10.0.0.2,0,132,33502,0.245206000
1.362195000,0.012024000,10.0.0.2,0,132,36398,0.249810000
1.373894000,0.011699000,10.0.0.2,0,132,39294,0.258108000
1.386381000,0.012487000,10.0.0.2,0,132,42190,0.263188000
1.453089000,0.066708000,10.0.0.1,1448,42190,132,
1.453166000,0.000077000,10.0.0.1,1448,43638,132,
1.461672000,0.008506000,10.0.0.1,1448,45086,132,
1.461826000,0.000154000,10.0.0.1,1448,46534,132,
1.484973000,0.023147000,10.0.0.1,1448,47982,132,
1.485039000,0.000066000,10.0.0.1,1448,49430,132,
1.489419000,0.004380000,10.0.0.1,1448,50878,132,
1.489491000,0.000072000,10.0.0.1,1448,52326,132,
1.495805000,0.006314000,10.0.0.1,1448,53774,132,
1.495866000,0.000061000,10.0.0.1,1448,55222,132,
1.502529000,0.006663000,10.0.0.1,1448,56670,132,
