frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.analysis.ack_rtt
0.000000000,0.000000000,10.0.0.2,0,0,0,
0.236772000,0.031919000,10.0.0.1,0,0,1,0.236772000
0.451097000,0.214325000,10.0.0.2,0,1,1,0.214325000
0.451139000,0.000042000,10.0.0.2,131,1,1,
0.652585000,0.047304000,10.0.0.1,0,1,132,0.201446000
0.697879000,0.045294000,10.0.0.1,197,1,132,
0.700283000,0.002404000,10.0.0.1,1448,198,132,
0.700612000,0.000329000,10.0.0.1,1448,1646,132,
0.700652000,0.000040000,10.0.0.1,1448,3094,132,
0.700660000,0.000008000,10.0.0.1,1448,4542,132,
0.700666000,0.000006000,10.0.0.1,1448,5990,132,
0.700671000,0.000005000,10.0.0.1,1448,7438,132,
0.700682000,0.000011000,10.0.0.1,1448,8886,132,
0.700689000,0.000007000,10.0.0.1,1448,10334,132,
0.700695000,0.000006000,10.0.0.1,1448,11782,132,
0.908993000,0.208298000,10.0.0.2,0,132,198,0.211114000
0.915785000,0.006792000,10.0.0.2,0,132,1646,0.215502000
0.921174000,0.005389000,10.0.0.2,0,132,3094,0.220562000
0.927395000,0.006221000,10.0.0.2,0,132,4542,0.226743000
0.933734000,0.006339000,10.0.0.2,0,132,5990,0.233074000
0.939166000,0.005432000,10.0.0.2,0,132,7438,0.238500000
0.945477000,0.006311000,10.0.0.2,0,132,8886,0.244806000
0.951805000,0.006328000,10.0.0.2,0,132,10334,0.251123000
0.957609000,0.005804000,10.0.0.2,0,132,11782,0.256920000
0.963389000,0.005780000,10.0.0.2,0,132,13230,0.262694000
1.113959000,0.150570000,10.0.0.1,1448,13230,132,
1.114051000,0.000092000,10.0.0.1,1448,14678,132,
1.117305000,0.003254000,10.0.0.1,1448,16126,132,
1.117350000,0.000045000,10.0.0.1,1448,17574,132,
1.121588000,0.004238000,10.0.0.1,1448,19022,132,
1.121630000,0.000042000,10.0.0.1,1448,20470,132,
1.127814000,0.006184000,10.0.0.1,1448,21918,132,
1.127873000,0.000059000,10.0.0.1,1448,23366,132,
1.135024000,0.007151000,10.0.0.1,1448,24814,132,
1.135088000,0.000064000,10.0.0.1,1448,26262,132,
1.139250000,0.004162000,10.0.0.1,1448,27710,132,
1.139310000,0.000060000,10.0.0.1,1448,29158,132,
1.146579000,0.007269000,10.0.0.1,1448,30606,132,
1.146634000,0.000055000,10.0.0.1,1448,32054,132,
1.152761000,0.006127000,10.0.0.1,1448,33502,132,
1.152816000,0.000055000,10.0.0.1,1448,34950,132,
1.157953000,0.005137000,10.0.0.1,1448,36398,132,
1.158003000,0.000050000,10.0.0.1,1448,37846,132,
1.163148000,0.005145000,10.0.0.1,1448,39294,132,
1.163199000,0.000051000,10.0.0.1,1448,40742,132,
1.325527000,0.028155000,10.0.0.2,0,132,14678,0.211568000
1.331785000,0.006258000,10.0.0.2,0,132,16126,0.217734000
1.337014000,0.005229000,10.0.0.2,0,132,17574,0.219709000
1.343455000,0.006441000,10.0.0.2,0,132,19022,0.226105000
1.349071000,0.005616000,10.0.0.2,0,132,20470,0.227483000
1.354944000,0.005873000,10.0.0.2,0,132,21918,0.233314000
1.361062000,0.006118000,10.0.0.2,0,132,23366,0.233248000
1.367375000,0.006313000,10.0.0.2,0,132,24814,0.239502000
1.374785000,0.007410000,10.0.0.2,0,132,26262,0.239761000
1.379014000,0.004229000,10.0.0.2,0,132,27710,0.243926000
1.385352000,0.006338000,10.0.0.2,0,132,29158,0.246102000
1.391496000,0.006144000,10.0.0.2,0,132,30606,0.252186000
1.403634000,0.012138000,10.0.0.2,0,132,33502,0.257000000
1.414911000,0.011277000,10.0.0.2,0,132,36398,0.262095000
1.426991000,0.012080000,10.0.0.2,0,132,39294,0.268988000
1.439140000,0.012149000,10.0.0.2,0,132,42190,0.275941000
1.526435000,0.087295000,10.0.0.1,1448,42190,132,
1.526558000,0.000123000,10.0.0.1,1448,43638,132,
1.532724000,0.006166000,10.0.0.1,1448,45086,132,
1.532907000,0.000183000,10.0.0.1,1448,46534,132,
1.537260000,0.004353000,10.0.0.1,1448,47982,132,
1.537341000,0.000081000,10.0.0.1,1448,49430,132,
1.543031000,0.005690000,10.0.0.1,1448,50878,132,
1.543109000,0.000078000,10.0.0.1,1448,52326,132,
1.550443000,0.007334000,10.0.0.1,1448,53774,132,
1.550533000,0.000090000,10.0.0.1,1448,55222,132,
1.554960000,0.001211000,10.0.0.1,1448,56670,132,
1.555036000,0.000076000,10.0.0.1,1448,58118,132,
1.561207000,0.006171000,10.0.0.1,1448,59566,132,
1.561273000,0.000066000,10.0.0.1,1448,61014,132,
1.568556000,0.007283000,10.0.0.1,1448,62462,132,
1.568674000,0.000118000,10.0.0.1,1448,63910,132,
1.574891000,0.006217000,10.0.0.1,1448,65358,132,
1.574968000,0.000077000,10.0.0.1,1448,66806,132,
1.579097000,0.004129000,10.0.0.1,1448,68254,132,
1.579148000,0.000051000,10.0.0.1,1448,69702,132,
1.586334000,0.007186000,10.0.0.1,1448,71150,132,
1.586401000,0.000067000,10.0.0.1,1448,72598,132,
1.591579000,0.005178000,10.0.0.1,1448,74046,132,
1.591644000,0.000065000,10.0.0.1,1448,75494,132,
1.604791000,0.013147000,10.0.0.1,1448,76942,132,
1.604853000,0.000062000,10.0.0.1,1448,78390,132,
1.604859000,0.000006000,10.0.0.1,1448,79838,132,
1.605044000,0.000185000,10.0.0.1,1448,81286,132,
1.615274000,0.010230000,10.0.0.1,1448,82734,132,
1.615373000,0.000099000,10.0.0.1,1448,84182,132,
1.615377000,0.000004000,10.0.0.1,1448,85630,132,
1.615380000,0.000003000,10.0.0.1,1448,87078,132,
1.627888000,0.012508000,10.0.0.1,1448,88526,132,
1.628149000,0.000261000,10.0.0.1,1448,89974,132,
1.628207000,0.000058000,10.0.0.1,1448,91422,132,
1.628216000,0.000009000,10.0.0.1,1448,92870,132,
1.640420000,0.012204000,10.0.0.1,1448,94318,132,
1.640541000,0.000121000,10.0.0.1,1448,95766,132,
1.640583000,0.000042000,10.0.0.1,1448,97214,132,
1.640590000,0.000007000,10.0.0.1,1448,98662,132,
1.740288000,0.099698000,10.0.0.2,0,132,45086,0.213730000
1.758010000,0.017722000,10.0.0.2,0,132,47982,0.225103000
1.764073000,0.006063000,10.0.0.2,0,132,50878,0.226732000
1.770199000,0.006126000,10.0.0.2,0,132,52326,0.227168000
1.776322000,0.006123000,10.0.0.2,0,132,53774,0.233213000
1.782398000,0.006076000,10.0.0.2,0,132,55222,0.231955000
1.788658000,0.006260000,10.0.0.2,0,132,56670,0.238125000
1.793933000,0.005275000,10.0.0.2,0,132,58118,0.238973000
1.800283000,0.006350000,10.0.0.2,0,132,59566,0.245247000
1.807378000,0.007095000,10.0.0.2,0,132,61014,0.246171000
1.813573000,0.006195000,10.0.0.2,0,132,62462,0.252300000
1.818886000,0.005313000,10.0.0.2,0,132,63910,0.250330000
1.825059000,0.006173000,10.0.0.2,0,132,65358,0.256385000
1.831325000,0.006266000,10.0.0.2,0,132,66806,0.256434000
1.837561000,0.006236000,10.0.0.2,0,132,68254,0.262593000
1.843538000,0.005977000,10.0.0.2,0,132,69702,0.264441000
1.848919000,0.005381000,10.0.0.2,0,132,71150,0.269771000
1.855128000,0.006209000,10.0.0.2,0,132,72598,0.268794000
1.861213000,0.006085000,10.0.0.2,0,132,74046,0.274812000
1.867545000,0.006332000,10.0.0.2,0,132,75494,0.275966000
1.872869000,0.005324000,10.0.0.2,0,132,76942,0.281225000
1.878937000,0.006068000,10.0.0.2,0,132,78390,0.274146000
1.885057000,0.006120000,10.0.0.2,0,132,79838,0.280204000
1.891203000,0.006146000,10.0.0.2,0,132,81286,0.286344000
1.897492000,0.006289000,10.0.0.2,0,132,82734,0.292448000
1.903737000,0.006245000,10.0.0.2,0,132,84182,0.288463000
1.909091000,0.005354000,10.0.0.2,0,132,85630,0.293718000
1.915157000,0.006066000,10.0.0.2,0,132,87078,0.299780000
1.921346000,0.006189000,10.0.0.2,0,132,88526,0.305966000
1.927614000,0.006268000,10.0.0.2,0,132,89974,0.299726000
1.933771000,0.006157000,10.0.0.2,0,132,91422,0.305622000
1.938941000,0.005170000,10.0.0.2,0,132,92870,0.310734000
1.941271000,0.002330000,10.0.0.1,1448,100110,132,
1.941305000,0.000034000,10.0.0.1,1448,101558,132,
1.941310000,0.000005000,10.0.0.1,1448,103006,132,
1.941314000,0.000004000,10.0.0.1,1448,104454,132,
1.945062000,0.003748000,10.0.0.2,0,132,94318,0.316846000
1.951301000,0.006239000,10.0.0.2,0,132,95766,0.310881000
1.957494000,0.006193000,10.0.0.2,0,132,97214,0.316953000
1.957727000,0.000233000,10.0.0.1,1448,105902,132,
1.957754000,0.000027000,10.0.0.1,1448,107350,132,
1.957759000,0.000005000,10.0.0.1,1448,108798,132,
1.957762000,0.000003000,10.0.0.1,1448,110246,132,
1.963748000,0.005986000,10.0.0.2,0,132,98662,0.323165000
1.964043000,0.000295000,10.0.0.1,1448,111694,132,
1.964102000,0.000059000,10.0.0.1,1448,113142,132,
1.964110000,0.000008000,10.0.0.1,1448,114590,132,
1.964115000,0.000005000,10.0.0.1,1448,116038,132,
1.968895000,0.004780000,10.0.0.2,0,132,100110,0.328305000
1.970461000,0.001566000,10.0.0.1,1448,117486,132,
1.970490000,0.000029000,10.0.0.1,1448,118934,132,
1.976387000,0.005897000,10.0.0.1,1448,120382,132,
1.982661000,0.006274000,10.0.0.1,1448,121830,132,
1.982701000,0.000040000,10.0.0.1,1448,123278,132,
1.989260000,0.006559000,10.0.0.1,1448,124726,132,
1.989323000,0.000063000,10.0.0.1,1448,126174,132,
1.994670000,0.005347000,10.0.0.1,1448,127622,132,
1.994735000,0.000065000,10.0.0.1,1448,129070,132,
2.001190000,0.006455000,10.0.0.1,1448,130518,132,
2.001258000,0.000068000,10.0.0.1,1448,131966,132,
2.005425000,0.004167000,10.0.0.1,1448,133414,132,
2.007659000,0.002234000,10.0.0.1,1448,134862,132,
2.007744000,0.000085000,10.0.0.1,1448,136310,132,
2.014748000,0.007004000,10.0.0.1,1448,137758,132,
2.014819000,0.000071000,10.0.0.1,1448,139206,132,
2.019099000,0.004280000,10.0.0.1,1448,140654,132,
2.019181000,0.000082000,10.0.0.1,1448,142102,132,
2.026532000,0.007351000,10.0.0.1,1448,143550,132,
2.026614000,0.000082000,10.0.0.1,1448,144998,132,
2.031823000,0.005209000,10.0.0.1,1448,146446,132,
2.031888000,0.000065000,10.0.0.1,1448,147894,132,
2.037270000,0.005382000,10.0.0.1,1448,149342,132,
2.037310000,0.000040000,10.0.0.1,1448,150790,132,
2.043298000,0.005988000,10.0.0.1,1448,152238,132,
2.043396000,0.000098000,10.0.0.1,1448,153686,132,
2.049427000,0.006031000,10.0.0.1,1448,155134,132,
