frame.time_relative,ip.src,ip.dst,udp.length
"0.000000000","10.0.0.2","10.0.0.1","1208"
"0.208789000","10.0.0.1","10.0.0.2","1288"
"0.208883000","10.0.0.1","10.0.0.2","289"
"0.208892000","10.0.0.1","10.0.0.2","59"
"0.412151000","10.0.0.1","10.0.0.2","1288"
"0.412278000","10.0.0.1","10.0.0.2","1288"
"0.420434000","10.0.0.2","10.0.0.1","1208"
"0.425892000","10.0.0.2","10.0.0.1","196"
"0.425972000","10.0.0.2","10.0.0.1","36"
"0.425979000","10.0.0.2","10.0.0.1","36"
"0.425984000","10.0.0.2","10.0.0.1","102"
"0.425989000","10.0.0.2","10.0.0.1","61"
"0.627501000","10.0.0.1","10.0.0.2","334"
"0.627566000","10.0.0.1","10.0.0.2","54"
"0.631842000","10.0.0.1","10.0.0.2","170"
"0.631914000","10.0.0.1","10.0.0.2","1288"
"0.631923000","10.0.0.1","10.0.0.2","1288"
"0.631929000","10.0.0.1","10.0.0.2","1288"
"0.631933000","10.0.0.1","10.0.0.2","1288"
"0.631937000","10.0.0.1","10.0.0.2","1288"
"0.631941000","10.0.0.1","10.0.0.2","1288"
"0.631945000","10.0.0.1","10.0.0.2","1288"
"0.631948000","10.0.0.1","10.0.0.2","1288"
"0.631952000","10.0.0.1","10.0.0.2","1288"
"0.633169000","10.0.0.1","10.0.0.2","1288"
"0.644415000","10.0.0.1","10.0.0.2","1288"
"0.655343000","10.0.0.1","10.0.0.2","1288"
"0.664867000","10.0.0.1","10.0.0.2","1288"
"0.675727000","10.0.0.1","10.0.0.2","1288"
"0.684907000","10.0.0.1","10.0.0.2","1288"
"0.695963000","10.0.0.1","10.0.0.2","1288"
"0.707652000","10.0.0.1","10.0.0.2","1288"
"0.716742000","10.0.0.1","10.0.0.2","1288"
"0.728577000","10.0.0.1","10.0.0.2","1288"
"0.738222000","10.0.0.1","10.0.0.2","1288"
"0.747991000","10.0.0.1","10.0.0.2","1288"
"0.758734000","10.0.0.1","10.0.0.2","1288"
"0.768442000","10.0.0.1","10.0.0.2","1288"
"0.779891000","10.0.0.1","10.0.0.2","1288"
"0.790290000","10.0.0.1","10.0.0.2","1288"
"0.799808000","10.0.0.1","10.0.0.2","1288"
"0.810105000","10.0.0.1","10.0.0.2","688"
"0.816737000","10.0.0.1","10.0.0.2","1288"
"0.826156000","10.0.0.1","10.0.0.2","1288"
"0.833781000","10.0.0.2","10.0.0.1","75"
"0.837637000","10.0.0.1","10.0.0.2","1288"
"0.840146000","10.0.0.2","10.0.0.1","36"
"0.846554000","10.0.0.2","10.0.0.1","35"
"0.848179000","10.0.0.1","10.0.0.2","1288"
"0.851810000","10.0.0.2","10.0.0.1","35"
