frame.time_relative,ip.src,ip.dst,udp.length
"0.000000000","10.0.0.2","10.0.0.1","1208"
"0.107317000","10.0.0.1","10.0.0.2","1288"
"0.107491000","10.0.0.1","10.0.0.2","299"
"0.107503000","10.0.0.1","10.0.0.2","59"
"0.232968000","10.0.0.2","10.0.0.1","1358"
"0.233041000","10.0.0.2","10.0.0.1","36"
"0.233050000","10.0.0.2","10.0.0.1","36"
"0.239797000","10.0.0.2","10.0.0.1","102"
"0.240004000","10.0.0.2","10.0.0.1","61"
"0.307024000","10.0.0.1","10.0.0.2","1288"
"0.307103000","10.0.0.1","10.0.0.2","1288"
"0.335111000","10.0.0.1","10.0.0.2","335"
"0.342707000","10.0.0.1","10.0.0.2","52"
"0.342765000","10.0.0.1","10.0.0.2","54"
"0.347141000","10.0.0.1","10.0.0.2","170"
"0.347153000","10.0.0.1","10.0.0.2","1288"
"0.347160000","10.0.0.1","10.0.0.2","1288"
"0.347166000","10.0.0.1","10.0.0.2","1288"
"0.347171000","10.0.0.1","10.0.0.2","1288"
"0.347186000","10.0.0.1","10.0.0.2","1288"
"0.347192000","10.0.0.1","10.0.0.2","1288"
"0.347198000","10.0.0.1","10.0.0.2","1288"
"0.347203000","10.0.0.1","10.0.0.2","1288"
"0.347208000","10.0.0.1","10.0.0.2","1288"
"0.348380000","10.0.0.1","10.0.0.2","1288"
"0.354005000","10.0.0.1","10.0.0.2","1288"
"0.360058000","10.0.0.1","10.0.0.2","1288"
"0.365449000","10.0.0.1","10.0.0.2","1288"
"0.371092000","10.0.0.1","10.0.0.2","1288"
"0.376041000","10.0.0.1","10.0.0.2","1288"
"0.382095000","10.0.0.1","10.0.0.2","1288"
"0.387063000","10.0.0.1","10.0.0.2","1288"
"0.393608000","10.0.0.1","10.0.0.2","1288"
"0.399026000","10.0.0.1","10.0.0.2","1288"
"0.403644000","10.0.0.1","10.0.0.2","1288"
"0.410472000","10.0.0.1","10.0.0.2","1288"
"0.416199000","10.0.0.1","10.0.0.2","1288"
"0.421828000","10.0.0.1","10.0.0.2","1288"
"0.428576000","10.0.0.1","10.0.0.2","1288"
"0.434095000","10.0.0.1","10.0.0.2","1288"
"0.438518000","10.0.0.1","10.0.0.2","1288"
"0.443976000","10.0.0.1","10.0.0.2","688"
"0.448368000","10.0.0.1","10.0.0.2","1288"
"0.449203000","10.0.0.2","10.0.0.1","75"
"0.453131000","10.0.0.1","10.0.0.2","1288"
"0.455638000","10.0.0.2","10.0.0.1","35"
"0.459562000","10.0.0.1","10.0.0.2","1288"
"0.461126000","10.0.0.2","10.0.0.1","36"
"0.463942000","10.0.0.1","10.0.0.2","1288"
"0.467041000","10.0.0.2","10.0.0.1","35"
"0.471441000","10.0.0.1","10.0.0.2","1288"
"0.472645000","10.0.0.2","10.0.0.1","35"
"0.474747000","10.0.0.1","10.0.0.2","1288"
"0.479357000","10.0.0.2","10.0.0.1","35"
"0.485147000","10.0.0.2","10.0.0.1","35"
"0.490988000","10.0.0.2","10.0.0.1","35"
"0.496496000","10.0.0.2","10.0.0.1","35"
"0.503291000","10.0.0.2","10.0.0.1","35"
"0.503333000","10.0.0.2","10.0.0.1","35"
"0.509285000","10.0.0.2","10.0.0.1","35"
"0.515201000","10.0.0.2","10.0.0.1","35"
"0.527048000","10.0.0.2","10.0.0.1","35"
"0.533488000","10.0.0.2","10.0.0.1","35"
"0.533539000","10.0.0.2","10.0.0.1","35"
"0.545232000","10.0.0.2","10.0.0.1","35"
"0.545431000","10.0.0.2","10.0.0.1","35"
"0.549904000","10.0.0.1","10.0.0.2","1288"
"0.551099000","10.0.0.2","10.0.0.1","35"
"0.556140000","10.0.0.1","10.0.0.2","1288"
"0.562549000","10.0.0.2","10.0.0.1","35"
"0.562650000","10.0.0.1","10.0.0.2","1288"
"0.568579000","10.0.0.1","10.0.0.2","1288"
"0.568633000","10.0.0.1","10.0.0.2","1288"
"0.568639000","10.0.0.1","10.0.0.2","1288"
"0.568643000","10.0.0.1","10.0.0.2","1288"
"0.568933000","10.0.0.2","10.0.0.1","35"
"0.568966000","10.0.0.2","10.0.0.1","35"
"0.574044000","10.0.0.1","10.0.0.2","1288"
"0.574141000","10.0.0.1","10.0.0.2","1288"
"0.581030000","10.0.0.2","10.0.0.1","35"
"0.582329000","10.0.0.1","10.0.0.2","1288"
"0.582379000","10.0.0.1","10.0.0.2","1288"
"0.584550000","10.0.0.1","10.0.0.2","1288"
"0.584584000","10.0.0.1","10.0.0.2","1288"
"0.587514000","10.0.0.2","10.0.0.1","35"
"0.587556000","10.0.0.2","10.0.0.1","35"
"0.591752000","10.0.0.1","10.0.0.2","1288"
"0.591793000","10.0.0.1","10.0.0.2","1288"
