frame.time_relative,ip.src,ip.dst,udp.length
"0.000000000","10.0.0.2","10.0.0.1","1208"
"0.110424000","10.0.0.1","10.0.0.2","1288"
"0.110495000","10.0.0.1","10.0.0.2","297"
"0.110501000","10.0.0.1","10.0.0.2","59"
"0.222257000","10.0.0.2","10.0.0.1","1208"
"0.227572000","10.0.0.2","10.0.0.1","196"
"0.227606000","10.0.0.2","10.0.0.1","36"
"0.227609000","10.0.0.2","10.0.0.1","36"
"0.227611000","10.0.0.2","10.0.0.1","102"
"0.227613000","10.0.0.2","10.0.0.1","61"
"0.310580000","10.0.0.1","10.0.0.2","1288"
"0.310704000","10.0.0.1","10.0.0.2","1288"
"0.329773000","10.0.0.1","10.0.0.2","334"
"0.329826000","10.0.0.1","10.0.0.2","54"
"0.332048000","10.0.0.1","10.0.0.2","170"
"0.332100000","10.0.0.1","10.0.0.2","1288"
"0.332106000","10.0.0.1","10.0.0.2","1288"
"0.332109000","10.0.0.1","10.0.0.2","1288"
"0.332112000","10.0.0.1","10.0.0.2","1288"
"0.332116000","10.0.0.1","10.0.0.2","1288"
"0.332120000","10.0.0.1","10.0.0.2","1288"
"0.332123000","10.0.0.1","10.0.0.2","1288"
"0.332128000","10.0.0.1","10.0.0.2","1288"
"0.332131000","10.0.0.1","10.0.0.2","1288"
"0.333286000","10.0.0.1","10.0.0.2","1288"
"0.339012000","10.0.0.1","10.0.0.2","1288"
"0.343573000","10.0.0.1","10.0.0.2","1288"
"0.349330000","10.0.0.1","10.0.0.2","1288"
"0.355182000","10.0.0.1","10.0.0.2","1288"
"0.360940000","10.0.0.1","10.0.0.2","1288"
"0.366686000","10.0.0.1","10.0.0.2","1288"
"0.371410000","10.0.0.1","10.0.0.2","1288"
"0.376254000","10.0.0.1","10.0.0.2","1288"
"0.381894000","10.0.0.1","10.0.0.2","1288"
"0.387628000","10.0.0.1","10.0.0.2","1288"
"0.394167000","10.0.0.1","10.0.0.2","1288"
"0.399721000","10.0.0.1","10.0.0.2","1288"
"0.404330000","10.0.0.1","10.0.0.2","1288"
"0.409796000","10.0.0.1","10.0.0.2","1288"
"0.415380000","10.0.0.1","10.0.0.2","1288"
"0.421633000","10.0.0.1","10.0.0.2","1288"
"0.427286000","10.0.0.1","10.0.0.2","688"
"0.429517000","10.0.0.1","10.0.0.2","1288"
"0.435905000","10.0.0.1","10.0.0.2","1288"
"0.438003000","10.0.0.2","10.0.0.1","76"
"0.440115000","10.0.0.1","10.0.0.2","1288"
"0.445364000","10.0.0.1","10.0.0.2","1288"
"0.449470000","10.0.0.2","10.0.0.1","35"
"0.449504000","10.0.0.2","10.0.0.1","35"
"0.450688000","10.0.0.1","10.0.0.2","1288"
"0.456074000","10.0.0.2","10.0.0.1","35"
"0.457012000","10.0.0.1","10.0.0.2","1288"
"0.462300000","10.0.0.2","10.0.0.1","35"
"0.473459000","10.0.0.2","10.0.0.1","35"
"0.479956000","10.0.0.2","10.0.0.1","35"
"0.480022000","10.0.0.2","10.0.0.1","35"
"0.491703000","10.0.0.2","10.0.0.1","35"
"0.491752000","10.0.0.2","10.0.0.1","35"
"0.498133000","10.0.0.2","10.0.0.1","35"
"0.503932000","10.0.0.2","10.0.0.1","35"
"0.510109000","10.0.0.2","10.0.0.1","35"
"0.522258000","10.0.0.2","10.0.0.1","35"
"0.522317000","10.0.0.2","10.0.0.1","35"
"0.533197000","10.0.0.2","10.0.0.1","35"
"0.539662000","10.0.0.2","10.0.0.1","35"
"0.540029000","10.0.0.1","10.0.0.2","1288"
"0.540084000","10.0.0.1","10.0.0.2","1288"
"0.540090000","10.0.0.1","10.0.0.2","1288"
"0.546162000","10.0.0.2","10.0.0.1","35"
"0.546199000","10.0.0.2","10.0.0.1","35"
"0.551031000","10.0.0.1","10.0.0.2","1288"
"0.551090000","10.0.0.1","10.0.0.2","1288"
"0.551097000","10.0.0.1","10.0.0.2","1288"
"0.551102000","10.0.0.1","10.0.0.2","1288"
"0.557536000","10.0.0.2","10.0.0.1","35"
"0.557965000","10.0.0.1","10.0.0.2","1288"
"0.558038000","10.0.0.1","10.0.0.2","1288"
"0.558046000","10.0.0.1","10.0.0.2","1288"
"0.558051000","10.0.0.1","10.0.0.2","1288"
