frame.time_relative,ip.src,ip.dst,udp.length
"0.000000000","10.0.0.2","10.0.0.1","1208"
"0.211903000","10.0.0.1","10.0.0.2","1288"
"0.212060000","10.0.0.1","10.0.0.2","291"
"0.212073000","10.0.0.1","10.0.0.2","59"
"0.413490000","10.0.0.1","10.0.0.2","1288"
"0.413592000","10.0.0.1","10.0.0.2","1288"
"0.431670000","10.0.0.2","10.0.0.1","1208"
"0.431721000","10.0.0.2","10.0.0.1","196"
"0.438090000","10.0.0.2","10.0.0.1","36"
"0.438126000","10.0.0.2","10.0.0.1","36"
"0.438131000","10.0.0.2","10.0.0.1","102"
"0.438134000","10.0.0.2","10.0.0.1","61"
"0.632107000","10.0.0.1","10.0.0.2","334"
"0.639754000","10.0.0.1","10.0.0.2","52"
"0.641003000","10.0.0.1","10.0.0.2","54"
"0.645291000","10.0.0.1","10.0.0.2","170"
"0.645431000","10.0.0.1","10.0.0.2","1288"
"0.645497000","10.0.0.1","10.0.0.2","1288"
"0.645505000","10.0.0.1","10.0.0.2","1288"
"0.645512000","10.0.0.1","10.0.0.2","1288"
"0.645518000","10.0.0.1","10.0.0.2","1288"
"0.645524000","10.0.0.1","10.0.0.2","1288"
"0.645530000","10.0.0.1","10.0.0.2","1288"
"0.645538000","10.0.0.1","10.0.0.2","1288"
"0.645545000","10.0.0.1","10.0.0.2","1288"
"0.645551000","10.0.0.1","10.0.0.2","1288"
"0.657187000","10.0.0.1","10.0.0.2","1288"
"0.669214000","10.0.0.1","10.0.0.2","1288"
"0.679396000","10.0.0.1","10.0.0.2","1288"
"0.688963000","10.0.0.1","10.0.0.2","1288"
"0.699890000","10.0.0.1","10.0.0.2","1288"
"0.710854000","10.0.0.1","10.0.0.2","1288"
"0.721817000","10.0.0.1","10.0.0.2","1288"
"0.733013000","10.0.0.1","10.0.0.2","1288"
"0.742057000","10.0.0.1","10.0.0.2","1288"
"0.753051000","10.0.0.1","10.0.0.2","1288"
"0.764335000","10.0.0.1","10.0.0.2","1288"
"0.774229000","10.0.0.1","10.0.0.2","1288"
"0.785748000","10.0.0.1","10.0.0.2","1288"
"0.796451000","10.0.0.1","10.0.0.2","1288"
"0.807185000","10.0.0.1","10.0.0.2","1288"
"0.816861000","10.0.0.1","10.0.0.2","1288"
"0.828624000","10.0.0.1","10.0.0.2","688"
"0.834110000","10.0.0.1","10.0.0.2","1288"
"0.839470000","10.0.0.2","10.0.0.1","75"
"0.843840000","10.0.0.1","10.0.0.2","1288"
"0.845854000","10.0.0.2","10.0.0.1","35"
"0.855603000","10.0.0.1","10.0.0.2","1288"
"0.857855000","10.0.0.2","10.0.0.1","36"
"0.857934000","10.0.0.2","10.0.0.1","35"
"0.864140000","10.0.0.2","10.0.0.1","35"
"0.865236000","10.0.0.1","10.0.0.2","1288"
"0.869445000","10.0.0.2","10.0.0.1","35"
"0.876004000","10.0.0.1","10.0.0.2","1288"
"0.876174000","10.0.0.2","10.0.0.1","35"
"0.882308000","10.0.0.2","10.0.0.1","35"
"0.885714000","10.0.0.1","10.0.0.2","1288"
"0.894141000","10.0.0.2","10.0.0.1","35"
"0.894227000","10.0.0.2","10.0.0.1","35"
"0.899553000","10.0.0.2","10.0.0.1","35"
"0.905836000","10.0.0.2","10.0.0.1","35"
"0.911257000","10.0.0.2","10.0.0.1","35"
"0.917928000","10.0.0.2","10.0.0.1","35"
"0.923439000","10.0.0.2","10.0.0.1","35"
"0.929424000","10.0.0.2","10.0.0.1","35"
"0.935891000","10.0.0.2","10.0.0.1","35"
"0.941599000","10.0.0.2","10.0.0.1","35"
"0.948089000","10.0.0.2","10.0.0.1","35"
"0.959790000","10.0.0.2","10.0.0.1","35"
"0.971455000","10.0.0.2","10.0.0.1","35"
"0.983836000","10.0.0.2","10.0.0.1","35"
"0.995918000","10.0.0.2","10.0.0.1","35"
"1.002150000","10.0.0.2","10.0.0.1","35"
"1.014124000","10.0.0.2","10.0.0.1","35"
"1.032130000","10.0.0.2","10.0.0.1","36"
"1.037446000","10.0.0.2","10.0.0.1","35"
