frame.time_relative,ip.src,ip.dst,udp.length
"0.000000000","10.0.0.2","10.0.0.1","1208"
"0.209956000","10.0.0.1","10.0.0.2","1288"
"0.210047000","10.0.0.1","10.0.0.2","288"
"0.210054000","10.0.0.1","10.0.0.2","59"
"0.415896000","10.0.0.1","10.0.0.2","1288"
"0.415966000","10.0.0.1","10.0.0.2","1288"
"0.426322000","10.0.0.2","10.0.0.1","1208"
"0.432288000","10.0.0.2","10.0.0.1","196"
"0.432335000","10.0.0.2","10.0.0.1","36"
"0.432340000","10.0.0.2","10.0.0.1","36"
"0.432343000","10.0.0.2","10.0.0.1","102"
"0.432347000","10.0.0.2","10.0.0.1","61"
"0.634184000","10.0.0.1","10.0.0.2","334"
"0.634298000","10.0.0.1","10.0.0.2","54"
"0.635596000","10.0.0.1","10.0.0.2","170"
"0.635724000","10.0.0.1","10.0.0.2","1288"
"0.635738000","10.0.0.1","10.0.0.2","1288"
"0.635746000","10.0.0.1","10.0.0.2","1288"
"0.635754000","10.0.0.1","10.0.0.2","1288"
"0.635764000","10.0.0.1","10.0.0.2","1288"
"0.635772000","10.0.0.1","10.0.0.2","1288"
"0.635779000","10.0.0.1","10.0.0.2","1288"
"0.635786000","10.0.0.1","10.0.0.2","1288"
"0.635794000","10.0.0.1","10.0.0.2","1288"
"0.638055000","10.0.0.1","10.0.0.2","1288"
"0.649355000","10.0.0.1","10.0.0.2","1288"
"0.660645000","10.0.0.1","10.0.0.2","1288"
"0.670574000","10.0.0.1","10.0.0.2","1288"
"0.680381000","10.0.0.1","10.0.0.2","1288"
"0.691271000","10.0.0.1","10.0.0.2","1288"
"0.702484000","10.0.0.1","10.0.0.2","1288"
"0.713206000","10.0.0.1","10.0.0.2","1288"
"0.723033000","10.0.0.1","10.0.0.2","1288"
"0.734280000","10.0.0.1","10.0.0.2","1288"
"0.744909000","10.0.0.1","10.0.0.2","1288"
"0.755507000","10.0.0.1","10.0.0.2","1288"
"0.765041000","10.0.0.1","10.0.0.2","1288"
"0.775059000","10.0.0.1","10.0.0.2","1288"
"0.786978000","10.0.0.1","10.0.0.2","1288"
"0.797667000","10.0.0.1","10.0.0.2","1288"
"0.807333000","10.0.0.1","10.0.0.2","1288"
"0.817060000","10.0.0.1","10.0.0.2","688"
"0.823486000","10.0.0.1","10.0.0.2","1288"
"0.834121000","10.0.0.1","10.0.0.2","1288"
"0.840236000","10.0.0.2","10.0.0.1","75"
"0.845729000","10.0.0.1","10.0.0.2","1288"
"0.852272000","10.0.0.2","10.0.0.1","36"
"0.852345000","10.0.0.2","10.0.0.1","35"
"0.855389000","10.0.0.1","10.0.0.2","1288"
"0.858583000","10.0.0.2","10.0.0.1","35"
"0.863872000","10.0.0.2","10.0.0.1","35"
"0.867063000","10.0.0.1","10.0.0.2","1288"
"0.870619000","10.0.0.2","10.0.0.1","35"
"0.875844000","10.0.0.2","10.0.0.1","35"
"0.876616000","10.0.0.1","10.0.0.2","1288"
"0.882225000","10.0.0.2","10.0.0.1","35"
"0.888423000","10.0.0.2","10.0.0.1","35"
"0.893786000","10.0.0.2","10.0.0.1","35"
"0.900734000","10.0.0.2","10.0.0.1","35"
"0.906544000","10.0.0.2","10.0.0.1","35"
"0.911902000","10.0.0.2","10.0.0.1","35"
"0.918441000","10.0.0.2","10.0.0.1","35"
"0.923784000","10.0.0.2","10.0.0.1","35"
"0.930007000","10.0.0.2","10.0.0.1","35"
"0.936409000","10.0.0.2","10.0.0.1","35"
"0.941803000","10.0.0.2","10.0.0.1","35"
"0.954335000","10.0.0.2","10.0.0.1","35"
"0.966132000","10.0.0.2","10.0.0.1","35"
"0.972530000","10.0.0.2","10.0.0.1","35"
"0.983919000","10.0.0.2","10.0.0.1","35"
"0.996640000","10.0.0.2","10.0.0.1","35"
"1.008276000","10.0.0.2","10.0.0.1","35"
"1.013724000","10.0.0.2","10.0.0.1","35"
"1.026395000","10.0.0.2","10.0.0.1","36"
"1.032035000","10.0.0.2","10.0.0.1","35"
"1.041358000","10.0.0.1","10.0.0.2","1288"
"1.041408000","10.0.0.1","10.0.0.2","1288"
"1.044450000","10.0.0.2","10.0.0.1","35"
"1.052932000","10.0.0.1","10.0.0.2","1288"
"1.052998000","10.0.0.1","10.0.0.2","1288"
"1.053006000","10.0.0.1","10.0.0.2","1288"
"1.053013000","10.0.0.1","10.0.0.2","1288"
"1.053018000","10.0.0.1","10.0.0.2","1288"
"1.056183000","10.0.0.2","10.0.0.1","35"
"1.060281000","10.0.0.1","10.0.0.2","1288"
"1.060332000","10.0.0.1","10.0.0.2","1288"
"1.062760000","10.0.0.2","10.0.0.1","35"
"1.064235000","10.0.0.1","10.0.0.2","1288"
"1.064310000","10.0.0.1","10.0.0.2","1288"
"1.072119000","10.0.0.1","10.0.0.2","1288"
"1.072163000","10.0.0.1","10.0.0.2","1288"
"1.073865000","10.0.0.2","10.0.0.1","35"
"1.076346000","10.0.0.1","10.0.0.2","1288"
"1.085126000","10.0.0.1","10.0.0.2","1288"
"1.086245000","10.0.0.2","10.0.0.1","35"
"1.093532000","10.0.0.1","10.0.0.2","1288"
"1.100647000","10.0.0.1","10.0.0.2","1288"
"1.108441000","10.0.0.1","10.0.0.2","1288"
"1.115411000","10.0.0.1","10.0.0.2","1288"
"1.123119000","10.0.0.1","10.0.0.2","1288"
