frame.time_relative,ip.src,ip.dst,udp.length
"0.000000000","10.0.0.2","10.0.0.1","1208"
"0.107861000","10.0.0.1","10.0.0.2","1288"
"0.107937000","10.0.0.1","10.0.0.2","298"
"0.107944000","10.0.0.1","10.0.0.2","59"
"0.228125000","10.0.0.2","10.0.0.1","1358"
"0.228187000","10.0.0.2","10.0.0.1","36"
"0.228191000","10.0.0.2","10.0.0.1","36"
"0.234608000","10.0.0.2","10.0.0.1","102"
"0.234660000","10.0.0.2","10.0.0.1","61"
"0.313127000","10.0.0.1","10.0.0.2","1288"
"0.313234000","10.0.0.1","10.0.0.2","1288"
"0.329705000","10.0.0.1","10.0.0.2","335"
"0.335383000","10.0.0.1","10.0.0.2","52"
"0.335447000","10.0.0.1","10.0.0.2","54"
"0.340214000","10.0.0.1","10.0.0.2","170"
"0.340247000","10.0.0.1","10.0.0.2","1288"
"0.340251000","10.0.0.1","10.0.0.2","1288"
"0.340256000","10.0.0.1","10.0.0.2","1288"
"0.340259000","10.0.0.1","10.0.0.2","1288"
"0.340264000","10.0.0.1","10.0.0.2","1288"
"0.340267000","10.0.0.1","10.0.0.2","1288"
"0.340270000","10.0.0.1","10.0.0.2","1288"
"0.340273000","10.0.0.1","10.0.0.2","1288"
"0.340276000","10.0.0.1","10.0.0.2","1288"
"0.341429000","10.0.0.1","10.0.0.2","1288"
"0.346680000","10.0.0.1","10.0.0.2","1288"
"0.352499000","10.0.0.1","10.0.0.2","1288"
"0.357969000","10.0.0.1","10.0.0.2","1288"
"0.364181000","10.0.0.1","10.0.0.2","1288"
"0.368722000","10.0.0.1","10.0.0.2","1288"
"0.374613000","10.0.0.1","10.0.0.2","1288"
"0.379984000","10.0.0.1","10.0.0.2","1288"
"0.385715000","10.0.0.1","10.0.0.2","1288"
"0.392224000","10.0.0.1","10.0.0.2","1288"
"0.397059000","10.0.0.1","10.0.0.2","1288"
"0.402675000","10.0.0.1","10.0.0.2","1288"
"0.409277000","10.0.0.1","10.0.0.2","1288"
"0.413235000","10.0.0.1","10.0.0.2","1288"
"0.418836000","10.0.0.1","10.0.0.2","1288"
"0.425230000","10.0.0.1","10.0.0.2","1288"
"0.431595000","10.0.0.1","10.0.0.2","1288"
"0.436993000","10.0.0.1","10.0.0.2","688"
"0.438257000","10.0.0.2","10.0.0.1","75"
"0.439240000","10.0.0.1","10.0.0.2","1288"
"0.444191000","10.0.0.2","10.0.0.1","36"
"0.445613000","10.0.0.1","10.0.0.2","1288"
"0.449966000","10.0.0.1","10.0.0.2","1288"
"0.455314000","10.0.0.1","10.0.0.2","1288"
"0.456539000","10.0.0.2","10.0.0.1","35"
"0.456580000","10.0.0.2","10.0.0.1","35"
"0.462412000","10.0.0.1","10.0.0.2","1288"
"0.466820000","10.0.0.1","10.0.0.2","1288"
"0.467649000","10.0.0.2","10.0.0.1","35"
"0.474054000","10.0.0.2","10.0.0.1","35"
"0.479677000","10.0.0.2","10.0.0.1","35"
"0.486278000","10.0.0.2","10.0.0.1","35"
"0.492610000","10.0.0.2","10.0.0.1","35"
"0.497983000","10.0.0.2","10.0.0.1","35"
"0.498033000","10.0.0.2","10.0.0.1","35"
"0.510003000","10.0.0.2","10.0.0.1","35"
"0.510039000","10.0.0.2","10.0.0.1","35"
"0.522272000","10.0.0.2","10.0.0.1","35"
"0.522309000","10.0.0.2","10.0.0.1","35"
"0.527824000","10.0.0.2","10.0.0.1","35"
"0.534310000","10.0.0.2","10.0.0.1","35"
"0.538954000","10.0.0.1","10.0.0.2","1288"
"0.539577000","10.0.0.2","10.0.0.1","35"
"0.544120000","10.0.0.1","10.0.0.2","1288"
"0.544135000","10.0.0.1","10.0.0.2","1288"
"0.552355000","10.0.0.2","10.0.0.1","35"
"0.552390000","10.0.0.2","10.0.0.1","35"
"0.558827000","10.0.0.1","10.0.0.2","1288"
"0.558872000","10.0.0.1","10.0.0.2","1288"
"0.558875000","10.0.0.1","10.0.0.2","1288"
"0.558877000","10.0.0.1","10.0.0.2","1288"
"0.558879000","10.0.0.1","10.0.0.2","1288"
"0.558881000","10.0.0.1","10.0.0.2","1288"
"0.563449000","10.0.0.2","10.0.0.1","35"
"0.568738000","10.0.0.1","10.0.0.2","1288"
"0.568939000","10.0.0.1","10.0.0.2","1288"
"0.570311000","10.0.0.2","10.0.0.1","35"
"0.570415000","10.0.0.2","10.0.0.1","35"
"0.573809000","10.0.0.1","10.0.0.2","1288"
"0.573900000","10.0.0.1","10.0.0.2","1288"
"0.581768000","10.0.0.1","10.0.0.2","1288"
"0.581845000","10.0.0.1","10.0.0.2","1288"
"0.582135000","10.0.0.2","10.0.0.1","35"
"0.582187000","10.0.0.2","10.0.0.1","35"
"0.587721000","10.0.0.1","10.0.0.2","1288"
