frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.analysis.ack_rtt
0.000000000,0.000000000,10.0.0.2,0,0,0,
0.103599000,0.103599000,10.0.0.1,0,0,1,0.103599000
0.211527000,0.107928000,10.0.0.2,0,1,1,0.107928000
0.211579000,0.000052000,10.0.0.2,131,1,1,
0.312849000,0.084843000,10.0.0.1,0,1,132,0.101270000
0.321031000,0.008182000,10.0.0.1,197,1,132,
0.323404000,0.002373000,10.0.0.1,1448,198,132,
0.323427000,0.000023000,10.0.0.1,1448,1646,132,
0.323430000,0.000003000,10.0.0.1,1448,3094,132,
0.323458000,0.000028000,10.0.0.1,1448,4542,132,
0.323467000,0.000009000,10.0.0.1,1448,5990,132,
0.323468000,0.000001000,10.0.0.1,1448,7438,132,
0.323486000,0.000018000,10.0.0.1,1448,8886,132,
0.323488000,0.000002000,10.0.0.1,1448,10334,132,
0.323502000,0.000014000,10.0.0.1,1448,11782,132,
0.428249000,0.080174000,10.0.0.2,0,132,198,0.107218000
0.434716000,0.006467000,10.0.0.2,0,132,1646,0.111312000
0.439996000,0.005280000,10.0.0.2,0,132,3094,0.116569000
0.446106000,0.006110000,10.0.0.2,0,132,4542,0.122676000
0.452436000,0.006330000,10.0.0.2,0,132,5990,0.128978000
0.458784000,0.006348000,10.0.0.2,0,132,7438,0.135317000
0.464070000,0.005286000,10.0.0.2,0,132,8886,0.140602000
0.470095000,0.006025000,10.0.0.2,0,132,10334,0.146609000
0.476553000,0.006458000,10.0.0.2,0,132,11782,0.153065000
0.482003000,0.005450000,10.0.0.2,0,132,13230,0.158501000
0.528152000,0.046149000,10.0.0.1,1448,13230,132,
0.528187000,0.000035000,10.0.0.1,1448,14678,132,
0.535035000,0.006848000,10.0.0.1,1448,16126,132,
0.535083000,0.000048000,10.0.0.1,1448,17574,132,
0.550726000,0.015643000,10.0.0.1,1448,19022,132,
0.550784000,0.000058000,10.0.0.1,1448,20470,132,
0.565261000,0.014477000,10.0.0.1,1448,21918,132,
0.565289000,0.000028000,10.0.0.1,1448,23366,132,
0.580109000,0.014820000,10.0.0.1,1448,24814,132,
0.580154000,0.000045000,10.0.0.1,1448,26262,132,
0.594268000,0.014114000,10.0.0.1,1448,27710,132,
0.594327000,0.000059000,10.0.0.1,1448,29158,132,
0.609712000,0.015385000,10.0.0.1,1448,30606,132,
0.609820000,0.000108000,10.0.0.1,1448,32054,132,
0.624388000,0.006261000,10.0.0.1,1448,33502,132,
0.624452000,0.000064000,10.0.0.1,1448,34950,132,
0.639045000,0.008169000,10.0.0.1,1448,36398,132,
0.639084000,0.000039000,10.0.0.1,1448,37846,132,
0.639666000,0.000582000,10.0.0.2,0,132,14678,0.111514000
0.639693000,0.000027000,10.0.0.2,0,132,16126,0.111506000
0.644991000,0.005298000,10.0.0.2,0,132,17574,0.109956000
0.651797000,0.006806000,10.0.0.2,0,132,19022,0.116714000
0.653379000,0.001582000,10.0.0.1,1448,39294,132,
0.653402000,0.000023000,10.0.0.1,1448,40742,132,
0.657463000,0.004061000,10.0.0.2,0,132,20470,0.106737000
0.663655000,0.006192000,10.0.0.2,0,132,21918,0.112871000
0.669565000,0.005910000,10.0.0.2,0,132,23366,0.104304000
0.675823000,0.006258000,10.0.0.2,0,132,24814,0.110534000
0.687039000,0.011216000,10.0.0.2,0,132,26262,0.106930000
0.693201000,0.006162000,10.0.0.2,0,132,27710,0.113047000
0.699838000,0.006637000,10.0.0.2,0,132,29158,0.105570000
0.705582000,0.005744000,10.0.0.2,0,132,30606,0.111255000
0.723763000,0.018181000,10.0.0.2,0,132,33502,0.113943000
0.735153000,0.011390000,10.0.0.2,0,132,36398,0.110701000
0.741281000,0.006128000,10.0.0.1,1448,42190,132,
0.741289000,0.000008000,10.0.0.1,1448,43638,132,
0.748563000,0.007274000,10.0.0.1,1448,45086,132,
0.748588000,0.000025000,10.0.0.1,1448,46534,132,
0.753500000,0.004912000,10.0.0.2,0,132,39294,0.114416000
0.760837000,0.007337000,10.0.0.1,1448,47982,132,
0.760873000,0.000036000,10.0.0.1,1448,49430,132,
0.770887000,0.010014000,10.0.0.2,0,132,42190,0.117485000
0.774619000,0.003732000,10.0.0.1,1448,50878,132,
0.774681000,0.000062000,10.0.0.1,1448,52326,132,
0.787450000,0.012769000,10.0.0.1,1448,53774,132,
0.787515000,0.000065000,10.0.0.1,1448,55222,132,
0.799994000,0.012479000,10.0.0.1,1448,56670,132,
0.800042000,0.000048000,10.0.0.1,1448,58118,132,
0.812345000,0.012303000,10.0.0.1,1448,59566,132,
0.812384000,0.000039000,10.0.0.1,1448,61014,132,
0.825279000,0.012895000,10.0.0.1,1448,62462,132,
0.825304000,0.000025000,10.0.0.1,1448,63910,132,
0.838111000,0.012807000,10.0.0.1,1448,65358,132,
0.838153000,0.000042000,10.0.0.1,1448,66806,132,
0.850797000,0.012644000,10.0.0.1,1448,68254,132,
0.850829000,0.000032000,10.0.0.1,1448,69702,132,
0.854960000,0.004131000,10.0.0.2,0,132,45086,0.113671000
0.860830000,0.005870000,10.0.0.2,0,132,46534,0.112267000
0.863056000,0.002226000,10.0.0.1,1448,71150,132,
0.863102000,0.000046000,10.0.0.1,1448,72598,132,
0.867127000,0.004025000,10.0.0.2,0,132,47982,0.118539000
0.875683000,0.008556000,10.0.0.1,1448,74046,132,
0.875737000,0.000054000,10.0.0.1,1448,75494,132,
0.879306000,0.003569000,10.0.0.2,0,132,49430,0.118469000
0.885943000,0.006637000,10.0.0.2,0,132,50878,0.125070000
0.887337000,0.001394000,10.0.0.1,1448,76942,132,
0.887378000,0.000041000,10.0.0.1,1448,78390,132,
0.892113000,0.004735000,10.0.0.2,0,132,52326,0.117494000
0.898088000,0.005975000,10.0.0.1,1448,79838,132,
0.898123000,0.000035000,10.0.0.1,1448,81286,132,
0.898406000,0.000283000,10.0.0.2,0,132,53774,0.123725000
0.903864000,0.005458000,10.0.0.2,0,132,55222,0.116414000
0.909947000,0.006083000,10.0.0.2,0,132,56670,0.122432000
0.910276000,0.000329000,10.0.0.1,1448,82734,132,
0.910300000,0.000024000,10.0.0.1,1448,84182,132,
0.915994000,0.005694000,10.0.0.2,0,132,58118,0.116000000
0.920644000,0.004650000,10.0.0.1,1448,85630,132,
0.920671000,0.000027000,10.0.0.1,1448,87078,132,
0.922020000,0.001349000,10.0.0.2,0,132,59566,0.121978000
0.927932000,0.005912000,10.0.0.2,0,132,61014,0.115587000
0.933253000,0.005321000,10.0.0.1,1448,88526,132,
0.933302000,0.000049000,10.0.0.1,1448,89974,132,
0.934266000,0.000964000,10.0.0.2,0,132,62462,0.121882000
0.940039000,0.005773000,10.0.0.2,0,132,63910,0.114760000
0.945534000,0.005495000,10.0.0.1,1448,91422,132,
0.945568000,0.000034000,10.0.0.1,1448,92870,132,
0.946367000,0.000799000,10.0.0.2,0,132,65358,0.121063000
0.951972000,0.005605000,10.0.0.2,0,132,66806,0.113861000
0.956436000,0.004464000,10.0.0.1,1448,94318,132,
0.956476000,0.000040000,10.0.0.1,1448,95766,132,
0.957955000,0.001479000,10.0.0.2,0,132,68254,0.119802000
0.963676000,0.005721000,10.0.0.1,1448,97214,132,
0.963709000,0.000033000,10.0.0.1,1448,98662,132,
0.963880000,0.000171000,10.0.0.2,0,132,69702,0.113083000
0.970713000,0.006833000,10.0.0.1,1448,100110,132,
0.970744000,0.000031000,10.0.0.1,1448,101558,132,
0.970758000,0.000014000,10.0.0.2,0,132,71150,0.119929000
0.976064000,0.005306000,10.0.0.2,0,132,72598,0.113008000
0.977898000,0.001834000,10.0.0.1,1448,103006,132,
0.977936000,0.000038000,10.0.0.1,1448,104454,132,
0.982107000,0.004171000,10.0.0.2,0,132,74046,0.119005000
0.985228000,0.003121000,10.0.0.1,1448,105902,132,
0.985307000,0.000079000,10.0.0.1,1448,107350,132,
0.988376000,0.003069000,10.0.0.2,0,132,75494,0.112693000
0.992462000,0.004086000,10.0.0.1,1448,108798,132,
0.992522000,0.000060000,10.0.0.1,1448,110246,132,
0.994350000,0.001828000,10.0.0.2,0,132,76942,0.118613000
0.999691000,0.005341000,10.0.0.1,1448,111694,132,
0.999746000,0.000055000,10.0.0.1,1448,113142,132,
1.000151000,0.000405000,10.0.0.2,0,132,78390,0.112814000
1.006077000,0.005926000,10.0.0.1,1448,114590,132,
1.006099000,0.000022000,10.0.0.1,1448,116038,132,
1.006186000,0.000087000,10.0.0.2,0,132,79838,0.118808000
1.012126000,0.005940000,10.0.0.2,0,132,81286,0.114038000
1.013605000,0.001479000,10.0.0.1,1448,117486,132,
1.013669000,0.000064000,10.0.0.1,1448,118934,132,
1.018524000,0.004855000,10.0.0.2,0,132,82734,0.120401000
1.020677000,0.002153000,10.0.0.1,1448,120382,132,
1.020702000,0.000025000,10.0.0.1,1448,121830,132,
1.023989000,0.003287000,10.0.0.2,0,132,84182,0.113713000
1.027648000,0.003659000,10.0.0.1,1448,123278,132,
1.027671000,0.000023000,10.0.0.1,1448,124726,132,
1.030020000,0.002349000,10.0.0.2,0,132,85630,0.119720000
1.035547000,0.005527000,10.0.0.1,1448,126174,132,
1.035570000,0.000023000,10.0.0.1,1448,127622,132,
1.042041000,0.006471000,10.0.0.1,1448,129070,132,
1.042050000,0.000009000,10.0.0.1,1448,130518,132,
1.042560000,0.000510000,10.0.0.2,0,132,87078,0.121916000
1.042605000,0.000045000,10.0.0.2,0,132,88526,0.121934000
1.048047000,0.005442000,10.0.0.2,0,132,89974,0.114794000
1.050266000,0.002219000,10.0.0.1,1448,131966,132,
1.050308000,0.000042000,10.0.0.1,1448,133414,132,
1.053866000,0.003558000,10.0.0.2,0,132,91422,0.120564000
1.055981000,0.002115000,10.0.0.1,1448,134862,132,
1.055994000,0.000013000,10.0.0.1,1448,136310,132,
1.063730000,0.007736000,10.0.0.1,1448,137758,132,
1.063756000,0.000026000,10.0.0.1,1448,139206,132,
1.066089000,0.002333000,10.0.0.2,0,132,92870,0.120555000
