frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.window_size,tcp.analysis.ack_rtt
0.000000000,0.000000000,10.0.0.2,0,0,0,64240,
0.233587000,0.233587000,10.0.0.1,0,0,1,65160,0.233587000
0.439771000,0.206184000,10.0.0.2,0,1,1,64256,0.206184000
0.439845000,0.000074000,10.0.0.2,131,1,1,64256,
0.640465000,0.039316000,10.0.0.1,0,1,132,65152,0.200620000
0.648754000,0.008289000,10.0.0.1,197,1,132,65152,
0.649967000,0.001213000,10.0.0.1,1448,198,132,65152,
0.651179000,0.001212000,10.0.0.1,1448,1646,132,65152,
0.651254000,0.000075000,10.0.0.1,1448,3094,132,65152,
0.651268000,0.000014000,10.0.0.1,1448,4542,132,65152,
0.651277000,0.000009000,10.0.0.1,1448,5990,132,65152,
0.651283000,0.000006000,10.0.0.1,1448,7438,132,65152,
0.651288000,0.000005000,10.0.0.1,1448,8886,132,65152,
0.651293000,0.000005000,10.0.0.1,1448,10334,132,65152,
0.651299000,0.000006000,10.0.0.1,1448,11782,132,65152,
0.855481000,0.138314000,10.0.0.2,0,132,198,64128,0.206727000
0.861739000,0.006258000,10.0.0.2,0,132,1646,67072,0.211772000
0.867939000,0.006200000,10.0.0.2,0,132,3094,70016,0.216760000
0.874076000,0.006137000,10.0.0.2,0,132,4542,72832,0.222822000
0.879461000,0.005385000,10.0.0.2,0,132,5990,75776,0.228193000
0.885592000,0.006131000,10.0.0.2,0,132,7438,78720,0.234315000
0.891750000,0.006158000,10.0.0.2,0,132,8886,80512,0.240467000
0.898114000,0.006364000,10.0.0.2,0,132,10334,80512,0.246826000
0.903952000,0.005838000,10.0.0.2,0,132,11782,80512,0.252659000
0.909590000,0.000374000,10.0.0.2,0,132,13230,80512,0.258291000
1.085574000,0.175984000,10.0.0.1,1448,13230,132,65152,
1.085657000,0.000083000,10.0.0.1,1448,14678,132,65152,
1.100036000,0.014379000,10.0.0.1,1448,16126,132,65152,
1.107219000,0.007183000,10.0.0.1,1448,17574,132,65152,
1.121928000,0.014709000,10.0.0.1,1448,19022,132,65152,
1.136345000,0.014417000,10.0.0.1,1448,20470,132,65152,
1.150559000,0.014214000,10.0.0.1,1448,21918,132,65152,
1.164802000,0.014243000,10.0.0.1,1448,23366,132,65152,
1.179325000,0.014523000,10.0.0.1,1448,24814,132,65152,
1.199763000,0.020438000,10.0.0.1,1448,26262,132,65152,
1.207962000,0.008199000,10.0.0.1,1448,27710,132,65152,
1.222219000,0.014257000,10.0.0.1,1448,29158,132,65152,
1.236459000,0.014240000,10.0.0.1,1448,30606,132,65152,
1.250674000,0.014215000,10.0.0.1,1448,32054,132,65152,
1.264922000,0.014248000,10.0.0.1,1448,33502,132,65152,
1.280232000,0.015310000,10.0.0.1,1448,34950,132,65152,
1.293502000,0.013270000,10.0.0.1,1448,36398,132,65152,
1.294769000,0.001267000,10.0.0.2,0,132,14678,80512,0.209195000
1.301957000,0.007188000,10.0.0.2,0,132,16126,80512,0.216300000
1.307728000,0.005771000,10.0.0.1,1448,37846,132,65152,
1.308182000,0.000454000,10.0.0.2,0,132,17574,80512,0.208146000
1.313777000,0.005595000,10.0.0.2,0,132,19022,80512,0.206558000
1.323463000,0.009686000,10.0.0.1,1448,39294,132,65152,
1.332060000,0.008597000,10.0.0.2,0,132,20470,80512,0.210132000
1.336535000,0.004475000,10.0.0.1,1448,40742,132,65152,
1.344174000,0.007639000,10.0.0.2,0,132,21918,80512,0.207829000
1.361709000,0.017535000,10.0.0.2,0,132,23366,80512,0.211150000
1.399371000,0.037662000,10.0.0.2,0,132,24814,80512,0.234569000
1.404310000,0.004939000,10.0.0.2,0,132,26262,80512,0.224985000
1.409660000,0.005350000,10.0.0.2,0,132,27710,80512,0.209897000
1.415979000,0.006319000,10.0.0.2,0,132,29158,80512,0.208017000
1.445533000,0.019458000,10.0.0.2,0,132,32054,80512,0.209074000
1.475747000,0.030214000,10.0.0.2,0,132,34950,80512,0.210825000
1.495334000,0.019587000,10.0.0.1,1448,42190,132,65152,
1.499720000,0.004386000,10.0.0.2,0,132,37846,80512,0.206218000
1.503603000,0.003883000,10.0.0.1,1448,43638,132,65152,
1.516757000,0.013154000,10.0.0.1,1448,45086,132,65152,
1.532124000,0.015367000,10.0.0.1,1448,46534,132,65152,
1.541981000,0.009857000,10.0.0.2,0,132,40742,80512,0.218518000
1.545391000,0.003410000,10.0.0.1,1448,47982,132,65152,
1.559507000,0.014116000,10.0.0.1,1448,49430,132,65152,
1.573697000,0.014190000,10.0.0.1,1448,50878,132,65152,
1.588060000,0.014363000,10.0.0.1,1448,52326,132,65152,
1.596253000,0.008193000,10.0.0.2,0,132,42190,80512,0.259718000
1.602311000,0.006058000,10.0.0.1,1448,53774,132,65152,
1.616729000,0.014418000,10.0.0.1,1448,55222,132,65152,
1.630914000,0.014185000,10.0.0.1,1448,56670,132,65152,
1.646158000,0.015244000,10.0.0.1,1448,58118,132,65152,
1.659399000,0.013241000,10.0.0.1,1448,59566,132,65152,
1.673725000,0.014326000,10.0.0.1,1448,61014,132,65152,
1.689100000,0.015375000,10.0.0.1,1448,62462,132,65152,
1.702490000,0.013390000,10.0.0.1,1448,63910,132,65152,
1.711123000,0.008633000,10.0.0.2,0,132,45086,80512,0.207520000
1.715949000,0.004826000,10.0.0.1,1448,65358,132,65152,
1.728965000,0.013016000,10.0.0.1,1448,66806,132,65152,
1.740201000,0.011236000,10.0.0.2,0,132,47982,83456,0.208077000
1.741916000,0.001715000,10.0.0.1,1448,68254,132,65152,
1.752370000,0.010454000,10.0.0.2,0,132,49430,86272,0.206979000
1.755990000,0.003620000,10.0.0.1,1448,69702,132,65152,
1.764962000,0.008972000,10.0.0.2,0,132,50878,89216,0.205455000
1.767953000,0.002991000,10.0.0.1,1448,71150,132,65152,
1.780082000,0.012129000,10.0.0.1,1448,72598,132,65152,
1.783050000,0.002968000,10.0.0.2,0,132,52326,92160,0.209353000
1.793082000,0.010032000,10.0.0.1,1448,74046,132,65152,
1.794844000,0.001762000,10.0.0.2,0,132,53774,94976,0.206784000
1.804197000,0.009353000,10.0.0.1,1448,75494,132,65152,
1.813300000,0.009103000,10.0.0.2,0,132,55222,97920,0.210989000
1.816218000,0.002918000,10.0.0.1,1448,76942,132,65152,
1.825510000,0.009292000,10.0.0.2,0,132,56670,100864,0.208781000
1.829136000,0.003626000,10.0.0.1,1448,78390,132,65152,
1.837348000,0.008212000,10.0.0.2,0,132,58118,103680,0.206434000
1.840406000,0.003058000,10.0.0.1,1448,79838,132,65152,
1.853087000,0.012681000,10.0.0.1,1448,81286,132,65152,
1.855673000,0.002586000,10.0.0.2,0,132,59566,106624,0.209515000
1.864924000,0.009251000,10.0.0.1,1448,82734,132,65152,
1.867190000,0.002266000,10.0.0.2,0,132,61014,109440,0.207791000
1.876886000,0.009696000,10.0.0.1,1448,84182,132,65152,
1.880012000,0.003126000,10.0.0.2,0,132,62462,112384,0.206287000
1.888792000,0.008780000,10.0.0.1,1448,85630,132,65152,
1.898169000,0.009377000,10.0.0.2,0,132,63910,115328,0.209069000
1.901009000,0.002840000,10.0.0.1,1448,87078,132,65152,
1.910143000,0.009134000,10.0.0.2,0,132,65358,118144,0.207653000
1.913539000,0.003396000,10.0.0.1,1448,88526,132,65152,
1.913613000,0.000074000,10.0.0.1,1448,89974,132,65152,
1.927644000,0.014031000,10.0.0.2,0,132,66806,121088,0.211695000
1.928113000,0.000469000,10.0.0.1,1448,91422,132,65152,
1.928170000,0.000057000,10.0.0.1,1448,92870,132,65152,
1.939975000,0.011805000,10.0.0.2,0,132,68254,124032,0.211010000
1.942678000,0.002703000,10.0.0.1,1448,94318,132,65152,
1.942770000,0.000092000,10.0.0.1,1448,95766,132,65152,
1.951715000,0.008945000,10.0.0.2,0,132,69702,126848,0.209799000
1.957400000,0.005685000,10.0.0.1,1448,97214,132,65152,
1.957468000,0.000068000,10.0.0.1,1448,98662,132,65152,
1.964004000,0.006536000,10.0.0.2,0,132,71150,129792,0.208014000
1.972981000,0.008977000,10.0.0.1,1448,100110,132,65152,
1.973050000,0.000069000,10.0.0.1,1448,101558,132,65152,
1.975739000,0.002689000,10.0.0.2,0,132,72598,132608,0.207786000
1.987211000,0.011472000,10.0.0.2,0,132,74046,135552,0.207129000
1.987485000,0.000274000,10.0.0.1,1448,103006,132,65152,
1.987555000,0.000070000,10.0.0.1,1448,104454,132,65152,
1.999510000,0.011955000,10.0.0.2,0,132,75494,138496,0.206428000
2.003057000,0.003547000,10.0.0.1,1448,105902,132,65152,
2.003125000,0.000068000,10.0.0.1,1448,107350,132,65152,
2.011827000,0.008702000,10.0.0.2,0,132,76942,141312,0.207630000
2.016672000,0.004845000,10.0.0.1,1448,108798,132,65152,
2.016751000,0.000079000,10.0.0.1,1448,110246,132,65152,
2.023449000,0.006698000,10.0.0.2,0,132,78390,144256,0.207231000
2.031240000,0.007791000,10.0.0.1,1448,111694,132,65152,
2.031349000,0.000109000,10.0.0.1,1448,113142,132,65152,
2.035943000,0.004594000,10.0.0.2,0,132,79838,147200,0.206807000
2.046795000,0.010852000,10.0.0.1,1448,114590,132,65152,
2.046857000,0.000062000,10.0.0.1,1448,116038,132,65152,
2.047588000,0.000731000,10.0.0.2,0,132,81286,150016,0.207182000
2.060407000,0.012819000,10.0.0.1,1448,117486,132,65152,
2.060501000,0.000094000,10.0.0.1,1448,118934,132,65152,
2.060825000,0.000324000,10.0.0.2,0,132,82734,152960,0.207738000
2.072244000,0.011419000,10.0.0.2,0,132,84182,155776,0.207320000
2.075973000,0.003729000,10.0.0.1,1448,120382,132,65152,
2.076025000,0.000052000,10.0.0.1,1448,121830,132,65152,
2.084902000,0.008877000,10.0.0.2,0,132,85630,158720,0.208016000
2.089363000,0.004461000,10.0.0.1,1448,123278,132,65152,
2.089424000,0.000061000,10.0.0.1,1448,124726,132,65152,
2.096228000,0.006804000,10.0.0.2,0,132,87078,161664,0.207436000
2.104578000,0.008350000,10.0.0.1,1448,126174,132,65152,
