frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.analysis.ack_rtt
0.000000000,0.000000000,10.0.0.2,0,0,0,
0.105535000,0.105535000,10.0.0.1,0,0,1,0.105535000
0.216616000,0.111081000,10.0.0.2,0,1,1,0.111081000
0.216661000,0.000045000,10.0.0.2,131,1,1,
0.318778000,0.102117000,10.0.0.1,0,1,132,0.102117000
0.330050000,0.002667000,10.0.0.1,197,1,132,
0.332259000,0.002209000,10.0.0.1,1448,198,132,
0.332320000,0.000061000,10.0.0.1,1448,1646,132,
0.332328000,0.000008000,10.0.0.1,1448,3094,132,
0.332336000,0.000008000,10.0.0.1,1448,4542,132,
0.332342000,0.000006000,10.0.0.1,1448,5990,132,
0.332349000,0.000007000,10.0.0.1,1448,7438,132,
0.332355000,0.000006000,10.0.0.1,1448,8886,132,
0.332363000,0.000008000,10.0.0.1,1448,10334,132,
0.332369000,0.000006000,10.0.0.1,1448,11782,132,
0.433771000,0.075901000,10.0.0.2,0,132,198,0.103721000
0.445584000,0.011813000,10.0.0.2,0,132,1646,0.113325000
0.445651000,0.000067000,10.0.0.2,0,132,3094,0.113331000
0.451562000,0.005911000,10.0.0.2,0,132,4542,0.119234000
0.457821000,0.006259000,10.0.0.2,0,132,5990,0.125485000
0.469130000,0.011309000,10.0.0.2,0,132,7438,0.136788000
0.475527000,0.006397000,10.0.0.2,0,132,8886,0.143178000
0.481808000,0.006281000,10.0.0.2,0,132,10334,0.149453000
0.487188000,0.005380000,10.0.0.2,0,132,11782,0.154825000
0.493400000,0.006212000,10.0.0.2,0,132,13230,0.161031000
0.534870000,0.041470000,10.0.0.1,1448,13230,132,
0.534904000,0.000034000,10.0.0.1,1448,14678,132,
0.546411000,0.011507000,10.0.0.1,1448,16126,132,
0.546457000,0.000046000,10.0.0.1,1448,17574,132,
0.546462000,0.000005000,10.0.0.1,1448,19022,132,
0.546464000,0.000002000,10.0.0.1,1448,20470,132,
0.552568000,0.006104000,10.0.0.1,1448,21918,132,
0.552601000,0.000033000,10.0.0.1,1448,23366,132,
0.558834000,0.006233000,10.0.0.1,1448,24814,132,
0.558924000,0.000090000,10.0.0.1,1448,26262,132,
0.569231000,0.010307000,10.0.0.1,1448,27710,132,
0.569351000,0.000120000,10.0.0.1,1448,29158,132,
0.575557000,0.006206000,10.0.0.1,1448,30606,132,
0.575622000,0.000065000,10.0.0.1,1448,32054,132,
0.582857000,0.007235000,10.0.0.1,1448,33502,132,
0.582946000,0.000089000,10.0.0.1,1448,34950,132,
0.588115000,0.005169000,10.0.0.1,1448,36398,132,
0.588189000,0.000074000,10.0.0.1,1448,37846,132,
0.593385000,0.005196000,10.0.0.1,1448,39294,132,
0.593467000,0.000082000,10.0.0.1,1448,40742,132,
0.638537000,0.045070000,10.0.0.2,0,132,14678,0.103667000
0.644987000,0.006450000,10.0.0.2,0,132,16126,0.110083000
0.650753000,0.005766000,10.0.0.2,0,132,17574,0.104342000
0.662037000,0.011284000,10.0.0.2,0,132,19022,0.115580000
0.668303000,0.006266000,10.0.0.2,0,132,20470,0.121841000
0.674836000,0.006533000,10.0.0.2,0,132,21918,0.128372000
0.674928000,0.000092000,10.0.0.2,0,132,23366,0.122360000
0.686417000,0.011489000,10.0.0.2,0,132,24814,0.133816000
0.686459000,0.000042000,10.0.0.2,0,132,26262,0.127625000
0.692666000,0.006207000,10.0.0.2,0,132,27710,0.133742000
0.704046000,0.011380000,10.0.0.2,0,132,29158,0.134815000
0.710381000,0.006335000,10.0.0.2,0,132,30606,0.141030000
0.722767000,0.012386000,10.0.0.2,0,132,33502,0.147145000
0.734737000,0.005059000,10.0.0.2,0,132,36398,0.151791000
0.739522000,0.004785000,10.0.0.1,1448,42190,132,
0.739670000,0.000148000,10.0.0.1,1448,43638,132,
0.746161000,0.006491000,10.0.0.2,0,132,39294,0.157972000
0.746270000,0.000109000,10.0.0.1,1448,45086,132,
0.746432000,0.000162000,10.0.0.1,1448,46534,132,
0.751666000,0.005234000,10.0.0.1,1448,47982,132,
0.751777000,0.000111000,10.0.0.1,1448,49430,132,
0.752745000,0.000968000,10.0.0.2,0,132,42190,0.159278000
0.763344000,0.010599000,10.0.0.1,1448,50878,132,
0.763483000,0.000139000,10.0.0.1,1448,52326,132,
0.768773000,0.005290000,10.0.0.1,1448,53774,132,
0.768910000,0.000137000,10.0.0.1,1448,55222,132,
0.775537000,0.000403000,10.0.0.1,1448,56670,132,
0.775593000,0.000056000,10.0.0.1,1448,58118,132,
0.775600000,0.000007000,10.0.0.1,1448,59566,132,
0.775605000,0.000005000,10.0.0.1,1448,61014,132,
0.786609000,0.011004000,10.0.0.1,1448,62462,132,
0.786648000,0.000039000,10.0.0.1,1448,63910,132,
0.786653000,0.000005000,10.0.0.1,1448,65358,132,
0.786657000,0.000004000,10.0.0.1,1448,66806,132,
0.793822000,0.007165000,10.0.0.1,1448,68254,132,
0.793875000,0.000053000,10.0.0.1,1448,69702,132,
0.804060000,0.010185000,10.0.0.1,1448,71150,132,
0.804109000,0.000049000,10.0.0.1,1448,72598,132,
0.811302000,0.007193000,10.0.0.1,1448,74046,132,
0.811368000,0.000066000,10.0.0.1,1448,75494,132,
0.823560000,0.012192000,10.0.0.1,1448,76942,132,
0.823636000,0.000076000,10.0.0.1,1448,78390,132,
0.823646000,0.000010000,10.0.0.1,1448,79838,132,
0.823653000,0.000007000,10.0.0.1,1448,81286,132,
0.835825000,0.012172000,10.0.0.1,1448,82734,132,
0.835877000,0.000052000,10.0.0.1,1448,84182,132,
0.835883000,0.000006000,10.0.0.1,1448,85630,132,
0.835887000,0.000004000,10.0.0.1,1448,87078,132,
0.846022000,0.010135000,10.0.0.1,1448,88526,132,
0.846072000,0.000050000,10.0.0.1,1448,89974,132,
0.846078000,0.000006000,10.0.0.1,1448,91422,132,
0.846082000,0.000004000,10.0.0.1,1448,92870,132,
0.854207000,0.008125000,10.0.0.2,0,132,45086,0.114537000
0.854253000,0.000046000,10.0.0.1,1448,94318,132,
0.854294000,0.000041000,10.0.0.1,1448,95766,132,
0.854298000,0.000004000,10.0.0.1,1448,97214,132,
0.854302000,0.000004000,10.0.0.1,1448,98662,132,
0.861231000,0.006929000,10.0.0.2,0,132,47982,0.114799000
0.873523000,0.012292000,10.0.0.2,0,132,50878,0.121746000
0.879884000,0.006361000,10.0.0.2,0,132,52326,0.116540000
0.885185000,0.005301000,10.0.0.2,0,132,53774,0.121702000
0.897555000,0.012370000,10.0.0.2,0,132,55222,0.128782000
0.897593000,0.000038000,10.0.0.2,0,132,56670,0.128683000
0.903787000,0.006194000,10.0.0.2,0,132,58118,0.128250000
0.915194000,0.011407000,10.0.0.2,0,132,59566,0.139601000
0.915248000,0.000054000,10.0.0.2,0,132,61014,0.139648000
0.921481000,0.006233000,10.0.0.2,0,132,62462,0.145876000
0.927930000,0.006449000,10.0.0.2,0,132,63910,0.141321000
0.933914000,0.005984000,10.0.0.2,0,132,65358,0.147266000
0.939325000,0.005411000,10.0.0.2,0,132,66806,0.152672000
0.945537000,0.006212000,10.0.0.2,0,132,68254,0.158880000
0.951488000,0.005951000,10.0.0.2,0,132,69702,0.157666000
0.954502000,0.003014000,10.0.0.1,1448,100110,132,
0.954549000,0.000047000,10.0.0.1,1448,101558,132,
0.954555000,0.000006000,10.0.0.1,1448,103006,132,
0.954559000,0.000004000,10.0.0.1,1448,104454,132,
0.957638000,0.003079000,10.0.0.2,0,132,71150,0.163763000
0.960988000,0.003350000,10.0.0.1,1448,105902,132,
0.961051000,0.000063000,10.0.0.1,1448,107350,132,
0.961058000,0.000007000,10.0.0.1,1448,108798,132,
0.961063000,0.000005000,10.0.0.1,1448,110246,132,
0.969655000,0.008592000,10.0.0.2,0,132,72598,0.165595000
0.975262000,0.005607000,10.0.0.2,0,132,74046,0.171153000
0.975303000,0.000041000,10.0.0.2,0,132,75494,0.164001000
0.975600000,0.000297000,10.0.0.1,1448,111694,132,
0.975642000,0.000042000,10.0.0.1,1448,113142,132,
0.975647000,0.000005000,10.0.0.1,1448,114590,132,
0.975651000,0.000004000,10.0.0.1,1448,116038,132,
0.980690000,0.005039000,10.0.0.1,1448,117486,132,
0.980723000,0.000033000,10.0.0.1,1448,118934,132,
0.981558000,0.000835000,10.0.0.2,0,132,76942,0.170190000
0.984943000,0.003385000,10.0.0.1,1448,120382,132,
0.993963000,0.009020000,10.0.0.2,0,132,78390,0.170403000
0.998454000,0.004491000,10.0.0.1,1448,121830,132,
0.998512000,0.000058000,10.0.0.1,1448,123278,132,
0.998518000,0.000006000,10.0.0.1,1448,124726,132,
0.998522000,0.000004000,10.0.0.1,1448,126174,132,
0.999040000,0.000518000,10.0.0.2,0,132,79838,0.175404000
1.001605000,0.002565000,10.0.0.1,1448,127622,132,
1.005837000,0.004232000,10.0.0.1,1448,129070,132,
1.005862000,0.000025000,10.0.0.2,0,132,81286,0.182216000
1.005901000,0.000039000,10.0.0.1,1448,130518,132,
1.005927000,0.000026000,10.0.0.2,0,132,82734,0.182274000
1.016603000,0.010676000,10.0.0.1,1448,131966,132,
1.016738000,0.000135000,10.0.0.1,1448,133414,132,
1.016759000,0.000021000,10.0.0.1,1448,134862,132,
1.016769000,0.000010000,10.0.0.1,1448,136310,132,
1.017285000,0.000516000,10.0.0.2,0,132,84182,0.181460000
1.017338000,0.000053000,10.0.0.2,0,132,85630,0.181461000
1.020848000,0.003510000,10.0.0.1,1448,137758,132,
1.021047000,0.000199000,10.0.0.1,1448,139206,132,
1.028564000,0.007517000,10.0.0.1,1448,140654,132,
1.028612000,0.000048000,10.0.0.1,1448,142102,132,
1.029684000,0.001072000,10.0.0.2,0,132,87078,0.193801000
1.029746000,0.000062000,10.0.0.2,0,132,88526,0.193859000
1.035509000,0.005763000,10.0.0.2,0,132,89974,0.189487000
1.035556000,0.000047000,10.0.0.1,1448,143550,132,
1.035596000,0.000040000,10.0.0.1,1448,144998,132,
1.039717000,0.004121000,10.0.0.1,1448,146446,132,
1.039757000,0.000040000,10.0.0.1,1448,147894,132,
1.041577000,0.001820000,10.0.0.2,0,132,91422,0.195505000
1.044930000,0.003353000,10.0.0.1,1448,149342,132,
1.044957000,0.000027000,10.0.0.1,1448,150790,132,
1.051305000,0.006348000,10.0.0.1,1448,152238,132,
1.051341000,0.000036000,10.0.0.1,1448,153686,132,
1.054097000,0.002756000,10.0.0.2,0,132,92870,0.208019000
1.056829000,0.002732000,10.0.0.1,1448,155134,132,
1.056977000,0.000148000,10.0.0.1,1448,156582,132,
1.059605000,0.002628000,10.0.0.2,0,132,94318,0.213523000
1.065572000,0.005967000,10.0.0.2,0,132,95766,0.211319000
1.071394000,0.005822000,10.0.0.2,0,132,97214,0.217100000
1.071592000,0.000198000,10.0.0.1,1448,158030,132,
1.071711000,0.000119000,10.0.0.1,1448,159478,132,
1.076950000,0.005239000,10.0.0.1,1448,160926,132,
1.077023000,0.000073000,10.0.0.1,1448,162374,132,
1.077030000,0.000007000,10.0.0.1,1448,163822,132,
1.077035000,0.000005000,10.0.0.1,1448,165270,132,
1.077588000,0.000553000,10.0.0.2,0,132,98662,0.223290000
1.081035000,0.003447000,10.0.0.1,1448,166718,132,
1.081087000,0.000052000,10.0.0.1,1448,168166,132,
1.084017000,0.002930000,10.0.0.2,0,132,100110,0.229715000
1.089172000,0.005155000,10.0.0.2,0,132,101558,0.134670000
1.095051000,0.005879000,10.0.0.1,1448,169614,132,
1.095091000,0.000040000,10.0.0.1,1448,171062,132,
1.095681000,0.000590000,10.0.0.2,0,132,103006,0.141132000
1.099184000,0.003503000,10.0.0.1,1448,172510,132,
1.099205000,0.000021000,10.0.0.1,1448,173958,132,
1.106487000,0.007282000,10.0.0.1,1448,175406,132,
1.106555000,0.000068000,10.0.0.1,1448,176854,132,
1.107227000,0.000672000,10.0.0.2,0,132,104454,0.152672000
1.107750000,0.000523000,10.0.0.1,1448,178302,132,
1.107873000,0.000123000,10.0.0.1,1448,179750,132,
1.114106000,0.006233000,10.0.0.2,0,132,105902,0.159547000
1.118878000,0.004772000,10.0.0.1,1448,181198,132,
1.118965000,0.000087000,10.0.0.1,1448,182646,132,
1.118974000,0.000009000,10.0.0.1,1448,184094,132,
1.118981000,0.000007000,10.0.0.1,1448,185542,132,
1.120343000,0.001362000,10.0.0.2,0,132,107350,0.159355000
1.120389000,0.000046000,10.0.0.2,0,132,108798,0.159338000
1.126743000,0.006354000,10.0.0.2,0,132,110246,0.165685000
1.131504000,0.004761000,10.0.0.1,1448,186990,132,
1.131577000,0.000073000,10.0.0.1,1448,188438,132,
1.131586000,0.000009000,10.0.0.1,1448,189886,132,
1.131592000,0.000006000,10.0.0.1,1448,191334,132,
1.135668000,0.004076000,10.0.0.1,1448,192782,132,
1.135759000,0.000091000,10.0.0.1,1448,194230,132,
1.138204000,0.002445000,10.0.0.2,0,132,111694,0.177141000
1.143206000,0.005002000,10.0.0.1,1448,195678,132,
1.143338000,0.000132000,10.0.0.1,1448,197126,132,
1.144222000,0.000884000,10.0.0.2,0,132,113142,0.168622000
