frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.window_size,tcp.analysis.ack_rtt
0.150858000,0.132113000,10.0.0.2,0,0,0,64240,
0.255855000,0.059992000,10.0.0.1,0,0,1,65160,0.104997000
0.367192000,0.111337000,10.0.0.2,0,1,1,64256,0.111337000
0.367256000,0.000064000,10.0.0.2,131,1,1,64256,
0.468790000,0.101534000,10.0.0.1,0,1,132,65152,0.101534000
0.482130000,0.002277000,10.0.0.1,197,1,132,65152,
0.483348000,0.001218000,10.0.0.1,1448,198,132,65152,
0.483394000,0.000046000,10.0.0.1,1448,1646,132,65152,
0.483400000,0.000006000,10.0.0.1,1448,3094,132,65152,
0.483404000,0.000004000,10.0.0.1,1448,4542,132,65152,
0.483408000,0.000004000,10.0.0.1,1448,5990,132,65152,
0.483412000,0.000004000,10.0.0.1,1448,7438,132,65152,
0.483418000,0.000006000,10.0.0.1,1448,8886,132,65152,
0.483423000,0.000005000,10.0.0.1,1448,10334,132,65152,
0.483426000,0.000003000,10.0.0.1,1448,11782,132,65152,
0.596716000,0.113290000,10.0.0.2,0,132,198,64128,0.114586000
0.596771000,0.000055000,10.0.0.2,0,132,1646,67072,0.113423000
0.602988000,0.006217000,10.0.0.2,0,132,3094,70016,0.119594000
0.614364000,0.011376000,10.0.0.2,0,132,4542,72832,0.130964000
0.620364000,0.006000000,10.0.0.2,0,132,5990,75776,0.136960000
0.620423000,0.000059000,10.0.0.2,0,132,7438,78720,0.137015000
0.626700000,0.006277000,10.0.0.2,0,132,8886,80512,0.143288000
0.633126000,0.006426000,10.0.0.2,0,132,10334,80512,0.149708000
0.638758000,0.005632000,10.0.0.2,0,132,11782,80512,0.155335000
0.650575000,0.011817000,10.0.0.2,0,132,13230,80512,0.167149000
0.697091000,0.046516000,10.0.0.1,1448,13230,132,65152,
0.697186000,0.000095000,10.0.0.1,1448,14678,132,65152,
0.697197000,0.000011000,10.0.0.1,1448,16126,132,65152,
0.697204000,0.000007000,10.0.0.1,1448,17574,132,65152,
0.704386000,0.007182000,10.0.0.1,1448,19022,132,65152,
0.704439000,0.000053000,10.0.0.1,1448,20470,132,65152,
0.714841000,0.010402000,10.0.0.1,1448,21918,132,65152,
0.714970000,0.000129000,10.0.0.1,1448,23366,132,65152,
0.722338000,0.007368000,10.0.0.1,1448,24814,132,65152,
0.722389000,0.000051000,10.0.0.1,1448,26262,132,65152,
0.722396000,0.000007000,10.0.0.1,1448,27710,132,65152,
0.722400000,0.000004000,10.0.0.1,1448,29158,132,65152,
0.727792000,0.005392000,10.0.0.1,1448,30606,132,65152,
0.727851000,0.000059000,10.0.0.1,1448,32054,132,65152,
0.734224000,0.006373000,10.0.0.1,1448,33502,132,65152,
0.734337000,0.000113000,10.0.0.1,1448,34950,132,65152,
0.739627000,0.005290000,10.0.0.1,1448,36398,132,65152,
0.739744000,0.000117000,10.0.0.1,1448,37846,132,65152,
0.752087000,0.012343000,10.0.0.1,1448,39294,132,65152,
0.752259000,0.000172000,10.0.0.1,1448,40742,132,65152,
0.801934000,0.049675000,10.0.0.2,0,132,14678,80512,0.104843000
0.807953000,0.006019000,10.0.0.2,0,132,16126,80512,0.110767000
0.814340000,0.006387000,10.0.0.2,0,132,17574,80512,0.117143000
0.819558000,0.005218000,10.0.0.2,0,132,19022,80512,0.122354000
0.825749000,0.006191000,10.0.0.2,0,132,20470,80512,0.121363000
0.832233000,0.006484000,10.0.0.2,0,132,21918,80512,0.127794000
0.838154000,0.005921000,10.0.0.2,0,132,23366,80512,0.123313000
0.849646000,0.011492000,10.0.0.2,0,132,24814,80512,0.134676000
0.849693000,0.000047000,10.0.0.2,0,132,26262,80512,0.127355000
0.861986000,0.010806000,10.0.0.2,0,132,27710,80512,0.139597000
0.862041000,0.000055000,10.0.0.2,0,132,29158,80512,0.139645000
0.867926000,0.005837000,10.0.0.2,0,132,30606,80512,0.145526000
0.879937000,0.012011000,10.0.0.2,0,132,33502,80512,0.152086000
0.891280000,0.011343000,10.0.0.2,0,132,36398,80512,0.156943000
0.903511000,0.012231000,10.0.0.2,0,132,39294,80512,0.163767000
0.904062000,0.000551000,10.0.0.1,1448,42190,132,65152,
0.904138000,0.000076000,10.0.0.1,1448,43638,132,65152,
0.908261000,0.004123000,10.0.0.1,1448,45086,132,65152,
0.908306000,0.000045000,10.0.0.1,1448,46534,132,65152,
0.914506000,0.006200000,10.0.0.1,1448,47982,132,65152,
0.914581000,0.000075000,10.0.0.1,1448,49430,132,65152,
0.919819000,0.005238000,10.0.0.1,1448,50878,132,65152,
0.919873000,0.000054000,10.0.0.1,1448,52326,132,65152,
0.921685000,0.001812000,10.0.0.2,0,132,42190,80512,0.169426000
0.928104000,0.006419000,10.0.0.1,1448,53774,132,65152,
0.928182000,0.000078000,10.0.0.1,1448,55222,132,65152,
0.932302000,0.004120000,10.0.0.1,1448,56670,132,65152,
0.932361000,0.000059000,10.0.0.1,1448,58118,132,65152,
0.938499000,0.006138000,10.0.0.1,1448,59566,132,65152,
0.938552000,0.000053000,10.0.0.1,1448,61014,132,65152,
0.949501000,0.010949000,10.0.0.1,1448,62462,132,65152,
0.949563000,0.000062000,10.0.0.1,1448,63910,132,65152,
0.949572000,0.000009000,10.0.0.1,1448,65358,132,65152,
0.949579000,0.000007000,10.0.0.1,1448,66806,132,65152,
0.963882000,0.014303000,10.0.0.1,1448,68254,132,65152,
0.963935000,0.000053000,10.0.0.1,1448,69702,132,65152,
0.963941000,0.000006000,10.0.0.1,1448,71150,132,65152,
0.963947000,0.000006000,10.0.0.1,1448,72598,132,65152,
0.969182000,0.005235000,10.0.0.1,1448,74046,132,65152,
0.969213000,0.000031000,10.0.0.1,1448,75494,132,65152,
0.981279000,0.012066000,10.0.0.1,1448,76942,132,65152,
0.981327000,0.000048000,10.0.0.1,1448,78390,132,65152,
0.981332000,0.000005000,10.0.0.1,1448,79838,132,65152,
0.981336000,0.000004000,10.0.0.1,1448,81286,132,65152,
0.991492000,0.010156000,10.0.0.1,1448,82734,132,65152,
0.991536000,0.000044000,10.0.0.1,1448,84182,132,65152,
0.991541000,0.000005000,10.0.0.1,1448,85630,132,65152,
0.991545000,0.000004000,10.0.0.1,1448,87078,132,65152,
1.003734000,0.012189000,10.0.0.1,1448,88526,132,65152,
1.003797000,0.000063000,10.0.0.1,1448,89974,132,65152,
1.003803000,0.000006000,10.0.0.1,1448,91422,132,65152,
1.003806000,0.000003000,10.0.0.1,1448,92870,132,65152,
1.018755000,0.014949000,10.0.0.2,0,132,45086,80512,0.114617000
1.023015000,0.004260000,10.0.0.1,1448,94318,132,65152,
1.023097000,0.000082000,10.0.0.1,1448,95766,132,65152,
1.023105000,0.000008000,10.0.0.1,1448,97214,132,65152,
1.023111000,0.000006000,10.0.0.1,1448,98662,132,65152,
1.030702000,0.007591000,10.0.0.2,0,132,47982,80512,0.122396000
1.043012000,0.012310000,10.0.0.2,0,132,50878,83456,0.128431000
1.049148000,0.006136000,10.0.0.2,0,132,52326,86272,0.129329000
1.054557000,0.005409000,10.0.0.2,0,132,53774,89216,0.134684000
1.060881000,0.006324000,10.0.0.2,0,132,55222,92160,0.132777000
1.072465000,0.011584000,10.0.0.2,0,132,56670,94976,0.144283000
1.072505000,0.000040000,10.0.0.2,0,132,58118,97920,0.140203000
1.078436000,0.005931000,10.0.0.2,0,132,59566,100864,0.146075000
1.084792000,0.006356000,10.0.0.2,0,132,61014,103680,0.146293000
1.090880000,0.006088000,10.0.0.2,0,132,62462,106624,0.152328000
1.096959000,0.006079000,10.0.0.2,0,132,63910,109440,0.147458000
1.108369000,0.011410000,10.0.0.2,0,132,65358,112384,0.158806000
1.114910000,0.006541000,10.0.0.2,0,132,66806,115328,0.165338000
1.115002000,0.000092000,10.0.0.2,0,132,68254,118144,0.165423000
1.119959000,0.004957000,10.0.0.1,1448,100110,132,65152,
1.120026000,0.000067000,10.0.0.1,1448,101558,132,65152,
1.120032000,0.000006000,10.0.0.1,1448,103006,132,65152,
1.120037000,0.000005000,10.0.0.1,1448,104454,132,65152,
1.120831000,0.000794000,10.0.0.2,0,132,69702,121088,0.156949000
1.131005000,0.010174000,10.0.0.1,1448,105902,132,65152,
1.131076000,0.000071000,10.0.0.1,1448,107350,132,65152,
1.131083000,0.000007000,10.0.0.1,1448,108798,132,65152,
1.131088000,0.000005000,10.0.0.1,1448,110246,132,65152,
1.132392000,0.001304000,10.0.0.2,0,132,71150,124032,0.168457000
1.132434000,0.000042000,10.0.0.2,0,132,72598,126848,0.168493000
1.138987000,0.006553000,10.0.0.2,0,132,74046,129792,0.175040000
1.144502000,0.005515000,10.0.0.1,1448,111694,132,65152,
1.144547000,0.000045000,10.0.0.1,1448,113142,132,65152,
1.144551000,0.000004000,10.0.0.1,1448,114590,132,65152,
1.144555000,0.000004000,10.0.0.1,1448,116038,132,65152,
1.144900000,0.000345000,10.0.0.2,0,132,75494,132608,0.175718000
1.149400000,0.004500000,10.0.0.1,1448,117486,132,65152,
