frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.analysis.ack_rtt
0.106822000,0.090838000,10.0.0.2,0,0,0,
0.208299000,0.101477000,10.0.0.1,0,0,1,0.101477000
0.316947000,0.108648000,10.0.0.2,0,1,1,0.108648000
0.316978000,0.000031000,10.0.0.2,131,1,1,
0.418448000,0.101470000,10.0.0.1,0,1,132,0.101470000
0.426520000,0.008072000,10.0.0.1,197,1,132,
0.427757000,0.001237000,10.0.0.1,1448,198,132,
0.427796000,0.000039000,10.0.0.1,1448,1646,132,
0.427799000,0.000003000,10.0.0.1,1448,3094,132,
0.427801000,0.000002000,10.0.0.1,1448,4542,132,
0.427803000,0.000002000,10.0.0.1,1448,5990,132,
0.427805000,0.000002000,10.0.0.1,1448,7438,132,
0.427807000,0.000002000,10.0.0.1,1448,8886,132,
0.427809000,0.000002000,10.0.0.1,1448,10334,132,
0.427811000,0.000002000,10.0.0.1,1448,11782,132,
0.534310000,0.014300000,10.0.0.2,0,132,198,0.107790000
0.540439000,0.006129000,10.0.0.2,0,132,1646,0.112682000
0.546353000,0.005914000,10.0.0.2,0,132,3094,0.118557000
0.552499000,0.006146000,10.0.0.2,0,132,4542,0.124700000
0.558595000,0.006096000,10.0.0.2,0,132,5990,0.130794000
0.564568000,0.005973000,10.0.0.2,0,132,7438,0.136765000
0.569805000,0.005237000,10.0.0.2,0,132,8886,0.142000000
0.575854000,0.006049000,10.0.0.2,0,132,10334,0.148047000
0.581951000,0.006097000,10.0.0.2,0,132,11782,0.154142000
0.588147000,0.006196000,10.0.0.2,0,132,13230,0.160336000
0.633847000,0.045700000,10.0.0.1,1448,13230,132,
0.633885000,0.000038000,10.0.0.1,1448,14678,132,
0.639988000,0.006103000,10.0.0.1,1448,16126,132,
0.640023000,0.000035000,10.0.0.1,1448,17574,132,
0.647089000,0.007066000,10.0.0.1,1448,19022,132,
0.647112000,0.000023000,10.0.0.1,1448,20470,132,
0.653243000,0.006131000,10.0.0.1,1448,21918,132,
0.653270000,0.000027000,10.0.0.1,1448,23366,132,
0.659336000,0.006066000,10.0.0.1,1448,24814,132,
0.659353000,0.000017000,10.0.0.1,1448,26262,132,
0.665246000,0.005893000,10.0.0.1,1448,27710,132,
0.665274000,0.000028000,10.0.0.1,1448,29158,132,
0.670374000,0.005100000,10.0.0.1,1448,30606,132,
0.670404000,0.000030000,10.0.0.1,1448,32054,132,
0.676482000,0.006078000,10.0.0.1,1448,33502,132,
0.676507000,0.000025000,10.0.0.1,1448,34950,132,
0.683575000,0.007068000,10.0.0.1,1448,36398,132,
0.683615000,0.000040000,10.0.0.1,1448,37846,132,
0.687756000,0.004141000,10.0.0.1,1448,39294,132,
0.687783000,0.000027000,10.0.0.1,1448,40742,132,
0.738118000,0.024001000,10.0.0.2,0,132,14678,0.104271000
0.744212000,0.006094000,10.0.0.2,0,132,16126,0.110327000
0.751239000,0.007027000,10.0.0.2,0,132,17574,0.111251000
0.762741000,0.011502000,10.0.0.2,0,132,19022,0.122718000
0.762770000,0.000029000,10.0.0.2,0,132,20470,0.115681000
0.769015000,0.006245000,10.0.0.2,0,132,21918,0.121903000
0.781116000,0.012101000,10.0.0.2,0,132,23366,0.127873000
0.787628000,0.006512000,10.0.0.2,0,132,24814,0.134358000
0.792704000,0.005076000,10.0.0.2,0,132,26262,0.133368000
0.798847000,0.006143000,10.0.0.2,0,132,27710,0.139494000
0.804875000,0.006028000,10.0.0.2,0,132,29158,0.139629000
0.811234000,0.006359000,10.0.0.2,0,132,30606,0.145960000
0.823288000,0.012054000,10.0.0.2,0,132,33502,0.152884000
0.835410000,0.012122000,10.0.0.2,0,132,36398,0.158903000
0.837784000,0.002374000,10.0.0.1,1448,42190,132,
0.847445000,0.009661000,10.0.0.2,0,132,39294,0.163830000
0.851000000,0.003555000,10.0.0.1,1448,43638,132,
0.859715000,0.008715000,10.0.0.2,0,132,42190,0.171932000
0.863072000,0.003357000,10.0.0.1,1448,45086,132,
0.870197000,0.007125000,10.0.0.1,1448,46534,132,
0.882302000,0.012105000,10.0.0.1,1448,47982,132,
0.893385000,0.011083000,10.0.0.1,1448,49430,132,
0.900431000,0.007046000,10.0.0.1,1448,50878,132,
0.911730000,0.011299000,10.0.0.1,1448,52326,132,
0.934864000,0.023134000,10.0.0.1,1448,53774,132,
0.934899000,0.000035000,10.0.0.1,1448,55222,132,
0.947028000,0.012129000,10.0.0.1,1448,56670,132,
0.947093000,0.000065000,10.0.0.1,1448,58118,132,
0.954828000,0.007735000,10.0.0.2,0,132,45086,0.103828000
0.960225000,0.005397000,10.0.0.1,1448,59566,132,
0.960259000,0.000034000,10.0.0.1,1448,61014,132,
0.973522000,0.013263000,10.0.0.2,0,132,47982,0.103325000
0.985717000,0.012195000,10.0.0.2,0,132,49430,0.103415000
0.998472000,0.012755000,10.0.0.2,0,132,50878,0.105087000
1.003769000,0.005297000,10.0.0.2,0,132,52326,0.103338000
1.015881000,0.012112000,10.0.0.2,0,132,53774,0.104151000
1.040028000,0.024147000,10.0.0.2,0,132,55222,0.105164000
