frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.window_size,tcp.analysis.ack_rtt
0.000000000,0.000000000,10.0.0.2,0,0,0,64240,
0.207601000,0.089800000,10.0.0.1,0,0,1,65160,0.207601000
0.414744000,0.090091000,10.0.0.2,0,1,1,64256,0.207143000
0.414779000,0.000035000,10.0.0.2,131,1,1,64256,
0.622926000,0.208147000,10.0.0.1,0,1,132,65152,0.208147000
0.628699000,0.005773000,10.0.0.1,197,1,132,65152,
0.630274000,0.001575000,10.0.0.1,1448,198,132,65152,
0.630425000,0.000151000,10.0.0.1,1448,1646,132,65152,
0.630437000,0.000012000,10.0.0.1,1448,3094,132,65152,
0.630722000,0.000285000,10.0.0.1,1448,4542,132,65152,
0.630880000,0.000158000,10.0.0.1,1448,5990,132,65152,
0.630936000,0.000056000,10.0.0.1,1448,7438,132,65152,
0.630944000,0.000008000,10.0.0.1,1448,8886,132,65152,
0.631038000,0.000094000,10.0.0.1,1448,10334,132,65152,
0.631201000,0.000163000,10.0.0.1,1448,11782,132,65152,
0.837531000,0.206330000,10.0.0.2,0,132,198,64128,0.208832000
0.843631000,0.006100000,10.0.0.2,0,132,1646,67072,0.213357000
0.848938000,0.005307000,10.0.0.2,0,132,3094,70016,0.218513000
0.855145000,0.006207000,10.0.0.2,0,132,4542,72832,0.224708000
0.861594000,0.006449000,10.0.0.2,0,132,5990,75776,0.230872000
0.866901000,0.005307000,10.0.0.2,0,132,7438,78720,0.236021000
0.873259000,0.006358000,10.0.0.2,0,132,8886,80512,0.242323000
0.879448000,0.006189000,10.0.0.2,0,132,10334,80512,0.248504000
0.884712000,0.005264000,10.0.0.2,0,132,11782,80512,0.253674000
0.891054000,0.006342000,10.0.0.2,0,132,13230,80512,0.259853000
1.042931000,0.151877000,10.0.0.1,1448,13230,132,65152,
1.043026000,0.000095000,10.0.0.1,1448,14678,132,65152,
1.045343000,0.002317000,10.0.0.1,1448,16126,132,65152,
1.045441000,0.000098000,10.0.0.1,1448,17574,132,65152,
1.050895000,0.005454000,10.0.0.1,1448,19022,132,65152,
1.050984000,0.000089000,10.0.0.1,1448,20470,132,65152,
1.056383000,0.005399000,10.0.0.1,1448,21918,132,65152,
1.056448000,0.000065000,10.0.0.1,1448,23366,132,65152,
1.063937000,0.007489000,10.0.0.1,1448,24814,132,65152,
1.064007000,0.000070000,10.0.0.1,1448,26262,132,65152,
1.068276000,0.004269000,10.0.0.1,1448,27710,132,65152,
1.068343000,0.000067000,10.0.0.1,1448,29158,132,65152,
1.074807000,0.006464000,10.0.0.1,1448,30606,132,65152,
1.074886000,0.000079000,10.0.0.1,1448,32054,132,65152,
1.081419000,0.006533000,10.0.0.1,1448,33502,132,65152,
1.081529000,0.000110000,10.0.0.1,1448,34950,132,65152,
1.085013000,0.003484000,10.0.0.1,1448,36398,132,65152,
1.085050000,0.000037000,10.0.0.1,1448,37846,132,65152,
1.092527000,0.007477000,10.0.0.1,1448,39294,132,65152,
1.092589000,0.000062000,10.0.0.1,1448,40742,132,65152,
1.252094000,0.159505000,10.0.0.2,0,132,14678,80512,0.209163000
1.258879000,0.006785000,10.0.0.2,0,132,16126,80512,0.215853000
1.265248000,0.006369000,10.0.0.2,0,132,17574,80512,0.219905000
1.271167000,0.005919000,10.0.0.2,0,132,19022,80512,0.225726000
1.277079000,0.005912000,10.0.0.2,0,132,20470,80512,0.226184000
1.282725000,0.005646000,10.0.0.2,0,132,21918,80512,0.231741000
1.289141000,0.006416000,10.0.0.2,0,132,23366,80512,0.232758000
1.295268000,0.006127000,10.0.0.2,0,132,24814,80512,0.238820000
1.301717000,0.006449000,10.0.0.2,0,132,26262,80512,0.237780000
1.307058000,0.005341000,10.0.0.2,0,132,27710,80512,0.243051000
1.313313000,0.006255000,10.0.0.2,0,132,29158,80512,0.245037000
1.319656000,0.006343000,10.0.0.2,0,132,30606,80512,0.251313000
1.331455000,0.011799000,10.0.0.2,0,132,33502,80512,0.256569000
1.342749000,0.011294000,10.0.0.2,0,132,36398,80512,0.261220000
1.361751000,0.019002000,10.0.0.2,0,132,39294,80512,0.276701000
1.367117000,0.005366000,10.0.0.2,0,132,42190,80512,0.274528000
1.453172000,0.086055000,10.0.0.1,1448,42190,132,65152,
1.453304000,0.000132000,10.0.0.1,1448,43638,132,65152,
1.460878000,0.007574000,10.0.0.1,1448,45086,132,65152,
1.460977000,0.000099000,10.0.0.1,1448,46534,132,65152,
1.465622000,0.004645000,10.0.0.1,1448,47982,132,65152,
1.465688000,0.000066000,10.0.0.1,1448,49430,132,65152,
1.472795000,0.007107000,10.0.0.1,1448,50878,132,65152,
1.472888000,0.000093000,10.0.0.1,1448,52326,132,65152,
1.477245000,0.004357000,10.0.0.1,1448,53774,132,65152,
1.477384000,0.000139000,10.0.0.1,1448,55222,132,65152,
1.484782000,0.007398000,10.0.0.1,1448,56670,132,65152,
