frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.analysis.ack_rtt
0.090316000,0.081142000,10.0.0.2,0,0,0,
0.292053000,0.032728000,10.0.0.1,0,0,1,0.201737000
0.506698000,0.214645000,10.0.0.2,0,1,1,0.214645000
0.506727000,0.000029000,10.0.0.2,131,1,1,
0.707377000,0.200650000,10.0.0.1,0,1,132,0.200650000
0.801564000,0.000011000,10.0.0.1,197,1,132,
0.804680000,0.003116000,10.0.0.1,1448,198,132,
0.804709000,0.000029000,10.0.0.1,1448,1646,132,
0.804712000,0.000003000,10.0.0.1,1448,3094,132,
0.804795000,0.000083000,10.0.0.1,1448,4542,132,
0.804839000,0.000044000,10.0.0.1,1448,5990,132,
0.804857000,0.000018000,10.0.0.1,1448,7438,132,
0.804869000,0.000012000,10.0.0.1,1448,8886,132,
0.804872000,0.000003000,10.0.0.1,1448,10334,132,
0.804874000,0.000002000,10.0.0.1,1448,11782,132,
1.012706000,0.055528000,10.0.0.2,0,132,198,0.211142000
1.017934000,0.005228000,10.0.0.2,0,132,1646,0.213254000
1.024238000,0.006304000,10.0.0.2,0,132,3094,0.219529000
1.030152000,0.005914000,10.0.0.2,0,132,4542,0.225440000
1.036211000,0.006059000,10.0.0.2,0,132,5990,0.231416000
1.042335000,0.006124000,10.0.0.2,0,132,7438,0.237496000
1.048364000,0.006029000,10.0.0.2,0,132,8886,0.243507000
1.054420000,0.006056000,10.0.0.2,0,132,10334,0.249551000
1.060500000,0.006080000,10.0.0.2,0,132,11782,0.255628000
1.066624000,0.006124000,10.0.0.2,0,132,13230,0.261750000
1.214158000,0.147534000,10.0.0.1,1448,13230,132,
1.214199000,0.000041000,10.0.0.1,1448,14678,132,
1.218537000,0.004338000,10.0.0.1,1448,16126,132,
1.218557000,0.000020000,10.0.0.1,1448,17574,132,
1.224603000,0.006046000,10.0.0.1,1448,19022,132,
1.224634000,0.000031000,10.0.0.1,1448,20470,132,
1.230703000,0.006069000,10.0.0.1,1448,21918,132,
1.230730000,0.000027000,10.0.0.1,1448,23366,132,
1.235786000,0.005056000,10.0.0.1,1448,24814,132,
1.235808000,0.000022000,10.0.0.1,1448,26262,132,
1.241897000,0.006089000,10.0.0.1,1448,27710,132,
1.241946000,0.000049000,10.0.0.1,1448,29158,132,
1.249088000,0.007142000,10.0.0.1,1448,30606,132,
1.249108000,0.000020000,10.0.0.1,1448,32054,132,
1.255195000,0.006087000,10.0.0.1,1448,33502,132,
1.255236000,0.000041000,10.0.0.1,1448,34950,132,
