frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.window_size,tcp.analysis.ack_rtt
0.000000000,0.000000000,10.0.0.2,0,0,0,64240,
0.104140000,0.104140000,10.0.0.1,0,0,1,65160,0.104140000
0.209985000,0.105845000,10.0.0.2,0,1,1,64256,0.105845000
0.216192000,0.006207000,10.0.0.2,131,1,1,64256,
0.315951000,0.099759000,10.0.0.1,0,1,132,65152,0.099759000
0.322121000,0.006170000,10.0.0.1,197,1,132,65152,
0.323248000,0.001127000,10.0.0.1,1448,198,132,65152,
0.323272000,0.000024000,10.0.0.1,1448,1646,132,65152,
0.323276000,0.000004000,10.0.0.1,1448,3094,132,65152,
0.323280000,0.000004000,10.0.0.1,1448,4542,132,65152,
0.323283000,0.000003000,10.0.0.1,1448,5990,132,65152,
0.323286000,0.000003000,10.0.0.1,1448,7438,132,65152,
0.323290000,0.000004000,10.0.0.1,1448,8886,132,65152,
0.323294000,0.000004000,10.0.0.1,1448,10334,132,65152,
0.323297000,0.000003000,10.0.0.1,1448,11782,132,65152,
0.426866000,0.050324000,10.0.0.2,0,132,198,64128,0.104745000
0.433031000,0.006165000,10.0.0.2,0,132,1646,67072,0.109783000
0.439185000,0.006154000,10.0.0.2,0,132,3094,70016,0.115913000
0.445308000,0.006123000,10.0.0.2,0,132,4542,72832,0.122032000
0.451453000,0.004739000,10.0.0.2,0,132,5990,75776,0.128173000
0.462879000,0.003820000,10.0.0.2,0,132,7438,78720,0.139596000
0.462946000,0.000067000,10.0.0.2,0,132,8886,80512,0.139660000
0.469274000,0.006328000,10.0.0.2,0,132,10334,80512,0.145984000
0.475534000,0.006260000,10.0.0.2,0,132,11782,80512,0.152240000
0.486594000,0.011060000,10.0.0.2,0,132,13230,80512,0.163297000
0.527373000,0.040779000,10.0.0.1,1448,13230,132,65152,
0.527417000,0.000044000,10.0.0.1,1448,14678,132,65152,
0.532560000,0.005143000,10.0.0.1,1448,16126,132,65152,
0.532623000,0.000063000,10.0.0.1,1448,17574,132,65152,
0.538633000,0.006010000,10.0.0.1,1448,19022,132,65152,
0.538695000,0.000062000,10.0.0.1,1448,20470,132,65152,
0.545833000,0.007138000,10.0.0.1,1448,21918,132,65152,
0.545893000,0.000060000,10.0.0.1,1448,23366,132,65152,
0.553087000,0.007194000,10.0.0.1,1448,24814,132,65152,
0.553151000,0.000064000,10.0.0.1,1448,26262,132,65152,
0.564290000,0.011139000,10.0.0.1,1448,27710,132,65152,
0.564350000,0.000060000,10.0.0.1,1448,29158,132,65152,
0.564362000,0.000012000,10.0.0.1,1448,30606,132,65152,
0.564369000,0.000007000,10.0.0.1,1448,32054,132,65152,
0.570503000,0.006134000,10.0.0.1,1448,33502,132,65152,
0.570581000,0.000078000,10.0.0.1,1448,34950,132,65152,
0.575700000,0.005119000,10.0.0.1,1448,36398,132,65152,
0.575740000,0.000040000,10.0.0.1,1448,37846,132,65152,
0.587862000,0.012122000,10.0.0.1,1448,39294,132,65152,
0.587907000,0.000045000,10.0.0.1,1448,40742,132,65152,
0.631911000,0.044004000,10.0.0.2,0,132,14678,80512,0.104538000
0.638233000,0.006322000,10.0.0.2,0,132,16126,80512,0.110816000
0.644425000,0.006192000,10.0.0.2,0,132,17574,80512,0.111865000
0.649554000,0.005129000,10.0.0.2,0,132,19022,80512,0.116931000
0.655759000,0.003267000,10.0.0.2,0,132,20470,80512,0.117126000
0.661856000,0.006097000,10.0.0.2,0,132,21918,80512,0.123161000
0.667983000,0.006127000,10.0.0.2,0,132,23366,80512,0.122150000
0.674138000,0.006155000,10.0.0.2,0,132,24814,80512,0.128245000
0.680330000,0.006192000,10.0.0.2,0,132,26262,80512,0.127243000
0.685830000,0.005500000,10.0.0.2,0,132,27710,80512,0.132679000
0.691954000,0.006124000,10.0.0.2,0,132,29158,80512,0.127664000
0.698215000,0.006261000,10.0.0.2,0,132,30606,80512,0.133865000
0.710451000,0.012236000,10.0.0.2,0,132,33502,80512,0.146082000
0.727985000,0.017534000,10.0.0.2,0,132,36398,80512,0.157404000
0.732334000,0.004349000,10.0.0.1,1448,42190,132,65152,
0.732391000,0.000057000,10.0.0.1,1448,43638,132,65152,
0.734176000,0.001785000,10.0.0.2,0,132,39294,80512,0.158436000
0.737626000,0.003450000,10.0.0.1,1448,45086,132,65152,
0.737668000,0.000042000,10.0.0.1,1448,46534,132,65152,
0.745030000,0.007362000,10.0.0.1,1448,47982,132,65152,
0.745075000,0.000045000,10.0.0.1,1448,49430,132,65152,
0.746425000,0.001350000,10.0.0.2,0,132,42190,80512,0.158518000
0.750874000,0.004449000,10.0.0.1,1448,50878,132,65152,
0.750935000,0.000061000,10.0.0.1,1448,52326,132,65152,
0.756088000,0.005153000,10.0.0.1,1448,53774,132,65152,
0.756151000,0.000063000,10.0.0.1,1448,55222,132,65152,
0.762046000,0.005895000,10.0.0.1,1448,56670,132,65152,
0.762082000,0.000036000,10.0.0.1,1448,58118,132,65152,
0.769000000,0.006918000,10.0.0.1,1448,59566,132,65152,
0.769059000,0.000059000,10.0.0.1,1448,61014,132,65152,
0.774184000,0.005125000,10.0.0.1,1448,62462,132,65152,
0.774225000,0.000041000,10.0.0.1,1448,63910,132,65152,
0.781264000,0.007039000,10.0.0.1,1448,65358,132,65152,
0.781298000,0.000034000,10.0.0.1,1448,66806,132,65152,
0.787490000,0.006192000,10.0.0.1,1448,68254,132,65152,
0.787531000,0.000041000,10.0.0.1,1448,69702,132,65152,
0.791643000,0.004112000,10.0.0.1,1448,71150,132,65152,
0.791682000,0.000039000,10.0.0.1,1448,72598,132,65152,
0.797591000,0.005909000,10.0.0.1,1448,74046,132,65152,
0.797631000,0.000040000,10.0.0.1,1448,75494,132,65152,
0.810782000,0.013151000,10.0.0.1,1448,76942,132,65152,
0.810843000,0.000061000,10.0.0.1,1448,78390,132,65152,
0.810849000,0.000006000,10.0.0.1,1448,79838,132,65152,
0.810854000,0.000005000,10.0.0.1,1448,81286,132,65152,
0.827977000,0.017123000,10.0.0.1,1448,82734,132,65152,
0.828024000,0.000047000,10.0.0.1,1448,84182,132,65152,
0.828029000,0.000005000,10.0.0.1,1448,85630,132,65152,
0.828033000,0.000004000,10.0.0.1,1448,87078,132,65152,
0.834151000,0.006118000,10.0.0.1,1448,88526,132,65152,
0.834194000,0.000043000,10.0.0.1,1448,89974,132,65152,
0.834199000,0.000005000,10.0.0.1,1448,91422,132,65152,
0.834203000,0.000004000,10.0.0.1,1448,92870,132,65152,
0.842246000,0.008043000,10.0.0.2,0,132,45086,80512,0.109855000
0.848346000,0.006100000,10.0.0.1,1448,94318,132,65152,
0.848434000,0.000088000,10.0.0.1,1448,95766,132,65152,
0.848441000,0.000007000,10.0.0.1,1448,97214,132,65152,
0.848449000,0.000008000,10.0.0.1,1448,98662,132,65152,
0.854720000,0.006271000,10.0.0.2,0,132,47982,80512,0.117052000
0.866653000,0.011933000,10.0.0.2,0,132,50878,83456,0.121578000
0.872901000,0.006248000,10.0.0.2,0,132,52326,86272,0.122027000
0.878936000,0.006035000,10.0.0.2,0,132,53774,89216,0.128001000
0.884902000,0.005966000,10.0.0.2,0,132,55222,92160,0.128814000
0.891103000,0.006201000,10.0.0.2,0,132,56670,94976,0.134952000
0.897342000,0.006239000,10.0.0.2,0,132,58118,97920,0.135296000
0.902541000,0.005199000,10.0.0.2,0,132,59566,100864,0.140459000
0.908666000,0.000141000,10.0.0.2,0,132,61014,103680,0.139666000
0.915490000,0.006824000,10.0.0.2,0,132,62462,106624,0.146431000
0.921322000,0.005832000,10.0.0.2,0,132,63910,109440,0.147138000
0.927507000,0.006185000,10.0.0.2,0,132,65358,112384,0.153282000
0.932639000,0.005132000,10.0.0.2,0,132,66806,115328,0.151375000
0.938826000,0.006187000,10.0.0.2,0,132,68254,118144,0.157528000
0.942613000,0.003787000,10.0.0.1,1448,100110,132,65152,
0.942655000,0.000042000,10.0.0.1,1448,101558,132,65152,
