frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.analysis.ack_rtt
0.000000000,0.000000000,10.0.0.2,0,0,0,
0.201432000,0.104307000,10.0.0.1,0,0,1,0.201432000
0.409968000,0.208536000,10.0.0.2,0,1,1,0.208536000
0.409999000,0.000031000,10.0.0.2,131,1,1,
0.609938000,0.133499000,10.0.0.1,0,1,132,0.199939000
0.618192000,0.008254000,10.0.0.1,197,1,132,
0.619563000,0.001371000,10.0.0.1,1448,198,132,
0.619593000,0.000030000,10.0.0.1,1448,1646,132,
0.619595000,0.000002000,10.0.0.1,1448,3094,132,
0.619628000,0.000033000,10.0.0.1,1448,4542,132,
0.619630000,0.000002000,10.0.0.1,1448,5990,132,
0.619633000,0.000003000,10.0.0.1,1448,7438,132,
0.619635000,0.000002000,10.0.0.1,1448,8886,132,
0.619637000,0.000002000,10.0.0.1,1448,10334,132,
0.619638000,0.000001000,10.0.0.1,1448,11782,132,
0.826207000,0.101192000,10.0.0.2,0,132,198,0.208015000
0.832356000,0.006149000,10.0.0.2,0,132,1646,0.212793000
0.837718000,0.005362000,10.0.0.2,0,132,3094,0.218125000
0.843953000,0.006235000,10.0.0.2,0,132,4542,0.224358000
0.850121000,0.006168000,10.0.0.2,0,132,5990,0.230493000
0.856142000,0.003117000,10.0.0.2,0,132,7438,0.236512000
0.862397000,0.006255000,10.0.0.2,0,132,8886,0.242764000
0.867514000,0.005117000,10.0.0.2,0,132,10334,0.247879000
0.873665000,0.006151000,10.0.0.2,0,132,11782,0.254028000
0.879887000,0.006222000,10.0.0.2,0,132,13230,0.260249000
1.026885000,0.146998000,10.0.0.1,1448,13230,132,
1.026928000,0.000043000,10.0.0.1,1448,14678,132,
1.034169000,0.007241000,10.0.0.1,1448,16126,132,
1.034198000,0.000029000,10.0.0.1,1448,17574,132,
1.038395000,0.004197000,10.0.0.1,1448,19022,132,
1.038418000,0.000023000,10.0.0.1,1448,20470,132,
1.043612000,0.003099000,10.0.0.1,1448,21918,132,
1.043633000,0.000021000,10.0.0.1,1448,23366,132,
1.049819000,0.006186000,10.0.0.1,1448,24814,132,
1.049844000,0.000025000,10.0.0.1,1448,26262,132,
1.058089000,0.008245000,10.0.0.1,1448,27710,132,
1.058120000,0.000031000,10.0.0.1,1448,29158,132,
1.063314000,0.005194000,10.0.0.1,1448,30606,132,
1.063337000,0.000023000,10.0.0.1,1448,32054,132,
1.067463000,0.004126000,10.0.0.1,1448,33502,132,
1.067524000,0.000061000,10.0.0.1,1448,34950,132,
1.074692000,0.007168000,10.0.0.1,1448,36398,132,
1.074719000,0.000027000,10.0.0.1,1448,37846,132,
1.080807000,0.006088000,10.0.0.1,1448,39294,132,
1.080842000,0.000035000,10.0.0.1,1448,40742,132,
1.235203000,0.130731000,10.0.0.2,0,132,14678,0.208318000
1.240705000,0.005502000,10.0.0.2,0,132,16126,0.213777000
1.246785000,0.006080000,10.0.0.2,0,132,17574,0.212616000
1.252806000,0.006021000,10.0.0.2,0,132,19022,0.218608000
1.259162000,0.006356000,10.0.0.2,0,132,20470,0.220767000
1.265407000,0.006245000,10.0.0.2,0,132,21918,0.226989000
1.270749000,0.005342000,10.0.0.2,0,132,23366,0.227137000
1.278239000,0.007490000,10.0.0.2,0,132,24814,0.234606000
1.283450000,0.005211000,10.0.0.2,0,132,26262,0.233631000
1.290298000,0.006848000,10.0.0.2,0,132,27710,0.240454000
1.295650000,0.005352000,10.0.0.2,0,132,29158,0.237561000
1.302078000,0.006428000,10.0.0.2,0,132,30606,0.243958000
1.314451000,0.012373000,10.0.0.2,0,132,33502,0.251114000
1.325668000,0.011217000,10.0.0.2,0,132,36398,0.258144000
1.337974000,0.012306000,10.0.0.2,0,132,39294,0.263255000
1.350140000,0.012166000,10.0.0.2,0,132,42190,0.269298000
1.436248000,0.086108000,10.0.0.1,1448,42190,132,
1.436306000,0.000058000,10.0.0.1,1448,43638,132,
1.441673000,0.005367000,10.0.0.1,1448,45086,132,
1.441710000,0.000037000,10.0.0.1,1448,46534,132,
1.446878000,0.005168000,10.0.0.1,1448,47982,132,
1.446905000,0.000027000,10.0.0.1,1448,49430,132,
1.453712000,0.006807000,10.0.0.1,1448,50878,132,
1.453755000,0.000043000,10.0.0.1,1448,52326,132,
1.459018000,0.005263000,10.0.0.1,1448,53774,132,
1.459031000,0.000013000,10.0.0.1,1448,55222,132,
1.466251000,0.007220000,10.0.0.1,1448,56670,132,
1.466286000,0.000035000,10.0.0.1,1448,58118,132,
1.470483000,0.004197000,10.0.0.1,1448,59566,132,
1.470492000,0.000009000,10.0.0.1,1448,61014,132,
1.479734000,0.009242000,10.0.0.1,1448,62462,132,
1.479766000,0.000032000,10.0.0.1,1448,63910,132,
1.485107000,0.005341000,10.0.0.1,1448,65358,132,
1.485136000,0.000029000,10.0.0.1,1448,66806,132,
1.491387000,0.006251000,10.0.0.1,1448,68254,132,
1.491412000,0.000025000,10.0.0.1,1448,69702,132,
1.495622000,0.004210000,10.0.0.1,1448,71150,132,
1.495644000,0.000022000,10.0.0.1,1448,72598,132,
1.502960000,0.007316000,10.0.0.1,1448,74046,132,
1.502995000,0.000035000,10.0.0.1,1448,75494,132,
1.516112000,0.013117000,10.0.0.1,1448,76942,132,
1.516166000,0.000054000,10.0.0.1,1448,78390,132,
1.516172000,0.000006000,10.0.0.1,1448,79838,132,
1.516174000,0.000002000,10.0.0.1,1448,81286,132,
1.526295000,0.010121000,10.0.0.1,1448,82734,132,
1.526322000,0.000027000,10.0.0.1,1448,84182,132,
1.526324000,0.000002000,10.0.0.1,1448,85630,132,
1.526330000,0.000006000,10.0.0.1,1448,87078,132,
1.538445000,0.012115000,10.0.0.1,1448,88526,132,
1.538461000,0.000016000,10.0.0.1,1448,89974,132,
1.538463000,0.000002000,10.0.0.1,1448,91422,132,
1.538464000,0.000001000,10.0.0.1,1448,92870,132,
1.550585000,0.012121000,10.0.0.1,1448,94318,132,
1.550617000,0.000032000,10.0.0.1,1448,95766,132,
1.550619000,0.000002000,10.0.0.1,1448,97214,132,
1.550621000,0.000002000,10.0.0.1,1448,98662,132,
1.651212000,0.100591000,10.0.0.2,0,132,45086,0.214906000
1.663278000,0.012066000,10.0.0.2,0,132,47982,0.221568000
1.674887000,0.011609000,10.0.0.2,0,132,50878,0.227982000
1.681302000,0.006415000,10.0.0.2,0,132,52326,0.227590000
1.686702000,0.005400000,10.0.0.2,0,132,53774,0.232947000
1.693079000,0.006377000,10.0.0.2,0,132,55222,0.234061000
1.699227000,0.006148000,10.0.0.2,0,132,56670,0.240196000
1.705105000,0.005878000,10.0.0.2,0,132,58118,0.238854000
1.711208000,0.006103000,10.0.0.2,0,132,59566,0.244922000
1.716466000,0.005258000,10.0.0.2,0,132,61014,0.245983000
1.722802000,0.006336000,10.0.0.2,0,132,62462,0.252310000
1.728975000,0.006173000,10.0.0.2,0,132,63910,0.249241000
1.735092000,0.006117000,10.0.0.2,0,132,65358,0.255326000
1.741202000,0.006110000,10.0.0.2,0,132,66806,0.256095000
1.746630000,0.005428000,10.0.0.2,0,132,68254,0.261494000
1.752977000,0.006347000,10.0.0.2,0,132,69702,0.261590000
1.759395000,0.006418000,10.0.0.2,0,132,71150,0.267983000
1.765342000,0.005947000,10.0.0.2,0,132,72598,0.269720000
1.778092000,0.012750000,10.0.0.2,0,132,74046,0.282448000
1.778132000,0.000040000,10.0.0.2,0,132,75494,0.275172000
1.784439000,0.006307000,10.0.0.2,0,132,76942,0.281444000
1.790198000,0.005759000,10.0.0.2,0,132,78390,0.274086000
1.795602000,0.005404000,10.0.0.2,0,132,79838,0.279436000
1.801595000,0.005993000,10.0.0.2,0,132,81286,0.285423000
1.807888000,0.006293000,10.0.0.2,0,132,82734,0.291714000
1.814103000,0.006215000,10.0.0.2,0,132,84182,0.287808000
1.820011000,0.005908000,10.0.0.2,0,132,85630,0.293689000
1.826413000,0.006402000,10.0.0.2,0,132,87078,0.300089000
1.832296000,0.005883000,10.0.0.2,0,132,88526,0.305966000
1.837552000,0.005256000,10.0.0.2,0,132,89974,0.299107000
1.843719000,0.006167000,10.0.0.2,0,132,91422,0.305258000
1.849963000,0.006244000,10.0.0.2,0,132,92870,0.311500000
1.852333000,0.002370000,10.0.0.1,1448,100110,132,
1.852436000,0.000103000,10.0.0.1,1448,101558,132,
1.852441000,0.000005000,10.0.0.1,1448,103006,132,
1.852445000,0.000004000,10.0.0.1,1448,104454,132,
1.856213000,0.003768000,10.0.0.2,0,132,94318,0.317749000
1.861671000,0.005458000,10.0.0.2,0,132,95766,0.311086000
1.864052000,0.002381000,10.0.0.1,1448,105902,132,
1.864089000,0.000037000,10.0.0.1,1448,107350,132,
1.864092000,0.000003000,10.0.0.1,1448,108798,132,
1.864095000,0.000003000,10.0.0.1,1448,110246,132,
1.867519000,0.003424000,10.0.0.2,0,132,97214,0.316902000
1.874037000,0.006518000,10.0.0.2,0,132,98662,0.323418000
1.875162000,0.001125000,10.0.0.1,1448,111694,132,
1.875215000,0.000053000,10.0.0.1,1448,113142,132,
1.875220000,0.000005000,10.0.0.1,1448,114590,132,
1.875223000,0.000003000,10.0.0.1,1448,116038,132,
1.880221000,0.004998000,10.0.0.2,0,132,100110,0.329600000
1.882728000,0.002507000,10.0.0.1,1448,117486,132,
1.882765000,0.000037000,10.0.0.1,1448,118934,132,
1.887214000,0.004449000,10.0.0.1,1448,120382,132,
1.893377000,0.006163000,10.0.0.1,1448,121830,132,
1.893421000,0.000044000,10.0.0.1,1448,123278,132,
1.899440000,0.006019000,10.0.0.1,1448,124726,132,
1.899477000,0.000037000,10.0.0.1,1448,126174,132,
1.901696000,0.002219000,10.0.0.1,1448,127622,132,
1.904609000,0.002913000,10.0.0.1,1448,129070,132,
1.904633000,0.000024000,10.0.0.1,1448,130518,132,
1.910728000,0.006095000,10.0.0.1,1448,131966,132,
1.911941000,0.001213000,10.0.0.1,1448,133414,132,
1.917973000,0.006032000,10.0.0.1,1448,134862,132,
1.917999000,0.000026000,10.0.0.1,1448,136310,132,
1.924015000,0.006016000,10.0.0.1,1448,137758,132,
1.924033000,0.000018000,10.0.0.1,1448,139206,132,
1.928415000,0.004382000,10.0.0.1,1448,140654,132,
1.928436000,0.000021000,10.0.0.1,1448,142102,132,
1.934844000,0.006408000,10.0.0.1,1448,143550,132,
1.934855000,0.000011000,10.0.0.1,1448,144998,132,
1.942014000,0.007159000,10.0.0.1,1448,146446,132,
1.942033000,0.000019000,10.0.0.1,1448,147894,132,
1.947217000,0.005184000,10.0.0.1,1448,149342,132,
1.947241000,0.000024000,10.0.0.1,1448,150790,132,
1.953561000,0.006320000,10.0.0.1,1448,152238,132,
1.953584000,0.000023000,10.0.0.1,1448,153686,132,
1.959515000,0.005931000,10.0.0.1,1448,155134,132,
1.959541000,0.000026000,10.0.0.1,1448,156582,132,
1.965709000,0.006168000,10.0.0.1,1448,158030,132,
1.965737000,0.000028000,10.0.0.1,1448,159478,132,
1.979031000,0.013294000,10.0.0.1,1448,160926,132,
1.979067000,0.000036000,10.0.0.1,1448,162374,132,
1.979070000,0.000003000,10.0.0.1,1448,163822,132,
1.979072000,0.000002000,10.0.0.1,1448,165270,132,
1.985238000,0.006166000,10.0.0.1,1448,166718,132,
1.985272000,0.000034000,10.0.0.1,1448,168166,132,
1.990526000,0.005254000,10.0.0.1,1448,169614,132,
1.990549000,0.000023000,10.0.0.1,1448,171062,132,
1.995806000,0.005257000,10.0.0.1,1448,172510,132,
1.997038000,0.001232000,10.0.0.1,1448,173958,132,
2.003321000,0.006283000,10.0.0.1,1448,175406,132,
2.003347000,0.000026000,10.0.0.1,1448,176854,132,
2.007596000,0.004249000,10.0.0.1,1448,178302,132,
2.007620000,0.000024000,10.0.0.1,1448,179750,132,
2.013882000,0.006262000,10.0.0.1,1448,181198,132,
2.013903000,0.000021000,10.0.0.1,1448,182646,132,
2.020195000,0.006292000,10.0.0.1,1448,184094,132,
2.020221000,0.000026000,10.0.0.1,1448,185542,132,
2.028505000,0.008284000,10.0.0.1,1448,186990,132,
2.028527000,0.000022000,10.0.0.1,1448,188438,132,
2.033799000,0.005272000,10.0.0.1,1448,189886,132,
2.033824000,0.000025000,10.0.0.1,1448,191334,132,
2.038065000,0.004241000,10.0.0.1,1448,192782,132,
2.038086000,0.000021000,10.0.0.1,1448,194230,132,
2.044359000,0.006273000,10.0.0.1,1448,195678,132,
2.044370000,0.000011000,10.0.0.1,1448,197126,132,
2.050632000,0.006262000,10.0.0.1,1448,198574,132,
2.052910000,0.002278000,10.0.0.1,1448,200022,132,
2.058294000,0.005384000,10.0.0.1,1448,201470,132,
2.058324000,0.000030000,10.0.0.1,1448,202918,132,
2.060851000,0.002527000,10.0.0.2,0,132,101558,0.208518000
2.061579000,0.000728000,10.0.0.1,1448,204366,132,
2.061592000,0.000013000,10.0.0.1,1448,205814,132,
2.067242000,0.005650000,10.0.0.2,0,132,103006,0.214806000
2.067854000,0.000612000,10.0.0.1,1448,207262,132,
2.067867000,0.000013000,10.0.0.1,1448,208710,132,
2.072968000,0.005101000,10.0.0.2,0,132,104454,0.220527000
2.074130000,0.001162000,10.0.0.1,1448,210158,132,
2.074156000,0.000026000,10.0.0.1,1448,211606,132,
2.079191000,0.005035000,10.0.0.2,0,132,105902,0.226746000
2.081358000,0.002167000,10.0.0.1,1448,213054,132,
2.081384000,0.000026000,10.0.0.1,1448,214502,132,
2.085483000,0.004099000,10.0.0.2,0,132,107350,0.221431000
2.090815000,0.005332000,10.0.0.2,0,132,108798,0.226726000
2.097069000,0.006254000,10.0.0.2,0,132,110246,0.232977000
2.103165000,0.006096000,10.0.0.2,0,132,111694,0.239070000
2.109484000,0.006319000,10.0.0.2,0,132,113142,0.234322000
2.114975000,0.005491000,10.0.0.2,0,132,114590,0.239760000
2.121106000,0.006131000,10.0.0.2,0,132,116038,0.245886000
2.127589000,0.006483000,10.0.0.2,0,132,117486,0.252366000
2.132721000,0.005132000,10.0.0.2,0,132,118934,0.249993000
2.139294000,0.006573000,10.0.0.2,0,132,120382,0.256529000
2.145405000,0.006111000,10.0.0.2,0,132,121830,0.258191000
2.150765000,0.005360000,10.0.0.2,0,132,123278,0.257388000
2.156956000,0.006191000,10.0.0.2,0,132,124726,0.263535000
2.163090000,0.006134000,10.0.0.2,0,132,126174,0.263650000
2.169410000,0.006320000,10.0.0.2,0,132,127622,0.269933000
2.174588000,0.005178000,10.0.0.2,0,132,129070,0.272892000
2.180830000,0.006242000,10.0.0.2,0,132,130518,0.276221000
2.187304000,0.006474000,10.0.0.2,0,132,131966,0.282671000
2.192859000,0.005555000,10.0.0.2,0,132,133414,0.282131000
2.198762000,0.005903000,10.0.0.2,0,132,134862,0.286821000
2.204640000,0.005878000,10.0.0.2,0,132,136310,0.286667000
2.211410000,0.006770000,10.0.0.2,0,132,137758,0.293411000
2.216697000,0.005287000,10.0.0.2,0,132,139206,0.292682000
2.222835000,0.006138000,10.0.0.2,0,132,140654,0.298802000
2.229072000,0.006237000,10.0.0.2,0,132,142102,0.300657000
2.235432000,0.006360000,10.0.0.2,0,132,143550,0.306996000
2.241379000,0.005947000,10.0.0.2,0,132,144998,0.306535000
2.247019000,0.005640000,10.0.0.2,0,132,146446,0.312164000
2.253145000,0.006126000,10.0.0.2,0,132,147894,0.311131000
2.259095000,0.005950000,10.0.0.2,0,132,149342,0.317062000
2.261933000,0.002838000,10.0.0.1,1448,215950,132,
2.261958000,0.000025000,10.0.0.1,1448,217398,132,
2.265383000,0.003425000,10.0.0.2,0,132,150790,0.318166000
2.269073000,0.003690000,10.0.0.1,1448,218846,132,
2.269115000,0.000042000,10.0.0.1,1448,220294,132,
2.271099000,0.001984000,10.0.0.2,0,132,152238,0.323858000
2.272984000,0.001885000,10.0.0.1,1448,221742,132,
2.273017000,0.000033000,10.0.0.1,1448,223190,132,
2.278446000,0.005429000,10.0.0.2,0,132,153686,0.324885000
2.279937000,0.001491000,10.0.0.1,1448,224638,132,
2.279961000,0.000024000,10.0.0.1,1448,226086,132,
2.284012000,0.004051000,10.0.0.2,0,132,155134,0.330428000
2.286248000,0.002236000,10.0.0.1,1448,227534,132,
2.286276000,0.000028000,10.0.0.1,1448,228982,132,
2.290449000,0.004173000,10.0.0.2,0,132,156582,0.330934000
2.290703000,0.000254000,10.0.0.1,1448,230430,132,
2.290731000,0.000028000,10.0.0.1,1448,231878,132,
2.295747000,0.005016000,10.0.0.2,0,132,158030,0.336206000
2.297069000,0.001322000,10.0.0.1,1448,233326,132,
2.297088000,0.000019000,10.0.0.1,1448,234774,132,
2.301659000,0.004571000,10.0.0.2,0,132,159478,0.335950000
2.303542000,0.001883000,10.0.0.1,1448,236222,132,
2.303568000,0.000026000,10.0.0.1,1448,237670,132,
2.308326000,0.004758000,10.0.0.2,0,132,160926,0.342589000
2.310473000,0.002147000,10.0.0.1,1448,239118,132,
2.310503000,0.000030000,10.0.0.1,1448,240566,132,
2.313767000,0.003264000,10.0.0.2,0,132,162374,0.334736000
2.315156000,0.001389000,10.0.0.1,1448,242014,132,
2.315186000,0.000030000,10.0.0.1,1448,243462,132,
2.320060000,0.004874000,10.0.0.2,0,132,163822,0.340993000
2.320556000,0.000496000,10.0.0.1,1448,244910,132,
2.320566000,0.000010000,10.0.0.1,1448,246358,132,
2.325736000,0.005170000,10.0.0.2,0,132,165270,0.346666000
2.328814000,0.003078000,10.0.0.1,1448,247806,132,
2.328839000,0.000025000,10.0.0.1,1448,249254,132,
2.331619000,0.002780000,10.0.0.2,0,132,166718,0.352547000
2.334313000,0.002694000,10.0.0.1,1448,250702,132,
2.334334000,0.000021000,10.0.0.1,1448,252150,132,
2.337763000,0.003429000,10.0.0.2,0,132,168166,0.352525000
2.340174000,0.002411000,10.0.0.1,1448,253598,132,
2.340198000,0.000024000,10.0.0.1,1448,255046,132,
2.344103000,0.003905000,10.0.0.2,0,132,169614,0.358831000
2.346532000,0.002429000,10.0.0.1,1448,256494,132,
2.346577000,0.000045000,10.0.0.1,1448,257942,132,
2.349846000,0.003269000,10.0.0.2,0,132,171062,0.359320000
2.351723000,0.001877000,10.0.0.1,1448,259390,132,
2.351769000,0.000046000,10.0.0.1,1448,260838,132,
2.355879000,0.004110000,10.0.0.2,0,132,172510,0.365330000
2.358203000,0.002324000,10.0.0.1,1448,262286,132,
2.358244000,0.000041000,10.0.0.1,1448,263734,132,
2.362116000,0.003872000,10.0.0.2,0,132,173958,0.366310000
2.363575000,0.001459000,10.0.0.1,1448,265182,132,
2.363611000,0.000036000,10.0.0.1,1448,266630,132,
2.368098000,0.004487000,10.0.0.2,0,132,175406,0.371060000
2.369731000,0.001633000,10.0.0.1,1448,268078,132,
2.369761000,0.000030000,10.0.0.1,1448,269526,132,
2.374260000,0.004499000,10.0.0.2,0,132,176854,0.370939000
2.374710000,0.000450000,10.0.0.1,1448,270974,132,
2.374736000,0.000026000,10.0.0.1,1448,272422,132,
2.379803000,0.005067000,10.0.0.2,0,132,178302,0.376456000
2.380800000,0.000997000,10.0.0.1,1448,273870,132,
2.380830000,0.000030000,10.0.0.1,1448,275318,132,
2.385504000,0.004674000,10.0.0.2,0,132,179750,0.377908000
