frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.analysis.ack_rtt
0.058079000,0.000171000,10.0.0.2,0,0,0,
0.161948000,0.041598000,10.0.0.1,0,0,1,0.103869000
0.275170000,0.113222000,10.0.0.2,0,1,1,0.113222000
0.275210000,0.000040000,10.0.0.2,131,1,1,
0.377713000,0.102503000,10.0.0.1,0,1,132,0.102503000
0.394258000,0.016545000,10.0.0.1,197,1,132,
0.396553000,0.002295000,10.0.0.1,1448,198,132,
0.396614000,0.000061000,10.0.0.1,1448,1646,132,
0.396623000,0.000009000,10.0.0.1,1448,3094,132,
0.396629000,0.000006000,10.0.0.1,1448,4542,132,
0.396669000,0.000040000,10.0.0.1,1448,5990,132,
0.396676000,0.000007000,10.0.0.1,1448,7438,132,
0.396683000,0.000007000,10.0.0.1,1448,8886,132,
0.396691000,0.000008000,10.0.0.1,1448,10334,132,
0.396697000,0.000006000,10.0.0.1,1448,11782,132,
0.498596000,0.076389000,10.0.0.2,0,132,198,0.104338000
0.510230000,0.011634000,10.0.0.2,0,132,1646,0.113677000
0.516832000,0.006602000,10.0.0.2,0,132,3094,0.120218000
0.522400000,0.005568000,10.0.0.2,0,132,4542,0.125777000
0.522445000,0.000045000,10.0.0.2,0,132,5990,0.125816000
0.534390000,0.011945000,10.0.0.2,0,132,7438,0.137721000
0.540464000,0.006074000,10.0.0.2,0,132,8886,0.143788000
0.540507000,0.000043000,10.0.0.2,0,132,10334,0.143824000
0.552127000,0.011620000,10.0.0.2,0,132,11782,0.155436000
0.552188000,0.000061000,10.0.0.2,0,132,13230,0.155491000
0.600528000,0.048340000,10.0.0.1,1448,13230,132,
0.600557000,0.000029000,10.0.0.1,1448,14678,132,
0.611144000,0.010587000,10.0.0.1,1448,16126,132,
0.611265000,0.000121000,10.0.0.1,1448,17574,132,
0.618720000,0.007455000,10.0.0.1,1448,19022,132,
0.618825000,0.000105000,10.0.0.1,1448,20470,132,
0.623162000,0.004337000,10.0.0.1,1448,21918,132,
0.623242000,0.000080000,10.0.0.1,1448,23366,132,
0.623255000,0.000013000,10.0.0.1,1448,24814,132,
0.623263000,0.000008000,10.0.0.1,1448,26262,132,
0.636830000,0.013567000,10.0.0.1,1448,27710,132,
0.636906000,0.000076000,10.0.0.1,1448,29158,132,
0.642571000,0.005665000,10.0.0.1,1448,30606,132,
0.642620000,0.000049000,10.0.0.1,1448,32054,132,
0.642630000,0.000010000,10.0.0.1,1448,33502,132,
0.642637000,0.000007000,10.0.0.1,1448,34950,132,
0.654264000,0.011627000,10.0.0.1,1448,36398,132,
0.654374000,0.000110000,10.0.0.1,1448,37846,132,
0.654385000,0.000011000,10.0.0.1,1448,39294,132,
0.654394000,0.000009000,10.0.0.1,1448,40742,132,
0.709248000,0.044444000,10.0.0.2,0,132,14678,0.108720000
0.721593000,0.012345000,10.0.0.2,0,132,16126,0.121036000
0.721674000,0.000081000,10.0.0.2,0,132,17574,0.110530000
0.733550000,0.011876000,10.0.0.2,0,132,19022,0.122285000
0.733714000,0.000164000,10.0.0.2,0,132,20470,0.114994000
0.744808000,0.011094000,10.0.0.2,0,132,21918,0.125983000
0.751357000,0.006549000,10.0.0.2,0,132,23366,0.128195000
0.751430000,0.000073000,10.0.0.2,0,132,24814,0.128188000
0.757706000,0.006276000,10.0.0.2,0,132,26262,0.134451000
0.763013000,0.005307000,10.0.0.2,0,132,27710,0.139750000
0.774952000,0.011939000,10.0.0.2,0,132,29158,0.138122000
0.774981000,0.000029000,10.0.0.2,0,132,30606,0.138075000
0.787764000,0.012783000,10.0.0.2,0,132,33502,0.145144000
0.805487000,0.017723000,10.0.0.2,0,132,36398,0.162850000
0.809831000,0.004344000,10.0.0.1,1448,42190,132,
0.809895000,0.000064000,10.0.0.1,1448,43638,132,
0.817377000,0.007482000,10.0.0.2,0,132,39294,0.163003000
0.823356000,0.005979000,10.0.0.1,1448,45086,132,
0.823429000,0.000073000,10.0.0.1,1448,46534,132,
0.823438000,0.000009000,10.0.0.1,1448,47982,132,
0.823446000,0.000008000,10.0.0.1,1448,49430,132,
0.823628000,0.000182000,10.0.0.2,0,132,42190,0.169234000
0.835706000,0.012078000,10.0.0.1,1448,50878,132,
0.835784000,0.000078000,10.0.0.1,1448,52326,132,
0.835793000,0.000009000,10.0.0.1,1448,53774,132,
0.835798000,0.000005000,10.0.0.1,1448,55222,132,
0.846265000,0.010467000,10.0.0.1,1448,56670,132,
0.846321000,0.000056000,10.0.0.1,1448,58118,132,
0.853638000,0.007317000,10.0.0.1,1448,59566,132,
0.853674000,0.000036000,10.0.0.1,1448,61014,132,
0.853679000,0.000005000,10.0.0.1,1448,62462,132,
0.853682000,0.000003000,10.0.0.1,1448,63910,132,
0.859501000,0.005819000,10.0.0.1,1448,65358,132,
0.859583000,0.000082000,10.0.0.1,1448,66806,132,
0.863875000,0.004292000,10.0.0.1,1448,68254,132,
0.863935000,0.000060000,10.0.0.1,1448,69702,132,
0.875273000,0.011338000,10.0.0.1,1448,71150,132,
0.875315000,0.000042000,10.0.0.1,1448,72598,132,
0.875320000,0.000005000,10.0.0.1,1448,74046,132,
0.875324000,0.000004000,10.0.0.1,1448,75494,132,
0.889898000,0.014574000,10.0.0.1,1448,76942,132,
0.889961000,0.000063000,10.0.0.1,1448,78390,132,
0.889967000,0.000006000,10.0.0.1,1448,79838,132,
0.889971000,0.000004000,10.0.0.1,1448,81286,132,
0.906681000,0.016710000,10.0.0.1,1448,82734,132,
0.906749000,0.000068000,10.0.0.1,1448,84182,132,
0.906755000,0.000006000,10.0.0.1,1448,85630,132,
0.906760000,0.000005000,10.0.0.1,1448,87078,132,
0.919469000,0.012709000,10.0.0.1,1448,88526,132,
0.919562000,0.000093000,10.0.0.1,1448,89974,132,
0.919570000,0.000008000,10.0.0.1,1448,91422,132,
0.919575000,0.000005000,10.0.0.1,1448,92870,132,
0.924642000,0.005067000,10.0.0.1,1448,94318,132,
0.924703000,0.000061000,10.0.0.1,1448,95766,132,
0.924711000,0.000008000,10.0.0.1,1448,97214,132,
0.924717000,0.000006000,10.0.0.1,1448,98662,132,
0.926202000,0.001485000,10.0.0.2,0,132,45086,0.116307000
0.938779000,0.012577000,10.0.0.2,0,132,47982,0.115350000
0.949985000,0.011206000,10.0.0.2,0,132,50878,0.126539000
0.956489000,0.006504000,10.0.0.2,0,132,52326,0.120783000
0.962726000,0.006237000,10.0.0.2,0,132,53774,0.126942000
0.968576000,0.005850000,10.0.0.2,0,132,55222,0.132783000
0.974348000,0.005772000,10.0.0.2,0,132,56670,0.138550000
0.980180000,0.000956000,10.0.0.2,0,132,58118,0.133915000
0.986528000,0.006348000,10.0.0.2,0,132,59566,0.140207000
0.992405000,0.005877000,10.0.0.2,0,132,61014,0.138767000
1.003727000,0.011322000,10.0.0.2,0,132,62462,0.150053000
1.010151000,0.006424000,10.0.0.2,0,132,63910,0.156472000
1.016455000,0.006304000,10.0.0.2,0,132,65358,0.162773000
1.016534000,0.000079000,10.0.0.2,0,132,66806,0.157033000
1.026860000,0.010326000,10.0.0.1,1448,100110,132,
1.026909000,0.000049000,10.0.0.1,1448,101558,132,
1.026915000,0.000006000,10.0.0.1,1448,103006,132,
1.026919000,0.000004000,10.0.0.1,1448,104454,132,
1.027707000,0.000788000,10.0.0.2,0,132,68254,0.168124000
1.033789000,0.006082000,10.0.0.2,0,132,69702,0.169914000
1.039567000,0.005778000,10.0.0.1,1448,105902,132,
1.039613000,0.000046000,10.0.0.1,1448,107350,132,
1.039618000,0.000005000,10.0.0.1,1448,108798,132,
1.039623000,0.000005000,10.0.0.1,1448,110246,132,
1.040015000,0.000392000,10.0.0.2,0,132,71150,0.176080000
1.040050000,0.000035000,10.0.0.2,0,132,72598,0.164777000
1.045888000,0.005838000,10.0.0.2,0,132,74046,0.170573000
1.049854000,0.003966000,10.0.0.1,1448,111694,132,
1.049923000,0.000069000,10.0.0.1,1448,113142,132,
1.049933000,0.000010000,10.0.0.1,1448,114590,132,
1.049940000,0.000007000,10.0.0.1,1448,116038,132,
1.052291000,0.002351000,10.0.0.2,0,132,75494,0.176971000
1.057334000,0.005043000,10.0.0.1,1448,117486,132,
1.057414000,0.000080000,10.0.0.1,1448,118934,132,
1.064089000,0.006675000,10.0.0.2,0,132,76942,0.188765000
1.064583000,0.000494000,10.0.0.1,1448,120382,132,
1.068916000,0.004333000,10.0.0.1,1448,121830,132,
1.069013000,0.000097000,10.0.0.1,1448,123278,132,
1.070346000,0.001333000,10.0.0.2,0,132,78390,0.180448000
1.070456000,0.000110000,10.0.0.2,0,132,79838,0.180495000
1.076552000,0.006096000,10.0.0.1,1448,124726,132,
1.076585000,0.000033000,10.0.0.1,1448,126174,132,
1.076696000,0.000111000,10.0.0.2,0,132,81286,0.186729000
1.079692000,0.002996000,10.0.0.1,1448,127622,132,
1.079763000,0.000071000,10.0.0.1,1448,129070,132,
1.087231000,0.007468000,10.0.0.1,1448,130518,132,
1.087298000,0.000067000,10.0.0.1,1448,131966,132,
1.088308000,0.001010000,10.0.0.2,0,132,82734,0.198337000
1.090999000,0.002691000,10.0.0.1,1448,133414,132,
1.094306000,0.003307000,10.0.0.1,1448,134862,132,
1.094313000,0.000007000,10.0.0.1,1448,136310,132,
1.096622000,0.002309000,10.0.0.2,0,132,84182,0.189941000
1.099830000,0.003208000,10.0.0.2,0,132,85630,0.193081000
1.104409000,0.004579000,10.0.0.1,1448,137758,132,
1.104465000,0.000056000,10.0.0.1,1448,139206,132,
1.105819000,0.001354000,10.0.0.2,0,132,87078,0.199064000
1.105874000,0.000055000,10.0.0.2,0,132,88526,0.199114000
1.109594000,0.003720000,10.0.0.1,1448,140654,132,
1.109647000,0.000053000,10.0.0.1,1448,142102,132,
1.112031000,0.002384000,10.0.0.2,0,132,89974,0.192562000
1.118098000,0.006067000,10.0.0.1,1448,143550,132,
1.118174000,0.000076000,10.0.0.1,1448,144998,132,
1.118182000,0.000008000,10.0.0.1,1448,146446,132,
1.118190000,0.000008000,10.0.0.1,1448,147894,132,
1.124416000,0.006226000,10.0.0.2,0,132,91422,0.204854000
1.124473000,0.000057000,10.0.0.2,0,132,92870,0.204903000
1.129209000,0.004736000,10.0.0.1,1448,149342,132,
1.129319000,0.000110000,10.0.0.1,1448,150790,132,
1.129853000,0.000534000,10.0.0.2,0,132,94318,0.210278000
1.134655000,0.004802000,10.0.0.1,1448,152238,132,
1.134698000,0.000043000,10.0.0.1,1448,153686,132,
1.139569000,0.004871000,10.0.0.1,1448,155134,132,
1.139601000,0.000032000,10.0.0.1,1448,156582,132,
1.139606000,0.000005000,10.0.0.1,1448,158030,132,
1.139610000,0.000004000,10.0.0.1,1448,159478,132,
1.142021000,0.002411000,10.0.0.2,0,132,95766,0.217379000
1.142128000,0.000107000,10.0.0.2,0,132,97214,0.217425000
1.147007000,0.004879000,10.0.0.1,1448,160926,132,
1.147088000,0.000081000,10.0.0.1,1448,162374,132,
1.149525000,0.002437000,10.0.0.2,0,132,98662,0.224814000
1.153167000,0.003642000,10.0.0.1,1448,163822,132,
1.153211000,0.000044000,10.0.0.1,1448,165270,132,
1.155619000,0.002408000,10.0.0.2,0,132,100110,0.230902000
1.161656000,0.006037000,10.0.0.2,0,132,101558,0.134796000
1.165241000,0.003585000,10.0.0.1,1448,166718,132,
1.165347000,0.000106000,10.0.0.1,1448,168166,132,
1.167232000,0.001885000,10.0.0.2,0,132,103006,0.140323000
1.171683000,0.004451000,10.0.0.1,1448,169614,132,
1.171725000,0.000042000,10.0.0.1,1448,171062,132,
1.171731000,0.000006000,10.0.0.1,1448,172510,132,
