frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.window_size,tcp.analysis.ack_rtt
0.000000000,0.000000000,10.0.0.2,0,0,0,64240,
0.204204000,0.001228000,10.0.0.1,0,0,1,65160,0.204204000
0.415669000,0.139221000,10.0.0.2,0,1,1,64256,0.211465000
0.415733000,0.000064000,10.0.0.2,131,1,1,64256,
0.619974000,0.010281000,10.0.0.1,0,1,132,65152,0.204241000
0.632924000,0.011205000,10.0.0.1,197,1,132,65152,
0.634789000,0.001865000,10.0.0.1,1448,198,132,65152,
0.635481000,0.000692000,10.0.0.1,1448,1646,132,65152,
0.635668000,0.000187000,10.0.0.1,1448,3094,132,65152,
0.635679000,0.000011000,10.0.0.1,1448,4542,132,65152,
0.635764000,0.000085000,10.0.0.1,1448,5990,132,65152,
0.635870000,0.000106000,10.0.0.1,1448,7438,132,65152,
0.635945000,0.000075000,10.0.0.1,1448,8886,132,65152,
0.635955000,0.000010000,10.0.0.1,1448,10334,132,65152,
0.635962000,0.000007000,10.0.0.1,1448,11782,132,65152,
0.843433000,0.067523000,10.0.0.2,0,132,198,64128,0.210509000
0.849636000,0.006203000,10.0.0.2,0,132,1646,67072,0.214847000
0.855155000,0.005519000,10.0.0.2,0,132,3094,70016,0.219674000
0.860777000,0.005622000,10.0.0.2,0,132,4542,72832,0.225109000
0.867593000,0.006816000,10.0.0.2,0,132,5990,75776,0.231914000
0.873683000,0.006090000,10.0.0.2,0,132,7438,78720,0.237919000
0.879060000,0.005377000,10.0.0.2,0,132,8886,80512,0.243190000
0.885428000,0.006368000,10.0.0.2,0,132,10334,80512,0.249483000
0.891460000,0.006032000,10.0.0.2,0,132,11782,80512,0.255505000
0.897938000,0.006478000,10.0.0.2,0,132,13230,80512,0.261976000
1.047101000,0.021532000,10.0.0.1,1448,13230,132,65152,
1.047196000,0.000095000,10.0.0.1,1448,14678,132,65152,
1.051715000,0.004519000,10.0.0.1,1448,16126,132,65152,
1.051860000,0.000145000,10.0.0.1,1448,17574,132,65152,
1.055135000,0.003275000,10.0.0.1,1448,19022,132,65152,
1.055197000,0.000062000,10.0.0.1,1448,20470,132,65152,
1.062503000,0.007306000,10.0.0.1,1448,21918,132,65152,
1.062604000,0.000101000,10.0.0.1,1448,23366,132,65152,
1.067905000,0.005301000,10.0.0.1,1448,24814,132,65152,
1.067984000,0.000079000,10.0.0.1,1448,26262,132,65152,
1.075488000,0.007504000,10.0.0.1,1448,27710,132,65152,
1.075580000,0.000092000,10.0.0.1,1448,29158,132,65152,
1.079105000,0.003525000,10.0.0.1,1448,30606,132,65152,
1.079182000,0.000077000,10.0.0.1,1448,32054,132,65152,
1.087662000,0.008480000,10.0.0.1,1448,33502,132,65152,
1.087777000,0.000115000,10.0.0.1,1448,34950,132,65152,
1.092085000,0.004308000,10.0.0.1,1448,36398,132,65152,
1.092188000,0.000103000,10.0.0.1,1448,37846,132,65152,
1.098699000,0.006511000,10.0.0.1,1448,39294,132,65152,
1.098806000,0.000107000,10.0.0.1,1448,40742,132,65152,
1.252251000,0.153445000,10.0.0.2,0,132,14678,80512,0.205150000
1.258514000,0.006263000,10.0.0.2,0,132,16126,80512,0.211318000
1.265651000,0.007137000,10.0.0.2,0,132,17574,80512,0.213936000
1.271202000,0.005551000,10.0.0.2,0,132,19022,80512,0.219342000
1.277626000,0.006424000,10.0.0.2,0,132,20470,80512,0.222491000
1.283038000,0.001318000,10.0.0.2,0,132,21918,80512,0.227841000
1.289563000,0.006525000,10.0.0.2,0,132,23366,80512,0.227060000
1.294865000,0.005302000,10.0.0.2,0,132,24814,80512,0.232261000
1.301276000,0.006411000,10.0.0.2,0,132,26262,80512,0.233371000
1.307689000,0.006413000,10.0.0.2,0,132,27710,80512,0.239705000
1.313030000,0.005341000,10.0.0.2,0,132,29158,80512,0.237542000
1.319198000,0.006168000,10.0.0.2,0,132,30606,80512,0.243618000
1.330800000,0.011602000,10.0.0.2,0,132,33502,80512,0.251618000
1.343328000,0.012528000,10.0.0.2,0,132,36398,80512,0.255551000
1.354857000,0.011529000,10.0.0.2,0,132,39294,80512,0.262669000
1.367178000,0.012321000,10.0.0.2,0,132,42190,80512,0.268372000
1.453953000,0.086775000,10.0.0.1,1448,42190,132,65152,
1.454072000,0.000119000,10.0.0.1,1448,43638,132,65152,
1.458852000,0.004780000,10.0.0.1,1448,45086,132,65152,
1.458887000,0.000035000,10.0.0.1,1448,46534,132,65152,
1.467145000,0.008258000,10.0.0.1,1448,47982,132,65152,
