frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.analysis.ack_rtt
0.240423000,0.228508000,10.0.0.2,0,0,0,
0.448879000,0.071950000,10.0.0.1,0,0,1,0.208456000
0.674414000,0.113998000,10.0.0.2,0,1,1,0.225535000
0.674456000,0.000042000,10.0.0.2,131,1,1,
0.876457000,0.175132000,10.0.0.1,0,1,132,0.202001000
0.884001000,0.007544000,10.0.0.1,197,1,132,
0.885362000,0.001361000,10.0.0.1,1448,198,132,
0.885466000,0.000104000,10.0.0.1,1448,1646,132,
0.885474000,0.000008000,10.0.0.1,1448,3094,132,
0.885479000,0.000005000,10.0.0.1,1448,4542,132,
0.885486000,0.000007000,10.0.0.1,1448,5990,132,
0.885492000,0.000006000,10.0.0.1,1448,7438,132,
0.885498000,0.000006000,10.0.0.1,1448,8886,132,
0.885504000,0.000006000,10.0.0.1,1448,10334,132,
0.885509000,0.000005000,10.0.0.1,1448,11782,132,
1.096194000,0.041940000,10.0.0.2,0,132,198,0.212193000
1.101637000,0.005443000,10.0.0.2,0,132,1646,0.216275000
1.108197000,0.006560000,10.0.0.2,0,132,3094,0.222731000
1.113563000,0.005366000,10.0.0.2,0,132,4542,0.228089000
1.119984000,0.006421000,10.0.0.2,0,132,5990,0.234505000
1.125521000,0.005537000,10.0.0.2,0,132,7438,0.240035000
1.131858000,0.006337000,10.0.0.2,0,132,8886,0.246366000
1.138343000,0.006485000,10.0.0.2,0,132,10334,0.252845000
1.143943000,0.005600000,10.0.0.2,0,132,11782,0.258439000
1.150185000,0.006242000,10.0.0.2,0,132,13230,0.264676000
1.298246000,0.148061000,10.0.0.1,1448,13230,132,
1.298355000,0.000109000,10.0.0.1,1448,14678,132,
1.302804000,0.004449000,10.0.0.1,1448,16126,132,
1.302929000,0.000125000,10.0.0.1,1448,17574,132,
1.310613000,0.007684000,10.0.0.1,1448,19022,132,
1.310722000,0.000109000,10.0.0.1,1448,20470,132,
1.314009000,0.003287000,10.0.0.1,1448,21918,132,
1.314071000,0.000062000,10.0.0.1,1448,23366,132,
1.322853000,0.008782000,10.0.0.1,1448,24814,132,
1.323007000,0.000154000,10.0.0.1,1448,26262,132,
1.326456000,0.003449000,10.0.0.1,1448,27710,132,
1.326545000,0.000089000,10.0.0.1,1448,29158,132,
1.333072000,0.006527000,10.0.0.1,1448,30606,132,
1.333153000,0.000081000,10.0.0.1,1448,32054,132,
1.339623000,0.006470000,10.0.0.1,1448,33502,132,
1.339667000,0.000044000,10.0.0.1,1448,34950,132,
1.346128000,0.006461000,10.0.0.1,1448,36398,132,
1.346186000,0.000058000,10.0.0.1,1448,37846,132,
1.350620000,0.004434000,10.0.0.1,1448,39294,132,
1.350676000,0.000056000,10.0.0.1,1448,40742,132,
1.505070000,0.154394000,10.0.0.2,0,132,14678,0.206824000
1.510666000,0.005596000,10.0.0.2,0,132,16126,0.212311000
1.518408000,0.007742000,10.0.0.2,0,132,17574,0.215604000
1.523939000,0.005531000,10.0.0.2,0,132,19022,0.221010000
1.530497000,0.006558000,10.0.0.2,0,132,20470,0.219884000
1.536069000,0.005572000,10.0.0.2,0,132,21918,0.225347000
1.542562000,0.006493000,10.0.0.2,0,132,23366,0.228553000
1.548201000,0.005639000,10.0.0.2,0,132,24814,0.234130000
1.553549000,0.005348000,10.0.0.2,0,132,26262,0.230696000
1.560096000,0.006547000,10.0.0.2,0,132,27710,0.237089000
1.565815000,0.005719000,10.0.0.2,0,132,29158,0.239359000
1.571339000,0.005524000,10.0.0.2,0,132,30606,0.244794000
1.583700000,0.012361000,10.0.0.2,0,132,33502,0.250547000
1.596307000,0.012607000,10.0.0.2,0,132,36398,0.256640000
1.608146000,0.011839000,10.0.0.2,0,132,39294,0.261960000
1.619908000,0.011762000,10.0.0.2,0,132,42190,0.269232000
1.707224000,0.087316000,10.0.0.1,1448,42190,132,
1.707275000,0.000051000,10.0.0.1,1448,43638,132,
1.710388000,0.003113000,10.0.0.1,1448,45086,132,
1.710434000,0.000046000,10.0.0.1,1448,46534,132,
1.719722000,0.009288000,10.0.0.1,1448,47982,132,
1.719765000,0.000043000,10.0.0.1,1448,49430,132,
1.724848000,0.005083000,10.0.0.1,1448,50878,132,
1.724898000,0.000050000,10.0.0.1,1448,52326,132,
1.731243000,0.006345000,10.0.0.1,1448,53774,132,
