frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.window_size,tcp.analysis.ack_rtt
0.103885000,0.095234000,10.0.0.2,0,0,0,64240,
0.313369000,0.209484000,10.0.0.1,0,0,1,65160,0.209484000
0.531459000,0.134355000,10.0.0.2,0,1,1,64256,0.218090000
0.531515000,0.000056000,10.0.0.2,131,1,1,64256,
0.742603000,0.006934000,10.0.0.1,0,1,132,65152,0.211088000
0.742686000,0.000011000,10.0.0.1,197,1,132,65152,
0.743901000,0.001215000,10.0.0.1,1448,198,132,65152,
0.743955000,0.000054000,10.0.0.1,1448,1646,132,65152,
0.743966000,0.000011000,10.0.0.1,1448,3094,132,65152,
0.743974000,0.000008000,10.0.0.1,1448,4542,132,65152,
0.743979000,0.000005000,10.0.0.1,1448,5990,132,65152,
0.743984000,0.000005000,10.0.0.1,1448,7438,132,65152,
0.743989000,0.000005000,10.0.0.1,1448,8886,132,65152,
0.743993000,0.000004000,10.0.0.1,1448,10334,132,65152,
0.743997000,0.000004000,10.0.0.1,1448,11782,132,65152,
0.953403000,0.209406000,10.0.0.2,0,132,198,64128,0.210717000
0.959756000,0.006353000,10.0.0.2,0,132,1646,67072,0.215855000
0.966273000,0.006517000,10.0.0.2,0,132,3094,70016,0.222318000
0.971736000,0.005463000,10.0.0.2,0,132,4542,72832,0.227770000
0.978261000,0.006525000,10.0.0.2,0,132,5990,75776,0.234287000
0.983764000,0.005503000,10.0.0.2,0,132,7438,78720,0.239785000
0.990264000,0.006500000,10.0.0.2,0,132,8886,80512,0.246280000
0.995672000,0.005408000,10.0.0.2,0,132,10334,80512,0.251683000
1.002184000,0.006512000,10.0.0.2,0,132,11782,80512,0.258191000
1.007585000,0.005401000,10.0.0.2,0,132,13230,80512,0.263588000
1.159027000,0.151442000,10.0.0.1,1448,13230,132,65152,
1.159090000,0.000063000,10.0.0.1,1448,14678,132,65152,
1.159101000,0.000011000,10.0.0.1,1448,16126,132,65152,
1.159109000,0.000008000,10.0.0.1,1448,17574,132,65152,
1.167332000,0.008223000,10.0.0.1,1448,19022,132,65152,
1.167361000,0.000029000,10.0.0.1,1448,20470,132,65152,
1.171671000,0.004310000,10.0.0.1,1448,21918,132,65152,
1.171723000,0.000052000,10.0.0.1,1448,23366,132,65152,
1.180230000,0.008507000,10.0.0.1,1448,24814,132,65152,
1.180279000,0.000049000,10.0.0.1,1448,26262,132,65152,
1.183548000,0.003269000,10.0.0.1,1448,27710,132,65152,
1.183577000,0.000029000,10.0.0.1,1448,29158,132,65152,
1.192085000,0.008508000,10.0.0.1,1448,30606,132,65152,
1.192133000,0.000048000,10.0.0.1,1448,32054,132,65152,
1.195406000,0.003273000,10.0.0.1,1448,33502,132,65152,
1.195454000,0.000048000,10.0.0.1,1448,34950,132,65152,
1.203971000,0.008517000,10.0.0.1,1448,36398,132,65152,
1.204021000,0.000050000,10.0.0.1,1448,37846,132,65152,
1.207329000,0.003308000,10.0.0.1,1448,39294,132,65152,
1.207383000,0.000054000,10.0.0.1,1448,40742,132,65152,
1.368302000,0.160919000,10.0.0.2,0,132,14678,80512,0.209275000
1.374189000,0.005887000,10.0.0.2,0,132,16126,80512,0.215099000
1.380652000,0.006463000,10.0.0.2,0,132,17574,80512,0.221551000
1.387063000,0.006411000,10.0.0.2,0,132,19022,80512,0.227954000
1.392580000,0.005517000,10.0.0.2,0,132,20470,80512,0.225248000
