frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.analysis.ack_rtt
0.000000000,0.000000000,10.0.0.2,0,0,0,
0.106839000,0.106839000,10.0.0.1,0,0,1,0.106839000
0.223235000,0.116396000,10.0.0.2,0,1,1,0.116396000
0.223341000,0.000106000,10.0.0.2,131,1,1,
0.324322000,0.100981000,10.0.0.1,0,1,132,0.100981000
0.329616000,0.005294000,10.0.0.1,197,1,132,
0.330945000,0.001329000,10.0.0.1,1448,198,132,
0.331013000,0.000068000,10.0.0.1,1448,1646,132,
0.331023000,0.000010000,10.0.0.1,1448,3094,132,
0.331029000,0.000006000,10.0.0.1,1448,4542,132,
0.331034000,0.000005000,10.0.0.1,1448,5990,132,
0.331039000,0.000005000,10.0.0.1,1448,7438,132,
0.331044000,0.000005000,10.0.0.1,1448,8886,132,
0.433723000,0.033339000,10.0.0.2,0,132,198,0.104107000
0.439542000,0.005819000,10.0.0.2,0,132,1646,0.108597000
0.445656000,0.006114000,10.0.0.2,0,132,3094,0.114643000
0.451753000,0.006097000,10.0.0.2,0,132,4542,0.120730000
0.464193000,0.012440000,10.0.0.2,0,132,5990,0.133164000
0.469864000,0.005671000,10.0.0.2,0,132,7438,0.138830000
0.469945000,0.000081000,10.0.0.2,0,132,8886,0.138906000
0.475625000,0.005680000,10.0.0.2,0,132,10334,0.144581000
0.534407000,0.058782000,10.0.0.1,1448,10334,132,
0.534465000,0.000058000,10.0.0.1,1448,11782,132,
0.534470000,0.000005000,10.0.0.1,1448,13230,132,
0.534474000,0.000004000,10.0.0.1,1448,14678,132,
0.534479000,0.000005000,10.0.0.1,1448,16126,132,
0.534483000,0.000004000,10.0.0.1,1448,17574,132,
0.534487000,0.000004000,10.0.0.1,1448,19022,132,
0.534491000,0.000004000,10.0.0.1,1448,20470,132,
0.534495000,0.000004000,10.0.0.1,1448,21918,132,
0.534499000,0.000004000,10.0.0.1,1448,23366,132,
0.534502000,0.000003000,10.0.0.1,1448,24814,132,
0.534507000,0.000005000,10.0.0.1,1448,26262,132,
0.534511000,0.000004000,10.0.0.1,1448,27710,132,
0.534516000,0.000005000,10.0.0.1,1448,29158,132,
0.534520000,0.000004000,10.0.0.1,1448,30606,132,
0.534524000,0.000004000,10.0.0.1,1448,32054,132,
0.534529000,0.000005000,10.0.0.1,1448,33502,132,
0.534532000,0.000003000,10.0.0.1,1448,34950,132,
0.534535000,0.000003000,10.0.0.1,1448,36398,132,
0.534538000,0.000003000,10.0.0.1,1448,37846,132,
0.534542000,0.000004000,10.0.0.1,1448,39294,132,
0.534545000,0.000003000,10.0.0.1,1448,40742,132,
0.534550000,0.000005000,10.0.0.1,1448,42190,132,
0.534556000,0.000006000,10.0.0.1,1448,43638,132,
0.534561000,0.000005000,10.0.0.1,1448,45086,132,
0.534565000,0.000004000,10.0.0.1,1448,46534,132,
0.534569000,0.000004000,10.0.0.1,1448,47982,132,
0.534574000,0.000005000,10.0.0.1,1448,49430,132,
0.534577000,0.000003000,10.0.0.1,1448,50878,132,
0.534581000,0.000004000,10.0.0.1,1448,52326,132,
0.534585000,0.000004000,10.0.0.1,1448,53774,132,
0.534590000,0.000005000,10.0.0.1,1448,55222,132,
0.534597000,0.000007000,10.0.0.1,1448,56670,132,
0.534601000,0.000004000,10.0.0.1,1448,58118,132,
0.535777000,0.001176000,10.0.0.1,1448,59566,132,
0.535808000,0.000031000,10.0.0.1,1448,61014,132,
0.535814000,0.000006000,10.0.0.1,1448,62462,132,
0.539989000,0.003069000,10.0.0.1,1448,63910,132,
0.540032000,0.000043000,10.0.0.1,1448,65358,132,
0.540038000,0.000006000,10.0.0.1,1448,66806,132,
0.540042000,0.000004000,10.0.0.1,464,68254,132,
0.546122000,0.006080000,10.0.0.1,1448,68718,132,
0.546159000,0.000037000,10.0.0.1,1448,70166,132,
0.546163000,0.000004000,10.0.0.1,1448,71614,132,
0.552306000,0.006139000,10.0.0.1,984,73062,132,
0.554416000,0.002110000,10.0.0.1,1448,74046,132,
0.554444000,0.000028000,10.0.0.1,1448,75494,132,
0.554449000,0.000005000,10.0.0.1,432,76942,132,
0.564581000,0.010132000,10.0.0.1,1448,77374,132,
0.564670000,0.000089000,10.0.0.1,1448,78822,132,
0.564679000,0.000009000,10.0.0.1,1448,80270,132,
0.569824000,0.005145000,10.0.0.1,1448,81718,132,
0.569884000,0.000060000,10.0.0.1,1448,83166,132,
0.569890000,0.000006000,10.0.0.1,1448,84614,132,
0.571996000,0.002106000,10.0.0.1,1448,86062,132,
0.572022000,0.000026000,10.0.0.1,1448,87510,132,
0.577099000,0.005077000,10.0.0.1,1448,88958,132,
0.639343000,0.062244000,10.0.0.2,0,132,11782,0.104936000
0.650614000,0.011271000,10.0.0.2,0,132,13230,0.116149000
0.650659000,0.000045000,10.0.0.2,0,132,14678,0.116189000
0.657072000,0.006413000,10.0.0.2,0,132,16126,0.122598000
