frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.window_size,tcp.analysis.ack_rtt
0.078252000,0.032908000,10.0.0.2,0,0,0,64240,
0.286554000,0.208302000,10.0.0.1,0,0,1,65160,0.208302000
0.494417000,0.095472000,10.0.0.2,0,1,1,64256,0.207863000
0.494446000,0.000029000,10.0.0.2,131,1,1,64256,
0.698668000,0.051666000,10.0.0.1,0,1,132,65152,0.204222000
0.702042000,0.003374000,10.0.0.1,197,1,132,65152,
0.703406000,0.001364000,10.0.0.1,1448,198,132,65152,
0.703477000,0.000071000,10.0.0.1,1448,1646,132,65152,
0.703529000,0.000052000,10.0.0.1,1448,3094,132,65152,
0.703580000,0.000051000,10.0.0.1,1448,4542,132,65152,
0.703631000,0.000051000,10.0.0.1,1448,5990,132,65152,
0.703681000,0.000050000,10.0.0.1,1448,7438,132,65152,
0.703731000,0.000050000,10.0.0.1,1448,8886,132,65152,
0.703781000,0.000050000,10.0.0.1,1448,10334,132,65152,
0.703832000,0.000051000,10.0.0.1,1448,11782,132,65152,
0.703881000,0.000049000,10.0.0.1,1448,13230,132,65152,
0.703931000,0.000050000,10.0.0.1,1448,14678,132,65152,
0.703993000,0.000062000,10.0.0.1,1448,16126,132,65152,
0.704043000,0.000050000,10.0.0.1,1448,17574,132,65152,
0.704092000,0.000049000,10.0.0.1,1448,19022,132,65152,
0.704142000,0.000050000,10.0.0.1,1448,20470,132,65152,
0.910396000,0.066058000,10.0.0.2,0,132,198,64128,0.208354000
0.916762000,0.006366000,10.0.0.2,0,132,1646,67072,0.213356000
0.922380000,0.005618000,10.0.0.2,0,132,3094,70016,0.218903000
0.928023000,0.005643000,10.0.0.2,0,132,4542,72832,0.224494000
0.934228000,0.006205000,10.0.0.2,0,132,5990,75776,0.230648000
0.939924000,0.005696000,10.0.0.2,0,132,7438,78720,0.236293000
0.946293000,0.006369000,10.0.0.2,0,132,8886,80512,0.242612000
0.951971000,0.005678000,10.0.0.2,0,132,10334,80512,0.248240000
0.958338000,0.006367000,10.0.0.2,0,132,11782,80512,0.254557000
0.963829000,0.005491000,10.0.0.2,0,132,13230,80512,0.259997000
0.970454000,0.006625000,10.0.0.2,0,132,14678,80512,0.266573000
0.976112000,0.005658000,10.0.0.2,0,132,16126,80512,0.272181000
0.981614000,0.005502000,10.0.0.2,0,132,17574,80512,0.277621000
0.988272000,0.006658000,10.0.0.2,0,132,19022,80512,0.284229000
0.994645000,0.006373000,10.0.0.2,0,132,20470,80512,0.290553000
0.999768000,0.005123000,10.0.0.2,0,132,21918,80512,0.295626000
1.112287000,0.112519000,10.0.0.1,1448,21918,132,65152,
1.112371000,0.000084000,10.0.0.1,1448,23366,132,65152,
1.112384000,0.000013000,10.0.0.1,1448,24814,132,65152,
1.112391000,0.000007000,10.0.0.1,1448,26262,132,65152,
1.112396000,0.000005000,10.0.0.1,1448,27710,132,65152,
1.112401000,0.000005000,10.0.0.1,1448,29158,132,65152,
1.112406000,0.000005000,10.0.0.1,1448,30606,132,65152,
1.112411000,0.000005000,10.0.0.1,1448,32054,132,65152,
1.112416000,0.000005000,10.0.0.1,1448,33502,132,65152,
1.112421000,0.000005000,10.0.0.1,1448,34950,132,65152,
1.112426000,0.000005000,10.0.0.1,1448,36398,132,65152,
1.112430000,0.000004000,10.0.0.1,1448,37846,132,65152,
1.112435000,0.000005000,10.0.0.1,1448,39294,132,65152,
1.112440000,0.000005000,10.0.0.1,1448,40742,132,65152,
1.112444000,0.000004000,10.0.0.1,1448,42190,132,65152,
1.112448000,0.000004000,10.0.0.1,1448,43638,132,65152,
1.112453000,0.000005000,10.0.0.1,1448,45086,132,65152,
1.112458000,0.000005000,10.0.0.1,1448,46534,132,65152,
1.112463000,0.000005000,10.0.0.1,1448,47982,132,65152,
1.112467000,0.000004000,10.0.0.1,1448,49430,132,65152,
1.112471000,0.000004000,10.0.0.1,1448,50878,132,65152,
1.112476000,0.000005000,10.0.0.1,1448,52326,132,65152,
1.113650000,0.001174000,10.0.0.1,1448,53774,132,65152,
1.113687000,0.000037000,10.0.0.1,1448,55222,132,65152,
1.113691000,0.000004000,10.0.0.1,1448,56670,132,65152,
1.113694000,0.000003000,10.0.0.1,1448,58118,132,65152,
1.113696000,0.000002000,10.0.0.1,1448,59566,132,65152,
1.113698000,0.000002000,10.0.0.1,1448,61014,132,65152,
1.113700000,0.000002000,10.0.0.1,1448,62462,132,65152,
1.113704000,0.000004000,10.0.0.1,416,63910,132,65152,
1.116945000,0.003241000,10.0.0.1,1448,64326,132,65152,
1.116976000,0.000031000,10.0.0.1,1448,65774,132,65152,
1.116980000,0.000004000,10.0.0.1,1448,67222,132,65152,
1.123400000,0.006420000,10.0.0.1,1448,68670,132,65152,
