frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.analysis.ack_rtt
0.000000000,0.000000000,10.0.0.2,0,0,0,
0.104240000,0.104240000,10.0.0.1,0,0,1,0.104240000
0.216007000,0.111767000,10.0.0.2,0,1,1,0.111767000
0.216050000,0.000043000,10.0.0.2,131,1,1,
0.317517000,0.009247000,10.0.0.1,0,1,132,0.101467000
0.328806000,0.008869000,10.0.0.1,197,1,132,
0.330010000,0.001204000,10.0.0.1,1448,198,132,
0.330048000,0.000038000,10.0.0.1,1448,1646,132,
0.330053000,0.000005000,10.0.0.1,1448,3094,132,
0.330058000,0.000005000,10.0.0.1,1448,4542,132,
0.330062000,0.000004000,10.0.0.1,1448,5990,132,
0.330065000,0.000003000,10.0.0.1,1448,7438,132,
0.330069000,0.000004000,10.0.0.1,1448,8886,132,
0.330073000,0.000004000,10.0.0.1,1448,10334,132,
0.330141000,0.000068000,10.0.0.1,1448,11782,132,
0.433487000,0.103346000,10.0.0.2,0,132,198,0.104681000
0.445366000,0.011879000,10.0.0.2,0,132,1646,0.115356000
0.445442000,0.000076000,10.0.0.2,0,132,3094,0.115394000
0.451608000,0.006166000,10.0.0.2,0,132,4542,0.121555000
0.463070000,0.011462000,10.0.0.2,0,132,5990,0.133012000
0.469908000,0.006838000,10.0.0.2,0,132,7438,0.139846000
0.469956000,0.000048000,10.0.0.2,0,132,8886,0.139891000
0.481312000,0.011356000,10.0.0.2,0,132,10334,0.151243000
0.487707000,0.006395000,10.0.0.2,0,132,11782,0.157634000
0.487770000,0.000063000,10.0.0.2,0,132,13230,0.157629000
0.533812000,0.046042000,10.0.0.1,1448,13230,132,
0.533883000,0.000071000,10.0.0.1,1448,14678,132,
0.547271000,0.013388000,10.0.0.1,1448,16126,132,
0.547349000,0.000078000,10.0.0.1,1448,17574,132,
0.547355000,0.000006000,10.0.0.1,1448,19022,132,
0.547361000,0.000006000,10.0.0.1,1448,20470,132,
0.553561000,0.006200000,10.0.0.1,1448,21918,132,
0.553578000,0.000017000,10.0.0.1,1448,23366,132,
0.563062000,0.009484000,10.0.0.1,1448,24814,132,
0.563178000,0.000116000,10.0.0.1,1448,26262,132,
0.570655000,0.007477000,10.0.0.1,1448,27710,132,
0.570756000,0.000101000,10.0.0.1,1448,29158,132,
0.570765000,0.000009000,10.0.0.1,1448,30606,132,
0.570771000,0.000006000,10.0.0.1,1448,32054,132,
0.583296000,0.012525000,10.0.0.1,1448,33502,132,
0.583379000,0.000083000,10.0.0.1,1448,34950,132,
0.588614000,0.005235000,10.0.0.1,1448,36398,132,
0.588687000,0.000073000,10.0.0.1,1448,37846,132,
0.588694000,0.000007000,10.0.0.1,1448,39294,132,
0.588699000,0.000005000,10.0.0.1,1448,40742,132,
0.638167000,0.049468000,10.0.0.2,0,132,14678,0.104355000
0.644558000,0.006391000,10.0.0.2,0,132,16126,0.110675000
0.656703000,0.012145000,10.0.0.2,0,132,17574,0.109432000
0.662124000,0.005421000,10.0.0.2,0,132,19022,0.114775000
0.668558000,0.006434000,10.0.0.2,0,132,20470,0.121203000
0.674776000,0.006218000,10.0.0.2,0,132,21918,0.127415000
0.680514000,0.005738000,10.0.0.2,0,132,23366,0.126953000
0.692139000,0.011625000,10.0.0.2,0,132,24814,0.138561000
0.692177000,0.000038000,10.0.0.2,0,132,26262,0.129115000
0.698393000,0.006216000,10.0.0.2,0,132,27710,0.135215000
0.704670000,0.006277000,10.0.0.2,0,132,29158,0.134015000
0.709934000,0.005264000,10.0.0.2,0,132,30606,0.139178000
0.728391000,0.018457000,10.0.0.2,0,132,33502,0.157620000
0.734710000,0.006319000,10.0.0.2,0,132,36398,0.151331000
0.738359000,0.003649000,10.0.0.1,1448,42190,132,
0.738466000,0.000107000,10.0.0.1,1448,43638,132,
0.745547000,0.007081000,10.0.0.1,1448,45086,132,
0.745861000,0.000314000,10.0.0.1,1448,46534,132,
0.746150000,0.000289000,10.0.0.2,0,132,39294,0.157463000
0.757251000,0.011101000,10.0.0.1,1448,47982,132,
0.757315000,0.000064000,10.0.0.1,1448,49430,132,
0.758350000,0.001035000,10.0.0.2,0,132,42190,0.169651000
0.763046000,0.004696000,10.0.0.1,1448,50878,132,
0.763135000,0.000089000,10.0.0.1,1448,52326,132,
0.770387000,0.007252000,10.0.0.1,1448,53774,132,
0.770461000,0.000074000,10.0.0.1,1448,55222,132,
0.775679000,0.005218000,10.0.0.1,1448,56670,132,
0.775817000,0.000138000,10.0.0.1,1448,58118,132,
0.781578000,0.005761000,10.0.0.1,1448,59566,132,
0.781651000,0.000073000,10.0.0.1,1448,61014,132,
0.791913000,0.010262000,10.0.0.1,1448,62462,132,
0.792138000,0.000225000,10.0.0.1,1448,63910,132,
0.792162000,0.000024000,10.0.0.1,1448,65358,132,
0.792168000,0.000006000,10.0.0.1,1448,66806,132,
0.799425000,0.007257000,10.0.0.1,1448,68254,132,
0.799506000,0.000081000,10.0.0.1,1448,69702,132,
0.806001000,0.006495000,10.0.0.1,1448,71150,132,
0.806046000,0.000045000,10.0.0.1,1448,72598,132,
0.811626000,0.005580000,10.0.0.1,1448,74046,132,
0.811742000,0.000116000,10.0.0.1,1448,75494,132,
0.828900000,0.017158000,10.0.0.1,1448,76942,132,
0.828962000,0.000062000,10.0.0.1,1448,78390,132,
0.828968000,0.000006000,10.0.0.1,1448,79838,132,
0.828973000,0.000005000,10.0.0.1,1448,81286,132,
0.836148000,0.007175000,10.0.0.1,1448,82734,132,
0.836223000,0.000075000,10.0.0.1,1448,84182,132,
0.836229000,0.000006000,10.0.0.1,1448,85630,132,
0.836233000,0.000004000,10.0.0.1,1448,87078,132,
0.847453000,0.011220000,10.0.0.1,1448,88526,132,
0.847523000,0.000070000,10.0.0.1,1448,89974,132,
0.847530000,0.000007000,10.0.0.1,1448,91422,132,
0.847535000,0.000005000,10.0.0.1,1448,92870,132,
0.848803000,0.001268000,10.0.0.2,0,132,45086,0.110337000
0.858769000,0.009966000,10.0.0.1,1448,94318,132,
0.858851000,0.000082000,10.0.0.1,1448,95766,132,
0.858857000,0.000006000,10.0.0.1,1448,97214,132,
0.858862000,0.000005000,10.0.0.1,1448,98662,132,
0.861384000,0.002522000,10.0.0.2,0,132,47982,0.115523000
0.879795000,0.018411000,10.0.0.2,0,132,50878,0.122480000
