frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.window_size,tcp.analysis.ack_rtt
0.097772000,0.085828000,10.0.0.2,0,0,0,64240,
0.300060000,0.128081000,10.0.0.1,0,0,1,65160,0.202288000
0.507888000,0.107283000,10.0.0.2,0,1,1,64256,0.207828000
0.507968000,0.000080000,10.0.0.2,131,1,1,64256,
0.708813000,0.200845000,10.0.0.1,0,1,132,65152,0.200845000
0.716057000,0.007244000,10.0.0.1,197,1,132,65152,
0.718189000,0.002132000,10.0.0.1,1448,198,132,65152,
0.718222000,0.000033000,10.0.0.1,1448,1646,132,65152,
0.718227000,0.000005000,10.0.0.1,1448,3094,132,65152,
0.718231000,0.000004000,10.0.0.1,1448,4542,132,65152,
0.718237000,0.000006000,10.0.0.1,1448,5990,132,65152,
0.718241000,0.000004000,10.0.0.1,1448,7438,132,65152,
0.718244000,0.000003000,10.0.0.1,1448,8886,132,65152,
0.718247000,0.000003000,10.0.0.1,1448,10334,132,65152,
0.718251000,0.000004000,10.0.0.1,1448,11782,132,65152,
0.923672000,0.055450000,10.0.0.2,0,132,198,64128,0.207615000
0.929893000,0.006221000,10.0.0.2,0,132,1646,67072,0.211704000
0.935091000,0.005198000,10.0.0.2,0,132,3094,70016,0.216869000
0.941435000,0.006344000,10.0.0.2,0,132,4542,72832,0.223208000
0.947630000,0.006195000,10.0.0.2,0,132,5990,75776,0.229399000
0.954409000,0.006779000,10.0.0.2,0,132,7438,78720,0.236172000
0.959106000,0.004697000,10.0.0.2,0,132,8886,80512,0.240865000
0.965304000,0.006198000,10.0.0.2,0,132,10334,80512,0.247060000
0.971538000,0.006234000,10.0.0.2,0,132,11782,80512,0.253291000
0.977839000,0.006301000,10.0.0.2,0,132,13230,80512,0.259588000
1.124919000,0.147080000,10.0.0.1,1448,13230,132,65152,
1.125012000,0.000093000,10.0.0.1,1448,14678,132,65152,
1.130244000,0.005232000,10.0.0.1,1448,16126,132,65152,
1.130313000,0.000069000,10.0.0.1,1448,17574,132,65152,
1.136475000,0.006162000,10.0.0.1,1448,19022,132,65152,
1.136545000,0.000070000,10.0.0.1,1448,20470,132,65152,
1.141725000,0.005180000,10.0.0.1,1448,21918,132,65152,
1.141806000,0.000081000,10.0.0.1,1448,23366,132,65152,
1.146973000,0.005167000,10.0.0.1,1448,24814,132,65152,
1.147048000,0.000075000,10.0.0.1,1448,26262,132,65152,
1.154207000,0.007159000,10.0.0.1,1448,27710,132,65152,
1.154259000,0.000052000,10.0.0.1,1448,29158,132,65152,
1.160458000,0.006199000,10.0.0.1,1448,30606,132,65152,
1.160534000,0.000076000,10.0.0.1,1448,32054,132,65152,
1.165745000,0.005211000,10.0.0.1,1448,33502,132,65152,
1.165817000,0.000072000,10.0.0.1,1448,34950,132,65152,
1.170961000,0.005144000,10.0.0.1,1448,36398,132,65152,
1.171002000,0.000041000,10.0.0.1,1448,37846,132,65152,
1.178178000,0.007176000,10.0.0.1,1448,39294,132,65152,
1.178252000,0.000074000,10.0.0.1,1448,40742,132,65152,
1.332676000,0.048317000,10.0.0.2,0,132,14678,80512,0.207757000
1.338730000,0.006054000,10.0.0.2,0,132,16126,80512,0.213718000
1.344161000,0.005431000,10.0.0.2,0,132,17574,80512,0.213917000
1.350379000,0.006218000,10.0.0.2,0,132,19022,80512,0.220066000
1.356639000,0.006260000,10.0.0.2,0,132,20470,80512,0.220164000
1.362926000,0.006287000,10.0.0.2,0,132,21918,80512,0.226381000
1.368165000,0.005239000,10.0.0.2,0,132,23366,80512,0.226440000
1.374591000,0.006426000,10.0.0.2,0,132,24814,80512,0.232785000
1.380889000,0.006298000,10.0.0.2,0,132,26262,80512,0.233916000
1.387789000,0.006900000,10.0.0.2,0,132,27710,80512,0.240741000
1.392351000,0.004562000,10.0.0.2,0,132,29158,80512,0.238144000
1.398580000,0.006229000,10.0.0.2,0,132,30606,80512,0.244321000
1.411157000,0.012577000,10.0.0.2,0,132,33502,80512,0.250623000
1.423680000,0.012523000,10.0.0.2,0,132,36398,80512,0.257863000
1.435861000,0.012181000,10.0.0.2,0,132,39294,80512,0.264859000
1.447085000,0.011224000,10.0.0.2,0,132,42190,80512,0.268833000
1.533699000,0.086614000,10.0.0.1,1448,42190,132,65152,
1.533781000,0.000082000,10.0.0.1,1448,43638,132,65152,
1.539941000,0.006160000,10.0.0.1,1448,45086,132,65152,
1.540019000,0.000078000,10.0.0.1,1448,46534,132,65152,
1.544172000,0.004153000,10.0.0.1,1448,47982,132,65152,
1.544238000,0.000066000,10.0.0.1,1448,49430,132,65152,
1.550121000,0.005883000,10.0.0.1,1448,50878,132,65152,
1.550199000,0.000078000,10.0.0.1,1448,52326,132,65152,
1.557388000,0.007189000,10.0.0.1,1448,53774,132,65152,
1.557470000,0.000082000,10.0.0.1,1448,55222,132,65152,
1.564573000,0.007103000,10.0.0.1,1448,56670,132,65152,
1.564648000,0.000075000,10.0.0.1,1448,58118,132,65152,
1.568800000,0.004152000,10.0.0.1,1448,59566,132,65152,
1.568861000,0.000061000,10.0.0.1,1448,61014,132,65152,
1.574025000,0.005164000,10.0.0.1,1448,62462,132,65152,
1.574092000,0.000067000,10.0.0.1,1448,63910,132,65152,
1.582268000,0.008176000,10.0.0.1,1448,65358,132,65152,
1.582335000,0.000067000,10.0.0.1,1448,66806,132,65152,
1.588530000,0.006195000,10.0.0.1,1448,68254,132,65152,
1.588615000,0.000085000,10.0.0.1,1448,69702,132,65152,
1.592788000,0.004173000,10.0.0.1,1448,71150,132,65152,
1.592858000,0.000070000,10.0.0.1,1448,72598,132,65152,
1.598024000,0.005166000,10.0.0.1,1448,74046,132,65152,
