frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.analysis.ack_rtt
0.000000000,0.000000000,10.0.0.2,0,0,0,
0.205332000,0.205332000,10.0.0.1,0,0,1,0.205332000
0.421683000,0.216351000,10.0.0.2,0,1,1,0.216351000
0.421882000,0.000199000,10.0.0.2,131,1,1,
0.623946000,0.051859000,10.0.0.1,0,1,132,0.202064000
0.636556000,0.012610000,10.0.0.1,197,1,132,
0.639092000,0.002536000,10.0.0.1,1448,198,132,
0.639120000,0.000028000,10.0.0.1,1448,1646,132,
0.639127000,0.000007000,10.0.0.1,1448,3094,132,
0.639133000,0.000006000,10.0.0.1,1448,4542,132,
0.639235000,0.000102000,10.0.0.1,1448,5990,132,
0.639242000,0.000007000,10.0.0.1,1448,7438,132,
0.639250000,0.000008000,10.0.0.1,1448,8886,132,
0.639256000,0.000006000,10.0.0.1,1448,10334,132,
0.639261000,0.000005000,10.0.0.1,1448,11782,132,
0.843762000,0.168027000,10.0.0.2,0,132,198,0.207206000
0.849058000,0.005296000,10.0.0.2,0,132,1646,0.209966000
0.855434000,0.006376000,10.0.0.2,0,132,3094,0.216314000
0.861866000,0.006432000,10.0.0.2,0,132,4542,0.222739000
0.867872000,0.006006000,10.0.0.2,0,132,5990,0.228739000
0.873056000,0.005184000,10.0.0.2,0,132,7438,0.233821000
0.879637000,0.006581000,10.0.0.2,0,132,8886,0.240395000
0.886015000,0.006378000,10.0.0.2,0,132,10334,0.246765000
0.891300000,0.005285000,10.0.0.2,0,132,11782,0.252044000
0.897645000,0.006345000,10.0.0.2,0,132,13230,0.258384000
1.045785000,0.148140000,10.0.0.1,1448,13230,132,
1.045890000,0.000105000,10.0.0.1,1448,14678,132,
1.049148000,0.003258000,10.0.0.1,1448,16126,132,
1.049203000,0.000055000,10.0.0.1,1448,17574,132,
1.056403000,0.007200000,10.0.0.1,1448,19022,132,
1.056472000,0.000069000,10.0.0.1,1448,20470,132,
1.062709000,0.006237000,10.0.0.1,1448,21918,132,
1.062834000,0.000125000,10.0.0.1,1448,23366,132,
1.068051000,0.000837000,10.0.0.1,1448,24814,132,
1.068146000,0.000095000,10.0.0.1,1448,26262,132,
1.074382000,0.006236000,10.0.0.1,1448,27710,132,
1.074487000,0.000105000,10.0.0.1,1448,29158,132,
1.079658000,0.005171000,10.0.0.1,1448,30606,132,
1.079680000,0.000022000,10.0.0.1,1448,32054,132,
1.087882000,0.008202000,10.0.0.1,1448,33502,132,
1.087966000,0.000084000,10.0.0.1,1448,34950,132,
1.092106000,0.004140000,10.0.0.1,1448,36398,132,
1.092160000,0.000054000,10.0.0.1,1448,37846,132,
1.097460000,0.005300000,10.0.0.1,1448,39294,132,
1.097531000,0.000071000,10.0.0.1,1448,40742,132,
1.252543000,0.155012000,10.0.0.2,0,132,14678,0.206758000
1.258342000,0.005799000,10.0.0.2,0,132,16126,0.212452000
1.264713000,0.006371000,10.0.0.2,0,132,17574,0.215565000
1.270913000,0.006200000,10.0.0.2,0,132,19022,0.221710000
1.276554000,0.005641000,10.0.0.2,0,132,20470,0.220151000
1.282893000,0.006339000,10.0.0.2,0,132,21918,0.226421000
1.290081000,0.007188000,10.0.0.2,0,132,23366,0.227372000
1.295290000,0.005209000,10.0.0.2,0,132,24814,0.232456000
1.301456000,0.006166000,10.0.0.2,0,132,26262,0.233405000
1.307895000,0.006439000,10.0.0.2,0,132,27710,0.239749000
1.313167000,0.005272000,10.0.0.2,0,132,29158,0.238785000
1.319438000,0.006271000,10.0.0.2,0,132,30606,0.244951000
1.331829000,0.012391000,10.0.0.2,0,132,33502,0.252149000
1.343473000,0.011644000,10.0.0.2,0,132,36398,0.255507000
1.355750000,0.012277000,10.0.0.2,0,132,39294,0.263590000
1.367281000,0.007446000,10.0.0.2,0,132,42190,0.269750000
1.453245000,0.085964000,10.0.0.1,1448,42190,132,
1.453341000,0.000096000,10.0.0.1,1448,43638,132,
1.458706000,0.005365000,10.0.0.1,1448,45086,132,
1.458791000,0.000085000,10.0.0.1,1448,46534,132,
1.465982000,0.007191000,10.0.0.1,1448,47982,132,
1.466071000,0.000089000,10.0.0.1,1448,49430,132,
1.472778000,0.006707000,10.0.0.1,1448,50878,132,
1.472840000,0.000062000,10.0.0.1,1448,52326,132,
1.477141000,0.004301000,10.0.0.1,1448,53774,132,
1.477204000,0.000063000,10.0.0.1,1448,55222,132,
1.484487000,0.007283000,10.0.0.1,1448,56670,132,
1.484623000,0.000136000,10.0.0.1,1448,58118,132,
1.491984000,0.007361000,10.0.0.1,1448,59566,132,
1.492067000,0.000083000,10.0.0.1,1448,61014,132,
1.496454000,0.004387000,10.0.0.1,1448,62462,132,
1.496527000,0.000073000,10.0.0.1,1448,63910,132,
1.502708000,0.006181000,10.0.0.1,1448,65358,132,
1.502782000,0.000074000,10.0.0.1,1448,66806,132,
1.510020000,0.007238000,10.0.0.1,1448,68254,132,
1.510065000,0.000045000,10.0.0.1,1448,69702,132,
1.513232000,0.003167000,10.0.0.1,1448,71150,132,
1.513281000,0.000049000,10.0.0.1,1448,72598,132,
1.520618000,0.007337000,10.0.0.1,1448,74046,132,
1.520709000,0.000091000,10.0.0.1,1448,75494,132,
1.532922000,0.012213000,10.0.0.1,1448,76942,132,
1.532992000,0.000070000,10.0.0.1,1448,78390,132,
1.532998000,0.000006000,10.0.0.1,1448,79838,132,
1.533001000,0.000003000,10.0.0.1,1448,81286,132,
1.544284000,0.011283000,10.0.0.1,1448,82734,132,
1.544355000,0.000071000,10.0.0.1,1448,84182,132,
1.544361000,0.000006000,10.0.0.1,1448,85630,132,
1.544365000,0.000004000,10.0.0.1,1448,87078,132,
1.556585000,0.012220000,10.0.0.1,1448,88526,132,
1.556658000,0.000073000,10.0.0.1,1448,89974,132,
1.556664000,0.000006000,10.0.0.1,1448,91422,132,
1.556669000,0.000005000,10.0.0.1,1448,92870,132,
1.567934000,0.011265000,10.0.0.1,1448,94318,132,
1.568007000,0.000073000,10.0.0.1,1448,95766,132,
1.568013000,0.000006000,10.0.0.1,1448,97214,132,
1.568018000,0.000005000,10.0.0.1,1448,98662,132,
1.668440000,0.100422000,10.0.0.2,0,132,45086,0.215099000
1.680837000,0.012397000,10.0.0.2,0,132,47982,0.222046000
1.692778000,0.011941000,10.0.0.2,0,132,50878,0.226707000
1.698256000,0.005478000,10.0.0.2,0,132,52326,0.225478000
1.704210000,0.005954000,10.0.0.2,0,132,53774,0.231370000
1.710692000,0.006482000,10.0.0.2,0,132,55222,0.233551000
1.716711000,0.006019000,10.0.0.2,0,132,56670,0.239507000
1.722429000,0.005718000,10.0.0.2,0,132,58118,0.237942000
1.728865000,0.006436000,10.0.0.2,0,132,59566,0.244242000
1.734310000,0.005445000,10.0.0.2,0,132,61014,0.242326000
1.740953000,0.006643000,10.0.0.2,0,132,62462,0.248886000
1.746859000,0.005906000,10.0.0.2,0,132,63910,0.250405000
1.758689000,0.011830000,10.0.0.2,0,132,65358,0.262162000
1.758736000,0.000047000,10.0.0.2,0,132,66806,0.256028000
1.764973000,0.006237000,10.0.0.2,0,132,68254,0.262191000
1.770321000,0.005348000,10.0.0.2,0,132,69702,0.260301000
1.776480000,0.006159000,10.0.0.2,0,132,71150,0.266415000
1.782538000,0.006058000,10.0.0.2,0,132,72598,0.269306000
1.789181000,0.006643000,10.0.0.2,0,132,74046,0.275900000
1.795572000,0.006391000,10.0.0.2,0,132,75494,0.274954000
