frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.window_size,tcp.analysis.ack_rtt
0.000000000,0.000000000,10.0.0.2,0,0,0,64240,
0.103565000,0.103565000,10.0.0.1,0,0,1,65160,0.103565000
0.234869000,0.131304000,10.0.0.2,0,1,1,64256,0.131304000
0.234913000,0.000044000,10.0.0.2,131,1,1,64256,
0.336597000,0.101684000,10.0.0.1,0,1,132,65152,0.101684000
0.341900000,0.005303000,10.0.0.1,197,1,132,65152,
0.360497000,0.018597000,10.0.0.1,1448,198,132,65152,
0.360584000,0.000087000,10.0.0.1,1448,1646,132,65152,
0.360596000,0.000012000,10.0.0.1,1448,3094,132,65152,
0.360598000,0.000002000,10.0.0.1,1448,4542,132,65152,
0.360601000,0.000003000,10.0.0.1,1448,5990,132,65152,
0.360603000,0.000002000,10.0.0.1,1448,7438,132,65152,
0.360604000,0.000001000,10.0.0.1,1448,8886,132,65152,
0.360606000,0.000002000,10.0.0.1,1448,10334,132,65152,
0.360608000,0.000002000,10.0.0.1,1448,11782,132,65152,
0.450865000,0.090257000,10.0.0.2,0,132,198,64128,0.108965000
0.468956000,0.018091000,10.0.0.2,0,132,1646,67072,0.108459000
0.475315000,0.006359000,10.0.0.2,0,132,3094,70016,0.114731000
0.481738000,0.006423000,10.0.0.2,0,132,4542,72832,0.121142000
0.487194000,0.005456000,10.0.0.2,0,132,5990,75776,0.126596000
0.487217000,0.000023000,10.0.0.2,0,132,7438,78720,0.126616000
0.493646000,0.006429000,10.0.0.2,0,132,8886,80512,0.133043000
0.505024000,0.011378000,10.0.0.2,0,132,10334,80512,0.144420000
0.510558000,0.005534000,10.0.0.2,0,132,11782,80512,0.149952000
0.516986000,0.006428000,10.0.0.2,0,132,13230,80512,0.156378000
0.552094000,0.035108000,10.0.0.1,1448,13230,132,65152,
0.552141000,0.000047000,10.0.0.1,1448,14678,132,65152,
0.570254000,0.002929000,10.0.0.1,1448,16126,132,65152,
0.570288000,0.000034000,10.0.0.1,1448,17574,132,65152,
0.575480000,0.005192000,10.0.0.1,1448,19022,132,65152,
0.575506000,0.000026000,10.0.0.1,1448,20470,132,65152,
0.581725000,0.006219000,10.0.0.1,1448,21918,132,65152,
0.581753000,0.000028000,10.0.0.1,1448,23366,132,65152,
0.586941000,0.005188000,10.0.0.1,1448,24814,132,65152,
0.586956000,0.000015000,10.0.0.1,1448,26262,132,65152,
0.587029000,0.000073000,10.0.0.1,1448,27710,132,65152,
0.587031000,0.000002000,10.0.0.1,1448,29158,132,65152,
0.595176000,0.008145000,10.0.0.1,1448,30606,132,65152,
