frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.analysis.ack_rtt
0.219707000,0.039311000,10.0.0.2,0,0,0,
0.426906000,0.019744000,10.0.0.1,0,0,1,0.207199000
0.641317000,0.170224000,10.0.0.2,0,1,1,0.214411000
0.641359000,0.000042000,10.0.0.2,131,1,1,
0.844392000,0.203033000,10.0.0.1,0,1,132,0.203033000
0.878080000,0.033688000,10.0.0.1,197,1,132,
0.882938000,0.003618000,10.0.0.1,1448,198,132,
0.883278000,0.000340000,10.0.0.1,1448,1646,132,
0.883401000,0.000123000,10.0.0.1,1448,3094,132,
0.883469000,0.000068000,10.0.0.1,1448,4542,132,
0.883481000,0.000012000,10.0.0.1,1448,5990,132,
0.883490000,0.000009000,10.0.0.1,1448,7438,132,
0.883583000,0.000093000,10.0.0.1,1448,8886,132,
0.883702000,0.000119000,10.0.0.1,1448,10334,132,
0.883757000,0.000055000,10.0.0.1,1448,11782,132,
1.087774000,0.180571000,10.0.0.2,0,132,198,0.209694000
1.094066000,0.006292000,10.0.0.2,0,132,1646,0.211128000
1.099296000,0.005230000,10.0.0.2,0,132,3094,0.216018000
1.105593000,0.006297000,10.0.0.2,0,132,4542,0.222192000
1.112034000,0.006441000,10.0.0.2,0,132,5990,0.228565000
1.117258000,0.005224000,10.0.0.2,0,132,7438,0.233777000
1.123542000,0.006284000,10.0.0.2,0,132,8886,0.240052000
1.130030000,0.006488000,10.0.0.2,0,132,10334,0.246447000
1.135308000,0.005278000,10.0.0.2,0,132,11782,0.251606000
1.141796000,0.006488000,10.0.0.2,0,132,13230,0.258039000
1.290099000,0.148303000,10.0.0.1,1448,13230,132,
1.290251000,0.000152000,10.0.0.1,1448,14678,132,
1.294466000,0.004215000,10.0.0.1,1448,16126,132,
1.294532000,0.000066000,10.0.0.1,1448,17574,132,
1.300814000,0.006282000,10.0.0.1,1448,19022,132,
1.300891000,0.000077000,10.0.0.1,1448,20470,132,
1.305069000,0.004178000,10.0.0.1,1448,21918,132,
1.305125000,0.000056000,10.0.0.1,1448,23366,132,
1.312329000,0.007204000,10.0.0.1,1448,24814,132,
1.312393000,0.000064000,10.0.0.1,1448,26262,132,
1.318623000,0.006230000,10.0.0.1,1448,27710,132,
1.318692000,0.000069000,10.0.0.1,1448,29158,132,
1.323944000,0.005252000,10.0.0.1,1448,30606,132,
1.324025000,0.000081000,10.0.0.1,1448,32054,132,
1.331348000,0.007323000,10.0.0.1,1448,33502,132,
1.331408000,0.000060000,10.0.0.1,1448,34950,132,
1.336669000,0.005261000,10.0.0.1,1448,36398,132,
1.337893000,0.001224000,10.0.0.1,1448,37846,132,
1.343142000,0.005249000,10.0.0.1,1448,39294,132,
1.343205000,0.000063000,10.0.0.1,1448,40742,132,
1.498037000,0.154832000,10.0.0.2,0,132,14678,0.207938000
1.504246000,0.006209000,10.0.0.2,0,132,16126,0.213995000
1.509456000,0.005210000,10.0.0.2,0,132,17574,0.214990000
1.515785000,0.006329000,10.0.0.2,0,132,19022,0.221253000
1.521381000,0.005596000,10.0.0.2,0,132,20470,0.220567000
1.527524000,0.006143000,10.0.0.2,0,132,21918,0.226633000
1.533948000,0.006424000,10.0.0.2,0,132,23366,0.228879000
1.539414000,0.005466000,10.0.0.2,0,132,24814,0.234289000
1.545783000,0.006369000,10.0.0.2,0,132,26262,0.233454000
1.551265000,0.005482000,10.0.0.2,0,132,27710,0.238872000
1.557583000,0.006318000,10.0.0.2,0,132,29158,0.238960000
1.563981000,0.006398000,10.0.0.2,0,132,30606,0.245289000
1.575582000,0.011601000,10.0.0.2,0,132,33502,0.251557000
1.587419000,0.011837000,10.0.0.2,0,132,36398,0.256011000
1.599477000,0.012058000,10.0.0.2,0,132,39294,0.261584000
