frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.window_size,tcp.analysis.ack_rtt
0.000000000,0.000000000,10.0.0.2,0,0,0,64240,
0.204092000,0.132502000,10.0.0.1,0,0,1,65160,0.204092000
0.420982000,0.004865000,10.0.0.2,0,1,1,64256,0.216890000
0.421041000,0.000059000,10.0.0.2,131,1,1,64256,
0.623007000,0.194660000,10.0.0.1,0,1,132,65152,0.201966000
0.635693000,0.008314000,10.0.0.1,197,1,132,65152,
0.636953000,0.001260000,10.0.0.1,1448,198,132,65152,
0.637010000,0.000057000,10.0.0.1,1448,1646,132,65152,
0.637018000,0.000008000,10.0.0.1,1448,3094,132,65152,
0.637024000,0.000006000,10.0.0.1,1448,4542,132,65152,
0.637030000,0.000006000,10.0.0.1,1448,5990,132,65152,
0.637038000,0.000008000,10.0.0.1,1448,7438,132,65152,
0.637043000,0.000005000,10.0.0.1,1448,8886,132,65152,
0.637048000,0.000005000,10.0.0.1,1448,10334,132,65152,
0.637057000,0.000009000,10.0.0.1,1448,11782,132,65152,
0.843405000,0.206348000,10.0.0.2,0,132,198,64128,0.207712000
0.849620000,0.006215000,10.0.0.2,0,132,1646,67072,0.212667000
0.854755000,0.005135000,10.0.0.2,0,132,3094,70016,0.217745000
0.861076000,0.006321000,10.0.0.2,0,132,4542,72832,0.224058000
0.867398000,0.006322000,10.0.0.2,0,132,5990,75776,0.230374000
0.873549000,0.006151000,10.0.0.2,0,132,7438,78720,0.236519000
0.878899000,0.005350000,10.0.0.2,0,132,8886,80512,0.241861000
0.885047000,0.006148000,10.0.0.2,0,132,10334,80512,0.248004000
0.891325000,0.006278000,10.0.0.2,0,132,11782,80512,0.254277000
0.897492000,0.006167000,10.0.0.2,0,132,13230,80512,0.260435000
1.045674000,0.148182000,10.0.0.1,1448,13230,132,65152,
1.045862000,0.000188000,10.0.0.1,1448,14678,132,65152,
1.050097000,0.004235000,10.0.0.1,1448,16126,132,65152,
1.050206000,0.000109000,10.0.0.1,1448,17574,132,65152,
1.056360000,0.006154000,10.0.0.1,1448,19022,132,65152,
1.056406000,0.000046000,10.0.0.1,1448,20470,132,65152,
1.061598000,0.005192000,10.0.0.1,1448,21918,132,65152,
1.061674000,0.000076000,10.0.0.1,1448,23366,132,65152,
1.066947000,0.005273000,10.0.0.1,1448,24814,132,65152,
1.067038000,0.000091000,10.0.0.1,1448,26262,132,65152,
1.075378000,0.008340000,10.0.0.1,1448,27710,132,65152,
1.075506000,0.000128000,10.0.0.1,1448,29158,132,65152,
1.079751000,0.004245000,10.0.0.1,1448,30606,132,65152,
1.079851000,0.000100000,10.0.0.1,1448,32054,132,65152,
1.085981000,0.006130000,10.0.0.1,1448,33502,132,65152,
1.086040000,0.000059000,10.0.0.1,1448,34950,132,65152,
1.091250000,0.005210000,10.0.0.1,1448,36398,132,65152,
1.091398000,0.000148000,10.0.0.1,1448,37846,132,65152,
1.097569000,0.006171000,10.0.0.1,1448,39294,132,65152,
1.097608000,0.000039000,10.0.0.1,1448,40742,132,65152,
1.252092000,0.067971000,10.0.0.2,0,132,14678,80512,0.206418000
1.258569000,0.006477000,10.0.0.2,0,132,16126,80512,0.212707000
1.264058000,0.005489000,10.0.0.2,0,132,17574,80512,0.213961000
1.270455000,0.006397000,10.0.0.2,0,132,19022,80512,0.220249000
1.276423000,0.005968000,10.0.0.2,0,132,20470,80512,0.220063000
1.281859000,0.005436000,10.0.0.2,0,132,21918,80512,0.225453000
1.289221000,0.007362000,10.0.0.2,0,132,23366,80512,0.227623000
1.295388000,0.006167000,10.0.0.2,0,132,24814,80512,0.233714000
1.301590000,0.006202000,10.0.0.2,0,132,26262,80512,0.234643000
1.307188000,0.005598000,10.0.0.2,0,132,27710,80512,0.240150000
1.313085000,0.005897000,10.0.0.2,0,132,29158,80512,0.237707000
1.319714000,0.006629000,10.0.0.2,0,132,30606,80512,0.244208000
1.330919000,0.011205000,10.0.0.2,0,132,33502,80512,0.251068000
1.349527000,0.018608000,10.0.0.2,0,132,36398,80512,0.263487000
1.360781000,0.011254000,10.0.0.2,0,132,39294,80512,0.269383000
1.373071000,0.012290000,10.0.0.2,0,132,42190,80512,0.275463000
1.452668000,0.079597000,10.0.0.1,1448,42190,132,65152,
1.452771000,0.000103000,10.0.0.1,1448,43638,132,65152,
1.459912000,0.007141000,10.0.0.1,1448,45086,132,65152,
1.459946000,0.000034000,10.0.0.1,1448,46534,132,65152,
1.464924000,0.004978000,10.0.0.1,1448,47982,132,65152,
1.464983000,0.000059000,10.0.0.1,1448,49430,132,65152,
1.470131000,0.005148000,10.0.0.1,1448,50878,132,65152,
1.470179000,0.000048000,10.0.0.1,1448,52326,132,65152,
1.477820000,0.007641000,10.0.0.1,1448,53774,132,65152,
1.478074000,0.000254000,10.0.0.1,1448,55222,132,65152,
1.482355000,0.004281000,10.0.0.1,1448,56670,132,65152,
1.482407000,0.000052000,10.0.0.1,1448,58118,132,65152,
1.490655000,0.008248000,10.0.0.1,1448,59566,132,65152,
1.490762000,0.000107000,10.0.0.1,1448,61014,132,65152,
1.496040000,0.005278000,10.0.0.1,1448,62462,132,65152,
1.496149000,0.000109000,10.0.0.1,1448,63910,132,65152,
1.503357000,0.007208000,10.0.0.1,1448,65358,132,65152,
1.503417000,0.000060000,10.0.0.1,1448,66806,132,65152,
1.507528000,0.004111000,10.0.0.1,1448,68254,132,65152,
1.507568000,0.000040000,10.0.0.1,1448,69702,132,65152,
1.513790000,0.006222000,10.0.0.1,1448,71150,132,65152,
1.513845000,0.000055000,10.0.0.1,1448,72598,132,65152,
1.521083000,0.007238000,10.0.0.1,1448,74046,132,65152,
1.521144000,0.000061000,10.0.0.1,1448,75494,132,65152,
1.531371000,0.010227000,10.0.0.1,1448,76942,132,65152,
1.531434000,0.000063000,10.0.0.1,1448,78390,132,65152,
1.531440000,0.000006000,10.0.0.1,1448,79838,132,65152,
1.531446000,0.000006000,10.0.0.1,1448,81286,132,65152,
1.550673000,0.019227000,10.0.0.1,1448,82734,132,65152,
1.550774000,0.000101000,10.0.0.1,1448,84182,132,65152,
1.550781000,0.000007000,10.0.0.1,1448,85630,132,65152,
1.550785000,0.000004000,10.0.0.1,1448,87078,132,65152,
1.561919000,0.011134000,10.0.0.1,1448,88526,132,65152,
1.561961000,0.000042000,10.0.0.1,1448,89974,132,65152,
1.561965000,0.000004000,10.0.0.1,1448,91422,132,65152,
1.561969000,0.000004000,10.0.0.1,1448,92870,132,65152,
1.573153000,0.011184000,10.0.0.1,1448,94318,132,65152,
1.573222000,0.000069000,10.0.0.1,1448,95766,132,65152,
1.573227000,0.000005000,10.0.0.1,1448,97214,132,65152,
1.573231000,0.000004000,10.0.0.1,1448,98662,132,65152,
1.668496000,0.095265000,10.0.0.2,0,132,45086,80512,0.215725000
1.680433000,0.011937000,10.0.0.2,0,132,47982,80512,0.220487000
1.692103000,0.011670000,10.0.0.2,0,132,50878,83456,0.227120000
1.697994000,0.005891000,10.0.0.2,0,132,52326,86272,0.227863000
1.704362000,0.006368000,10.0.0.2,0,132,53774,89216,0.234183000
1.710612000,0.006250000,10.0.0.2,0,132,55222,92160,0.232792000
1.715778000,0.005166000,10.0.0.2,0,132,56670,94976,0.237704000
1.721943000,0.006165000,10.0.0.2,0,132,58118,97920,0.239588000
1.728430000,0.006487000,10.0.0.2,0,132,59566,100864,0.246023000
1.734657000,0.006227000,10.0.0.2,0,132,61014,103680,0.244002000
1.739830000,0.005173000,10.0.0.2,0,132,62462,106624,0.249068000
1.746212000,0.006382000,10.0.0.2,0,132,63910,109440,0.250172000
1.752596000,0.006384000,10.0.0.2,0,132,65358,112384,0.256447000
1.758738000,0.006142000,10.0.0.2,0,132,66806,115328,0.255381000
1.764150000,0.005412000,10.0.0.2,0,132,68254,118144,0.260733000
1.770333000,0.006183000,10.0.0.2,0,132,69702,121088,0.262805000
1.776579000,0.006246000,10.0.0.2,0,132,71150,124032,0.269011000
1.781895000,0.005316000,10.0.0.2,0,132,72598,126848,0.268105000
1.789179000,0.007284000,10.0.0.2,0,132,74046,129792,0.275334000
1.795258000,0.006079000,10.0.0.2,0,132,75494,132608,0.274175000
1.801038000,0.005780000,10.0.0.2,0,132,76942,135552,0.279894000
1.807331000,0.006293000,10.0.0.2,0,132,78390,138496,0.275960000
1.813621000,0.006290000,10.0.0.2,0,132,79838,141312,0.282187000
1.818831000,0.005210000,10.0.0.2,0,132,81286,144256,0.287391000
1.825018000,0.006187000,10.0.0.2,0,132,82734,147200,0.293572000
1.831364000,0.006346000,10.0.0.2,0,132,84182,150016,0.280691000
1.837564000,0.006200000,10.0.0.2,0,132,85630,152960,0.286790000
1.843706000,0.006142000,10.0.0.2,0,132,87078,155776,0.292925000
1.849131000,0.005425000,10.0.0.2,0,132,88526,158720,0.298346000
1.855441000,0.006310000,10.0.0.2,0,132,89974,161664,0.293522000
1.861829000,0.006388000,10.0.0.2,0,132,91422,164480,0.299868000
