frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.analysis.ack_rtt
0.000000000,0.000000000,10.0.0.2,0,0,0,
0.204541000,0.204541000,10.0.0.1,0,0,1,0.204541000
0.421633000,0.193951000,10.0.0.2,0,1,1,0.217092000
0.421760000,0.000127000,10.0.0.2,131,1,1,
0.624984000,0.112989000,10.0.0.1,0,1,132,0.203224000
0.640393000,0.015409000,10.0.0.1,197,1,132,
0.640606000,0.000213000,10.0.0.1,1448,198,132,
0.640649000,0.000043000,10.0.0.1,1448,1646,132,
0.640657000,0.000008000,10.0.0.1,1448,3094,132,
0.640691000,0.000034000,10.0.0.1,1448,4542,132,
0.640697000,0.000006000,10.0.0.1,1448,5990,132,
0.640702000,0.000005000,10.0.0.1,1448,7438,132,
0.640709000,0.000007000,10.0.0.1,1448,8886,132,
0.640718000,0.000009000,10.0.0.1,1448,10334,132,
0.640724000,0.000006000,10.0.0.1,1448,11782,132,
0.849790000,0.062050000,10.0.0.2,0,132,198,0.209397000
0.855962000,0.006172000,10.0.0.2,0,132,1646,0.215356000
0.861630000,0.005668000,10.0.0.2,0,132,3094,0.220981000
0.867775000,0.006145000,10.0.0.2,0,132,4542,0.227118000
0.874233000,0.006458000,10.0.0.2,0,132,5990,0.233542000
0.879552000,0.005319000,10.0.0.2,0,132,7438,0.238855000
0.885990000,0.006438000,10.0.0.2,0,132,8886,0.245288000
0.891628000,0.005638000,10.0.0.2,0,132,10334,0.250919000
0.897711000,0.006083000,10.0.0.2,0,132,11782,0.256993000
0.903871000,0.006160000,10.0.0.2,0,132,13230,0.263147000
1.051074000,0.034531000,10.0.0.1,1448,13230,132,
1.051209000,0.000135000,10.0.0.1,1448,14678,132,
1.057432000,0.006223000,10.0.0.1,1448,16126,132,
1.057503000,0.000071000,10.0.0.1,1448,17574,132,
1.061695000,0.004192000,10.0.0.1,1448,19022,132,
1.061748000,0.000053000,10.0.0.1,1448,20470,132,
1.068990000,0.007242000,10.0.0.1,1448,21918,132,
1.069188000,0.000198000,10.0.0.1,1448,23366,132,
1.074419000,0.005231000,10.0.0.1,1448,24814,132,
1.074468000,0.000049000,10.0.0.1,1448,26262,132,
1.080633000,0.006165000,10.0.0.1,1448,27710,132,
1.080693000,0.000060000,10.0.0.1,1448,29158,132,
1.086897000,0.006204000,10.0.0.1,1448,30606,132,
1.086954000,0.000057000,10.0.0.1,1448,32054,132,
1.093173000,0.006219000,10.0.0.1,1448,33502,132,
1.093248000,0.000075000,10.0.0.1,1448,34950,132,
1.097516000,0.004268000,10.0.0.1,1448,36398,132,
1.097544000,0.000028000,10.0.0.1,1448,37846,132,
1.103812000,0.006268000,10.0.0.1,1448,39294,132,
1.105083000,0.001271000,10.0.0.1,1448,40742,132,
1.258685000,0.153602000,10.0.0.2,0,132,14678,0.207611000
1.265436000,0.006751000,10.0.0.2,0,132,16126,0.214227000
1.270553000,0.005117000,10.0.0.2,0,132,17574,0.213121000
1.276871000,0.006318000,10.0.0.2,0,132,19022,0.219368000
1.283709000,0.006838000,10.0.0.2,0,132,20470,0.222014000
1.288489000,0.004780000,10.0.0.2,0,132,21918,0.226741000
1.295770000,0.007281000,10.0.0.2,0,132,23366,0.226780000
1.302224000,0.006454000,10.0.0.2,0,132,24814,0.233036000
1.307415000,0.005191000,10.0.0.2,0,132,26262,0.232996000
1.313678000,0.006263000,10.0.0.2,0,132,27710,0.239210000
1.320147000,0.006469000,10.0.0.2,0,132,29158,0.239514000
1.326320000,0.006173000,10.0.0.2,0,132,30606,0.245627000
1.337879000,0.011559000,10.0.0.2,0,132,33502,0.250925000
1.350358000,0.012479000,10.0.0.2,0,132,36398,0.257110000
1.361444000,0.011086000,10.0.0.2,0,132,39294,0.263900000
1.373795000,0.012351000,10.0.0.2,0,132,42190,0.268712000
1.458676000,0.084881000,10.0.0.1,1448,42190,132,
1.458743000,0.000067000,10.0.0.1,1448,43638,132,
1.466036000,0.007293000,10.0.0.1,1448,45086,132,
1.466186000,0.000150000,10.0.0.1,1448,46534,132,
1.471404000,0.005218000,10.0.0.1,1448,47982,132,
1.471488000,0.000084000,10.0.0.1,1448,49430,132,
1.478325000,0.006837000,10.0.0.1,1448,50878,132,
1.478441000,0.000116000,10.0.0.1,1448,52326,132,
1.483608000,0.005167000,10.0.0.1,1448,53774,132,
1.483668000,0.000060000,10.0.0.1,1448,55222,132,
1.488840000,0.005172000,10.0.0.1,1448,56670,132,
1.488880000,0.000040000,10.0.0.1,1448,58118,132,
1.497092000,0.008212000,10.0.0.1,1448,59566,132,
1.497155000,0.000063000,10.0.0.1,1448,61014,132,
1.502344000,0.005189000,10.0.0.1,1448,62462,132,
1.502402000,0.000058000,10.0.0.1,1448,63910,132,
1.508603000,0.006201000,10.0.0.1,1448,65358,132,
1.508651000,0.000048000,10.0.0.1,1448,66806,132,
1.513854000,0.005203000,10.0.0.1,1448,68254,132,
1.513979000,0.000125000,10.0.0.1,1448,69702,132,
1.521152000,0.007173000,10.0.0.1,1448,71150,132,
1.521200000,0.000048000,10.0.0.1,1448,72598,132,
