frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.window_size,tcp.analysis.ack_rtt
0.219824000,0.219824000,10.0.0.2,0,0,0,64240,
0.420974000,0.147905000,10.0.0.1,0,0,1,65160,0.201150000
0.629753000,0.208779000,10.0.0.2,0,1,1,64256,0.208779000
0.629792000,0.000039000,10.0.0.2,131,1,1,64256,
0.831147000,0.122775000,10.0.0.1,0,1,132,65152,0.201355000
0.845466000,0.014319000,10.0.0.1,197,1,132,65152,
0.846686000,0.001220000,10.0.0.1,1448,198,132,65152,
0.846754000,0.000068000,10.0.0.1,1448,1646,132,65152,
0.847908000,0.001154000,10.0.0.1,1448,3094,132,65152,
0.847960000,0.000052000,10.0.0.1,1448,4542,132,65152,
0.848241000,0.000281000,10.0.0.1,1448,5990,132,65152,
0.848256000,0.000015000,10.0.0.1,1448,7438,132,65152,
0.848264000,0.000008000,10.0.0.1,1448,8886,132,65152,
0.848344000,0.000080000,10.0.0.1,1448,10334,132,65152,
0.848405000,0.000061000,10.0.0.1,1448,11782,132,65152,
1.057421000,0.188836000,10.0.0.2,0,132,198,64128,0.211955000
1.063698000,0.006277000,10.0.0.2,0,132,1646,67072,0.217012000
1.069912000,0.006214000,10.0.0.2,0,132,3094,70016,0.223158000
1.075535000,0.005623000,10.0.0.2,0,132,4542,72832,0.227627000
1.081065000,0.005530000,10.0.0.2,0,132,5990,75776,0.233105000
1.087285000,0.006220000,10.0.0.2,0,132,7438,78720,0.239044000
1.093635000,0.006350000,10.0.0.2,0,132,8886,80512,0.245379000
1.101019000,0.007384000,10.0.0.2,0,132,10334,80512,0.252755000
1.105339000,0.004320000,10.0.0.2,0,132,11782,80512,0.256995000
1.111640000,0.006301000,10.0.0.2,0,132,13230,80512,0.263235000
1.258943000,0.147303000,10.0.0.1,1448,13230,132,65152,
1.259057000,0.000114000,10.0.0.1,1448,14678,132,65152,
1.265174000,0.006117000,10.0.0.1,1448,16126,132,65152,
1.265203000,0.000029000,10.0.0.1,1448,17574,132,65152,
1.270389000,0.005186000,10.0.0.1,1448,19022,132,65152,
1.270464000,0.000075000,10.0.0.1,1448,20470,132,65152,
1.275784000,0.005320000,10.0.0.1,1448,21918,132,65152,
1.275854000,0.000070000,10.0.0.1,1448,23366,132,65152,
1.282039000,0.006185000,10.0.0.1,1448,24814,132,65152,
1.282101000,0.000062000,10.0.0.1,1448,26262,132,65152,
1.287324000,0.005223000,10.0.0.1,1448,27710,132,65152,
1.287362000,0.000038000,10.0.0.1,1448,29158,132,65152,
1.294589000,0.007227000,10.0.0.1,1448,30606,132,65152,
1.294684000,0.000095000,10.0.0.1,1448,32054,132,65152,
1.303001000,0.008317000,10.0.0.1,1448,33502,132,65152,
1.303295000,0.000294000,10.0.0.1,1448,34950,132,65152,
1.306548000,0.003253000,10.0.0.1,1448,36398,132,65152,
1.306682000,0.000134000,10.0.0.1,1448,37846,132,65152,
1.311906000,0.005224000,10.0.0.1,1448,39294,132,65152,
1.311944000,0.000038000,10.0.0.1,1448,40742,132,65152,
1.466315000,0.154371000,10.0.0.2,0,132,14678,80512,0.207372000
1.472566000,0.006251000,10.0.0.2,0,132,16126,80512,0.213509000
1.479035000,0.006469000,10.0.0.2,0,132,17574,80512,0.213861000
1.484255000,0.005220000,10.0.0.2,0,132,19022,80512,0.219052000
1.490430000,0.006175000,10.0.0.2,0,132,20470,80512,0.220041000
1.496732000,0.006302000,10.0.0.2,0,132,21918,80512,0.226268000
1.501991000,0.005259000,10.0.0.2,0,132,23366,80512,0.226207000
1.508178000,0.006187000,10.0.0.2,0,132,24814,80512,0.232324000
1.515478000,0.007300000,10.0.0.2,0,132,26262,80512,0.233439000
1.521587000,0.006109000,10.0.0.2,0,132,27710,80512,0.239486000
1.527348000,0.005761000,10.0.0.2,0,132,29158,80512,0.240024000
1.533502000,0.006154000,10.0.0.2,0,132,30606,80512,0.246140000
1.545845000,0.012343000,10.0.0.2,0,132,33502,80512,0.251161000
1.557291000,0.011446000,10.0.0.2,0,132,36398,80512,0.253996000
1.569575000,0.012284000,10.0.0.2,0,132,39294,80512,0.262893000
1.581226000,0.011651000,10.0.0.2,0,132,42190,80512,0.269282000
1.667909000,0.086683000,10.0.0.1,1448,42190,132,65152,
1.668012000,0.000103000,10.0.0.1,1448,43638,132,65152,
1.673309000,0.005297000,10.0.0.1,1448,45086,132,65152,
1.673403000,0.000094000,10.0.0.1,1448,46534,132,65152,
1.680604000,0.007201000,10.0.0.1,1448,47982,132,65152,
1.680711000,0.000107000,10.0.0.1,1448,49430,132,65152,
1.685953000,0.005242000,10.0.0.1,1448,50878,132,65152,
1.686080000,0.000127000,10.0.0.1,1448,52326,132,65152,
1.690289000,0.004209000,10.0.0.1,1448,53774,132,65152,
