frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.analysis.ack_rtt
0.000000000,0.000000000,10.0.0.2,0,0,0,
0.105303000,0.105303000,10.0.0.1,0,0,1,0.105303000
0.222531000,0.117228000,10.0.0.2,0,1,1,0.117228000
0.222582000,0.000051000,10.0.0.2,131,1,1,
0.324390000,0.073788000,10.0.0.1,0,1,132,0.101808000
0.338953000,0.012724000,10.0.0.1,197,1,132,
0.341316000,0.002363000,10.0.0.1,1448,198,132,
0.341392000,0.000076000,10.0.0.1,1448,1646,132,
0.341398000,0.000006000,10.0.0.1,1448,3094,132,
0.341402000,0.000004000,10.0.0.1,1448,4542,132,
0.341406000,0.000004000,10.0.0.1,1448,5990,132,
0.341409000,0.000003000,10.0.0.1,1448,7438,132,
0.341413000,0.000004000,10.0.0.1,1448,8886,132,
0.341417000,0.000004000,10.0.0.1,1448,10334,132,
0.341421000,0.000004000,10.0.0.1,1448,11782,132,
0.451859000,0.110438000,10.0.0.2,0,132,198,0.112906000
0.451932000,0.000073000,10.0.0.2,0,132,1646,0.110616000
0.457946000,0.006014000,10.0.0.2,0,132,3094,0.116554000
0.469675000,0.011729000,10.0.0.2,0,132,4542,0.128277000
0.476094000,0.006419000,10.0.0.2,0,132,5990,0.134692000
0.476151000,0.000057000,10.0.0.2,0,132,7438,0.134745000
0.487516000,0.011365000,10.0.0.2,0,132,8886,0.146107000
0.493132000,0.005616000,10.0.0.2,0,132,10334,0.151719000
0.493223000,0.000091000,10.0.0.2,0,132,11782,0.151806000
0.505379000,0.012156000,10.0.0.2,0,132,13230,0.163958000
0.553291000,0.047912000,10.0.0.1,1448,13230,132,
0.553409000,0.000118000,10.0.0.1,1448,14678,132,
0.553418000,0.000009000,10.0.0.1,1448,16126,132,
0.553425000,0.000007000,10.0.0.1,1448,17574,132,
0.559612000,0.006187000,10.0.0.1,1448,19022,132,
0.559686000,0.000074000,10.0.0.1,1448,20470,132,
0.570961000,0.011275000,10.0.0.1,1448,21918,132,
0.571068000,0.000107000,10.0.0.1,1448,23366,132,
0.576429000,0.005361000,10.0.0.1,1448,24814,132,
0.576508000,0.000079000,10.0.0.1,1448,26262,132,
0.576516000,0.000008000,10.0.0.1,1448,27710,132,
0.576520000,0.000004000,10.0.0.1,1448,29158,132,
0.588814000,0.012294000,10.0.0.1,1448,30606,132,
0.588906000,0.000092000,10.0.0.1,1448,32054,132,
0.594494000,0.005588000,10.0.0.1,1448,33502,132,
0.594569000,0.000075000,10.0.0.1,1448,34950,132,
0.594576000,0.000007000,10.0.0.1,1448,36398,132,
0.594580000,0.000004000,10.0.0.1,1448,37846,132,
0.606855000,0.012275000,10.0.0.1,1448,39294,132,
0.606962000,0.000107000,10.0.0.1,1448,40742,132,
0.662453000,0.009970000,10.0.0.2,0,132,14678,0.109162000
0.668747000,0.006294000,10.0.0.2,0,132,16126,0.115338000
0.674267000,0.005520000,10.0.0.2,0,132,17574,0.120849000
0.686393000,0.012126000,10.0.0.2,0,132,19022,0.132968000
0.686479000,0.000086000,10.0.0.2,0,132,20470,0.126867000
0.693042000,0.006563000,10.0.0.2,0,132,21918,0.133356000
0.704405000,0.011363000,10.0.0.2,0,132,23366,0.133444000
0.704479000,0.000074000,10.0.0.2,0,132,24814,0.133411000
0.711179000,0.006700000,10.0.0.2,0,132,26262,0.134750000
0.722982000,0.011803000,10.0.0.2,0,132,27710,0.146474000
0.728352000,0.005370000,10.0.0.2,0,132,29158,0.151836000
0.728432000,0.000080000,10.0.0.2,0,132,30606,0.151912000
0.740969000,0.012537000,10.0.0.2,0,132,33502,0.152063000
0.758928000,0.002307000,10.0.0.2,0,132,36398,0.164359000
0.763809000,0.004881000,10.0.0.1,1448,42190,132,
0.763891000,0.000082000,10.0.0.1,1448,43638,132,
0.770237000,0.006346000,10.0.0.1,1448,45086,132,
0.770367000,0.000130000,10.0.0.1,1448,46534,132,
0.770596000,0.000229000,10.0.0.2,0,132,39294,0.176016000
0.775279000,0.004683000,10.0.0.1,1448,47982,132,
0.775392000,0.000113000,10.0.0.1,1448,49430,132,
0.776888000,0.001496000,10.0.0.2,0,132,42190,0.169926000
0.788039000,0.011151000,10.0.0.1,1448,50878,132,
0.788155000,0.000116000,10.0.0.1,1448,52326,132,
0.788166000,0.000011000,10.0.0.1,1448,53774,132,
0.788175000,0.000009000,10.0.0.1,1448,55222,132,
0.793356000,0.005181000,10.0.0.1,1448,56670,132,
0.793423000,0.000067000,10.0.0.1,1448,58118,132,
0.806126000,0.012703000,10.0.0.1,1448,59566,132,
0.806195000,0.000069000,10.0.0.1,1448,61014,132,
0.806202000,0.000007000,10.0.0.1,1448,62462,132,
0.806207000,0.000005000,10.0.0.1,1448,63910,132,
0.811912000,0.005705000,10.0.0.1,1448,65358,132,
