frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.window_size,tcp.analysis.ack_rtt
0.000000000,0.000000000,10.0.0.2,0,0,0,64240,
0.118792000,0.118792000,10.0.0.1,0,0,1,65160,0.118792000
0.241700000,0.072328000,10.0.0.2,0,1,1,64256,0.122908000
0.241772000,0.000072000,10.0.0.2,131,1,1,64256,
0.344330000,0.102558000,10.0.0.1,0,1,132,65152,0.102558000
0.353091000,0.008761000,10.0.0.1,197,1,132,65152,
0.355365000,0.002274000,10.0.0.1,1448,198,132,65152,
0.355395000,0.000030000,10.0.0.1,1448,1646,132,65152,
0.355398000,0.000003000,10.0.0.1,1448,3094,132,65152,
0.355400000,0.000002000,10.0.0.1,1448,4542,132,65152,
0.355402000,0.000002000,10.0.0.1,1448,5990,132,65152,
0.355403000,0.000001000,10.0.0.1,1448,7438,132,65152,
0.355405000,0.000002000,10.0.0.1,1448,8886,132,65152,
0.355406000,0.000001000,10.0.0.1,1448,10334,132,65152,
0.355408000,0.000002000,10.0.0.1,1448,11782,132,65152,
0.458004000,0.051516000,10.0.0.2,0,132,198,64128,0.104913000
0.464453000,0.006449000,10.0.0.2,0,132,1646,67072,0.109088000
0.475632000,0.011179000,10.0.0.2,0,132,3094,70016,0.120237000
0.482285000,0.006653000,10.0.0.2,0,132,4542,72832,0.126887000
0.482391000,0.000106000,10.0.0.2,0,132,5990,75776,0.126991000
0.494261000,0.011870000,10.0.0.2,0,132,7438,78720,0.138859000
0.494297000,0.000036000,10.0.0.2,0,132,8886,80512,0.138894000
0.505708000,0.011411000,10.0.0.2,0,132,10334,80512,0.150303000
0.512554000,0.006846000,10.0.0.2,0,132,11782,80512,0.157148000
0.512601000,0.000047000,10.0.0.2,0,132,13230,80512,0.157193000
0.559648000,0.047047000,10.0.0.1,1448,13230,132,65152,
0.559810000,0.000162000,10.0.0.1,1448,14678,132,65152,
0.565925000,0.006115000,10.0.0.1,1448,16126,132,65152,
0.566008000,0.000083000,10.0.0.1,1448,17574,132,65152,
0.578534000,0.012526000,10.0.0.1,1448,19022,132,65152,
0.578640000,0.000106000,10.0.0.1,1448,20470,132,65152,
0.584297000,0.005657000,10.0.0.1,1448,21918,132,65152,
0.584433000,0.000136000,10.0.0.1,1448,23366,132,65152,
0.584443000,0.000010000,10.0.0.1,1448,24814,132,65152,
0.584451000,0.000008000,10.0.0.1,1448,26262,132,65152,
0.595801000,0.011350000,10.0.0.1,1448,27710,132,65152,
0.595861000,0.000060000,10.0.0.1,1448,29158,132,65152,
0.595867000,0.000006000,10.0.0.1,1448,30606,132,65152,
0.595871000,0.000004000,10.0.0.1,1448,32054,132,65152,
0.607321000,0.011450000,10.0.0.1,1448,33502,132,65152,
0.607378000,0.000057000,10.0.0.1,1448,34950,132,65152,
0.613710000,0.006332000,10.0.0.1,1448,36398,132,65152,
0.613780000,0.000070000,10.0.0.1,1448,37846,132,65152,
0.613787000,0.000007000,10.0.0.1,1448,39294,132,65152,
0.613791000,0.000004000,10.0.0.1,1448,40742,132,65152,
0.674788000,0.060997000,10.0.0.2,0,132,14678,80512,0.115140000
0.674836000,0.000048000,10.0.0.2,0,132,16126,80512,0.115026000
0.681101000,0.002600000,10.0.0.2,0,132,17574,80512,0.115176000
0.687149000,0.006048000,10.0.0.2,0,132,19022,80512,0.121141000
0.693311000,0.006162000,10.0.0.2,0,132,20470,80512,0.114777000
0.698502000,0.005191000,10.0.0.2,0,132,21918,80512,0.119862000
0.704848000,0.006346000,10.0.0.2,0,132,23366,80512,0.120551000
0.711316000,0.006468000,10.0.0.2,0,132,24814,80512,0.126883000
0.716457000,0.005141000,10.0.0.2,0,132,26262,80512,0.132014000
0.728828000,0.012371000,10.0.0.2,0,132,27710,80512,0.144377000
0.728840000,0.000012000,10.0.0.2,0,132,29158,80512,0.133039000
0.735215000,0.006375000,10.0.0.2,0,132,30606,80512,0.139354000
0.746821000,0.011606000,10.0.0.2,0,132,33502,80512,0.150950000
0.758670000,0.011849000,10.0.0.2,0,132,36398,80512,0.151292000
0.771001000,0.012331000,10.0.0.2,0,132,39294,80512,0.157221000
0.775491000,0.004490000,10.0.0.1,1448,42190,132,65152,
0.775511000,0.000020000,10.0.0.1,1448,43638,132,65152,
0.775514000,0.000003000,10.0.0.1,1448,45086,132,65152,
0.775515000,0.000001000,10.0.0.1,1448,46534,132,65152,
0.780466000,0.004951000,10.0.0.1,1448,47982,132,65152,
0.780479000,0.000013000,10.0.0.1,1448,49430,132,65152,
0.783010000,0.002531000,10.0.0.2,0,132,42190,80512,0.169219000
0.786428000,0.003418000,10.0.0.1,1448,50878,132,65152,
0.786490000,0.000062000,10.0.0.1,1448,52326,132,65152,
0.793680000,0.007190000,10.0.0.1,1448,53774,132,65152,
