frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.analysis.ack_rtt
0.000000000,0.000000000,10.0.0.2,0,0,0,
0.105812000,0.019652000,10.0.0.1,0,0,1,0.105812000
0.222345000,0.116533000,10.0.0.2,0,1,1,0.116533000
0.222413000,0.000068000,10.0.0.2,131,1,1,
0.324022000,0.101609000,10.0.0.1,0,1,132,0.101609000
0.344383000,0.020361000,10.0.0.1,197,1,132,
0.346737000,0.002354000,10.0.0.1,1448,198,132,
0.346789000,0.000052000,10.0.0.1,1448,1646,132,
0.346793000,0.000004000,10.0.0.1,1448,3094,132,
0.346797000,0.000004000,10.0.0.1,1448,4542,132,
0.346799000,0.000002000,10.0.0.1,1448,5990,132,
0.346802000,0.000003000,10.0.0.1,1448,7438,132,
0.346804000,0.000002000,10.0.0.1,1448,8886,132,
0.346806000,0.000002000,10.0.0.1,1448,10334,132,
0.346808000,0.000002000,10.0.0.1,1448,11782,132,
0.451742000,0.104934000,10.0.0.2,0,132,198,0.107359000
0.457481000,0.005739000,10.0.0.2,0,132,1646,0.110744000
0.463815000,0.006334000,10.0.0.2,0,132,3094,0.117026000
0.469243000,0.005428000,10.0.0.2,0,132,4542,0.122450000
0.481662000,0.012419000,10.0.0.2,0,132,5990,0.134865000
0.481727000,0.000065000,10.0.0.2,0,132,7438,0.134928000
0.487044000,0.005317000,10.0.0.2,0,132,8886,0.140242000
0.499487000,0.009169000,10.0.0.2,0,132,10334,0.152683000
0.499550000,0.000063000,10.0.0.2,0,132,11782,0.152744000
0.505702000,0.006152000,10.0.0.2,0,132,13230,0.158894000
0.553428000,0.033563000,10.0.0.1,1448,13230,132,
0.553489000,0.000061000,10.0.0.1,1448,14678,132,
0.557928000,0.004439000,10.0.0.1,1448,16126,132,
0.557987000,0.000059000,10.0.0.1,1448,17574,132,
0.564250000,0.006263000,10.0.0.1,1448,19022,132,
0.564336000,0.000086000,10.0.0.1,1448,20470,132,
0.570502000,0.006166000,10.0.0.1,1448,21918,132,
0.570568000,0.000066000,10.0.0.1,1448,23366,132,
0.582888000,0.012320000,10.0.0.1,1448,24814,132,
0.582956000,0.000068000,10.0.0.1,1448,26262,132,
0.582961000,0.000005000,10.0.0.1,1448,27710,132,
0.582965000,0.000004000,10.0.0.1,1448,29158,132,
0.587259000,0.004294000,10.0.0.1,1448,30606,132,
0.587332000,0.000073000,10.0.0.1,1448,32054,132,
0.599590000,0.012258000,10.0.0.1,1448,33502,132,
0.599659000,0.000069000,10.0.0.1,1448,34950,132,
0.599665000,0.000006000,10.0.0.1,1448,36398,132,
0.599669000,0.000004000,10.0.0.1,1448,37846,132,
0.606819000,0.007150000,10.0.0.1,1448,39294,132,
0.606872000,0.000053000,10.0.0.1,1448,40742,132,
0.662645000,0.055773000,10.0.0.2,0,132,14678,0.109217000
0.668926000,0.006281000,10.0.0.2,0,132,16126,0.115437000
0.674152000,0.005226000,10.0.0.2,0,132,17574,0.116224000
0.680087000,0.005935000,10.0.0.2,0,132,19022,0.122100000
0.686447000,0.006360000,10.0.0.2,0,132,20470,0.122197000
0.692961000,0.006514000,10.0.0.2,0,132,21918,0.128625000
0.704635000,0.011674000,10.0.0.2,0,132,23366,0.134133000
0.704714000,0.000079000,10.0.0.2,0,132,24814,0.134146000
0.710750000,0.006036000,10.0.0.2,0,132,26262,0.127862000
0.716107000,0.005357000,10.0.0.2,0,132,27710,0.133151000
0.722765000,0.006658000,10.0.0.2,0,132,29158,0.139804000
0.728478000,0.005713000,10.0.0.2,0,132,30606,0.145513000
0.741005000,0.012527000,10.0.0.2,0,132,33502,0.153673000
0.758545000,0.012147000,10.0.0.2,0,132,36398,0.158886000
0.764155000,0.005610000,10.0.0.1,1448,42190,132,
0.764312000,0.000157000,10.0.0.1,1448,43638,132,
0.765113000,0.000801000,10.0.0.2,0,132,39294,0.165444000
0.770105000,0.004992000,10.0.0.1,1448,45086,132,
0.770199000,0.000094000,10.0.0.1,1448,46534,132,
0.774197000,0.003998000,10.0.0.1,1448,47982,132,
0.774265000,0.000068000,10.0.0.1,1448,49430,132,
0.776249000,0.001984000,10.0.0.2,0,132,42190,0.169377000
0.781730000,0.005481000,10.0.0.1,1448,50878,132,
0.781881000,0.000151000,10.0.0.1,1448,52326,132,
0.787195000,0.005314000,10.0.0.1,1448,53774,132,
0.787277000,0.000082000,10.0.0.1,1448,55222,132,
0.794825000,0.007548000,10.0.0.1,1448,56670,132,
0.794869000,0.000044000,10.0.0.1,1448,58118,132,
0.805175000,0.010306000,10.0.0.1,1448,59566,132,
0.805257000,0.000082000,10.0.0.1,1448,61014,132,
0.805264000,0.000007000,10.0.0.1,1448,62462,132,
0.805269000,0.000005000,10.0.0.1,1448,63910,132,
0.812450000,0.007181000,10.0.0.1,1448,65358,132,
0.812509000,0.000059000,10.0.0.1,1448,66806,132,
0.816803000,0.004294000,10.0.0.1,1448,68254,132,
0.816869000,0.000066000,10.0.0.1,1448,69702,132,
0.824195000,0.007326000,10.0.0.1,1448,71150,132,
0.824261000,0.000066000,10.0.0.1,1448,72598,132,
0.829384000,0.005123000,10.0.0.1,1448,74046,132,
0.829446000,0.000062000,10.0.0.1,1448,75494,132,
0.841830000,0.012384000,10.0.0.1,1448,76942,132,
0.841919000,0.000089000,10.0.0.1,1448,78390,132,
0.841926000,0.000007000,10.0.0.1,1448,79838,132,
0.841931000,0.000005000,10.0.0.1,1448,81286,132,
0.859246000,0.017315000,10.0.0.1,1448,82734,132,
0.859313000,0.000067000,10.0.0.1,1448,84182,132,
0.859319000,0.000006000,10.0.0.1,1448,85630,132,
0.859323000,0.000004000,10.0.0.1,1448,87078,132,
0.865627000,0.006304000,10.0.0.1,1448,88526,132,
0.865697000,0.000070000,10.0.0.1,1448,89974,132,
0.865702000,0.000005000,10.0.0.1,1448,91422,132,
0.865705000,0.000003000,10.0.0.1,1448,92870,132,
